,0
0,task
1,idx
2,true_label
3,pred_label
4,answer
5,model
6,"['d3_30_news', 3694, 0, 0, 'no', 'meta']"
7,"['d3_30_news', 3694, 0, 0, 'no', 'openai']"
8,"['d3_30_news', 3694, 0, 0, 'no', 'mistral']"
9,"['d3_30_news', 144, 1, 1, 'yes', 'openai']"
10,"['d3_30_news', 144, 1, 1, 'yes', 'meta']"
11,"['d3_30_news', 144, 1, 1, 'yes', 'mistral']"
12,"['d3_30_news', 1589, 0, 1, 'yes', 'mistral']"
13,"['d3_30_news', 1589, 0, 0, 'no', 'meta']"
14,"['d3_30_news', 1589, 0, 0, 'no', 'openai']"
15,"['d3_30_news', 1289, 1, 0, 'no', 'openai']"
16,"['d3_30_news', 1289, 1, 0, 'no', 'meta']"
17,"['d3_30_news', 1289, 1, 1, 'yes', 'mistral']"
18,"['d3_30_news', 4255, 0, 0, 'no', 'meta']"
19,"['d3_30_news', 4255, 0, 1, 'yes', 'openai']"
20,"['d3_30_news', 4255, 0, 1, 'yes', 'mistral']"
21,"['d3_30_news', 3909, 0, 0, 'no', 'openai']"
22,"['d3_30_news', 3909, 0, 0, 'no', 'meta']"
23,"['d3_30_news', 3909, 0, 0, 'no', 'mistral']"
24,"['d3_30_news', 5155, 0, 1, 'yes', 'meta']"
25,"['d3_30_news', 5155, 0, 1, 'yes', 'openai']"
26,"['d3_30_news', 5155, 0, 1, 'yes', 'mistral']"
27,"['d3_30_news', 502, 1, 1, 'yes', 'mistral']"
28,"['d3_30_news', 502, 1, 0, 'no', 'meta']"
29,"['d3_30_news', 502, 1, 1, 'yes', 'openai']"
30,"['d3_30_news', 2437, 0, 0, 'no', 'openai']"
31,"['d3_30_news', 2437, 0, 0, 'no', 'mistral']"
32,"['d3_30_news', 2437, 0, 0, 'no', 'meta']"
33,"['d3_30_news', 172, 1, 1, 'yes', 'meta']"
34,"['d3_30_news', 172, 1, 1, 'yes', 'openai']"
35,"['d3_30_news', 172, 1, 1, 'yes', 'mistral']"
36,"['d3_30_news', 1263, 1, 1, 'yes', 'openai']"
37,"['d3_30_news', 1263, 1, 1, 'yes', 'meta']"
38,"['d3_30_news', 1263, 1, 1, 'yes', 'mistral']"
39,"['d3_30_news', 2919, 0, 0, 'no', 'mistral']"
40,"['d3_30_news', 2919, 0, 0, 'no', 'meta']"
41,"['d3_30_news', 2919, 0, 0, 'no', 'openai']"
42,"['d3_30_news', 153, 1, 1, 'yes', 'openai']"
43,"['d3_30_news', 153, 1, 1, 'yes', 'mistral']"
44,"['d3_30_news', 153, 1, 1, 'yes', 'meta']"
45,"['d3_30_news', 1148, 1, 1, 'yes', 'mistral']"
46,"['d3_30_news', 1148, 1, 1, 'yes', 'meta']"
47,"['d3_30_news', 1148, 1, 1, 'yes', 'openai']"
48,"['d3_30_news', 3755, 0, 0, 'no', 'meta']"
49,"['d3_30_news', 3755, 0, 1, 'yes', 'openai']"
50,"['d3_30_news', 3755, 0, 0, 'no', 'mistral']"
51,"['d3_30_news', 3148, 0, 1, 'yes', 'meta']"
52,"['d3_30_news', 3148, 0, 1, 'yes', 'openai']"
53,"['d3_30_news', 3148, 0, 1, 'yes', 'mistral']"
54,"['d3_30_news', 1273, 1, 1, 'yes', 'mistral']"
55,"['d3_30_news', 1273, 1, 1, 'yes', 'meta']"
56,"['d3_30_news', 1273, 1, 1, 'yes', 'openai']"
57,"['d3_30_news', 3404, 0, 0, 'no', 'mistral']"
58,"['d3_30_news', 3404, 0, 0, 'no', 'meta']"
59,"['d3_30_news', 3404, 0, 0, 'no', 'openai']"
60,"['d3_30_news', 4676, 0, 0, 'no', 'meta']"
61,"['d3_30_news', 4676, 0, 1, 'yes', 'openai']"
62,"['d3_30_news', 4676, 0, 1, 'yes', 'mistral']"
63,"['d3_30_news', 37, 1, 1, 'yes', 'mistral']"
64,"['d3_30_news', 37, 1, 1, 'yes', 'meta']"
65,"['d3_30_news', 37, 1, 1, 'yes', 'openai']"
66,"['d3_30_news', 4656, 0, 0, 'no', 'openai']"
67,"['d3_30_news', 4656, 0, 0, 'no', 'meta']"
68,"['d3_30_news', 4656, 0, 0, 'no', 'mistral']"
69,"['d3_30_news', 4033, 0, 1, 'yes', 'meta']"
70,"['d3_30_news', 4033, 0, 1, 'yes', 'openai']"
71,"['d3_30_news', 4033, 0, 1, 'yes', 'mistral']"
72,"['d3_30_news', 1965, 0, 1, 'yes', 'mistral']"
73,"['d3_30_news', 1965, 0, 0, 'no', 'meta']"
74,"['d3_30_news', 1965, 0, 1, 'yes', 'openai']"
75,"['d3_30_news', 898, 1, 0, 'no', 'meta']"
76,"['d3_30_news', 898, 1, 0, 'no', 'openai']"
77,"['d3_30_news', 898, 1, 1, 'yes', 'mistral']"
78,"['d3_30_news', 5530, 0, 1, 'yes', 'mistral']"
79,"['d3_30_news', 5530, 0, 0, 'no', 'meta']"
80,"['d3_30_news', 5530, 0, 1, 'yes', 'openai']"
81,"['d3_30_news', 1944, 0, 0, 'no', 'openai']"
82,"['d3_30_news', 1944, 0, 1, 'yes', 'mistral']"
83,"['d3_30_news', 1944, 0, 0, 'no', 'meta']"
84,"['d3_30_news', 535, 1, 1, 'yes', 'mistral']"
85,"['d3_30_news', 535, 1, 1, 'yes', 'meta']"
86,"['d3_30_news', 535, 1, 1, 'yes', 'openai']"
87,"['d3_30_news', 558, 1, 1, 'yes', 'openai']"
88,"['d3_30_news', 558, 1, 0, 'no', 'meta']"
89,"['d3_30_news', 558, 1, 1, 'yes', 'mistral']"
90,"['d3_30_news', 4896, 0, 0, 'no', 'meta']"
91,"['d3_30_news', 4896, 0, 0, 'no', 'openai']"
92,"['d3_30_news', 4896, 0, 0, 'no', 'mistral']"
93,"['d3_30_news', 3488, 0, 1, 'yes', 'openai']"
94,"['d3_30_news', 3488, 0, 1, 'yes', 'mistral']"
95,"['d3_30_news', 3488, 0, 1, 'yes', 'meta']"
96,"['d3_30_news', 4663, 0, 0, 'no', 'mistral']"
97,"['d3_30_news', 4663, 0, 0, 'no', 'meta']"
98,"['d3_30_news', 4663, 0, 0, 'no', 'openai']"
99,"['d3_30_news', 4216, 0, 1, 'yes', 'openai']"
100,"['d3_30_news', 4216, 0, 0, 'no', 'meta']"
101,"['d3_30_news', 4216, 0, 1, 'yes', 'mistral']"
102,"['d3_30_news', 3098, 0, 1, 'yes', 'openai']"
103,"['d3_30_news', 3098, 0, 1, 'yes', 'meta']"
104,"['d3_30_news', 3098, 0, 1, 'yes', 'mistral']"
105,"['d3_30_news', 5622, 0, 0, 'no', 'openai']"
106,"['d3_30_news', 5622, 0, 0, 'no', 'meta']"
107,"['d3_30_news', 5622, 0, 1, 'yes', 'mistral']"
108,"['d3_30_news', 2187, 0, 0, 'no', 'meta']"
109,"['d3_30_news', 2187, 0, 0, 'no', 'openai']"
110,"['d3_30_news', 2187, 0, 0, 'no', 'mistral']"
111,"['d3_30_news', 3189, 0, 0, 'no', 'openai']"
112,"['d3_30_news', 3189, 0, 0, 'no', 'meta']"
113,"['d3_30_news', 3189, 0, 0, 'no', 'mistral']"
114,"['d3_30_news', 4792, 0, 1, 'yes', 'mistral']"
115,"['d3_30_news', 4792, 0, 1, 'yes', 'meta']"
116,"['d3_30_news', 4792, 0, 1, 'yes', 'openai']"
117,"['d3_30_news', 3573, 0, 1, 'yes', 'openai']"
118,"['d3_30_news', 3573, 0, 0, 'no', 'meta']"
119,"['d3_30_news', 3573, 0, 1, 'yes', 'mistral']"
120,"['d3_30_news', 4978, 0, 0, 'no', 'mistral']"
121,"['d3_30_news', 4978, 0, 0, 'no', 'meta']"
122,"['d3_30_news', 4978, 0, 0, 'no', 'openai']"
123,"['d3_30_news', 3335, 0, 1, 'yes', 'openai']"
124,"['d3_30_news', 3335, 0, 0, 'no', 'meta']"
125,"['d3_30_news', 3335, 0, 1, 'yes', 'mistral']"
126,"['d3_30_news', 4071, 0, 0, 'no', 'meta']"
127,"['d3_30_news', 4071, 0, 0, 'no', 'openai']"
128,"['d3_30_news', 4071, 0, 0, 'no', 'mistral']"
129,"['d3_30_news', 264, 1, 0, 'no', 'meta']"
130,"['d3_30_news', 264, 1, 1, 'yes', 'openai']"
131,"['d3_30_news', 264, 1, 1, 'yes', 'mistral']"
132,"['d3_30_news', 1316, 1, 1, 'yes', 'openai']"
133,"['d3_30_news', 1316, 1, 1, 'yes', 'meta']"
134,"['d3_30_news', 1316, 1, 1, 'yes', 'mistral']"
135,"['d3_30_news', 1672, 0, 0, 'no', 'mistral']"
136,"['d3_30_news', 1672, 0, 0, 'no', 'meta']"
137,"['d3_30_news', 1672, 0, 0, 'no', 'openai']"
138,"['d3_30_news', 461, 1, 1, 'yes', 'openai']"
139,"['d3_30_news', 461, 1, 1, 'yes', 'meta']"
140,"['d3_30_news', 461, 1, 1, 'yes', 'mistral']"
141,"['d3_30_news', 1345, 1, 1, 'yes', 'openai']"
142,"['d3_30_news', 1345, 1, 1, 'yes', 'mistral']"
143,"['d3_30_news', 1345, 1, 0, 'no', 'meta']"
144,"['d3_30_news', 583, 1, 1, 'yes', 'openai']"
145,"['d3_30_news', 583, 1, 1, 'yes', 'mistral']"
146,"['d3_30_news', 583, 1, 1, 'yes', 'meta']"
147,"['d3_30_news', 1606, 0, 0, 'no', 'meta']"
148,"['d3_30_news', 1606, 0, 0, 'no', 'openai']"
149,"['d3_30_news', 1606, 0, 0, 'no', 'mistral']"
150,"['d3_30_news', 3672, 0, 0, 'no', 'openai']"
151,"['d3_30_news', 3672, 0, 0, 'no', 'mistral']"
152,"['d3_30_news', 3672, 0, 0, 'no', 'meta']"
153,"['d3_30_news', 2108, 0, 0, 'no', 'openai']"
154,"['d3_30_news', 2108, 0, 0, 'no', 'meta']"
155,"['d3_30_news', 2108, 0, 0, 'no', 'mistral']"
156,"['d3_30_news', 2138, 0, 0, 'no', 'openai']"
157,"['d3_30_news', 2138, 0, 0, 'no', 'meta']"
158,"['d3_30_news', 2138, 0, 0, 'no', 'mistral']"
159,"['d3_30_news', 1210, 1, 0, 'no', 'openai']"
160,"['d3_30_news', 1210, 1, 0, 'no', 'meta']"
161,"['d3_30_news', 1210, 1, 0, 'no', 'mistral']"
162,"['d3_30_news', 1542, 0, 0, 'no', 'meta']"
163,"['d3_30_news', 1542, 0, 1, 'yes', 'openai']"
