,0
0,task
1,idx
2,true_label
3,pred_label
4,answer
5,model
6,"['d3_51_entertainment', 4770, 0, 0, 'no', 'mistral']"
7,"['d3_51_entertainment', 4770, 0, 0, 'no', 'meta']"
8,"['d3_51_entertainment', 4770, 0, 0, 'no', 'openai']"
9,"['d3_51_entertainment', 186, 1, 0, 'no', 'openai']"
10,"['d3_51_entertainment', 186, 1, 0, 'no', 'mistral']"
11,"['d3_51_entertainment', 186, 1, 0, 'no', 'meta']"
12,"['d3_51_entertainment', 2051, 0, 0, 'no', 'openai']"
13,"['d3_51_entertainment', 2051, 0, 0, 'no', 'meta']"
14,"['d3_51_entertainment', 2051, 0, 0, 'no', 'mistral']"
15,"['d3_51_entertainment', 1665, 0, 0, 'no', 'openai']"
16,"['d3_51_entertainment', 1665, 0, 0, 'no', 'meta']"
17,"['d3_51_entertainment', 1665, 0, 0, 'no', 'mistral']"
18,"['d3_51_entertainment', 5494, 0, 1, 'yes', 'openai']"
19,"['d3_51_entertainment', 5494, 0, 1, 'yes', 'mistral']"
20,"['d3_51_entertainment', 5494, 0, 1, 'yes', 'meta']"
21,"['d3_51_entertainment', 5048, 0, 1, 'yes', 'openai']"
22,"['d3_51_entertainment', 5048, 0, 1, 'yes', 'meta']"
23,"['d3_51_entertainment', 5048, 0, 1, 'yes', 'mistral']"
24,"['d3_51_entertainment', 6656, 0, 0, 'no', 'openai']"
25,"['d3_51_entertainment', 6656, 0, 0, 'no', 'meta']"
26,"['d3_51_entertainment', 6656, 0, 0, 'no', 'mistral']"
27,"['d3_51_entertainment', 648, 1, 1, 'yes', 'mistral']"
28,"['d3_51_entertainment', 648, 1, 1, 'yes', 'meta']"
29,"['d3_51_entertainment', 648, 1, 1, 'yes', 'openai']"
30,"['d3_51_entertainment', 3147, 0, 0, 'no', 'openai']"
31,"['d3_51_entertainment', 3147, 0, 0, 'no', 'meta']"
32,"['d3_51_entertainment', 3147, 0, 0, 'no', 'mistral']"
33,"['d3_51_entertainment', 222, 1, 1, 'yes', 'meta']"
34,"['d3_51_entertainment', 222, 1, 1, 'yes', 'openai']"
35,"['d3_51_entertainment', 222, 1, 1, 'yes', 'mistral']"
36,"['d3_51_entertainment', 1631, 0, 0, 'no', 'mistral']"
37,"['d3_51_entertainment', 1631, 0, 0, 'no', 'meta']"
38,"['d3_51_entertainment', 1631, 0, 0, 'no', 'openai']"
39,"['d3_51_entertainment', 3770, 0, 1, 'yes', 'openai']"
40,"['d3_51_entertainment', 3770, 0, 0, 'no', 'meta']"
41,"['d3_51_entertainment', 3770, 0, 0, 'no', 'mistral']"
42,"['d3_51_entertainment', 197, 1, 1, 'yes', 'meta']"
43,"['d3_51_entertainment', 197, 1, 1, 'yes', 'openai']"
44,"['d3_51_entertainment', 197, 1, 1, 'yes', 'mistral']"
45,"['d3_51_entertainment', 1483, 0, 0, 'no', 'openai']"
46,"['d3_51_entertainment', 1483, 0, 0, 'no', 'meta']"
47,"['d3_51_entertainment', 1483, 0, 0, 'no', 'mistral']"
48,"['d3_51_entertainment', 4848, 0, 0, 'no', 'mistral']"
49,"['d3_51_entertainment', 4848, 0, 0, 'no', 'meta']"
50,"['d3_51_entertainment', 4848, 0, 0, 'no', 'openai']"
51,"['d3_51_entertainment', 4065, 0, 1, 'yes', 'openai']"
52,"['d3_51_entertainment', 4065, 0, 0, 'no', 'meta']"
53,"['d3_51_entertainment', 4065, 0, 0, 'no', 'mistral']"
54,"['d3_51_entertainment', 1644, 0, 0, 'no', 'openai']"
55,"['d3_51_entertainment', 1644, 0, 0, 'no', 'meta']"
56,"['d3_51_entertainment', 1644, 0, 0, 'no', 'mistral']"
57,"['d3_51_entertainment', 4396, 0, 0, 'no', 'mistral']"
58,"['d3_51_entertainment', 4396, 0, 0, 'no', 'meta']"
59,"['d3_51_entertainment', 4396, 0, 0, 'no', 'openai']"
60,"['d3_51_entertainment', 6039, 0, 0, 'no', 'meta']"
61,"['d3_51_entertainment', 6039, 0, 0, 'no', 'openai']"
62,"['d3_51_entertainment', 6039, 0, 0, 'no', 'mistral']"
63,"['d3_51_entertainment', 48, 1, 1, 'yes', 'openai']"
64,"['d3_51_entertainment', 48, 1, 1, 'yes', 'meta']"
65,"['d3_51_entertainment', 48, 1, 1, 'yes', 'mistral']"
66,"['d3_51_entertainment', 6012, 0, 0, 'no', 'mistral']"
67,"['d3_51_entertainment', 6012, 0, 0, 'no', 'meta']"
68,"['d3_51_entertainment', 6012, 0, 0, 'no', 'openai']"
69,"['d3_51_entertainment', 5208, 0, 0, 'no', 'openai']"
70,"['d3_51_entertainment', 5208, 0, 0, 'no', 'mistral']"
71,"['d3_51_entertainment', 5208, 0, 0, 'no', 'meta']"
72,"['d3_51_entertainment', 2538, 0, 0, 'no', 'mistral']"
73,"['d3_51_entertainment', 2538, 0, 0, 'no', 'meta']"
74,"['d3_51_entertainment', 2538, 0, 0, 'no', 'openai']"
75,"['d3_51_entertainment', 1160, 0, 0, 'no', 'meta']"
76,"['d3_51_entertainment', 1160, 0, 0, 'no', 'openai']"
77,"['d3_51_entertainment', 1160, 0, 0, 'no', 'mistral']"
78,"['d3_51_entertainment', 7141, 0, 0, 'no', 'openai']"
79,"['d3_51_entertainment', 7141, 0, 0, 'no', 'meta']"
80,"['d3_51_entertainment', 7141, 0, 0, 'no', 'mistral']"
81,"['d3_51_entertainment', 2511, 0, 1, 'yes', 'openai']"
82,"['d3_51_entertainment', 2511, 0, 1, 'yes', 'meta']"
83,"['d3_51_entertainment', 2511, 0, 0, 'no', 'mistral']"
84,"['d3_51_entertainment', 691, 1, 1, 'yes', 'mistral']"
85,"['d3_51_entertainment', 691, 1, 1, 'yes', 'meta']"
86,"['d3_51_entertainment', 691, 1, 1, 'yes', 'openai']"
87,"['d3_51_entertainment', 721, 1, 1, 'yes', 'meta']"
88,"['d3_51_entertainment', 721, 1, 1, 'yes', 'openai']"
89,"['d3_51_entertainment', 721, 1, 1, 'yes', 'mistral']"
90,"['d3_51_entertainment', 6323, 0, 0, 'no', 'openai']"
91,"['d3_51_entertainment', 6323, 0, 0, 'no', 'mistral']"
92,"['d3_51_entertainment', 6323, 0, 0, 'no', 'meta']"
93,"['d3_51_entertainment', 4504, 0, 0, 'no', 'meta']"
94,"['d3_51_entertainment', 4504, 0, 0, 'no', 'openai']"
95,"['d3_51_entertainment', 4504, 0, 0, 'no', 'mistral']"
96,"['d3_51_entertainment', 6021, 0, 1, 'yes', 'openai']"
97,"['d3_51_entertainment', 6021, 0, 1, 'yes', 'meta']"
98,"['d3_51_entertainment', 6021, 0, 1, 'yes', 'mistral']"
99,"['d3_51_entertainment', 5444, 0, 0, 'no', 'mistral']"
100,"['d3_51_entertainment', 5444, 0, 0, 'no', 'meta']"
101,"['d3_51_entertainment', 5444, 0, 0, 'no', 'openai']"
102,"['d3_51_entertainment', 4000, 0, 0, 'no', 'mistral']"
103,"['d3_51_entertainment', 4000, 0, 0, 'no', 'meta']"
104,"['d3_51_entertainment', 4000, 0, 0, 'no', 'openai']"
105,"['d3_51_entertainment', 7260, 0, 0, 'no', 'mistral']"
106,"['d3_51_entertainment', 7260, 0, 0, 'no', 'meta']"
107,"['d3_51_entertainment', 7260, 0, 0, 'no', 'openai']"
108,"['d3_51_entertainment', 2824, 0, 0, 'no', 'openai']"
109,"['d3_51_entertainment', 2824, 0, 0, 'no', 'mistral']"
110,"['d3_51_entertainment', 2824, 0, 0, 'no', 'meta']"
111,"['d3_51_entertainment', 4118, 0, 0, 'no', 'mistral']"
112,"['d3_51_entertainment', 4118, 0, 0, 'no', 'meta']"
113,"['d3_51_entertainment', 4118, 0, 1, 'yes', 'openai']"
114,"['d3_51_entertainment', 6188, 0, 0, 'no', 'openai']"
115,"['d3_51_entertainment', 6188, 0, 0, 'no', 'mistral']"
116,"['d3_51_entertainment', 6188, 0, 0, 'no', 'meta']"
117,"['d3_51_entertainment', 4614, 0, 0, 'no', 'mistral']"
118,"['d3_51_entertainment', 4614, 0, 0, 'no', 'meta']"
119,"['d3_51_entertainment', 4614, 0, 0, 'no', 'openai']"
120,"['d3_51_entertainment', 6429, 0, 0, 'no', 'meta']"
121,"['d3_51_entertainment', 6429, 0, 1, 'yes', 'openai']"
122,"['d3_51_entertainment', 6429, 0, 0, 'no', 'mistral']"
123,"['d3_51_entertainment', 4307, 0, 0, 'no', 'mistral']"
124,"['d3_51_entertainment', 4307, 0, 1, 'yes', 'meta']"
125,"['d3_51_entertainment', 4307, 0, 0, 'no', 'openai']"
126,"['d3_51_entertainment', 5256, 0, 0, 'no', 'mistral']"
127,"['d3_51_entertainment', 5256, 0, 0, 'no', 'meta']"
128,"['d3_51_entertainment', 5256, 0, 0, 'no', 'openai']"
129,"['d3_51_entertainment', 341, 1, 1, 'yes', 'mistral']"
130,"['d3_51_entertainment', 341, 1, 1, 'yes', 'meta']"
131,"['d3_51_entertainment', 341, 1, 1, 'yes', 'openai']"
132,"['d3_51_entertainment', 1700, 0, 0, 'no', 'meta']"
133,"['d3_51_entertainment', 1700, 0, 0, 'no', 'openai']"
134,"['d3_51_entertainment', 1700, 0, 0, 'no', 'mistral']"
135,"['d3_51_entertainment', 2159, 0, 0, 'no', 'mistral']"
136,"['d3_51_entertainment', 2159, 0, 0, 'no', 'meta']"
137,"['d3_51_entertainment', 2159, 0, 0, 'no', 'openai']"
138,"['d3_51_entertainment', 595, 1, 1, 'yes', 'mistral']"
139,"['d3_51_entertainment', 595, 1, 1, 'yes', 'meta']"
140,"['d3_51_entertainment', 595, 1, 1, 'yes', 'openai']"
141,"['d3_51_entertainment', 1736, 0, 1, 'yes', 'openai']"
142,"['d3_51_entertainment', 1736, 0, 0, 'no', 'mistral']"
143,"['d3_51_entertainment', 1736, 0, 0, 'no', 'meta']"
144,"['d3_51_entertainment', 753, 1, 1, 'yes', 'openai']"
145,"['d3_51_entertainment', 753, 1, 1, 'yes', 'mistral']"
146,"['d3_51_entertainment', 753, 1, 1, 'yes', 'meta']"
147,"['d3_51_entertainment', 2073, 0, 0, 'no', 'openai']"
148,"['d3_51_entertainment', 2073, 0, 0, 'no', 'meta']"
149,"['d3_51_entertainment', 2073, 0, 0, 'no', 'mistral']"
150,"['d3_51_entertainment', 4742, 0, 1, 'yes', 'openai']"
