,0
0,task
1,idx
2,true_label
3,pred_label
4,answer
5,model
6,"['d3_10_infrastructure', 1703, 0, 0, 'no', 'mistral']"
7,"['d3_10_infrastructure', 1703, 0, 0, 'no', 'meta']"
8,"['d3_10_infrastructure', 1703, 0, 0, 'no', 'openai']"
9,"['d3_10_infrastructure', 1703, 0, 0, 'no', 'gpt4']"
10,"['d3_10_infrastructure', 66, 1, 1, 'yes', 'openai']"
11,"['d3_10_infrastructure', 66, 1, 1, 'yes', 'mistral']"
12,"['d3_10_infrastructure', 66, 1, 1, 'yes', 'meta']"
13,"['d3_10_infrastructure', 66, 1, 1, 'yes', 'gpt4']"
14,"['d3_10_infrastructure', 732, 0, 0, 'no', 'mistral']"
15,"['d3_10_infrastructure', 732, 0, 0, 'no', 'meta']"
16,"['d3_10_infrastructure', 732, 0, 0, 'no', 'openai']"
17,"['d3_10_infrastructure', 732, 0, 0, 'no', 'gpt4']"
18,"['d3_10_infrastructure', 594, 0, 0, 'no', 'openai']"
19,"['d3_10_infrastructure', 594, 0, 0, 'no', 'mistral']"
20,"['d3_10_infrastructure', 594, 0, 0, 'no', 'meta']"
21,"['d3_10_infrastructure', 594, 0, 0, 'no', 'gpt4']"
22,"['d3_10_infrastructure', 1961, 0, 1, 'yes', 'mistral']"
23,"['d3_10_infrastructure', 1961, 0, 1, 'yes', 'meta']"
24,"['d3_10_infrastructure', 1961, 0, 1, 'yes', 'openai']"
25,"['d3_10_infrastructure', 1961, 0, 1, 'yes', 'gpt4']"
26,"['d3_10_infrastructure', 1802, 0, 0, 'no', 'openai']"
27,"['d3_10_infrastructure', 1802, 0, 0, 'no', 'mistral']"
28,"['d3_10_infrastructure', 1802, 0, 0, 'no', 'meta']"
29,"['d3_10_infrastructure', 1802, 0, 0, 'no', 'gpt4']"
30,"['d3_10_infrastructure', 2376, 0, 1, 'yes', 'mistral']"
31,"['d3_10_infrastructure', 2376, 0, 1, 'yes', 'meta']"
32,"['d3_10_infrastructure', 2376, 0, 1, 'yes', 'openai']"
33,"['d3_10_infrastructure', 2376, 0, 1, 'yes', 'gpt4']"
34,"['d3_10_infrastructure', 231, 0, 0, 'no', 'openai']"
35,"['d3_10_infrastructure', 231, 0, 1, 'yes', 'meta']"
36,"['d3_10_infrastructure', 231, 0, 0, 'no', 'mistral']"
37,"['d3_10_infrastructure', 231, 0, 0, 'no', 'gpt4']"
38,"['d3_10_infrastructure', 1123, 0, 0, 'no', 'meta']"
39,"['d3_10_infrastructure', 1123, 0, 0, 'no', 'openai']"
40,"['d3_10_infrastructure', 1123, 0, 0, 'no', 'mistral']"
41,"['d3_10_infrastructure', 1123, 0, 0, 'no', 'gpt4']"
42,"['d3_10_infrastructure', 79, 1, 0, 'no', 'openai']"
43,"['d3_10_infrastructure', 79, 1, 0, 'no', 'meta']"
44,"['d3_10_infrastructure', 79, 1, 0, 'no', 'mistral']"
45,"['d3_10_infrastructure', 79, 1, 0, 'no', 'gpt4']"
46,"['d3_10_infrastructure', 582, 0, 1, 'yes', 'openai']"
47,"['d3_10_infrastructure', 582, 0, 1, 'yes', 'mistral']"
48,"['d3_10_infrastructure', 582, 0, 1, 'yes', 'meta']"
49,"['d3_10_infrastructure', 582, 0, 1, 'yes', 'gpt4']"
50,"['d3_10_infrastructure', 1346, 0, 1, 'yes', 'openai']"
51,"['d3_10_infrastructure', 1346, 0, 1, 'yes', 'mistral']"
52,"['d3_10_infrastructure', 1346, 0, 1, 'yes', 'meta']"
53,"['d3_10_infrastructure', 1346, 0, 1, 'yes', 'gpt4']"
54,"['d3_10_infrastructure', 70, 1, 1, 'yes', 'openai']"
55,"['d3_10_infrastructure', 70, 1, 1, 'yes', 'mistral']"
56,"['d3_10_infrastructure', 70, 1, 1, 'yes', 'meta']"
57,"['d3_10_infrastructure', 70, 1, 1, 'yes', 'gpt4']"
58,"['d3_10_infrastructure', 529, 0, 1, 'yes', 'mistral']"
59,"['d3_10_infrastructure', 529, 0, 1, 'yes', 'meta']"
60,"['d3_10_infrastructure', 529, 0, 1, 'yes', 'openai']"
61,"['d3_10_infrastructure', 529, 0, 1, 'yes', 'gpt4']"
62,"['d3_10_infrastructure', 1731, 0, 0, 'no', 'mistral']"
63,"['d3_10_infrastructure', 1731, 0, 0, 'no', 'meta']"
64,"['d3_10_infrastructure', 1731, 0, 0, 'no', 'openai']"
65,"['d3_10_infrastructure', 1731, 0, 0, 'no', 'gpt4']"
66,"['d3_10_infrastructure', 1451, 0, 0, 'no', 'openai']"
67,"['d3_10_infrastructure', 1451, 0, 0, 'no', 'meta']"
68,"['d3_10_infrastructure', 1451, 0, 0, 'no', 'mistral']"
69,"['d3_10_infrastructure', 1451, 0, 0, 'no', 'gpt4']"
70,"['d3_10_infrastructure', 587, 0, 0, 'no', 'openai']"
71,"['d3_10_infrastructure', 587, 0, 0, 'no', 'mistral']"
72,"['d3_10_infrastructure', 587, 0, 0, 'no', 'meta']"
73,"['d3_10_infrastructure', 587, 0, 0, 'no', 'gpt4']"
74,"['d3_10_infrastructure', 1569, 0, 0, 'no', 'openai']"
75,"['d3_10_infrastructure', 1569, 0, 1, 'yes', 'meta']"
76,"['d3_10_infrastructure', 1569, 0, 0, 'no', 'mistral']"
77,"['d3_10_infrastructure', 1569, 0, 1, 'yes', 'gpt4']"
78,"['d3_10_infrastructure', 2156, 0, 0, 'no', 'meta']"
79,"['d3_10_infrastructure', 2156, 0, 0, 'no', 'openai']"
80,"['d3_10_infrastructure', 2156, 0, 0, 'no', 'mistral']"
81,"['d3_10_infrastructure', 2156, 0, 0, 'no', 'gpt4']"
82,"['d3_10_infrastructure', 17, 1, 0, 'no', 'openai']"
83,"['d3_10_infrastructure', 17, 1, 0, 'no', 'meta']"
84,"['d3_10_infrastructure', 17, 1, 1, 'yes', 'mistral']"
85,"['d3_10_infrastructure', 17, 1, 1, 'yes', 'gpt4']"
