,0
0,task
1,idx
2,true_label
3,pred_label
4,answer
5,model
6,"['d3_6_terorrism', 1688, 0, 0, 'no', 'mistral']"
7,"['d3_6_terorrism', 1688, 0, 0, 'no', 'meta']"
8,"['d3_6_terorrism', 1688, 0, 0, 'the', 'openai']"
9,"['d3_6_terorrism', 66, 1, 1, 'yes', 'openai']"
10,"['d3_6_terorrism', 66, 1, 1, 'yes', 'meta']"
11,"['d3_6_terorrism', 66, 1, 1, 'yes', 'mistral']"
12,"['d3_6_terorrism', 726, 0, 0, 'no', 'mistral']"
13,"['d3_6_terorrism', 726, 0, 0, 'no', 'meta']"
14,"['d3_6_terorrism', 726, 0, 0, 'no', 'openai']"
15,"['d3_6_terorrism', 589, 0, 0, 'no', 'meta']"
16,"['d3_6_terorrism', 589, 0, 0, 'no', 'openai']"
17,"['d3_6_terorrism', 589, 0, 0, 'no', 'mistral']"
18,"['d3_6_terorrism', 1944, 0, 0, 'no', 'mistral']"
19,"['d3_6_terorrism', 1944, 0, 0, 'no', 'meta']"
20,"['d3_6_terorrism', 1944, 0, 0, 'no', 'openai']"
21,"['d3_6_terorrism', 1786, 0, 0, 'no', 'mistral']"
22,"['d3_6_terorrism', 1786, 0, 0, 'no', 'meta']"
23,"['d3_6_terorrism', 1786, 0, 0, 'no', 'openai']"
24,"['d3_6_terorrism', 2355, 0, 0, 'no', 'openai']"
25,"['d3_6_terorrism', 2355, 0, 0, 'no', 'mistral']"
26,"['d3_6_terorrism', 2355, 0, 0, 'no', 'meta']"
27,"['d3_6_terorrism', 229, 0, 0, 'no', 'openai']"
28,"['d3_6_terorrism', 229, 0, 0, 'no', 'meta']"
29,"['d3_6_terorrism', 229, 0, 0, 'no', 'mistral']"
30,"['d3_6_terorrism', 1113, 0, 0, 'no', 'openai']"
31,"['d3_6_terorrism', 1113, 0, 0, 'no', 'mistral']"
32,"['d3_6_terorrism', 1113, 0, 0, 'no', 'meta']"
33,"['d3_6_terorrism', 78, 1, 0, 'no', 'meta']"
34,"['d3_6_terorrism', 78, 1, 1, 'yes', 'openai']"
35,"['d3_6_terorrism', 78, 1, 0, 'no', 'mistral']"
36,"['d3_6_terorrism', 577, 0, 0, 'no', 'meta']"
37,"['d3_6_terorrism', 577, 0, 0, 'no', 'openai']"
38,"['d3_6_terorrism', 577, 0, 0, 'no', 'mistral']"
39,"['d3_6_terorrism', 1334, 0, 0, 'no', 'meta']"
40,"['d3_6_terorrism', 1334, 0, 0, 'no', 'openai']"
41,"['d3_6_terorrism', 1334, 0, 0, 'no', 'mistral']"
42,"['d3_6_terorrism', 70, 1, 1, 'yes', 'mistral']"
43,"['d3_6_terorrism', 70, 1, 1, 'yes', 'meta']"
44,"['d3_6_terorrism', 70, 1, 1, 'yes', 'openai']"
45,"['d3_6_terorrism', 524, 0, 0, 'no', 'openai']"
46,"['d3_6_terorrism', 524, 0, 0, 'no', 'meta']"
47,"['d3_6_terorrism', 524, 0, 0, 'no', 'mistral']"
48,"['d3_6_terorrism', 1715, 0, 0, 'no', 'openai']"
49,"['d3_6_terorrism', 1715, 0, 0, 'no', 'meta']"
50,"['d3_6_terorrism', 1715, 0, 0, 'no', 'mistral']"
51,"['d3_6_terorrism', 1438, 0, 0, 'no', 'meta']"
52,"['d3_6_terorrism', 1438, 0, 0, 'no', 'openai']"
53,"['d3_6_terorrism', 1438, 0, 0, 'no', 'mistral']"
54,"['d3_6_terorrism', 581, 0, 0, 'no', 'openai']"
55,"['d3_6_terorrism', 581, 0, 0, 'no', 'meta']"
56,"['d3_6_terorrism', 581, 0, 0, 'no', 'mistral']"
57,"['d3_6_terorrism', 1555, 0, 0, 'no', 'meta']"
58,"['d3_6_terorrism', 1555, 0, 0, 'no', 'openai']"
59,"['d3_6_terorrism', 1555, 0, 0, 'no', 'mistral']"
60,"['d3_6_terorrism', 2136, 0, 0, 'no', 'mistral']"
61,"['d3_6_terorrism', 2136, 0, 0, 'no', 'meta']"
62,"['d3_6_terorrism', 2136, 0, 0, 'no', 'openai']"
63,"['d3_6_terorrism', 17, 1, 1, 'yes', 'openai']"
64,"['d3_6_terorrism', 17, 1, 1, 'yes', 'mistral']"
65,"['d3_6_terorrism', 17, 1, 1, 'yes', 'meta']"
66,"['d3_6_terorrism', 2127, 0, 0, 'no', 'openai']"
67,"['d3_6_terorrism', 2127, 0, 0, 'no', 'mistral']"
68,"['d3_6_terorrism', 2127, 0, 0, 'no', 'meta']"
69,"['d3_6_terorrism', 1843, 0, 0, 'no', 'openai']"
70,"['d3_6_terorrism', 1843, 0, 0, 'no', 'meta']"
71,"['d3_6_terorrism', 1843, 0, 0, 'no', 'mistral']"
72,"['d3_6_terorrism', 898, 0, 1, 'yes', 'openai']"
73,"['d3_6_terorrism', 898, 0, 0, 'no', 'mistral']"
74,"['d3_6_terorrism', 898, 0, 0, 'no', 'meta']"
75,"['d3_6_terorrism', 410, 0, 0, 'no', 'mistral']"
76,"['d3_6_terorrism', 410, 0, 0, 'no', 'meta']"
77,"['d3_6_terorrism', 410, 0, 0, 'no', 'openai']"
78,"['d3_6_terorrism', 2527, 0, 0, 'no', 'openai']"
79,"['d3_6_terorrism', 2527, 0, 0, 'no', 'meta']"
80,"['d3_6_terorrism', 2527, 0, 0, 'no', 'mistral']"
81,"['d3_6_terorrism', 888, 0, 0, 'no', 'mistral']"
82,"['d3_6_terorrism', 888, 0, 0, 'no', 'meta']"
83,"['d3_6_terorrism', 888, 0, 0, 'no', 'openai']"
84,"['d3_6_terorrism', 244, 0, 0, 'no', 'openai']"
85,"['d3_6_terorrism', 244, 0, 0, 'no', 'mistral']"
86,"['d3_6_terorrism', 244, 0, 0, 'no', 'meta']"
87,"['d3_6_terorrism', 255, 0, 0, 'no', 'mistral']"
88,"['d3_6_terorrism', 255, 0, 0, 'no', 'meta']"
89,"['d3_6_terorrism', 255, 0, 0, 'no', 'openai']"
90,"['d3_6_terorrism', 2237, 0, 0, 'no', 'openai']"
91,"['d3_6_terorrism', 2237, 0, 0, 'no', 'meta']"
92,"['d3_6_terorrism', 2237, 0, 0, 'no', 'mistral']"
93,"['d3_6_terorrism', 1593, 0, 0, 'no', 'mistral']"
94,"['d3_6_terorrism', 1593, 0, 0, 'no', 'meta']"
95,"['d3_6_terorrism', 1593, 0, 0, 'no', 'openai']"
96,"['d3_6_terorrism', 2130, 0, 0, 'no', 'openai']"
97,"['d3_6_terorrism', 2130, 0, 0, 'no', 'meta']"
98,"['d3_6_terorrism', 2130, 0, 1, 'yes', 'mistral']"
99,"['d3_6_terorrism', 1926, 0, 0, 'no', 'mistral']"
100,"['d3_6_terorrism', 1926, 0, 0, 'no', 'meta']"
101,"['d3_6_terorrism', 1926, 0, 0, 'no', 'openai']"
102,"['d3_6_terorrism', 1415, 0, 0, 'no', 'mistral']"
103,"['d3_6_terorrism', 1415, 0, 0, 'no', 'meta']"
104,"['d3_6_terorrism', 1415, 0, 0, 'no', 'openai']"
105,"['d3_6_terorrism', 2569, 0, 0, 'no', 'openai']"
106,"['d3_6_terorrism', 2569, 0, 0, 'no', 'meta']"
107,"['d3_6_terorrism', 2569, 0, 0, 'no', 'mistral']"
108,"['d3_6_terorrism', 999, 0, 0, 'no', 'mistral']"
109,"['d3_6_terorrism', 999, 0, 0, 'no', 'meta']"
110,"['d3_6_terorrism', 999, 0, 0, 'no', 'openai']"
111,"['d3_6_terorrism', 1457, 0, 0, 'no', 'meta']"
112,"['d3_6_terorrism', 1457, 0, 0, 'no', 'openai']"
113,"['d3_6_terorrism', 1457, 0, 0, 'no', 'mistral']"
114,"['d3_6_terorrism', 2189, 0, 0, 'no', 'meta']"
115,"['d3_6_terorrism', 2189, 0, 0, 'no', 'openai']"
116,"['d3_6_terorrism', 2189, 0, 0, 'no', 'mistral']"
117,"['d3_6_terorrism', 1632, 0, 0, 'no', 'openai']"
118,"['d3_6_terorrism', 1632, 0, 0, 'no', 'meta']"
119,"['d3_6_terorrism', 1632, 0, 0, 'no', 'mistral']"
120,"['d3_6_terorrism', 2274, 0, 1, 'yes', 'openai']"
121,"['d3_6_terorrism', 2274, 0, 1, 'yes', 'meta']"
122,"['d3_6_terorrism', 2274, 0, 1, 'yes', 'mistral']"
123,"['d3_6_terorrism', 1524, 0, 0, 'no', 'mistral']"
124,"['d3_6_terorrism', 1524, 0, 0, 'no', 'meta']"
125,"['d3_6_terorrism', 1524, 0, 0, 'no', 'openai']"
126,"['d3_6_terorrism', 1860, 0, 0, 'no', 'openai']"
127,"['d3_6_terorrism', 1860, 0, 0, 'no', 'mistral']"
128,"['d3_6_terorrism', 1860, 0, 0, 'no', 'meta']"
129,"['d3_6_terorrism', 120, 1, 1, 'yes', 'mistral']"
130,"['d3_6_terorrism', 120, 1, 1, 'yes', 'meta']"
131,"['d3_6_terorrism', 120, 1, 1, 'yes', 'openai']"
132,"['d3_6_terorrism', 601, 0, 1, 'yes', 'openai']"
133,"['d3_6_terorrism', 601, 0, 1, 'yes', 'meta']"
134,"['d3_6_terorrism', 601, 0, 1, 'yes', 'mistral']"
135,"['d3_6_terorrism', 763, 0, 0, 'no', 'openai']"
136,"['d3_6_terorrism', 763, 0, 0, 'no', 'meta']"
137,"['d3_6_terorrism', 763, 0, 0, 'no', 'mistral']"
138,"['d3_6_terorrism', 210, 0, 0, 'no', 'mistral']"
139,"['d3_6_terorrism', 210, 0, 0, 'no', 'meta']"
140,"['d3_6_terorrism', 210, 0, 0, 'no', 'openai']"
141,"['d3_6_terorrism', 614, 0, 0, 'no', 'openai']"
142,"['d3_6_terorrism', 614, 0, 0, 'no', 'meta']"
143,"['d3_6_terorrism', 614, 0, 0, 'no', 'mistral']"
144,"['d3_6_terorrism', 266, 0, 0, 'no', 'mistral']"
145,"['d3_6_terorrism', 266, 0, 0, 'no', 'meta']"
146,"['d3_6_terorrism', 266, 0, 0, 'no', 'openai']"
147,"['d3_6_terorrism', 733, 0, 0, 'no', 'openai']"
148,"['d3_6_terorrism', 733, 0, 0, 'no', 'mistral']"
149,"['d3_6_terorrism', 733, 0, 0, 'no', 'meta']"
150,"['d3_6_terorrism', 1678, 0, 0, 'no', 'openai']"
151,"['d3_6_terorrism', 1678, 0, 0, 'no', 'meta']"
152,"['d3_6_terorrism', 1678, 0, 0, 'no', 'mistral']"
