,0
0,task
1,idx
2,true_label
3,pred_label
4,answer
5,model
6,"['d3_2_subjective', 484, 0, 1, 'yes', 'meta']"
7,"['d3_2_subjective', 484, 0, 1, 'yes', 'openai']"
8,"['d3_2_subjective', 484, 0, 1, 'yes', 'mistral']"
9,"['d3_2_subjective', 18, 1, 1, 'yes', 'meta']"
10,"['d3_2_subjective', 18, 1, 1, 'yes', 'openai']"
11,"['d3_2_subjective', 18, 1, 1, 'yes', 'mistral']"
12,"['d3_2_subjective', 208, 1, 1, 'yes', 'mistral']"
13,"['d3_2_subjective', 208, 1, 1, 'yes', 'meta']"
14,"['d3_2_subjective', 208, 1, 1, 'yes', 'openai']"
15,"['d3_2_subjective', 168, 1, 1, 'yes', 'openai']"
16,"['d3_2_subjective', 168, 1, 1, 'yes', 'meta']"
17,"['d3_2_subjective', 168, 1, 1, 'yes', 'mistral']"
18,"['d3_2_subjective', 557, 0, 1, 'yes', 'openai']"
19,"['d3_2_subjective', 557, 0, 0, 'no', 'meta']"
20,"['d3_2_subjective', 557, 0, 1, 'yes', 'mistral']"
21,"['d3_2_subjective', 512, 0, 1, 'yes', 'openai']"
22,"['d3_2_subjective', 512, 0, 0, 'no', 'meta']"
23,"['d3_2_subjective', 512, 0, 1, 'yes', 'mistral']"
24,"['d3_2_subjective', 675, 0, 1, 'yes', 'openai']"
25,"['d3_2_subjective', 675, 0, 0, 'no', 'meta']"
26,"['d3_2_subjective', 675, 0, 0, 'no', 'mistral']"
27,"['d3_2_subjective', 65, 1, 1, 'yes', 'meta']"
28,"['d3_2_subjective', 65, 1, 1, 'yes', 'openai']"
29,"['d3_2_subjective', 65, 1, 1, 'yes', 'mistral']"
30,"['d3_2_subjective', 319, 1, 1, 'yes', 'openai']"
31,"['d3_2_subjective', 319, 1, 1, 'yes', 'meta']"
32,"['d3_2_subjective', 319, 1, 1, 'yes', 'mistral']"
33,"['d3_2_subjective', 22, 1, 1, 'yes', 'openai']"
34,"['d3_2_subjective', 22, 1, 1, 'yes', 'meta']"
35,"['d3_2_subjective', 22, 1, 1, 'yes', 'mistral']"
36,"['d3_2_subjective', 165, 1, 1, 'yes', 'meta']"
37,"['d3_2_subjective', 165, 1, 1, 'yes', 'openai']"
38,"['d3_2_subjective', 165, 1, 1, 'yes', 'mistral']"
39,"['d3_2_subjective', 382, 0, 1, 'yes', 'openai']"
40,"['d3_2_subjective', 382, 0, 0, 'no', 'meta']"
41,"['d3_2_subjective', 382, 0, 0, 'no', 'mistral']"
42,"['d3_2_subjective', 20, 1, 1, 'yes', 'mistral']"
43,"['d3_2_subjective', 20, 1, 1, 'yes', 'meta']"
44,"['d3_2_subjective', 20, 1, 1, 'yes', 'openai']"
45,"['d3_2_subjective', 150, 1, 1, 'yes', 'mistral']"
46,"['d3_2_subjective', 150, 1, 1, 'yes', 'meta']"
47,"['d3_2_subjective', 150, 1, 1, 'yes', 'openai']"
48,"['d3_2_subjective', 491, 0, 1, 'yes', 'openai']"
49,"['d3_2_subjective', 491, 0, 1, 'yes', 'meta']"
50,"['d3_2_subjective', 491, 0, 1, 'yes', 'mistral']"
51,"['d3_2_subjective', 412, 0, 1, 'yes', 'openai']"
52,"['d3_2_subjective', 412, 0, 0, 'no', 'mistral']"
53,"['d3_2_subjective', 412, 0, 0, 'no', 'meta']"
54,"['d3_2_subjective', 166, 1, 1, 'yes', 'openai']"
55,"['d3_2_subjective', 166, 1, 1, 'yes', 'mistral']"
56,"['d3_2_subjective', 166, 1, 1, 'yes', 'meta']"
57,"['d3_2_subjective', 446, 0, 1, 'yes', 'mistral']"
58,"['d3_2_subjective', 446, 0, 0, 'no', 'meta']"
59,"['d3_2_subjective', 446, 0, 1, 'yes', 'openai']"
60,"['d3_2_subjective', 612, 0, 1, 'yes', 'openai']"
61,"['d3_2_subjective', 612, 0, 1, 'yes', 'meta']"
62,"['d3_2_subjective', 612, 0, 1, 'yes', 'mistral']"
63,"['d3_2_subjective', 4, 1, 1, 'yes', 'openai']"
64,"['d3_2_subjective', 4, 1, 1, 'yes', 'meta']"
65,"['d3_2_subjective', 4, 1, 1, 'yes', 'mistral']"
66,"['d3_2_subjective', 610, 0, 1, 'yes', 'meta']"
67,"['d3_2_subjective', 610, 0, 1, 'yes', 'openai']"
68,"['d3_2_subjective', 610, 0, 1, 'yes', 'mistral']"
69,"['d3_2_subjective', 528, 0, 1, 'yes', 'mistral']"
70,"['d3_2_subjective', 528, 0, 1, 'yes', 'meta']"
71,"['d3_2_subjective', 528, 0, 1, 'yes', 'openai']"
72,"['d3_2_subjective', 257, 1, 1, 'yes', 'openai']"
73,"['d3_2_subjective', 257, 1, 1, 'yes', 'meta']"
74,"['d3_2_subjective', 257, 1, 1, 'yes', 'mistral']"
75,"['d3_2_subjective', 117, 1, 1, 'yes', 'openai']"
76,"['d3_2_subjective', 117, 1, 1, 'yes', 'meta']"
77,"['d3_2_subjective', 117, 1, 1, 'yes', 'mistral']"
78,"['d3_2_subjective', 724, 0, 1, 'yes', 'mistral']"
79,"['d3_2_subjective', 724, 0, 0, 'no', 'meta']"
80,"['d3_2_subjective', 724, 0, 1, 'yes', 'openai']"
81,"['d3_2_subjective', 254, 1, 1, 'yes', 'mistral']"
82,"['d3_2_subjective', 254, 1, 1, 'yes', 'meta']"
83,"['d3_2_subjective', 254, 1, 1, 'yes', 'openai']"
84,"['d3_2_subjective', 70, 1, 1, 'yes', 'openai']"
85,"['d3_2_subjective', 70, 1, 1, 'yes', 'meta']"
86,"['d3_2_subjective', 70, 1, 1, 'yes', 'mistral']"
87,"['d3_2_subjective', 73, 1, 1, 'yes', 'mistral']"
88,"['d3_2_subjective', 73, 1, 1, 'yes', 'meta']"
89,"['d3_2_subjective', 73, 1, 1, 'yes', 'openai']"
90,"['d3_2_subjective', 641, 0, 0, 'no', 'mistral']"
91,"['d3_2_subjective', 641, 0, 0, 'no', 'meta']"
92,"['d3_2_subjective', 641, 0, 1, 'yes', 'openai']"
93,"['d3_2_subjective', 457, 0, 1, 'yes', 'meta']"
94,"['d3_2_subjective', 457, 0, 1, 'yes', 'openai']"
95,"['d3_2_subjective', 457, 0, 1, 'yes', 'mistral']"
96,"['d3_2_subjective', 610, 0, 1, 'yes', 'mistral']"
97,"['d3_2_subjective', 610, 0, 1, 'yes', 'meta']"
98,"['d3_2_subjective', 610, 0, 1, 'yes', 'openai']"
99,"['d3_2_subjective', 552, 0, 1, 'yes', 'openai']"
100,"['d3_2_subjective', 552, 0, 1, 'yes', 'mistral']"
101,"['d3_2_subjective', 552, 0, 1, 'yes', 'meta']"
102,"['d3_2_subjective', 405, 0, 1, 'yes', 'mistral']"
103,"['d3_2_subjective', 405, 0, 0, 'no', 'meta']"
104,"['d3_2_subjective', 405, 0, 1, 'yes', 'openai']"
105,"['d3_2_subjective', 736, 0, 1, 'yes', 'openai']"
106,"['d3_2_subjective', 736, 0, 1, 'yes', 'mistral']"
107,"['d3_2_subjective', 736, 0, 0, 'no', 'meta']"
108,"['d3_2_subjective', 286, 1, 1, 'yes', 'meta']"
109,"['d3_2_subjective', 286, 1, 1, 'yes', 'openai']"
110,"['d3_2_subjective', 286, 1, 1, 'yes', 'mistral']"
111,"['d3_2_subjective', 417, 0, 0, 'no', 'mistral']"
112,"['d3_2_subjective', 417, 0, 0, 'no', 'meta']"
113,"['d3_2_subjective', 417, 0, 1, 'yes', 'openai']"
114,"['d3_2_subjective', 627, 0, 1, 'yes', 'mistral']"
115,"['d3_2_subjective', 627, 0, 0, 'no', 'meta']"
116,"['d3_2_subjective', 627, 0, 1, 'yes', 'openai']"
117,"['d3_2_subjective', 468, 0, 1, 'yes', 'mistral']"
118,"['d3_2_subjective', 468, 0, 0, 'no', 'meta']"
119,"['d3_2_subjective', 468, 0, 1, 'yes', 'openai']"
120,"['d3_2_subjective', 652, 0, 1, 'yes', 'openai']"
121,"['d3_2_subjective', 652, 0, 0, 'no', 'mistral']"
122,"['d3_2_subjective', 652, 0, 0, 'no', 'meta']"
123,"['d3_2_subjective', 437, 0, 1, 'yes', 'openai']"
124,"['d3_2_subjective', 437, 0, 1, 'yes', 'mistral']"
125,"['d3_2_subjective', 437, 0, 1, 'yes', 'meta']"
126,"['d3_2_subjective', 533, 0, 1, 'yes', 'openai']"
127,"['d3_2_subjective', 533, 0, 1, 'yes', 'meta']"
128,"['d3_2_subjective', 533, 0, 1, 'yes', 'mistral']"
129,"['d3_2_subjective', 34, 1, 1, 'yes', 'mistral']"
130,"['d3_2_subjective', 34, 1, 1, 'yes', 'meta']"
131,"['d3_2_subjective', 34, 1, 1, 'yes', 'openai']"
132,"['d3_2_subjective', 172, 1, 1, 'yes', 'mistral']"
133,"['d3_2_subjective', 172, 1, 1, 'yes', 'meta']"
134,"['d3_2_subjective', 172, 1, 1, 'yes', 'openai']"
135,"['d3_2_subjective', 219, 1, 1, 'yes', 'mistral']"
136,"['d3_2_subjective', 219, 1, 1, 'yes', 'meta']"
137,"['d3_2_subjective', 219, 1, 1, 'yes', 'openai']"
138,"['d3_2_subjective', 60, 1, 1, 'yes', 'openai']"
139,"['d3_2_subjective', 60, 1, 1, 'yes', 'meta']"
140,"['d3_2_subjective', 60, 1, 1, 'yes', 'mistral']"
141,"['d3_2_subjective', 176, 1, 1, 'yes', 'openai']"
142,"['d3_2_subjective', 176, 1, 1, 'yes', 'mistral']"
143,"['d3_2_subjective', 176, 1, 1, 'yes', 'meta']"
144,"['d3_2_subjective', 76, 1, 1, 'yes', 'meta']"
145,"['d3_2_subjective', 76, 1, 1, 'yes', 'openai']"
146,"['d3_2_subjective', 76, 1, 1, 'yes', 'mistral']"
147,"['d3_2_subjective', 210, 1, 1, 'yes', 'meta']"
148,"['d3_2_subjective', 210, 1, 1, 'yes', 'openai']"
149,"['d3_2_subjective', 210, 1, 1, 'yes', 'mistral']"
150,"['d3_2_subjective', 481, 0, 1, 'yes', 'openai']"
151,"['d3_2_subjective', 481, 0, 1, 'yes', 'meta']"
152,"['d3_2_subjective', 481, 0, 1, 'yes', 'mistral']"
153,"['d3_2_subjective', 276, 1, 1, 'yes', 'mistral']"
154,"['d3_2_subjective', 276, 1, 1, 'yes', 'meta']"
155,"['d3_2_subjective', 276, 1, 1, 'yes', 'openai']"
