,0
0,task
1,idx
2,true_label
3,pred_label
4,answer
5,model
6,"['d3_0_irony', 377, 0, 0, 'no', 'openai']"
7,"['d3_0_irony', 377, 0, 0, 'no', 'meta']"
8,"['d3_0_irony', 377, 0, 0, 'no', 'mistral']"
9,"['d3_0_irony', 377, 0, 0, 'no', 'gpt4']"
10,"['d3_0_irony', 14, 1, 1, 'yes', 'meta']"
11,"['d3_0_irony', 14, 1, 0, 'no', 'openai']"
12,"['d3_0_irony', 14, 1, 1, 'yes', 'mistral']"
13,"['d3_0_irony', 14, 1, 1, 'yes', 'gpt4']"
14,"['d3_0_irony', 162, 1, 1, 'yes', 'openai']"
15,"['d3_0_irony', 162, 1, 1, 'yes', 'mistral']"
16,"['d3_0_irony', 162, 1, 1, 'yes', 'meta']"
17,"['d3_0_irony', 162, 1, 1, 'yes', 'gpt4']"
18,"['d3_0_irony', 131, 1, 1, 'yes', 'mistral']"
19,"['d3_0_irony', 131, 1, 1, 'yes', 'meta']"
20,"['d3_0_irony', 131, 1, 1, 'yes', 'openai']"
21,"['d3_0_irony', 131, 1, 1, 'yes', 'gpt4']"
22,"['d3_0_irony', 434, 0, 1, 'yes', 'openai']"
23,"['d3_0_irony', 434, 0, 1, 'yes', 'meta']"
24,"['d3_0_irony', 434, 0, 1, 'yes', 'mistral']"
25,"['d3_0_irony', 434, 0, 1, 'yes', 'gpt4']"
26,"['d3_0_irony', 399, 0, 0, 'no', 'openai']"
27,"['d3_0_irony', 399, 0, 0, 'no', 'meta']"
28,"['d3_0_irony', 399, 0, 0, 'no', 'mistral']"
29,"['d3_0_irony', 399, 0, 0, 'no', 'gpt4']"
30,"['d3_0_irony', 526, 0, 1, 'yes', 'meta']"
31,"['d3_0_irony', 526, 0, 0, 'no', 'openai']"
32,"['d3_0_irony', 526, 0, 0, 'no', 'mistral']"
33,"['d3_0_irony', 526, 0, 0, 'no', 'gpt4']"
34,"['d3_0_irony', 51, 1, 1, 'yes', 'mistral']"
35,"['d3_0_irony', 51, 1, 1, 'yes', 'meta']"
36,"['d3_0_irony', 51, 1, 1, 'yes', 'openai']"
37,"['d3_0_irony', 51, 1, 1, 'yes', 'gpt4']"
38,"['d3_0_irony', 248, 0, 1, 'yes', 'openai']"
39,"['d3_0_irony', 248, 0, 1, 'yes', 'meta']"
40,"['d3_0_irony', 248, 0, 1, 'yes', 'mistral']"
41,"['d3_0_irony', 248, 0, 1, 'yes', 'gpt4']"
42,"['d3_0_irony', 17, 1, 1, 'yes', 'mistral']"
43,"['d3_0_irony', 17, 1, 1, 'yes', 'meta']"
44,"['d3_0_irony', 17, 1, 1, 'yes', 'openai']"
45,"['d3_0_irony', 17, 1, 1, 'yes', 'gpt4']"
46,"['d3_0_irony', 128, 1, 1, 'yes', 'mistral']"
47,"['d3_0_irony', 128, 1, 1, 'yes', 'meta']"
48,"['d3_0_irony', 128, 1, 1, 'yes', 'openai']"
49,"['d3_0_irony', 128, 1, 1, 'yes', 'gpt4']"
50,"['d3_0_irony', 298, 0, 0, 'no', 'openai']"
51,"['d3_0_irony', 298, 0, 0, 'no', 'mistral']"
52,"['d3_0_irony', 298, 0, 0, 'no', 'meta']"
53,"['d3_0_irony', 298, 0, 0, 'no', 'gpt4']"
54,"['d3_0_irony', 15, 1, 1, 'yes', 'openai']"
55,"['d3_0_irony', 15, 1, 1, 'yes', 'meta']"
56,"['d3_0_irony', 15, 1, 1, 'yes', 'mistral']"
57,"['d3_0_irony', 15, 1, 1, 'yes', 'gpt4']"
58,"['d3_0_irony', 117, 1, 1, 'yes', 'mistral']"
59,"['d3_0_irony', 117, 1, 1, 'yes', 'meta']"
60,"['d3_0_irony', 117, 1, 1, 'yes', 'openai']"
61,"['d3_0_irony', 117, 1, 1, 'yes', 'gpt4']"
62,"['d3_0_irony', 383, 0, 1, 'yes', 'meta']"
63,"['d3_0_irony', 383, 0, 0, 'no', 'openai']"
64,"['d3_0_irony', 383, 0, 0, 'no', 'mistral']"
65,"['d3_0_irony', 383, 0, 0, 'no', 'gpt4']"
66,"['d3_0_irony', 321, 0, 0, 'no', 'openai']"
67,"['d3_0_irony', 321, 0, 0, 'no', 'meta']"
68,"['d3_0_irony', 321, 0, 0, 'no', 'mistral']"
69,"['d3_0_irony', 321, 0, 0, 'no', 'gpt4']"
70,"['d3_0_irony', 130, 1, 1, 'yes', 'openai']"
71,"['d3_0_irony', 130, 1, 1, 'yes', 'meta']"
72,"['d3_0_irony', 130, 1, 1, 'yes', 'mistral']"
73,"['d3_0_irony', 130, 1, 1, 'yes', 'gpt4']"
74,"['d3_0_irony', 347, 0, 0, 'no', 'mistral']"
75,"['d3_0_irony', 347, 0, 1, 'yes', 'meta']"
76,"['d3_0_irony', 347, 0, 0, 'no', 'openai']"
77,"['d3_0_irony', 347, 0, 0, 'no', 'gpt4']"
78,"['d3_0_irony', 477, 0, 0, 'no', 'openai']"
79,"['d3_0_irony', 477, 0, 0, 'no', 'meta']"
80,"['d3_0_irony', 477, 0, 0, 'no', 'mistral']"
81,"['d3_0_irony', 477, 0, 0, 'no', 'gpt4']"
82,"['d3_0_irony', 3, 1, 1, 'yes', 'mistral']"
83,"['d3_0_irony', 3, 1, 1, 'yes', 'meta']"
84,"['d3_0_irony', 3, 1, 0, 'no', 'openai']"
85,"['d3_0_irony', 3, 1, 1, 'yes', 'gpt4']"
