,0
0,task
1,idx
2,true_label
3,pred_label
4,answer
5,model
6,"['d3_49_computer', 4786, 0, 0, 'no', 'mistral']"
7,"['d3_49_computer', 4786, 0, 0, 'no', 'meta']"
8,"['d3_49_computer', 4786, 0, 0, 'no', 'openai']"
9,"['d3_49_computer', 4786, 0, 0, 'no', 'gpt4']"
10,"['d3_49_computer', 187, 1, 1, 'yes', 'mistral']"
11,"['d3_49_computer', 187, 1, 1, 'yes', 'meta']"
12,"['d3_49_computer', 187, 1, 1, 'yes', 'openai']"
13,"['d3_49_computer', 187, 1, 1, 'yes', 'gpt4']"
14,"['d3_49_computer', 2058, 0, 1, 'yes', 'mistral']"
15,"['d3_49_computer', 2058, 0, 1, 'yes', 'meta']"
16,"['d3_49_computer', 2058, 0, 1, 'yes', 'openai']"
17,"['d3_49_computer', 2058, 0, 1, 'yes', 'gpt4']"
18,"['d3_49_computer', 1670, 0, 0, 'no', 'meta']"
19,"['d3_49_computer', 1670, 0, 0, 'no', 'openai']"
20,"['d3_49_computer', 1670, 0, 0, 'no', 'mistral']"
21,"['d3_49_computer', 1670, 0, 0, 'no', 'gpt4']"
22,"['d3_49_computer', 5513, 0, 0, 'no', 'openai']"
23,"['d3_49_computer', 5513, 0, 0, 'no', 'meta']"
24,"['d3_49_computer', 5513, 0, 0, 'no', 'mistral']"
25,"['d3_49_computer', 5513, 0, 0, 'no', 'gpt4']"
26,"['d3_49_computer', 5065, 0, 0, 'no', 'mistral']"
27,"['d3_49_computer', 5065, 0, 0, 'no', 'meta']"
28,"['d3_49_computer', 5065, 0, 0, 'no', 'openai']"
29,"['d3_49_computer', 5065, 0, 0, 'no', 'gpt4']"
30,"['d3_49_computer', 6678, 0, 0, 'no', 'openai']"
31,"['d3_49_computer', 6678, 0, 0, 'no', 'meta']"
32,"['d3_49_computer', 6678, 0, 0, 'no', 'mistral']"
33,"['d3_49_computer', 6678, 0, 0, 'no', 'gpt4']"
34,"['d3_49_computer', 650, 1, 1, 'yes', 'openai']"
35,"['d3_49_computer', 650, 1, 1, 'yes', 'meta']"
36,"['d3_49_computer', 650, 1, 1, 'yes', 'mistral']"
37,"['d3_49_computer', 650, 1, 1, 'yes', 'gpt4']"
38,"['d3_49_computer', 3158, 0, 1, 'yes', 'mistral']"
39,"['d3_49_computer', 3158, 0, 1, 'yes', 'meta']"
40,"['d3_49_computer', 3158, 0, 1, 'yes', 'openai']"
41,"['d3_49_computer', 3158, 0, 1, 'yes', 'gpt4']"
42,"['d3_49_computer', 223, 1, 1, 'yes', 'meta']"
43,"['d3_49_computer', 223, 1, 1, 'yes', 'openai']"
44,"['d3_49_computer', 223, 1, 1, 'yes', 'mistral']"
45,"['d3_49_computer', 223, 1, 1, 'yes', 'gpt4']"
46,"['d3_49_computer', 1636, 0, 0, 'no', 'openai']"
47,"['d3_49_computer', 1636, 0, 0, 'no', 'mistral']"
48,"['d3_49_computer', 1636, 0, 0, 'no', 'meta']"
49,"['d3_49_computer', 1636, 0, 0, 'no', 'gpt4']"
50,"['d3_49_computer', 3783, 0, 0, 'no', 'openai']"
51,"['d3_49_computer', 3783, 0, 1, 'yes', 'meta']"
52,"['d3_49_computer', 3783, 0, 0, 'no', 'mistral']"
53,"['d3_49_computer', 3783, 0, 1, 'yes', 'gpt4']"
54,"['d3_49_computer', 198, 1, 1, 'yes', 'openai']"
55,"['d3_49_computer', 198, 1, 1, 'yes', 'meta']"
56,"['d3_49_computer', 198, 1, 1, 'yes', 'mistral']"
57,"['d3_49_computer', 198, 1, 1, 'yes', 'gpt4']"
58,"['d3_49_computer', 1488, 0, 0, 'no', 'meta']"
59,"['d3_49_computer', 1488, 0, 0, 'no', 'openai']"
60,"['d3_49_computer', 1488, 0, 0, 'no', 'mistral']"
61,"['d3_49_computer', 1488, 0, 0, 'no', 'gpt4']"
62,"['d3_49_computer', 4865, 0, 1, 'yes', 'openai']"
63,"['d3_49_computer', 4865, 0, 1, 'yes', 'meta']"
64,"['d3_49_computer', 4865, 0, 1, 'yes', 'mistral']"
65,"['d3_49_computer', 4865, 0, 1, 'yes', 'gpt4']"
66,"['d3_49_computer', 4079, 0, 0, 'no', 'mistral']"
67,"['d3_49_computer', 4079, 0, 0, 'no', 'meta']"
68,"['d3_49_computer', 4079, 0, 0, 'no', 'openai']"
69,"['d3_49_computer', 4079, 0, 0, 'no', 'gpt4']"
70,"['d3_49_computer', 1650, 0, 0, 'no', 'openai']"
71,"['d3_49_computer', 1650, 0, 0, 'no', 'mistral']"
72,"['d3_49_computer', 1650, 0, 0, 'no', 'meta']"
73,"['d3_49_computer', 1650, 0, 0, 'no', 'gpt4']"
74,"['d3_49_computer', 4411, 0, 0, 'no', 'mistral']"
75,"['d3_49_computer', 4411, 0, 1, 'yes', 'meta']"
76,"['d3_49_computer', 4411, 0, 0, 'no', 'openai']"
77,"['d3_49_computer', 4411, 0, 0, 'no', 'gpt4']"
78,"['d3_49_computer', 6059, 0, 0, 'no', 'mistral']"
79,"['d3_49_computer', 6059, 0, 1, 'yes', 'meta']"
80,"['d3_49_computer', 6059, 0, 0, 'no', 'openai']"
81,"['d3_49_computer', 6059, 0, 0, 'no', 'gpt4']"
82,"['d3_49_computer', 48, 1, 1, 'yes', 'openai']"
83,"['d3_49_computer', 48, 1, 1, 'yes', 'meta']"
84,"['d3_49_computer', 48, 1, 1, 'yes', 'mistral']"
85,"['d3_49_computer', 48, 1, 1, 'yes', 'gpt4']"
