,0
0,task
1,idx
2,true_label
3,pred_label
4,answer
5,model
6,"['d3_3_god', 104, 1, 1, 'yes', 'mistral']"
7,"['d3_3_god', 104, 1, 1, 'yes', 'meta']"
8,"['d3_3_god', 104, 1, 1, 'yes', 'openai']"
9,"['d3_3_god', 104, 1, 1, 'yes', 'gpt4']"
10,"['d3_3_god', 4, 1, 0, 'no', 'mistral']"
11,"['d3_3_god', 4, 1, 0, 'no', 'meta']"
12,"['d3_3_god', 4, 1, 0, 'no', 'openai']"
13,"['d3_3_god', 4, 1, 0, 'no', 'gpt4']"
14,"['d3_3_god', 45, 1, 1, 'yes', 'meta']"
15,"['d3_3_god', 45, 1, 1, 'yes', 'openai']"
16,"['d3_3_god', 45, 1, 1, 'yes', 'mistral']"
17,"['d3_3_god', 45, 1, 1, 'yes', 'gpt4']"
18,"['d3_3_god', 36, 1, 1, 'yes', 'openai']"
19,"['d3_3_god', 36, 1, 1, 'yes', 'mistral']"
20,"['d3_3_god', 36, 1, 1, 'yes', 'meta']"
21,"['d3_3_god', 36, 1, 1, 'yes', 'gpt4']"
22,"['d3_3_god', 120, 0, 0, 'no', 'meta']"
23,"['d3_3_god', 120, 0, 0, 'no', 'openai']"
24,"['d3_3_god', 120, 0, 0, 'no', 'mistral']"
25,"['d3_3_god', 120, 0, 0, 'no', 'gpt4']"
26,"['d3_3_god', 110, 1, 0, 'no', 'openai']"
27,"['d3_3_god', 110, 1, 1, 'yes', 'meta']"
28,"['d3_3_god', 110, 1, 0, 'no', 'mistral']"
29,"['d3_3_god', 110, 1, 0, 'no', 'gpt4']"
30,"['d3_3_god', 146, 0, 0, 'no', 'openai']"
31,"['d3_3_god', 146, 0, 0, 'no', 'meta']"
32,"['d3_3_god', 146, 0, 0, 'no', 'mistral']"
33,"['d3_3_god', 146, 0, 0, 'no', 'gpt4']"
34,"['d3_3_god', 14, 1, 1, 'yes', 'mistral']"
35,"['d3_3_god', 14, 1, 0, 'no', 'meta']"
36,"['d3_3_god', 14, 1, 0, 'no', 'openai']"
37,"['d3_3_god', 14, 1, 1, 'yes', 'gpt4']"
38,"['d3_3_god', 69, 1, 1, 'yes', 'mistral']"
39,"['d3_3_god', 69, 1, 1, 'yes', 'meta']"
40,"['d3_3_god', 69, 1, 1, 'yes', 'openai']"
41,"['d3_3_god', 69, 1, 1, 'yes', 'gpt4']"
42,"['d3_3_god', 4, 1, 0, 'no', 'openai']"
43,"['d3_3_god', 4, 1, 0, 'no', 'meta']"
44,"['d3_3_god', 4, 1, 0, 'no', 'mistral']"
45,"['d3_3_god', 4, 1, 0, 'no', 'gpt4']"
46,"['d3_3_god', 35, 1, 1, 'yes', 'openai']"
47,"['d3_3_god', 35, 1, 1, 'yes', 'meta']"
48,"['d3_3_god', 35, 1, 1, 'yes', 'mistral']"
49,"['d3_3_god', 35, 1, 1, 'yes', 'gpt4']"
50,"['d3_3_god', 82, 1, 1, 'yes', 'meta']"
51,"['d3_3_god', 82, 1, 1, 'yes', 'openai']"
52,"['d3_3_god', 82, 1, 1, 'yes', 'mistral']"
53,"['d3_3_god', 82, 1, 1, 'yes', 'gpt4']"
54,"['d3_3_god', 4, 1, 0, 'no', 'openai']"
55,"['d3_3_god', 4, 1, 0, 'no', 'mistral']"
56,"['d3_3_god', 4, 1, 0, 'no', 'meta']"
57,"['d3_3_god', 4, 1, 0, 'no', 'gpt4']"
58,"['d3_3_god', 32, 1, 1, 'yes', 'mistral']"
59,"['d3_3_god', 32, 1, 1, 'yes', 'meta']"
60,"['d3_3_god', 32, 1, 1, 'yes', 'openai']"
61,"['d3_3_god', 32, 1, 1, 'yes', 'gpt4']"
62,"['d3_3_god', 106, 1, 0, 'no', 'mistral']"
63,"['d3_3_god', 106, 1, 0, 'no', 'meta']"
64,"['d3_3_god', 106, 1, 0, 'no', 'openai']"
65,"['d3_3_god', 106, 1, 1, 'yes', 'gpt4']"
66,"['d3_3_god', 89, 1, 1, 'yes', 'openai']"
67,"['d3_3_god', 89, 1, 1, 'yes', 'mistral']"
68,"['d3_3_god', 89, 1, 1, 'yes', 'meta']"
69,"['d3_3_god', 89, 1, 1, 'yes', 'gpt4']"
70,"['d3_3_god', 36, 1, 1, 'yes', 'openai']"
71,"['d3_3_god', 36, 1, 1, 'yes', 'meta']"
72,"['d3_3_god', 36, 1, 1, 'yes', 'mistral']"
73,"['d3_3_god', 36, 1, 1, 'yes', 'gpt4']"
74,"['d3_3_god', 96, 1, 0, 'no', 'mistral']"
75,"['d3_3_god', 96, 1, 0, 'no', 'meta']"
76,"['d3_3_god', 96, 1, 0, 'no', 'openai']"
77,"['d3_3_god', 96, 1, 1, 'yes', 'gpt4']"
78,"['d3_3_god', 132, 0, 0, 'no', 'mistral']"
79,"['d3_3_god', 132, 0, 0, 'no', 'meta']"
80,"['d3_3_god', 132, 0, 0, 'no', 'openai']"
81,"['d3_3_god', 132, 0, 0, 'no', 'gpt4']"
82,"['d3_3_god', 1, 1, 0, 'no', 'openai']"
83,"['d3_3_god', 1, 1, 0, 'no', 'meta']"
84,"['d3_3_god', 1, 1, 0, 'no', 'mistral']"
85,"['d3_3_god', 1, 1, 0, 'no', 'gpt4']"
