,0
0,task
1,idx
2,true_label
3,pred_label
4,answer
5,model
6,"['d3_49_computer', 4786, 0, 0, 'no', 'meta']"
7,"['d3_49_computer', 4786, 0, 0, 'no', 'openai']"
8,"['d3_49_computer', 4786, 0, 0, 'no', 'mistral']"
9,"['d3_49_computer', 187, 1, 1, 'yes', 'openai']"
10,"['d3_49_computer', 187, 1, 1, 'yes', 'meta']"
11,"['d3_49_computer', 187, 1, 1, 'yes', 'mistral']"
12,"['d3_49_computer', 2058, 0, 1, 'yes', 'openai']"
13,"['d3_49_computer', 2058, 0, 1, 'yes', 'mistral']"
14,"['d3_49_computer', 2058, 0, 1, 'yes', 'meta']"
15,"['d3_49_computer', 1670, 0, 0, 'no', 'openai']"
16,"['d3_49_computer', 1670, 0, 0, 'no', 'meta']"
17,"['d3_49_computer', 1670, 0, 0, 'no', 'mistral']"
18,"['d3_49_computer', 5513, 0, 0, 'no', 'mistral']"
19,"['d3_49_computer', 5513, 0, 0, 'no', 'meta']"
20,"['d3_49_computer', 5513, 0, 0, 'no', 'openai']"
21,"['d3_49_computer', 5065, 0, 0, 'no', 'openai']"
22,"['d3_49_computer', 5065, 0, 0, 'no', 'meta']"
23,"['d3_49_computer', 5065, 0, 0, 'no', 'mistral']"
24,"['d3_49_computer', 6678, 0, 0, 'no', 'openai']"
25,"['d3_49_computer', 6678, 0, 0, 'no', 'meta']"
26,"['d3_49_computer', 6678, 0, 0, 'no', 'mistral']"
27,"['d3_49_computer', 650, 1, 1, 'yes', 'mistral']"
28,"['d3_49_computer', 650, 1, 1, 'yes', 'meta']"
29,"['d3_49_computer', 650, 1, 1, 'yes', 'openai']"
30,"['d3_49_computer', 3158, 0, 1, 'yes', 'mistral']"
31,"['d3_49_computer', 3158, 0, 0, 'no', 'meta']"
32,"['d3_49_computer', 3158, 0, 1, 'yes', 'openai']"
33,"['d3_49_computer', 223, 1, 1, 'yes', 'openai']"
34,"['d3_49_computer', 223, 1, 1, 'yes', 'mistral']"
35,"['d3_49_computer', 223, 1, 1, 'yes', 'meta']"
36,"['d3_49_computer', 1636, 0, 0, 'no', 'openai']"
37,"['d3_49_computer', 1636, 0, 0, 'no', 'meta']"
38,"['d3_49_computer', 1636, 0, 0, 'no', 'mistral']"
39,"['d3_49_computer', 3783, 0, 1, 'yes', 'openai']"
40,"['d3_49_computer', 3783, 0, 0, 'no', 'mistral']"
41,"['d3_49_computer', 3783, 0, 0, 'no', 'meta']"
42,"['d3_49_computer', 198, 1, 1, 'yes', 'meta']"
43,"['d3_49_computer', 198, 1, 1, 'yes', 'openai']"
44,"['d3_49_computer', 198, 1, 1, 'yes', 'mistral']"
45,"['d3_49_computer', 1488, 0, 0, 'no', 'mistral']"
46,"['d3_49_computer', 1488, 0, 0, 'no', 'meta']"
47,"['d3_49_computer', 1488, 0, 0, 'no', 'openai']"
48,"['d3_49_computer', 4865, 0, 1, 'yes', 'mistral']"
49,"['d3_49_computer', 4865, 0, 0, 'no', 'meta']"
50,"['d3_49_computer', 4865, 0, 1, 'yes', 'openai']"
51,"['d3_49_computer', 4079, 0, 0, 'no', 'openai']"
52,"['d3_49_computer', 4079, 0, 0, 'no', 'meta']"
53,"['d3_49_computer', 4079, 0, 0, 'no', 'mistral']"
54,"['d3_49_computer', 1650, 0, 0, 'no', 'openai']"
55,"['d3_49_computer', 1650, 0, 0, 'no', 'meta']"
56,"['d3_49_computer', 1650, 0, 0, 'no', 'mistral']"
57,"['d3_49_computer', 4411, 0, 0, 'no', 'openai']"
58,"['d3_49_computer', 4411, 0, 0, 'no', 'meta']"
59,"['d3_49_computer', 4411, 0, 0, 'no', 'mistral']"
60,"['d3_49_computer', 6059, 0, 0, 'no', 'meta']"
61,"['d3_49_computer', 6059, 0, 0, 'no', 'openai']"
62,"['d3_49_computer', 6059, 0, 0, 'no', 'mistral']"
63,"['d3_49_computer', 48, 1, 1, 'yes', 'openai']"
64,"['d3_49_computer', 48, 1, 1, 'yes', 'meta']"
65,"['d3_49_computer', 48, 1, 1, 'yes', 'mistral']"
66,"['d3_49_computer', 6032, 0, 0, 'no', 'openai']"
67,"['d3_49_computer', 6032, 0, 0, 'no', 'mistral']"
68,"['d3_49_computer', 6032, 0, 0, 'no', 'meta']"
69,"['d3_49_computer', 5226, 0, 0, 'no', 'openai']"
70,"['d3_49_computer', 5226, 0, 0, 'no', 'meta']"
71,"['d3_49_computer', 5226, 0, 0, 'no', 'mistral']"
72,"['d3_49_computer', 2547, 0, 1, 'yes', 'mistral']"
73,"['d3_49_computer', 2547, 0, 0, 'no', 'meta']"
74,"['d3_49_computer', 2547, 0, 0, 'no', 'openai']"
75,"['d3_49_computer', 1163, 0, 0, 'no', 'mistral']"
76,"['d3_49_computer', 1163, 0, 0, 'no', 'meta']"
77,"['d3_49_computer', 1163, 0, 0, 'no', 'openai']"
78,"['d3_49_computer', 7165, 0, 0, 'no', 'meta']"
79,"['d3_49_computer', 7165, 0, 0, 'no', 'openai']"
80,"['d3_49_computer', 7165, 0, 0, 'no', 'mistral']"
81,"['d3_49_computer', 2519, 0, 0, 'no', 'openai']"
82,"['d3_49_computer', 2519, 0, 0, 'no', 'mistral']"
83,"['d3_49_computer', 2519, 0, 0, 'no', 'meta']"
84,"['d3_49_computer', 694, 1, 1, 'yes', 'mistral']"
85,"['d3_49_computer', 694, 1, 1, 'yes', 'meta']"
86,"['d3_49_computer', 694, 1, 1, 'yes', 'openai']"
87,"['d3_49_computer', 724, 1, 0, 'no', 'meta']"
88,"['d3_49_computer', 724, 1, 1, 'yes', 'openai']"
89,"['d3_49_computer', 724, 1, 1, 'yes', 'mistral']"
90,"['d3_49_computer', 6344, 0, 0, 'no', 'openai']"
91,"['d3_49_computer', 6344, 0, 0, 'no', 'mistral']"
92,"['d3_49_computer', 6344, 0, 0, 'no', 'meta']"
93,"['d3_49_computer', 4519, 0, 0, 'no', 'openai']"
94,"['d3_49_computer', 4519, 0, 0, 'no', 'mistral']"
95,"['d3_49_computer', 4519, 0, 0, 'no', 'meta']"
96,"['d3_49_computer', 6042, 0, 0, 'no', 'mistral']"
97,"['d3_49_computer', 6042, 0, 0, 'no', 'meta']"
98,"['d3_49_computer', 6042, 0, 0, 'no', 'openai']"
99,"['d3_49_computer', 5462, 0, 0, 'no', 'openai']"
100,"['d3_49_computer', 5462, 0, 0, 'no', 'mistral']"
101,"['d3_49_computer', 5462, 0, 0, 'no', 'meta']"
102,"['d3_49_computer', 4014, 0, 0, 'no', 'mistral']"
103,"['d3_49_computer', 4014, 0, 0, 'no', 'meta']"
104,"['d3_49_computer', 4014, 0, 0, 'no', 'openai']"
105,"['d3_49_computer', 7284, 0, 0, 'no', 'openai']"
106,"['d3_49_computer', 7284, 0, 0, 'no', 'meta']"
107,"['d3_49_computer', 7284, 0, 0, 'no', 'mistral']"
108,"['d3_49_computer', 2833, 0, 0, 'no', 'openai']"
109,"['d3_49_computer', 2833, 0, 0, 'no', 'mistral']"
110,"['d3_49_computer', 2833, 0, 0, 'no', 'meta']"
111,"['d3_49_computer', 4132, 0, 0, 'no', 'mistral']"
112,"['d3_49_computer', 4132, 0, 0, 'no', 'meta']"
113,"['d3_49_computer', 4132, 0, 0, 'no', 'openai']"
114,"['d3_49_computer', 6208, 0, 0, 'no', 'mistral']"
115,"['d3_49_computer', 6208, 0, 0, 'no', 'meta']"
116,"['d3_49_computer', 6208, 0, 0, 'no', 'openai']"
117,"['d3_49_computer', 4630, 0, 0, 'no', 'mistral']"
118,"['d3_49_computer', 4630, 0, 0, 'no', 'meta']"
119,"['d3_49_computer', 4630, 0, 0, 'no', 'openai']"
120,"['d3_49_computer', 6450, 0, 0, 'no', 'openai']"
121,"['d3_49_computer', 6450, 0, 0, 'no', 'mistral']"
122,"['d3_49_computer', 6450, 0, 0, 'no', 'meta']"
123,"['d3_49_computer', 4322, 0, 0, 'no', 'openai']"
124,"['d3_49_computer', 4322, 0, 0, 'no', 'mistral']"
125,"['d3_49_computer', 4322, 0, 0, 'no', 'meta']"
126,"['d3_49_computer', 5274, 0, 0, 'no', 'mistral']"
127,"['d3_49_computer', 5274, 0, 0, 'no', 'meta']"
128,"['d3_49_computer', 5274, 0, 0, 'no', 'openai']"
129,"['d3_49_computer', 343, 1, 1, 'yes', 'mistral']"
130,"['d3_49_computer', 343, 1, 1, 'yes', 'meta']"
131,"['d3_49_computer', 343, 1, 1, 'yes', 'openai']"
132,"['d3_49_computer', 1706, 0, 0, 'no', 'meta']"
133,"['d3_49_computer', 1706, 0, 1, 'yes', 'openai']"
134,"['d3_49_computer', 1706, 0, 1, 'yes', 'mistral']"
135,"['d3_49_computer', 2166, 0, 0, 'no', 'meta']"
136,"['d3_49_computer', 2166, 0, 0, 'no', 'openai']"
137,"['d3_49_computer', 2166, 0, 0, 'no', 'mistral']"
138,"['d3_49_computer', 597, 1, 1, 'yes', 'mistral']"
139,"['d3_49_computer', 597, 1, 1, 'yes', 'meta']"
140,"['d3_49_computer', 597, 1, 1, 'yes', 'openai']"
141,"['d3_49_computer', 1742, 0, 0, 'no', 'openai']"
142,"['d3_49_computer', 1742, 0, 0, 'no', 'meta']"
143,"['d3_49_computer', 1742, 0, 0, 'no', 'mistral']"
144,"['d3_49_computer', 756, 0, 0, 'no', 'mistral']"
145,"['d3_49_computer', 756, 0, 0, 'no', 'meta']"
146,"['d3_49_computer', 756, 0, 0, 'no', 'openai']"
147,"['d3_49_computer', 2080, 0, 0, 'no', 'openai']"
148,"['d3_49_computer', 2080, 0, 0, 'no', 'mistral']"
149,"['d3_49_computer', 2080, 0, 0, 'no', 'meta']"
150,"['d3_49_computer', 4758, 0, 0, 'no', 'mistral']"
151,"['d3_49_computer', 4758, 0, 0, 'no', 'meta']"
152,"['d3_49_computer', 4758, 0, 0, 'no', 'openai']"
153,"['d3_49_computer', 2731, 0, 0, 'no', 'meta']"
154,"['d3_49_computer', 2731, 0, 0, 'no', 'openai']"
155,"['d3_49_computer', 2731, 0, 0, 'no', 'mistral']"
156,"['d3_49_computer', 2771, 0, 1, 'yes', 'mistral']"
157,"['d3_49_computer', 2771, 0, 0, 'no', 'meta']"
158,"['d3_49_computer', 2771, 0, 1, 'yes', 'openai']"
159,"['d3_49_computer', 1568, 0, 0, 'no', 'meta']"
