,0
0,task
1,idx
2,true_label
3,pred_label
4,answer
5,model
6,"['d3_47_math', 4804, 0, 0, 'no', 'openai']"
7,"['d3_47_math', 4804, 0, 0, 'no', 'meta']"
8,"['d3_47_math', 4804, 0, 0, 'no', 'mistral']"
9,"['d3_47_math', 4804, 0, 0, 'no', 'gpt4']"
10,"['d3_47_math', 187, 1, 1, 'yes', 'meta']"
11,"['d3_47_math', 187, 1, 1, 'yes', 'openai']"
12,"['d3_47_math', 187, 1, 1, 'yes', 'mistral']"
13,"['d3_47_math', 187, 1, 1, 'yes', 'gpt4']"
14,"['d3_47_math', 2066, 0, 0, 'no', 'openai']"
15,"['d3_47_math', 2066, 0, 0, 'no', 'meta']"
16,"['d3_47_math', 2066, 0, 0, '', 'mistral']"
17,"['d3_47_math', 2066, 0, 0, 'no', 'gpt4']"
18,"['d3_47_math', 1677, 0, 0, 'no', 'openai']"
19,"['d3_47_math', 1677, 0, 0, 'no', 'meta']"
20,"['d3_47_math', 1677, 0, 0, 'no', 'mistral']"
21,"['d3_47_math', 1677, 0, 0, 'no', 'gpt4']"
22,"['d3_47_math', 5533, 0, 1, 'yes', 'meta']"
23,"['d3_47_math', 5533, 0, 1, 'yes', 'openai']"
24,"['d3_47_math', 5533, 0, 1, 'yes', 'mistral']"
25,"['d3_47_math', 5533, 0, 1, 'yes', 'gpt4']"
26,"['d3_47_math', 5084, 0, 0, 'no', 'mistral']"
27,"['d3_47_math', 5084, 0, 0, 'no', 'meta']"
28,"['d3_47_math', 5084, 0, 1, 'yes', 'openai']"
29,"['d3_47_math', 5084, 0, 0, 'no', 'gpt4']"
30,"['d3_47_math', 6703, 0, 0, 'no', 'mistral']"
31,"['d3_47_math', 6703, 0, 0, 'no', 'meta']"
32,"['d3_47_math', 6703, 0, 0, 'no', 'openai']"
33,"['d3_47_math', 6703, 0, 0, 'no', 'gpt4']"
34,"['d3_47_math', 653, 1, 1, 'yes', 'openai']"
35,"['d3_47_math', 653, 1, 1, 'yes', 'meta']"
36,"['d3_47_math', 653, 1, 1, 'yes', 'mistral']"
37,"['d3_47_math', 653, 1, 1, 'yes', 'gpt4']"
38,"['d3_47_math', 3170, 0, 0, 'no', 'openai']"
39,"['d3_47_math', 3170, 0, 0, 'no', 'mistral']"
40,"['d3_47_math', 3170, 0, 0, 'no', 'meta']"
41,"['d3_47_math', 3170, 0, 0, 'no', 'gpt4']"
42,"['d3_47_math', 223, 1, 1, 'yes', 'openai']"
43,"['d3_47_math', 223, 1, 1, 'yes', 'mistral']"
44,"['d3_47_math', 223, 1, 1, 'yes', 'meta']"
45,"['d3_47_math', 223, 1, 1, 'yes', 'gpt4']"
46,"['d3_47_math', 1642, 0, 0, 'no', 'mistral']"
47,"['d3_47_math', 1642, 0, 1, 'yes', 'meta']"
48,"['d3_47_math', 1642, 0, 0, 'no', 'openai']"
49,"['d3_47_math', 1642, 0, 1, 'yes', 'gpt4']"
50,"['d3_47_math', 3797, 0, 0, 'no', 'meta']"
51,"['d3_47_math', 3797, 0, 0, 'no', 'openai']"
52,"['d3_47_math', 3797, 0, 0, 'no', 'mistral']"
53,"['d3_47_math', 3797, 0, 0, 'no', 'gpt4']"
54,"['d3_47_math', 199, 1, 1, 'yes', 'openai']"
55,"['d3_47_math', 199, 1, 1, 'yes', 'meta']"
56,"['d3_47_math', 199, 1, 1, 'yes', 'mistral']"
57,"['d3_47_math', 199, 1, 1, 'yes', 'gpt4']"
58,"['d3_47_math', 1494, 0, 1, 'yes', 'openai']"
59,"['d3_47_math', 1494, 0, 1, 'yes', 'meta']"
60,"['d3_47_math', 1494, 0, 1, 'yes', 'mistral']"
61,"['d3_47_math', 1494, 0, 1, 'yes', 'gpt4']"
62,"['d3_47_math', 4883, 0, 0, 'no', 'meta']"
63,"['d3_47_math', 4883, 0, 0, 'no', 'openai']"
64,"['d3_47_math', 4883, 0, 0, 'no', 'mistral']"
65,"['d3_47_math', 4883, 0, 1, 'yes', 'gpt4']"
66,"['d3_47_math', 4094, 0, 0, 'no', 'openai']"
67,"['d3_47_math', 4094, 0, 0, 'no', 'mistral']"
68,"['d3_47_math', 4094, 0, 0, 'no', 'meta']"
69,"['d3_47_math', 4094, 0, 1, 'yes', 'gpt4']"
70,"['d3_47_math', 1656, 0, 0, 'no', 'meta']"
71,"['d3_47_math', 1656, 0, 0, 'no', 'openai']"
72,"['d3_47_math', 1656, 0, 0, 'no', 'mistral']"
73,"['d3_47_math', 1656, 0, 0, 'no', 'gpt4']"
74,"['d3_47_math', 4427, 0, 0, 'no', 'meta']"
75,"['d3_47_math', 4427, 0, 0, 'no', 'openai']"
76,"['d3_47_math', 4427, 0, 0, 'no', 'mistral']"
77,"['d3_47_math', 4427, 0, 0, 'no', 'gpt4']"
78,"['d3_47_math', 6082, 0, 0, 'no', 'openai']"
79,"['d3_47_math', 6082, 0, 0, 'no', 'meta']"
80,"['d3_47_math', 6082, 0, 0, 'no', 'mistral']"
81,"['d3_47_math', 6082, 0, 0, 'no', 'gpt4']"
82,"['d3_47_math', 48, 1, 1, 'yes', 'openai']"
83,"['d3_47_math', 48, 1, 1, 'yes', 'meta']"
84,"['d3_47_math', 48, 1, 1, 'yes', 'mistral']"
85,"['d3_47_math', 48, 1, 1, 'yes', 'gpt4']"
