,0
0,task
1,idx
2,true_label
3,pred_label
4,answer
5,model
6,"['d3_9_food', 1689, 0, 0, 'no', 'meta']"
7,"['d3_9_food', 1689, 0, 0, 'no', 'openai']"
8,"['d3_9_food', 1689, 0, 0, 'no', 'mistral']"
9,"['d3_9_food', 1689, 0, 0, 'no', 'gpt4']"
10,"['d3_9_food', 66, 1, 1, 'yes', 'mistral']"
11,"['d3_9_food', 66, 1, 1, 'yes', 'meta']"
12,"['d3_9_food', 66, 1, 1, 'yes', 'openai']"
13,"['d3_9_food', 66, 1, 1, 'yes', 'gpt4']"
14,"['d3_9_food', 726, 0, 0, 'no', 'openai']"
15,"['d3_9_food', 726, 0, 1, 'yes', 'meta']"
16,"['d3_9_food', 726, 0, 1, 'yes', 'mistral']"
17,"['d3_9_food', 726, 0, 1, 'yes', 'gpt4']"
18,"['d3_9_food', 589, 0, 0, 'no', 'mistral']"
19,"['d3_9_food', 589, 0, 0, 'no', 'meta']"
20,"['d3_9_food', 589, 0, 0, 'no', 'openai']"
21,"['d3_9_food', 589, 0, 0, 'no', 'gpt4']"
22,"['d3_9_food', 1945, 0, 0, 'no', 'openai']"
23,"['d3_9_food', 1945, 0, 0, 'no', 'meta']"
24,"['d3_9_food', 1945, 0, 0, 'no', 'mistral']"
25,"['d3_9_food', 1945, 0, 0, 'no', 'gpt4']"
26,"['d3_9_food', 1787, 0, 0, 'no', 'openai']"
27,"['d3_9_food', 1787, 0, 0, 'no', 'meta']"
28,"['d3_9_food', 1787, 0, 0, 'no', 'mistral']"
29,"['d3_9_food', 1787, 0, 0, 'no', 'gpt4']"
30,"['d3_9_food', 2357, 0, 1, 'yes', 'meta']"
31,"['d3_9_food', 2357, 0, 0, 'no', 'openai']"
32,"['d3_9_food', 2357, 0, 1, 'yes', 'mistral']"
33,"['d3_9_food', 2357, 0, 1, 'yes', 'gpt4']"
34,"['d3_9_food', 229, 1, 0, 'no', 'mistral']"
35,"['d3_9_food', 229, 1, 0, 'no', 'meta']"
36,"['d3_9_food', 229, 1, 0, 'no', 'openai']"
37,"['d3_9_food', 229, 1, 0, 'no', 'gpt4']"
38,"['d3_9_food', 1114, 0, 0, 'no', 'mistral']"
39,"['d3_9_food', 1114, 0, 0, 'no', 'meta']"
40,"['d3_9_food', 1114, 0, 0, 'no', 'openai']"
41,"['d3_9_food', 1114, 0, 0, 'no', 'gpt4']"
42,"['d3_9_food', 78, 1, 1, 'yes', 'meta']"
43,"['d3_9_food', 78, 1, 1, 'yes', 'openai']"
44,"['d3_9_food', 78, 1, 1, 'yes', 'mistral']"
45,"['d3_9_food', 78, 1, 1, 'yes', 'gpt4']"
46,"['d3_9_food', 577, 0, 1, 'yes', 'mistral']"
47,"['d3_9_food', 577, 0, 1, 'yes', 'meta']"
48,"['d3_9_food', 577, 0, 0, 'no', 'openai']"
49,"['d3_9_food', 577, 0, 1, 'yes', 'gpt4']"
50,"['d3_9_food', 1335, 0, 1, 'yes', 'meta']"
51,"['d3_9_food', 1335, 0, 1, 'yes', 'openai']"
52,"['d3_9_food', 1335, 0, 1, 'yes', 'mistral']"
53,"['d3_9_food', 1335, 0, 0, 'no', 'gpt4']"
54,"['d3_9_food', 70, 1, 0, 'no', 'openai']"
55,"['d3_9_food', 70, 1, 0, 'no', 'meta']"
56,"['d3_9_food', 70, 1, 0, 'no', 'mistral']"
57,"['d3_9_food', 70, 1, 0, 'no', 'gpt4']"
58,"['d3_9_food', 525, 0, 0, 'no', 'meta']"
59,"['d3_9_food', 525, 0, 0, 'no', 'openai']"
60,"['d3_9_food', 525, 0, 0, 'no', 'mistral']"
61,"['d3_9_food', 525, 0, 0, 'no', 'gpt4']"
62,"['d3_9_food', 1716, 0, 0, 'no', 'openai']"
63,"['d3_9_food', 1716, 0, 0, 'no', 'mistral']"
64,"['d3_9_food', 1716, 0, 0, 'no', 'meta']"
65,"['d3_9_food', 1716, 0, 0, 'no', 'gpt4']"
66,"['d3_9_food', 1439, 0, 0, 'no', 'openai']"
67,"['d3_9_food', 1439, 0, 1, 'yes', 'meta']"
68,"['d3_9_food', 1439, 0, 1, 'yes', 'mistral']"
69,"['d3_9_food', 1439, 0, 1, 'yes', 'gpt4']"
70,"['d3_9_food', 582, 0, 0, 'no', 'mistral']"
71,"['d3_9_food', 582, 0, 0, 'no', 'meta']"
72,"['d3_9_food', 582, 0, 0, 'no', 'openai']"
73,"['d3_9_food', 582, 0, 0, 'no', 'gpt4']"
74,"['d3_9_food', 1556, 0, 0, 'no', 'meta']"
75,"['d3_9_food', 1556, 0, 0, 'no', 'openai']"
76,"['d3_9_food', 1556, 0, 0, 'no', 'mistral']"
77,"['d3_9_food', 1556, 0, 0, 'no', 'gpt4']"
78,"['d3_9_food', 2138, 0, 1, 'yes', 'openai']"
79,"['d3_9_food', 2138, 0, 1, 'yes', 'meta']"
80,"['d3_9_food', 2138, 0, 1, 'yes', 'mistral']"
81,"['d3_9_food', 2138, 0, 1, 'yes', 'gpt4']"
82,"['d3_9_food', 17, 1, 1, 'yes', 'openai']"
83,"['d3_9_food', 17, 1, 1, 'yes', 'meta']"
84,"['d3_9_food', 17, 1, 1, 'yes', 'mistral']"
85,"['d3_9_food', 17, 1, 1, 'yes', 'gpt4']"
