,0
0,task
1,idx
2,true_label
3,pred_label
4,answer
5,model
6,"['d3_6_terorrism', 1688, 0, 0, 'no', 'openai']"
7,"['d3_6_terorrism', 1688, 0, 0, 'no', 'meta']"
8,"['d3_6_terorrism', 1688, 0, 0, 'no', 'mistral']"
9,"['d3_6_terorrism', 1688, 0, 0, 'no', 'gpt4']"
10,"['d3_6_terorrism', 66, 1, 1, 'yes', 'openai']"
11,"['d3_6_terorrism', 66, 1, 1, 'yes', 'mistral']"
12,"['d3_6_terorrism', 66, 1, 1, 'yes', 'meta']"
13,"['d3_6_terorrism', 66, 1, 1, 'yes', 'gpt4']"
14,"['d3_6_terorrism', 726, 0, 0, 'poss', 'mistral']"
15,"['d3_6_terorrism', 726, 0, 1, 'yes', 'meta']"
16,"['d3_6_terorrism', 726, 0, 1, 'yes', 'openai']"
17,"['d3_6_terorrism', 726, 0, 1, 'yes', 'gpt4']"
18,"['d3_6_terorrism', 589, 0, 0, 'no', 'openai']"
19,"['d3_6_terorrism', 589, 0, 0, 'no', 'mistral']"
20,"['d3_6_terorrism', 589, 0, 0, 'no', 'meta']"
21,"['d3_6_terorrism', 589, 0, 0, 'no', 'gpt4']"
22,"['d3_6_terorrism', 1944, 0, 0, 'no', 'mistral']"
23,"['d3_6_terorrism', 1944, 0, 0, 'no', 'meta']"
24,"['d3_6_terorrism', 1944, 0, 0, 'no', 'openai']"
25,"['d3_6_terorrism', 1944, 0, 0, 'no', 'gpt4']"
26,"['d3_6_terorrism', 1786, 0, 0, 'no', 'openai']"
27,"['d3_6_terorrism', 1786, 0, 0, 'no', 'meta']"
28,"['d3_6_terorrism', 1786, 0, 0, 'no', 'mistral']"
29,"['d3_6_terorrism', 1786, 0, 0, 'no', 'gpt4']"
30,"['d3_6_terorrism', 2355, 0, 0, 'no', 'openai']"
31,"['d3_6_terorrism', 2355, 0, 0, 'no', 'mistral']"
32,"['d3_6_terorrism', 2355, 0, 0, 'no', 'meta']"
33,"['d3_6_terorrism', 2355, 0, 0, 'no', 'gpt4']"
34,"['d3_6_terorrism', 229, 0, 0, 'no', 'openai']"
35,"['d3_6_terorrism', 229, 0, 0, 'no', 'meta']"
36,"['d3_6_terorrism', 229, 0, 0, 'no', 'mistral']"
37,"['d3_6_terorrism', 229, 0, 0, 'no', 'gpt4']"
38,"['d3_6_terorrism', 1113, 0, 0, 'no', 'mistral']"
39,"['d3_6_terorrism', 1113, 0, 1, 'yes', 'meta']"
40,"['d3_6_terorrism', 1113, 0, 0, 'no', 'openai']"
41,"['d3_6_terorrism', 1113, 0, 0, 'no', 'gpt4']"
42,"['d3_6_terorrism', 78, 1, 1, 'yes', 'openai']"
43,"['d3_6_terorrism', 78, 1, 0, 'no', 'mistral']"
44,"['d3_6_terorrism', 78, 1, 1, 'yes', 'meta']"
45,"['d3_6_terorrism', 78, 1, 1, 'yes', 'gpt4']"
46,"['d3_6_terorrism', 577, 0, 0, 'no', 'mistral']"
47,"['d3_6_terorrism', 577, 0, 0, 'no', 'meta']"
48,"['d3_6_terorrism', 577, 0, 0, 'no', 'openai']"
49,"['d3_6_terorrism', 577, 0, 0, 'no', 'gpt4']"
50,"['d3_6_terorrism', 1334, 0, 0, 'no', 'openai']"
51,"['d3_6_terorrism', 1334, 0, 0, 'no', 'mistral']"
52,"['d3_6_terorrism', 1334, 0, 0, 'no', 'meta']"
53,"['d3_6_terorrism', 1334, 0, 0, 'no', 'gpt4']"
54,"['d3_6_terorrism', 70, 1, 1, 'yes', 'mistral']"
55,"['d3_6_terorrism', 70, 1, 1, 'yes', 'meta']"
56,"['d3_6_terorrism', 70, 1, 1, 'yes', 'openai']"
57,"['d3_6_terorrism', 70, 1, 1, 'yes', 'gpt4']"
58,"['d3_6_terorrism', 524, 0, 0, 'no', 'openai']"
59,"['d3_6_terorrism', 524, 0, 0, 'no', 'mistral']"
60,"['d3_6_terorrism', 524, 0, 0, 'no', 'meta']"
61,"['d3_6_terorrism', 524, 0, 0, 'no', 'gpt4']"
62,"['d3_6_terorrism', 1715, 0, 0, 'no', 'meta']"
63,"['d3_6_terorrism', 1715, 0, 0, 'no', 'openai']"
64,"['d3_6_terorrism', 1715, 0, 0, 'no', 'mistral']"
65,"['d3_6_terorrism', 1715, 0, 0, 'no', 'gpt4']"
66,"['d3_6_terorrism', 1438, 0, 0, 'no', 'openai']"
67,"['d3_6_terorrism', 1438, 0, 0, 'no', 'mistral']"
68,"['d3_6_terorrism', 1438, 0, 0, 'no', 'meta']"
69,"['d3_6_terorrism', 1438, 0, 0, 'no', 'gpt4']"
70,"['d3_6_terorrism', 581, 0, 0, 'no', 'meta']"
71,"['d3_6_terorrism', 581, 0, 0, 'no', 'openai']"
72,"['d3_6_terorrism', 581, 0, 0, 'no', 'mistral']"
73,"['d3_6_terorrism', 581, 0, 0, 'no', 'gpt4']"
74,"['d3_6_terorrism', 1555, 0, 0, 'no', 'mistral']"
75,"['d3_6_terorrism', 1555, 0, 0, 'no', 'meta']"
76,"['d3_6_terorrism', 1555, 0, 0, 'no', 'openai']"
77,"['d3_6_terorrism', 1555, 0, 0, 'no', 'gpt4']"
78,"['d3_6_terorrism', 2136, 0, 0, 'no', 'openai']"
79,"['d3_6_terorrism', 2136, 0, 0, 'no', 'meta']"
80,"['d3_6_terorrism', 2136, 0, 0, 'no', 'mistral']"
81,"['d3_6_terorrism', 2136, 0, 0, 'no', 'gpt4']"
82,"['d3_6_terorrism', 17, 1, 1, 'yes', 'openai']"
83,"['d3_6_terorrism', 17, 1, 1, 'yes', 'mistral']"
84,"['d3_6_terorrism', 17, 1, 1, 'yes', 'meta']"
85,"['d3_6_terorrism', 17, 1, 1, 'yes', 'gpt4']"
