,0
0,task
1,idx
2,true_label
3,pred_label
4,answer
5,model
6,"['d3_28_sexis', 133, 0, 0, 'no', 'mistral']"
7,"['d3_28_sexis', 133, 0, 1, 'yes', 'meta']"
8,"['d3_28_sexis', 133, 0, 1, 'yes', 'openai']"
9,"['d3_28_sexis', 5, 1, 1, 'yes', 'openai']"
10,"['d3_28_sexis', 5, 1, 1, 'yes', 'meta']"
11,"['d3_28_sexis', 5, 1, 1, 'yes', 'mistral']"
12,"['d3_28_sexis', 57, 1, 1, 'yes', 'meta']"
13,"['d3_28_sexis', 57, 1, 1, 'yes', 'openai']"
14,"['d3_28_sexis', 57, 1, 0, 'the', 'mistral']"
15,"['d3_28_sexis', 46, 1, 0, 'no', 'mistral']"
16,"['d3_28_sexis', 46, 1, 0, 'no', 'meta']"
17,"['d3_28_sexis', 46, 1, 1, 'yes', 'openai']"
18,"['d3_28_sexis', 153, 0, 1, 'yes', 'meta']"
19,"['d3_28_sexis', 153, 0, 1, 'yes', 'openai']"
20,"['d3_28_sexis', 153, 0, 0, 'no', 'mistral']"
21,"['d3_28_sexis', 141, 0, 0, 'no', 'openai']"
22,"['d3_28_sexis', 141, 0, 0, 'no', 'meta']"
23,"['d3_28_sexis', 141, 0, 0, 'no', 'mistral']"
24,"['d3_28_sexis', 186, 0, 1, 'yes', 'openai']"
25,"['d3_28_sexis', 186, 0, 1, 'yes', 'meta']"
26,"['d3_28_sexis', 186, 0, 1, 'yes', 'mistral']"
27,"['d3_28_sexis', 18, 1, 0, 'no', 'mistral']"
28,"['d3_28_sexis', 18, 1, 1, 'yes', 'meta']"
29,"['d3_28_sexis', 18, 1, 1, 'yes', 'openai']"
30,"['d3_28_sexis', 88, 1, 1, 'yes', 'openai']"
31,"['d3_28_sexis', 88, 1, 1, 'yes', 'meta']"
32,"['d3_28_sexis', 88, 1, 1, 'yes', 'mistral']"
33,"['d3_28_sexis', 6, 1, 1, 'yes', 'openai']"
34,"['d3_28_sexis', 6, 1, 1, 'yes', 'meta']"
35,"['d3_28_sexis', 6, 1, 1, 'yes', 'mistral']"
36,"['d3_28_sexis', 45, 1, 1, 'yes', 'mistral']"
37,"['d3_28_sexis', 45, 1, 1, 'yes', 'meta']"
38,"['d3_28_sexis', 45, 1, 1, 'yes', 'openai']"
39,"['d3_28_sexis', 105, 1, 1, 'yes', 'openai']"
40,"['d3_28_sexis', 105, 1, 1, 'yes', 'meta']"
41,"['d3_28_sexis', 105, 1, 1, 'yes', 'mistral']"
42,"['d3_28_sexis', 5, 1, 1, 'yes', 'openai']"
43,"['d3_28_sexis', 5, 1, 1, 'yes', 'mistral']"
44,"['d3_28_sexis', 5, 1, 1, 'yes', 'meta']"
45,"['d3_28_sexis', 41, 1, 0, 'no', 'mistral']"
46,"['d3_28_sexis', 41, 1, 1, 'yes', 'meta']"
47,"['d3_28_sexis', 41, 1, 1, 'yes', 'openai']"
48,"['d3_28_sexis', 135, 0, 0, 'no', 'mistral']"
49,"['d3_28_sexis', 135, 0, 1, 'yes', 'meta']"
50,"['d3_28_sexis', 135, 0, 1, 'yes', 'openai']"
51,"['d3_28_sexis', 113, 1, 1, 'yes', 'openai']"
52,"['d3_28_sexis', 113, 1, 1, 'yes', 'meta']"
53,"['d3_28_sexis', 113, 1, 0, 'no', 'mistral']"
54,"['d3_28_sexis', 46, 1, 1, 'yes', 'openai']"
55,"['d3_28_sexis', 46, 1, 0, 'no', 'meta']"
56,"['d3_28_sexis', 46, 1, 0, 'no', 'mistral']"
57,"['d3_28_sexis', 123, 1, 1, 'yes', 'mistral']"
58,"['d3_28_sexis', 123, 1, 1, 'yes', 'meta']"
59,"['d3_28_sexis', 123, 1, 1, 'yes', 'openai']"
60,"['d3_28_sexis', 169, 0, 0, 'no', 'mistral']"
61,"['d3_28_sexis', 169, 0, 1, 'yes', 'meta']"
62,"['d3_28_sexis', 169, 0, 1, 'yes', 'openai']"
63,"['d3_28_sexis', 1, 1, 1, 'yes', 'openai']"
64,"['d3_28_sexis', 1, 1, 1, 'yes', 'meta']"
65,"['d3_28_sexis', 1, 1, 1, 'yes', 'mistral']"
66,"['d3_28_sexis', 168, 0, 1, 'yes', 'openai']"
67,"['d3_28_sexis', 168, 0, 1, 'yes', 'meta']"
68,"['d3_28_sexis', 168, 0, 0, 'no', 'mistral']"
69,"['d3_28_sexis', 145, 0, 0, 'no', 'mistral']"
70,"['d3_28_sexis', 145, 0, 0, 'no', 'meta']"
71,"['d3_28_sexis', 145, 0, 0, 'no', 'openai']"
72,"['d3_28_sexis', 71, 1, 1, 'yes', 'openai']"
73,"['d3_28_sexis', 71, 1, 0, 'no', 'mistral']"
74,"['d3_28_sexis', 71, 1, 1, 'yes', 'meta']"
75,"['d3_28_sexis', 32, 1, 1, 'yes', 'mistral']"
76,"['d3_28_sexis', 32, 1, 1, 'yes', 'meta']"
77,"['d3_28_sexis', 32, 1, 1, 'yes', 'openai']"
78,"['d3_28_sexis', 200, 0, 1, 'yes', 'openai']"
79,"['d3_28_sexis', 200, 0, 1, 'yes', 'meta']"
80,"['d3_28_sexis', 200, 0, 1, 'yes', 'mistral']"
81,"['d3_28_sexis', 70, 1, 1, 'yes', 'openai']"
82,"['d3_28_sexis', 70, 1, 1, 'yes', 'meta']"
83,"['d3_28_sexis', 70, 1, 1, 'yes', 'mistral']"
84,"['d3_28_sexis', 19, 1, 1, 'yes', 'openai']"
85,"['d3_28_sexis', 19, 1, 1, 'yes', 'meta']"
86,"['d3_28_sexis', 19, 1, 1, 'yes', 'mistral']"
87,"['d3_28_sexis', 20, 1, 0, 'no', 'mistral']"
88,"['d3_28_sexis', 20, 1, 1, 'yes', 'meta']"
89,"['d3_28_sexis', 20, 1, 1, 'yes', 'openai']"
90,"['d3_28_sexis', 177, 0, 0, 'no', 'mistral']"
91,"['d3_28_sexis', 177, 0, 1, 'yes', 'meta']"
92,"['d3_28_sexis', 177, 0, 0, 'no', 'openai']"
93,"['d3_28_sexis', 126, 1, 1, 'yes', 'mistral']"
94,"['d3_28_sexis', 126, 1, 1, 'yes', 'meta']"
95,"['d3_28_sexis', 126, 1, 1, 'yes', 'openai']"
96,"['d3_28_sexis', 168, 0, 0, 'no', 'mistral']"
97,"['d3_28_sexis', 168, 0, 1, 'yes', 'meta']"
98,"['d3_28_sexis', 168, 0, 1, 'yes', 'openai']"
99,"['d3_28_sexis', 152, 0, 0, 'no', 'mistral']"
100,"['d3_28_sexis', 152, 0, 0, 'no', 'meta']"
101,"['d3_28_sexis', 152, 0, 1, 'yes', 'openai']"
102,"['d3_28_sexis', 112, 1, 1, 'yes', 'openai']"
103,"['d3_28_sexis', 112, 1, 0, 'no', 'mistral']"
104,"['d3_28_sexis', 112, 1, 0, 'no', 'meta']"
105,"['d3_28_sexis', 203, 0, 0, 'no', 'mistral']"
106,"['d3_28_sexis', 203, 0, 0, 'no', 'meta']"
107,"['d3_28_sexis', 203, 0, 0, 'no', 'openai']"
108,"['d3_28_sexis', 79, 1, 1, 'yes', 'mistral']"
109,"['d3_28_sexis', 79, 1, 1, 'yes', 'meta']"
110,"['d3_28_sexis', 79, 1, 1, 'yes', 'openai']"
111,"['d3_28_sexis', 115, 1, 1, 'yes', 'openai']"
112,"['d3_28_sexis', 115, 1, 1, 'yes', 'mistral']"
113,"['d3_28_sexis', 115, 1, 1, 'yes', 'meta']"
114,"['d3_28_sexis', 173, 0, 0, 'no', 'mistral']"
115,"['d3_28_sexis', 173, 0, 0, 'no', 'meta']"
116,"['d3_28_sexis', 173, 0, 0, 'no', 'openai']"
117,"['d3_28_sexis', 129, 1, 1, 'yes', 'openai']"
118,"['d3_28_sexis', 129, 1, 1, 'yes', 'meta']"
119,"['d3_28_sexis', 129, 1, 0, 'no', 'mistral']"
120,"['d3_28_sexis', 180, 0, 0, 'no', 'openai']"
121,"['d3_28_sexis', 180, 0, 0, 'no', 'mistral']"
122,"['d3_28_sexis', 180, 0, 0, 'no', 'meta']"
123,"['d3_28_sexis', 120, 1, 1, 'yes', 'openai']"
124,"['d3_28_sexis', 120, 1, 1, 'yes', 'meta']"
125,"['d3_28_sexis', 120, 1, 0, 'no', 'mistral']"
126,"['d3_28_sexis', 147, 0, 0, 'no', 'mistral']"
127,"['d3_28_sexis', 147, 0, 0, 'no', 'meta']"
128,"['d3_28_sexis', 147, 0, 0, 'no', 'openai']"
129,"['d3_28_sexis', 9, 1, 0, 'no', 'meta']"
130,"['d3_28_sexis', 9, 1, 1, 'yes', 'openai']"
131,"['d3_28_sexis', 9, 1, 1, 'yes', 'mistral']"
132,"['d3_28_sexis', 47, 1, 0, 'no', 'mistral']"
133,"['d3_28_sexis', 47, 1, 1, 'yes', 'meta']"
134,"['d3_28_sexis', 47, 1, 1, 'yes', 'openai']"
135,"['d3_28_sexis', 60, 1, 1, 'yes', 'openai']"
136,"['d3_28_sexis', 60, 1, 1, 'yes', 'meta']"
137,"['d3_28_sexis', 60, 1, 1, 'yes', 'mistral']"
138,"['d3_28_sexis', 16, 1, 1, 'yes', 'mistral']"
139,"['d3_28_sexis', 16, 1, 1, 'yes', 'meta']"
140,"['d3_28_sexis', 16, 1, 1, 'yes', 'openai']"
141,"['d3_28_sexis', 48, 1, 1, 'yes', 'openai']"
142,"['d3_28_sexis', 48, 1, 1, 'yes', 'meta']"
143,"['d3_28_sexis', 48, 1, 1, 'yes', 'mistral']"
144,"['d3_28_sexis', 21, 1, 1, 'yes', 'mistral']"
145,"['d3_28_sexis', 21, 1, 1, 'yes', 'meta']"
146,"['d3_28_sexis', 21, 1, 1, 'yes', 'openai']"
147,"['d3_28_sexis', 58, 1, 1, 'yes', 'mistral']"
148,"['d3_28_sexis', 58, 1, 1, 'yes', 'meta']"
149,"['d3_28_sexis', 58, 1, 1, 'yes', 'openai']"
150,"['d3_28_sexis', 132, 1, 1, 'yes', 'mistral']"
151,"['d3_28_sexis', 132, 1, 1, 'yes', 'meta']"
152,"['d3_28_sexis', 132, 1, 1, 'yes', 'openai']"
153,"['d3_28_sexis', 76, 1, 1, 'yes', 'openai']"
154,"['d3_28_sexis', 76, 1, 1, 'yes', 'meta']"
155,"['d3_28_sexis', 76, 1, 1, 'yes', 'mistral']"
156,"['d3_28_sexis', 77, 1, 1, 'yes', 'openai']"
