,0
0,task
1,idx
2,true_label
3,pred_label
4,answer
5,model
6,"['d3_45_fact', 450, 0, 1, 'yes', 'mistral']"
7,"['d3_45_fact', 450, 0, 1, 'yes', 'meta']"
8,"['d3_45_fact', 450, 0, 0, 'no', 'openai']"
9,"['d3_45_fact', 450, 0, 1, 'yes', 'gpt4']"
10,"['d3_45_fact', 17, 1, 1, 'yes', 'openai']"
11,"['d3_45_fact', 17, 1, 1, 'yes', 'meta']"
12,"['d3_45_fact', 17, 1, 1, 'yes', 'mistral']"
13,"['d3_45_fact', 17, 1, 1, 'yes', 'gpt4']"
14,"['d3_45_fact', 193, 1, 1, 'yes', 'openai']"
15,"['d3_45_fact', 193, 1, 1, 'yes', 'mistral']"
16,"['d3_45_fact', 193, 1, 1, 'yes', 'meta']"
17,"['d3_45_fact', 193, 1, 1, 'yes', 'gpt4']"
18,"['d3_45_fact', 157, 1, 1, 'yes', 'openai']"
19,"['d3_45_fact', 157, 1, 1, 'yes', 'meta']"
20,"['d3_45_fact', 157, 1, 0, 'no', 'mistral']"
21,"['d3_45_fact', 157, 1, 1, 'yes', 'gpt4']"
22,"['d3_45_fact', 518, 0, 1, 'yes', 'openai']"
23,"['d3_45_fact', 518, 0, 1, 'yes', 'mistral']"
24,"['d3_45_fact', 518, 0, 1, 'yes', 'meta']"
25,"['d3_45_fact', 518, 0, 0, 'no', 'gpt4']"
26,"['d3_45_fact', 476, 0, 1, 'yes', 'openai']"
27,"['d3_45_fact', 476, 0, 0, 'no', 'meta']"
28,"['d3_45_fact', 476, 0, 0, 'no', 'mistral']"
29,"['d3_45_fact', 476, 0, 1, 'yes', 'gpt4']"
30,"['d3_45_fact', 628, 0, 1, 'yes', 'mistral']"
31,"['d3_45_fact', 628, 0, 1, 'yes', 'meta']"
32,"['d3_45_fact', 628, 0, 1, 'yes', 'openai']"
33,"['d3_45_fact', 628, 0, 1, 'yes', 'gpt4']"
34,"['d3_45_fact', 61, 1, 1, 'yes', 'mistral']"
35,"['d3_45_fact', 61, 1, 1, 'yes', 'meta']"
36,"['d3_45_fact', 61, 1, 1, 'yes', 'openai']"
37,"['d3_45_fact', 61, 1, 1, 'yes', 'gpt4']"
38,"['d3_45_fact', 297, 0, 0, 'no', 'openai']"
39,"['d3_45_fact', 297, 0, 0, 'no', 'meta']"
40,"['d3_45_fact', 297, 0, 0, 'no', 'mistral']"
41,"['d3_45_fact', 297, 0, 0, 'no', 'gpt4']"
42,"['d3_45_fact', 20, 1, 1, 'yes', 'mistral']"
43,"['d3_45_fact', 20, 1, 1, 'yes', 'meta']"
44,"['d3_45_fact', 20, 1, 1, 'yes', 'openai']"
45,"['d3_45_fact', 20, 1, 1, 'yes', 'gpt4']"
46,"['d3_45_fact', 153, 1, 1, 'yes', 'openai']"
47,"['d3_45_fact', 153, 1, 1, 'yes', 'meta']"
48,"['d3_45_fact', 153, 1, 1, 'yes', 'mistral']"
49,"['d3_45_fact', 153, 1, 1, 'yes', 'gpt4']"
50,"['d3_45_fact', 355, 0, 1, 'yes', 'openai']"
51,"['d3_45_fact', 355, 0, 1, 'yes', 'mistral']"
52,"['d3_45_fact', 355, 0, 1, 'yes', 'meta']"
53,"['d3_45_fact', 355, 0, 1, 'yes', 'gpt4']"
54,"['d3_45_fact', 18, 1, 1, 'yes', 'mistral']"
55,"['d3_45_fact', 18, 1, 1, 'yes', 'meta']"
56,"['d3_45_fact', 18, 1, 1, 'yes', 'openai']"
57,"['d3_45_fact', 18, 1, 1, 'yes', 'gpt4']"
58,"['d3_45_fact', 139, 1, 1, 'yes', 'meta']"
59,"['d3_45_fact', 139, 1, 1, 'yes', 'openai']"
60,"['d3_45_fact', 139, 1, 1, 'yes', 'mistral']"
61,"['d3_45_fact', 139, 1, 1, 'yes', 'gpt4']"
62,"['d3_45_fact', 457, 0, 1, 'yes', 'openai']"
63,"['d3_45_fact', 457, 0, 0, 'no', 'meta']"
64,"['d3_45_fact', 457, 0, 0, 'no', 'mistral']"
65,"['d3_45_fact', 457, 0, 0, 'no', 'gpt4']"
66,"['d3_45_fact', 383, 0, 0, 'no', 'openai']"
67,"['d3_45_fact', 383, 0, 0, 'no', 'mistral']"
68,"['d3_45_fact', 383, 0, 0, 'no', 'meta']"
69,"['d3_45_fact', 383, 0, 0, 'no', 'gpt4']"
70,"['d3_45_fact', 155, 1, 1, 'yes', 'openai']"
71,"['d3_45_fact', 155, 1, 0, 'no', 'mistral']"
72,"['d3_45_fact', 155, 1, 0, 'no', 'meta']"
73,"['d3_45_fact', 155, 1, 0, 'no', 'gpt4']"
74,"['d3_45_fact', 414, 0, 1, 'yes', 'meta']"
75,"['d3_45_fact', 414, 0, 1, 'yes', 'openai']"
76,"['d3_45_fact', 414, 0, 1, 'yes', 'mistral']"
77,"['d3_45_fact', 414, 0, 1, 'yes', 'gpt4']"
78,"['d3_45_fact', 569, 0, 0, 'no', 'openai']"
79,"['d3_45_fact', 569, 0, 0, 'no', 'meta']"
80,"['d3_45_fact', 569, 0, 0, 'no', 'mistral']"
81,"['d3_45_fact', 569, 0, 0, 'no', 'gpt4']"
82,"['d3_45_fact', 4, 1, 1, 'yes', 'openai']"
83,"['d3_45_fact', 4, 1, 1, 'yes', 'meta']"
84,"['d3_45_fact', 4, 1, 1, 'yes', 'mistral']"
85,"['d3_45_fact', 4, 1, 1, 'yes', 'gpt4']"
