,0
0,task
1,idx
2,true_label
3,pred_label
4,answer
5,model
6,"['d3_7_crime', 1675, 0, 0, 'no', 'openai']"
7,"['d3_7_crime', 1675, 0, 0, 'no', 'meta']"
8,"['d3_7_crime', 1675, 0, 0, 'no', 'mistral']"
9,"['d3_7_crime', 65, 1, 1, 'yes', 'openai']"
10,"['d3_7_crime', 65, 1, 1, 'yes', 'meta']"
11,"['d3_7_crime', 65, 1, 1, 'yes', 'mistral']"
12,"['d3_7_crime', 720, 0, 0, 'no', 'mistral']"
13,"['d3_7_crime', 720, 0, 0, 'no', 'meta']"
14,"['d3_7_crime', 720, 0, 0, 'no', 'openai']"
15,"['d3_7_crime', 585, 0, 0, 'no', 'openai']"
16,"['d3_7_crime', 585, 0, 0, 'no', 'meta']"
17,"['d3_7_crime', 585, 0, 0, 'no', 'mistral']"
18,"['d3_7_crime', 1930, 0, 1, 'yes', 'openai']"
19,"['d3_7_crime', 1930, 0, 1, 'yes', 'meta']"
20,"['d3_7_crime', 1930, 0, 0, 'no', 'mistral']"
21,"['d3_7_crime', 1773, 0, 0, 'no', 'mistral']"
22,"['d3_7_crime', 1773, 0, 0, 'no', 'meta']"
23,"['d3_7_crime', 1773, 0, 0, 'no', 'openai']"
24,"['d3_7_crime', 2338, 0, 0, 'no', 'openai']"
25,"['d3_7_crime', 2338, 0, 0, 'no', 'meta']"
26,"['d3_7_crime', 2338, 0, 0, 'no', 'mistral']"
27,"['d3_7_crime', 227, 1, 0, 'no', 'openai']"
28,"['d3_7_crime', 227, 1, 0, 'no', 'meta']"
29,"['d3_7_crime', 227, 1, 1, 'yes', 'mistral']"
30,"['d3_7_crime', 1105, 0, 0, 'no', 'mistral']"
31,"['d3_7_crime', 1105, 0, 1, 'yes', 'meta']"
32,"['d3_7_crime', 1105, 0, 1, 'yes', 'openai']"
33,"['d3_7_crime', 78, 1, 1, 'yes', 'meta']"
34,"['d3_7_crime', 78, 1, 1, 'yes', 'openai']"
35,"['d3_7_crime', 78, 1, 1, 'yes', 'mistral']"
36,"['d3_7_crime', 573, 0, 0, 'no', 'openai']"
37,"['d3_7_crime', 573, 0, 0, 'no', 'meta']"
38,"['d3_7_crime', 573, 0, 0, 'no', 'mistral']"
39,"['d3_7_crime', 1324, 0, 1, 'yes', 'mistral']"
40,"['d3_7_crime', 1324, 0, 1, 'yes', 'meta']"
41,"['d3_7_crime', 1324, 0, 1, 'yes', 'openai']"
42,"['d3_7_crime', 69, 1, 1, 'yes', 'openai']"
43,"['d3_7_crime', 69, 1, 1, 'yes', 'meta']"
44,"['d3_7_crime', 69, 1, 1, 'yes', 'mistral']"
45,"['d3_7_crime', 521, 0, 0, 'no', 'openai']"
46,"['d3_7_crime', 521, 0, 0, 'no', 'meta']"
47,"['d3_7_crime', 521, 0, 0, 'no', 'mistral']"
48,"['d3_7_crime', 1703, 0, 0, 'no', 'meta']"
49,"['d3_7_crime', 1703, 0, 0, 'no', 'openai']"
50,"['d3_7_crime', 1703, 0, 0, 'no', 'mistral']"
51,"['d3_7_crime', 1428, 0, 0, 'no', 'openai']"
52,"['d3_7_crime', 1428, 0, 0, 'no', 'meta']"
53,"['d3_7_crime', 1428, 0, 0, 'no', 'mistral']"
54,"['d3_7_crime', 577, 0, 0, 'no', 'openai']"
55,"['d3_7_crime', 577, 0, 0, 'no', 'meta']"
56,"['d3_7_crime', 577, 0, 0, 'no', 'mistral']"
57,"['d3_7_crime', 1544, 0, 0, 'no', 'mistral']"
58,"['d3_7_crime', 1544, 0, 0, 'no', 'meta']"
59,"['d3_7_crime', 1544, 0, 1, 'yes', 'openai']"
60,"['d3_7_crime', 2121, 0, 1, 'yes', 'mistral']"
61,"['d3_7_crime', 2121, 0, 0, 'no', 'meta']"
62,"['d3_7_crime', 2121, 0, 1, 'yes', 'openai']"
63,"['d3_7_crime', 17, 1, 1, 'yes', 'meta']"
64,"['d3_7_crime', 17, 1, 1, 'yes', 'openai']"
65,"['d3_7_crime', 17, 1, 1, 'yes', 'mistral']"
66,"['d3_7_crime', 2112, 0, 0, 'no', 'openai']"
67,"['d3_7_crime', 2112, 0, 1, 'yes', 'meta']"
68,"['d3_7_crime', 2112, 0, 0, 'no', 'mistral']"
69,"['d3_7_crime', 1829, 0, 0, 'no', 'meta']"
70,"['d3_7_crime', 1829, 0, 0, 'no', 'openai']"
71,"['d3_7_crime', 1829, 0, 0, 'no', 'mistral']"
72,"['d3_7_crime', 891, 0, 0, 'no', 'mistral']"
73,"['d3_7_crime', 891, 0, 0, 'no', 'meta']"
74,"['d3_7_crime', 891, 0, 0, 'no', 'openai']"
75,"['d3_7_crime', 407, 1, 1, 'yes', 'openai']"
76,"['d3_7_crime', 407, 1, 1, 'yes', 'mistral']"
77,"['d3_7_crime', 407, 1, 1, 'yes', 'meta']"
78,"['d3_7_crime', 2508, 0, 0, 'no', 'mistral']"
79,"['d3_7_crime', 2508, 0, 0, 'no', 'meta']"
80,"['d3_7_crime', 2508, 0, 0, 'no', 'openai']"
81,"['d3_7_crime', 882, 0, 0, 'no', 'openai']"
82,"['d3_7_crime', 882, 0, 0, 'no', 'meta']"
83,"['d3_7_crime', 882, 0, 0, 'no', 'mistral']"
84,"['d3_7_crime', 243, 1, 1, 'yes', 'openai']"
85,"['d3_7_crime', 243, 1, 1, 'yes', 'mistral']"
86,"['d3_7_crime', 243, 1, 1, 'yes', 'meta']"
87,"['d3_7_crime', 253, 1, 1, 'yes', 'meta']"
88,"['d3_7_crime', 253, 1, 1, 'yes', 'openai']"
89,"['d3_7_crime', 253, 1, 1, 'yes', 'mistral']"
90,"['d3_7_crime', 2221, 0, 0, 'no', 'mistral']"
91,"['d3_7_crime', 2221, 0, 0, 'no', 'meta']"
92,"['d3_7_crime', 2221, 0, 0, 'no', 'openai']"
93,"['d3_7_crime', 1582, 0, 0, 'no', 'openai']"
94,"['d3_7_crime', 1582, 0, 0, 'no', 'meta']"
95,"['d3_7_crime', 1582, 0, 0, 'no', 'mistral']"
96,"['d3_7_crime', 2115, 0, 0, 'no', 'mistral']"
97,"['d3_7_crime', 2115, 0, 1, 'yes', 'meta']"
98,"['d3_7_crime', 2115, 0, 1, 'yes', 'openai']"
99,"['d3_7_crime', 1912, 0, 0, 'no', 'mistral']"
100,"['d3_7_crime', 1912, 0, 0, 'no', 'meta']"
101,"['d3_7_crime', 1912, 0, 0, 'no', 'openai']"
102,"['d3_7_crime', 1405, 0, 0, 'no', 'openai']"
103,"['d3_7_crime', 1405, 0, 0, 'no', 'mistral']"
104,"['d3_7_crime', 1405, 0, 0, 'no', 'meta']"
105,"['d3_7_crime', 2550, 0, 0, 'no', 'mistral']"
106,"['d3_7_crime', 2550, 0, 0, 'no', 'meta']"
107,"['d3_7_crime', 2550, 0, 0, 'no', 'openai']"
108,"['d3_7_crime', 992, 0, 0, 'no', 'meta']"
109,"['d3_7_crime', 992, 0, 0, 'no', 'openai']"
110,"['d3_7_crime', 992, 0, 0, 'no', 'mistral']"
111,"['d3_7_crime', 1446, 0, 0, 'no', 'openai']"
112,"['d3_7_crime', 1446, 0, 0, 'no', 'mistral']"
113,"['d3_7_crime', 1446, 0, 0, 'no', 'meta']"
114,"['d3_7_crime', 2173, 0, 0, 'no', 'openai']"
115,"['d3_7_crime', 2173, 0, 0, 'no', 'meta']"
116,"['d3_7_crime', 2173, 0, 0, 'no', 'mistral']"
117,"['d3_7_crime', 1621, 0, 0, 'no', 'openai']"
118,"['d3_7_crime', 1621, 0, 0, 'no', 'meta']"
119,"['d3_7_crime', 1621, 0, 0, 'no', 'mistral']"
120,"['d3_7_crime', 2258, 0, 0, 'no', 'mistral']"
121,"['d3_7_crime', 2258, 0, 0, 'no', 'meta']"
122,"['d3_7_crime', 2258, 0, 0, 'no', 'openai']"
123,"['d3_7_crime', 1513, 0, 0, 'no', 'openai']"
124,"['d3_7_crime', 1513, 0, 0, 'no', 'meta']"
125,"['d3_7_crime', 1513, 0, 0, 'no', 'mistral']"
126,"['d3_7_crime', 1846, 0, 0, 'no', 'mistral']"
127,"['d3_7_crime', 1846, 0, 0, 'no', 'meta']"
128,"['d3_7_crime', 1846, 0, 0, 'no', 'openai']"
129,"['d3_7_crime', 120, 1, 0, 'no', 'openai']"
130,"['d3_7_crime', 120, 1, 0, 'no', 'mistral']"
131,"['d3_7_crime', 120, 1, 0, 'no', 'meta']"
132,"['d3_7_crime', 597, 0, 0, 'no', 'openai']"
133,"['d3_7_crime', 597, 0, 0, 'no', 'mistral']"
134,"['d3_7_crime', 597, 0, 0, 'no', 'meta']"
135,"['d3_7_crime', 758, 0, 0, 'no', 'openai']"
136,"['d3_7_crime', 758, 0, 1, 'yes', 'mistral']"
137,"['d3_7_crime', 758, 0, 0, 'no', 'meta']"
138,"['d3_7_crime', 209, 1, 0, 'no', 'openai']"
139,"['d3_7_crime', 209, 1, 1, 'yes', 'meta']"
140,"['d3_7_crime', 209, 1, 1, 'yes', 'mistral']"
141,"['d3_7_crime', 610, 0, 1, 'yes', 'openai']"
142,"['d3_7_crime', 610, 0, 1, 'yes', 'meta']"
143,"['d3_7_crime', 610, 0, 1, 'yes', 'mistral']"
144,"['d3_7_crime', 264, 1, 1, 'yes', 'openai']"
145,"['d3_7_crime', 264, 1, 1, 'yes', 'mistral']"
146,"['d3_7_crime', 264, 1, 1, 'yes', 'meta']"
147,"['d3_7_crime', 728, 0, 0, 'no', 'mistral']"
148,"['d3_7_crime', 728, 0, 0, 'no', 'meta']"
149,"['d3_7_crime', 728, 0, 0, 'no', 'openai']"
150,"['d3_7_crime', 1666, 0, 0, 'no', 'openai']"
151,"['d3_7_crime', 1666, 0, 0, 'no', 'meta']"
152,"['d3_7_crime', 1666, 0, 0, 'no', 'mistral']"
153,"['d3_7_crime', 956, 0, 0, 'no', 'mistral']"
154,"['d3_7_crime', 956, 0, 0, 'no', 'meta']"
155,"['d3_7_crime', 956, 0, 0, 'no', 'openai']"
156,"['d3_7_crime', 970, 0, 0, 'no', 'mistral']"
157,"['d3_7_crime', 970, 0, 0, 'no', 'meta']"
158,"['d3_7_crime', 970, 0, 0, 'no', 'openai']"
159,"['d3_7_crime', 549, 0, 0, 'no', 'mistral']"
160,"['d3_7_crime', 549, 0, 0, 'no', 'meta']"
