,0
0,task
1,idx
2,true_label
3,pred_label
4,answer
5,model
6,"['d3_24_statistics', 5937, 0, 1, 'yes', 'openai']"
7,"['d3_24_statistics', 5937, 0, 0, 'no', 'meta']"
8,"['d3_24_statistics', 5937, 0, 0, 'no', 'mistral']"
9,"['d3_24_statistics', 232, 1, 1, 'yes', 'openai']"
10,"['d3_24_statistics', 232, 1, 1, 'yes', 'mistral']"
11,"['d3_24_statistics', 232, 1, 1, 'yes', 'meta']"
12,"['d3_24_statistics', 2553, 0, 0, 'no', 'meta']"
13,"['d3_24_statistics', 2553, 0, 0, 'no', 'openai']"
14,"['d3_24_statistics', 2553, 0, 0, 'no', 'mistral']"
15,"['d3_24_statistics', 2072, 0, 0, 'no', 'openai']"
16,"['d3_24_statistics', 2072, 0, 0, 'no', 'meta']"
17,"['d3_24_statistics', 2072, 0, 0, 'no', 'mistral']"
18,"['d3_24_statistics', 6838, 0, 0, 'no', 'openai']"
19,"['d3_24_statistics', 6838, 0, 0, 'no', 'meta']"
20,"['d3_24_statistics', 6838, 0, 0, 'no', 'mistral']"
21,"['d3_24_statistics', 6283, 0, 0, 'no', 'meta']"
22,"['d3_24_statistics', 6283, 0, 1, 'yes', 'openai']"
23,"['d3_24_statistics', 6283, 0, 0, 'no', 'mistral']"
24,"['d3_24_statistics', 8284, 0, 0, 'no', 'mistral']"
25,"['d3_24_statistics', 8284, 0, 1, 'yes', 'meta']"
26,"['d3_24_statistics', 8284, 0, 1, 'yes', 'openai']"
27,"['d3_24_statistics', 807, 1, 0, 'no', 'openai']"
28,"['d3_24_statistics', 807, 1, 0, 'no', 'meta']"
29,"['d3_24_statistics', 807, 1, 0, 'no', 'mistral']"
30,"['d3_24_statistics', 3917, 0, 1, 'yes', 'openai']"
31,"['d3_24_statistics', 3917, 0, 1, 'yes', 'mistral']"
32,"['d3_24_statistics', 3917, 0, 1, 'yes', 'meta']"
33,"['d3_24_statistics', 276, 1, 1, 'yes', 'openai']"
34,"['d3_24_statistics', 276, 1, 1, 'yes', 'meta']"
35,"['d3_24_statistics', 276, 1, 1, 'yes', 'mistral']"
36,"['d3_24_statistics', 2030, 0, 0, 'no', 'meta']"
37,"['d3_24_statistics', 2030, 0, 0, 'no', 'openai']"
38,"['d3_24_statistics', 2030, 0, 0, 'no', 'mistral']"
39,"['d3_24_statistics', 4692, 0, 0, 'no', 'openai']"
40,"['d3_24_statistics', 4692, 0, 0, 'no', 'meta']"
41,"['d3_24_statistics', 4692, 0, 0, 'no', 'mistral']"
42,"['d3_24_statistics', 246, 1, 1, 'yes', 'openai']"
43,"['d3_24_statistics', 246, 1, 1, 'yes', 'meta']"
44,"['d3_24_statistics', 246, 1, 1, 'yes', 'mistral']"
45,"['d3_24_statistics', 1846, 0, 0, 'no', 'openai']"
46,"['d3_24_statistics', 1846, 0, 0, 'no', 'meta']"
47,"['d3_24_statistics', 1846, 0, 0, 'no', 'mistral']"
48,"['d3_24_statistics', 6034, 0, 1, 'yes', 'mistral']"
49,"['d3_24_statistics', 6034, 0, 0, 'no', 'meta']"
50,"['d3_24_statistics', 6034, 0, 1, 'yes', 'openai']"
51,"['d3_24_statistics', 5060, 0, 0, 'no', 'openai']"
52,"['d3_24_statistics', 5060, 0, 0, 'no', 'mistral']"
53,"['d3_24_statistics', 5060, 0, 0, 'no', 'meta']"
54,"['d3_24_statistics', 2047, 0, 0, 'no', 'meta']"
55,"['d3_24_statistics', 2047, 0, 0, 'no', 'openai']"
56,"['d3_24_statistics', 2047, 0, 0, 'no', 'mistral']"
57,"['d3_24_statistics', 5471, 0, 0, 'no', 'meta']"
58,"['d3_24_statistics', 5471, 0, 0, 'no', 'openai']"
59,"['d3_24_statistics', 5471, 0, 0, 'no', 'mistral']"
60,"['d3_24_statistics', 7516, 0, 1, 'yes', 'openai']"
61,"['d3_24_statistics', 7516, 0, 0, 'no', 'meta']"
62,"['d3_24_statistics', 7516, 0, 0, 'no', 'mistral']"
63,"['d3_24_statistics', 60, 1, 1, 'yes', 'mistral']"
64,"['d3_24_statistics', 60, 1, 1, 'yes', 'meta']"
65,"['d3_24_statistics', 60, 1, 1, 'yes', 'openai']"
66,"['d3_24_statistics', 7482, 0, 0, 'no', 'meta']"
67,"['d3_24_statistics', 7482, 0, 0, 'no', 'openai']"
68,"['d3_24_statistics', 7482, 0, 0, 'no', 'mistral']"
69,"['d3_24_statistics', 6482, 0, 1, 'yes', 'mistral']"
70,"['d3_24_statistics', 6482, 0, 1, 'yes', 'meta']"
71,"['d3_24_statistics', 6482, 0, 1, 'yes', 'openai']"
72,"['d3_24_statistics', 3159, 0, 0, 'no', 'openai']"
73,"['d3_24_statistics', 3159, 0, 0, 'no', 'meta']"
74,"['d3_24_statistics', 3159, 0, 0, 'no', 'mistral']"
75,"['d3_24_statistics', 1443, 1, 1, 'yes', 'mistral']"
76,"['d3_24_statistics', 1443, 1, 1, 'yes', 'meta']"
77,"['d3_24_statistics', 1443, 1, 1, 'yes', 'openai']"
78,"['d3_24_statistics', 8888, 0, 1, 'yes', 'openai']"
79,"['d3_24_statistics', 8888, 0, 0, 'no', 'meta']"
80,"['d3_24_statistics', 8888, 0, 0, 'no', 'mistral']"
81,"['d3_24_statistics', 3125, 0, 0, 'no', 'openai']"
82,"['d3_24_statistics', 3125, 0, 0, 'no', 'mistral']"
83,"['d3_24_statistics', 3125, 0, 0, 'no', 'meta']"
84,"['d3_24_statistics', 861, 1, 0, 'no', 'mistral']"
85,"['d3_24_statistics', 861, 1, 0, 'no', 'meta']"
86,"['d3_24_statistics', 861, 1, 1, 'yes', 'openai']"
87,"['d3_24_statistics', 898, 1, 1, 'yes', 'openai']"
88,"['d3_24_statistics', 898, 1, 1, 'yes', 'meta']"
89,"['d3_24_statistics', 898, 1, 1, 'yes', 'mistral']"
90,"['d3_24_statistics', 7869, 0, 1, 'yes', 'openai']"
91,"['d3_24_statistics', 7869, 0, 0, 'no', 'mistral']"
92,"['d3_24_statistics', 7869, 0, 0, 'no', 'meta']"
93,"['d3_24_statistics', 5606, 0, 0, 'no', 'mistral']"
94,"['d3_24_statistics', 5606, 0, 0, 'no', 'meta']"
95,"['d3_24_statistics', 5606, 0, 0, 'no', 'openai']"
96,"['d3_24_statistics', 7494, 0, 1, 'yes', 'meta']"
97,"['d3_24_statistics', 7494, 0, 1, 'yes', 'openai']"
98,"['d3_24_statistics', 7494, 0, 1, 'yes', 'mistral']"
99,"['d3_24_statistics', 6776, 0, 0, 'no', 'openai']"
100,"['d3_24_statistics', 6776, 0, 0, 'no', 'mistral']"
101,"['d3_24_statistics', 6776, 0, 0, 'no', 'meta']"
102,"['d3_24_statistics', 4979, 0, 0, 'no', 'openai']"
103,"['d3_24_statistics', 4979, 0, 0, 'no', 'meta']"
104,"['d3_24_statistics', 4979, 0, 0, 'no', 'mistral']"
105,"['d3_24_statistics', 9036, 0, 0, 'no', 'meta']"
106,"['d3_24_statistics', 9036, 0, 0, 'no', 'openai']"
107,"['d3_24_statistics', 9036, 0, 0, 'no', 'mistral']"
108,"['d3_24_statistics', 3515, 0, 0, 'no', 'openai']"
109,"['d3_24_statistics', 3515, 0, 0, 'no', 'meta']"
110,"['d3_24_statistics', 3515, 0, 0, 'no', 'mistral']"
111,"['d3_24_statistics', 5126, 0, 0, 'no', 'openai']"
112,"['d3_24_statistics', 5126, 0, 0, 'no', 'meta']"
113,"['d3_24_statistics', 5126, 0, 0, 'no', 'mistral']"
114,"['d3_24_statistics', 7701, 0, 0, 'no', 'openai']"
115,"['d3_24_statistics', 7701, 0, 0, 'no', 'mistral']"
116,"['d3_24_statistics', 7701, 0, 0, 'no', 'meta']"
117,"['d3_24_statistics', 5743, 0, 0, 'no', 'mistral']"
118,"['d3_24_statistics', 5743, 0, 0, 'no', 'meta']"
119,"['d3_24_statistics', 5743, 0, 0, 'no', 'openai']"
120,"['d3_24_statistics', 8001, 0, 0, 'no', 'mistral']"
121,"['d3_24_statistics', 8001, 0, 0, 'no', 'meta']"
122,"['d3_24_statistics', 8001, 0, 0, 'no', 'openai']"
123,"['d3_24_statistics', 5361, 0, 0, 'no', 'openai']"
124,"['d3_24_statistics', 5361, 0, 0, 'no', 'meta']"
125,"['d3_24_statistics', 5361, 0, 0, 'no', 'mistral']"
126,"['d3_24_statistics', 6542, 0, 0, 'no', 'openai']"
127,"['d3_24_statistics', 6542, 0, 0, 'no', 'mistral']"
128,"['d3_24_statistics', 6542, 0, 0, 'no', 'meta']"
129,"['d3_24_statistics', 425, 1, 1, 'yes', 'mistral']"
130,"['d3_24_statistics', 425, 1, 1, 'yes', 'meta']"
131,"['d3_24_statistics', 425, 1, 1, 'yes', 'openai']"
132,"['d3_24_statistics', 2116, 0, 0, 'no', 'openai']"
133,"['d3_24_statistics', 2116, 0, 0, 'no', 'meta']"
134,"['d3_24_statistics', 2116, 0, 0, 'no', 'mistral']"
135,"['d3_24_statistics', 2687, 0, 0, 'no', 'meta']"
136,"['d3_24_statistics', 2687, 0, 0, 'no', 'openai']"
137,"['d3_24_statistics', 2687, 0, 0, 'no', 'mistral']"
138,"['d3_24_statistics', 740, 1, 1, 'yes', 'meta']"
139,"['d3_24_statistics', 740, 1, 1, 'yes', 'openai']"
140,"['d3_24_statistics', 740, 1, 1, 'yes', 'mistral']"
141,"['d3_24_statistics', 2161, 0, 1, 'yes', 'openai']"
142,"['d3_24_statistics', 2161, 0, 0, 'no', 'meta']"
143,"['d3_24_statistics', 2161, 0, 0, 'no', 'mistral']"
144,"['d3_24_statistics', 937, 1, 1, 'yes', 'mistral']"
145,"['d3_24_statistics', 937, 1, 1, 'yes', 'meta']"
146,"['d3_24_statistics', 937, 1, 1, 'yes', 'openai']"
147,"['d3_24_statistics', 2581, 0, 1, 'yes', 'openai']"
148,"['d3_24_statistics', 2581, 0, 0, 'no', 'meta']"
149,"['d3_24_statistics', 2581, 0, 0, 'no', 'mistral']"
150,"['d3_24_statistics', 5902, 0, 0, 'no', 'meta']"
151,"['d3_24_statistics', 5902, 0, 0, 'no', 'openai']"
152,"['d3_24_statistics', 5902, 0, 0, 'no', 'mistral']"
153,"['d3_24_statistics', 3387, 0, 1, 'yes', 'openai']"
154,"['d3_24_statistics', 3387, 0, 0, 'no', 'meta']"
