question,avg_abs_coef_normalized
Does the text involve a journey by foot?,1.0
Is a specific location referred to in the input?,0.996
Does the sentence include dialogue?,0.99
Does the input contain emotional words?,0.959
Does the sentence describe weather conditions?,0.954
Does the input describe a sensory experience?,0.951
Does the sentence contain a question?,0.951
Is a specific chemical or substance mentioned?,0.944
Does the sentence describe a physical sensation?,0.939
Does the sentence mention a mode of transportation?,0.911
Does the sentence include technical or specialized terminology?,0.905
Is there an expression of love or affection?,0.899
Is the sentence describing a misunderstanding or confusion?,0.895
Does the sentence involve making a choice or decision?,0.895
Does the input include dialogue between characters?,0.889
Is a historic landmark or monument described?,0.887
Does the text mention a celebrity or public figure?,0.886
Does the input express feelings of sadness?,0.883
Does the sentence describe a physical action?,0.883
Does the sentence include a number or statistic?,0.877
Is there a description of a landscape or natural scene?,0.877
Is there stuttering or uncertainty in the input?,0.874
Does the text mention a personal limit or boundary?,0.872
Does the input mention laughter?,0.87
Is a health or fitness routine described?,0.87
Does the text describe a form of transportation?,0.869
Does the input discuss a breakthrough in medical research?,0.867
Is a holiday or celebration mentioned?,0.866
Does the sentence describe a landscape or natural feature?,0.859
Is there a reference to a personal idol or role model?,0.858
Does the input describe a scenic view or panorama?,0.856
Is there a reference to physical health or fitness?,0.856
Does the input reference an event or phenomenon in nature?,0.855
Does the input involve the creation or invention of something?,0.854
Is there mention of a personal hobby or interest?,0.854
Does the sentence mention a specific location?,0.851
Does the input involve gardening or plant care?,0.85
Is the input about a social or community event?,0.849
Is a personal preference or taste described?,0.848
Does the story talk about a friendship or relationship ending?,0.848
Does the input describe a specific emotion in detail?,0.843
Does the input discuss educational content or learning?,0.842
Is a specific piece of technology or gadget mentioned?,0.841
Does the input mention a specific animal species?,0.841
"Is there mention of a concert, play, or live performance?",0.839
Does the input include a mention of a personal idol or hero?,0.838
Is the sentence expressing admiration or praise?,0.837
Is there a mention of a gift or present?,0.834
Does the text describe an adventure or risky activity?,0.832
Does the input involve a comparison of before and after?,0.83
Is there any mention of a dream or aspiration?,0.825
Is a specific tool or equipment mentioned?,0.824
Does the sentence involve a personal preference or taste?,0.823
Is there a mention of a natural disaster?,0.821
Does the story describe a shopping experience?,0.819
Does the input express empathy or compassion?,0.816
Is there a reference to a specific individual or public figure?,0.816
Is a mathematical concept or number mentioned?,0.815
Is time mentioned in the input?,0.814
Does the sentence involve a negotiation or compromise?,0.813
Is the sentence describing a craft or DIY project?,0.812
Is the sentence giving advice or a suggestion?,0.811
Is there a mention of a physical object or item?,0.81
Does the input include a philosophical or reflective thought?,0.81
Is there a depiction of a physical activity?,0.81
Is an educational lesson or class described?,0.807
"Is there mention of a city, country, or geographic feature?",0.803
Does the input describe an old habit or something the narrator wishes to change?,0.801
Is a personal or family recipe mentioned?,0.798
Is the sentence mentioning a pet or domestic animal?,0.797
Does the input include an expression of disappointment?,0.796
Is there mention of a unique or unusual hobby?,0.794
Is the sentence referencing legal matters or rights?,0.793
Does the input involve a financial planning or investment strategy?,0.792
Is a specific color or pattern described?,0.792
Does the input involve a fitness routine or exercise?,0.791
"Is a specific school, university, or educational institution mentioned?",0.79
Does the text describe an act of kindness?,0.788
Is the sentence describing a work or school-related task?,0.788
Does the input involve a philosophical question or theory?,0.788
Is a personal belief or value expressed?,0.788
Is there a mention of a competition or contest?,0.787
Does the input discuss environmental concerns or issues?,0.786
Does the text involve a financial transaction?,0.785
Does the input mention a construction or building?,0.785
Does the input contain advice or recommendations?,0.785
Is a cultural event or festival mentioned?,0.784
Is there a depiction of an urban or rural difference?,0.784
Does the text mention a form of alternative transportation?,0.783
Is there a depiction of a public speaking or performance event?,0.783
Is a personal goal or objective mentioned?,0.783
Is there a discussion about ethical consumption or sustainability?,0.781
Does the input involve a vehicle or mode of transportation?,0.78
Does the input discuss a fashion trend or style advice?,0.779
Does the input describe a nighttime setting?,0.778
Is a legal or ethical dilemma discussed?,0.777
Does the input discuss a collaboration or team effort?,0.777
Does the text involve a personal challenge or goal being achieved?,0.777
Is an apology or expression of regret included?,0.777
Does the input contain a number?,0.774
Does the input involve a cultural festival or event?,0.772
Is there a mention of an environmental or ecological practice?,0.771
Does the text describe a hobby in detail?,0.77
Does the story talk about an act of defiance or rebellion?,0.77
Is there mention of a public service or community project?,0.77
Does the input mention a fear or phobia?,0.77
Does the input discuss a craft or DIY project?,0.769
Does the input discuss a health-related issue or wellness?,0.769
Is a health condition or disease mentioned?,0.769
Does the input describe a scientific experiment or discovery?,0.768
Does the sentence involve a safety or security concern?,0.768
Does the input mention a piece of furniture or home decor?,0.766
Does the sentence describe a challenge or obstacle overcome?,0.766
Does the input involve a historical event?,0.765
Is there an expression of frustration or annoyance?,0.765
Is there an expression of regret or apology?,0.765
Does the input discuss an act of kindness or charity?,0.765
Does the story include a lesson or moral?,0.764
Is there a discussion about politics or government?,0.764
Does the story describe a ceremony or ritual?,0.763
Does the text mention a plant or gardening?,0.763
Is there a reference to a past event?,0.763
Is the input mentioning an animal?,0.763
Is someone running in the input text?,0.763
Is a specific form of literature or writing style mentioned?,0.762
Is the input about an interaction with technology?,0.761
Is the input about a relationship with another person?,0.761
Does the sentence include a cultural reference or idiom?,0.761
Does the story talk about a personal sacrifice or compromise?,0.761
"Is a significant life event, like a wedding or graduation, mentioned?",0.761
Does the input involve a coding or programming concept?,0.76
Is an art or craft mentioned?,0.759
Does the text describe a mode of communication?,0.758
Is there a mention of a family heirloom or artifact?,0.758
Is the input about a personal achievement or milestone?,0.757
Is a moment of unexpected kindness or generosity described?,0.757
Is the input about a scientific discovery or concept?,0.757
Does the story describe a work or school setting?,0.757
Does the story involve a game or sport?,0.756
Does the story mention a health issue or injury?,0.756
Does the text describe a form of therapy or healing?,0.755
Is there a description of a technological device or app?,0.755
Does the input describe a problem or challenge?,0.754
Does the text include a reference to a past era or time period?,0.754
Does the input mention a friendship?,0.754
Does the input mention a political or social issue?,0.754
Is the input expressing a wish or desire?,0.753
Is the input related to a specific industry or profession?,0.753
Is a mythical or legendary story referenced?,0.753
Is a cultural practice or tradition mentioned?,0.752
Is there a discussion about the future or predictions?,0.752
Is a seasonal holiday or event described?,0.752
Does the story talk about a misunderstanding or confusion?,0.751
Is there a mention of a hobby or interest?,0.751
Does the input discuss a philosophical or existential question?,0.75
Does the input describe an encounter with a stranger?,0.75
Does the story involve a form of meditation or mindfulness?,0.749
Does the input involve a craft or handiwork project?,0.748
Is an unexpected discovery or surprise mentioned?,0.747
Is a form of self-improvement or personal development mentioned?,0.747
Is there an expression of surprise or unexpected outcome?,0.747
Is there a discussion of a social issue?,0.747
Is there a depiction of a relaxing or peaceful moment?,0.747
Is there a mention of a hobby or leisure activity?,0.746
Is there a reference to health and safety precautions?,0.746
Is there an expression of loyalty or commitment?,0.746
Does the input mention a social or community issue?,0.746
Does the story involve planning or preparing for an event?,0.746
Is the input reflecting on a personal change or growth?,0.746
Is a supernatural or paranormal event discussed?,0.746
Does the text mention a piece of advice?,0.746
Is a scientific concept or theory mentioned?,0.745
Is a social gathering or event described?,0.744
Does the story talk about a vacation or travel experience?,0.744
Does the input involve a financial topic or economic concept?,0.743
Is the input related to physical injury or trauma?,0.743
Is there mention of a religious or spiritual theme?,0.742
Is there a discussion of a new skill or hobby being learned?,0.742
Does the input discuss travel or exploration?,0.742
Does the input contain a question?,0.742
Is the input about a misunderstanding or assumption?,0.742
Is the input expressing gratitude or thanks?,0.741
Does the text involve a change in perspective or attitude?,0.741
Is there a mention of a specific food or drink?,0.741
Is a personal philosophy or worldview expressed?,0.74
Does the input express a political or social opinion?,0.74
Is a language or linguistic detail mentioned?,0.74
Is there a mention of a gadget or piece of technology?,0.74
Does the input involve an outdoor activity or adventure?,0.739
Is there a mention of a puzzle or mystery?,0.739
Does the input discuss a medical treatment or procedure?,0.739
Does the input discuss a personal goal or aspiration?,0.738
Does the input mention a form of artistic expression?,0.737
Does the input discuss a health issue or concern?,0.736
Does the story involve a retreat or getaway?,0.735
"Is there mention of a political event, policy, or figure?",0.734
Is the sentence providing an explanation or rationale?,0.734
Is there mention of a traditional or cultural dish?,0.734
Does the input discuss a technology trend or future prediction?,0.733
Does the text involve a safety or security measure?,0.733
Is there a mention of a place of worship or religious practice?,0.733
Does the input mention a change in a relationship?,0.732
Is a sport or physical activity mentioned in the input?,0.732
Is there any mention of a family member?,0.732
Does the input discuss an environmental issue or conservation effort?,0.732
Does the input discuss a societal issue or social justice topic?,0.731
Does the input include a moment of self-discovery?,0.731
Does the text include a planning or decision-making process?,0.731
Is a specific location described?,0.731
Does the input include a description of clothing?,0.73
Does the input involve a critique or review of something?,0.73
Is a new technological advancement discussed?,0.729
Does the input express gratitude?,0.729
Does the sentence express longing or nostalgia?,0.729
Is there a mention of a future plan or intention?,0.728
Is a fear or phobia expressed?,0.728
Is the input about overcoming a fear or challenge?,0.727
Does the input mention a routine or daily activity?,0.727
Is a personal transformation or change described?,0.727
"Is there mention of a book, film, or television show?",0.726
"Is there a discussion about sleep, dreams, or rest?",0.726
Is there a first-person pronoun in the input?,0.726
Does the text involve a financial challenge or setback?,0.726
Is a specific type of animal described?,0.725
Does the story describe a building or architecture?,0.725
Does the sentence reference a specific time of day?,0.725
Does the text involve a financial goal or saving?,0.725
Does the story mention a form of entertainment?,0.724
Does the sentence include a foreign word or phrase?,0.724
Does the input involve a legal matter or law enforcement?,0.724
Is a health or wellness practice described?,0.724
Is the input about a discovery or realization?,0.724
Is a moment of solitude or reflection described?,0.723
Is there a reference to a social media trend or online phenomenon?,0.723
Does the input contain negativity?,0.723
Does the story involve a technological problem or solution?,0.723
Does the text describe a personal space or room?,0.723
"Is there mention of a war, battle, or military event?",0.723
Does the story involve a personal project or creation?,0.722
Is a piece of technology described?,0.722
Does the story include a portrayal of a city or urban setting?,0.722
Does the input contain repetition?,0.722
Is there a mention of reading or writing?,0.722
Is there a mention of a new beginning or start?,0.722
Does the sentence mention a holiday or celebration?,0.722
Does the input involve a game or recreational activity?,0.721
Does the input involve a financial transaction or discussion?,0.721
Is there a discussion of a lesson learned or wisdom gained?,0.72
Is a moment of comedy or humor described?,0.72
Does the input describe a body of water?,0.72
Is a significant historical period or event described?,0.72
Is there a mention of a fictional character or story?,0.72
Is a friendship being formed or ending?,0.718
"Is there a reference to a myth, legend, or folklore?",0.718
Is the sentence describing a routine or habit?,0.718
Does the input contain an expression of anger?,0.718
Does the text talk about a hobby or pastime?,0.718
Is there an expression of pride or self-esteem?,0.718
Does the input include a comparison or metaphor?,0.717
Does the input involve planning or organizing?,0.716
Does the text mention a form of digital communication?,0.715
Does the text include a reflection on past events?,0.715
Does the story mention an act of charity or volunteering?,0.715
Does the story involve a close call or narrow escape?,0.715
Does the input involve a puzzle or problem to solve?,0.714
Is a meal being prepared or cooked?,0.714
Is there a reference to a dream or aspiration?,0.713
Does the sentence describe a scenic view or landscape?,0.713
Is there mention of a personal challenge or obstacle overcome?,0.712
Is the sentence involving a risk or dare?,0.712
Is there a mention of a musical experience or concert?,0.712
Is there a description of a fantasy or imaginary scenario?,0.712
"Is there a mention of a geographical feature, like a mountain or river?",0.711
Is a specific historical figure or leader mentioned?,0.711
Does the input describe a specific texture or sensation?,0.711
Does the sentence involve a health or wellness practice?,0.711
Does the input discuss a moral or ethical dilemma?,0.71
Does the input involve animals or wildlife?,0.709
Does the sentence describe an artistic or creative activity?,0.709
Is there a reference to a famous work of literature or author?,0.708
Does the story involve a pet or domestic animal?,0.708
"Is there a reference to space, astronomy, or the universe?",0.708
Does the input discuss a natural disaster or emergency situation?,0.708
Is the input related to food preparation?,0.707
Does the text include a prediction or expectation?,0.707
Does the input involve a debate or controversial topic?,0.707
Does the text mention a form of manual labor or craft?,0.706
Is an environmental concern or issue mentioned?,0.706
Is there a mention of a significant weather event?,0.706
Is there an expression of fear or anxiety?,0.705
Is hair or clothing mentioned in the input?,0.705
Is a conflict or problem introduced?,0.704
Does the story mention a childhood memory?,0.704
Does the story mention a craft or DIY project?,0.704
Does the input discuss a business or entrepreneurial venture?,0.704
Does the text describe a personal achievement?,0.703
Is a specific season described?,0.703
Does the input describe a moment of realization or epiphany?,0.703
"Is there a mention of a book, movie, or song?",0.703
Is a specific scientific field or discipline mentioned?,0.703
Does the input describe an animal?,0.7
Is technology or innovation discussed in the input?,0.699
Does the input discuss a personal achievement or milestone?,0.699
Is there an expression of surprise?,0.699
Does the story describe a personal crisis or emergency?,0.699
Is there any mention of weather or climate conditions?,0.697
Does the story mention an invention or discovery?,0.696
Is there a mention of a tradition or custom?,0.696
Is there a mention of a historical event?,0.694
Is there a mention of a game or sport?,0.694
Does the sentence mention a unique or unusual experience?,0.694
Is there a description of a meal?,0.693
Is a professional or career-related decision discussed?,0.693
Is there a discussion of a technological problem or bug?,0.693
Does the input involve a scientific experiment or research study?,0.692
