,0
0,task
1,idx
2,true_label
3,pred_label
4,answer
5,model
6,"['d3_26_grammar', 533, 0, 1, 'yes', 'mistral']"
7,"['d3_26_grammar', 533, 0, 0, 'no', 'meta']"
8,"['d3_26_grammar', 533, 0, 1, 'yes', 'openai']"
9,"['d3_26_grammar', 20, 1, 1, 'yes', 'meta']"
10,"['d3_26_grammar', 20, 1, 1, 'yes', 'openai']"
11,"['d3_26_grammar', 20, 1, 1, 'yes', 'mistral']"
12,"['d3_26_grammar', 229, 1, 1, 'yes', 'openai']"
13,"['d3_26_grammar', 229, 1, 0, 'no', 'meta']"
14,"['d3_26_grammar', 229, 1, 0, 'no', 'mistral']"
15,"['d3_26_grammar', 186, 1, 1, 'yes', 'openai']"
16,"['d3_26_grammar', 186, 1, 1, 'yes', 'meta']"
17,"['d3_26_grammar', 186, 1, 1, 'yes', 'mistral']"
18,"['d3_26_grammar', 614, 0, 0, 'no', 'openai']"
19,"['d3_26_grammar', 614, 0, 0, 'no', 'mistral']"
20,"['d3_26_grammar', 614, 0, 0, 'no', 'meta']"
21,"['d3_26_grammar', 564, 0, 1, 'yes', 'openai']"
22,"['d3_26_grammar', 564, 0, 0, 'no', 'mistral']"
23,"['d3_26_grammar', 564, 0, 0, 'no', 'meta']"
24,"['d3_26_grammar', 744, 0, 0, 'no', 'openai']"
25,"['d3_26_grammar', 744, 0, 0, 'no', 'meta']"
26,"['d3_26_grammar', 744, 0, 0, 'no', 'mistral']"
27,"['d3_26_grammar', 72, 1, 0, 'no', 'meta']"
28,"['d3_26_grammar', 72, 1, 1, 'yes', 'openai']"
29,"['d3_26_grammar', 72, 1, 0, 'no', 'mistral']"
30,"['d3_26_grammar', 351, 0, 0, 'no', 'mistral']"
31,"['d3_26_grammar', 351, 0, 0, 'no', 'meta']"
32,"['d3_26_grammar', 351, 0, 0, 'no', 'openai']"
33,"['d3_26_grammar', 24, 1, 1, 'yes', 'mistral']"
34,"['d3_26_grammar', 24, 1, 1, 'yes', 'meta']"
35,"['d3_26_grammar', 24, 1, 1, 'yes', 'openai']"
36,"['d3_26_grammar', 182, 1, 1, 'yes', 'openai']"
37,"['d3_26_grammar', 182, 1, 1, 'yes', 'mistral']"
38,"['d3_26_grammar', 182, 1, 1, 'yes', 'meta']"
39,"['d3_26_grammar', 421, 0, 0, 'no', 'meta']"
40,"['d3_26_grammar', 421, 0, 0, 'no', 'openai']"
41,"['d3_26_grammar', 421, 0, 0, 'no', 'mistral']"
42,"['d3_26_grammar', 22, 1, 0, 'no', 'meta']"
43,"['d3_26_grammar', 22, 1, 1, 'yes', 'openai']"
44,"['d3_26_grammar', 22, 1, 1, 'yes', 'mistral']"
45,"['d3_26_grammar', 165, 1, 1, 'yes', 'openai']"
46,"['d3_26_grammar', 165, 1, 0, 'no', 'meta']"
47,"['d3_26_grammar', 165, 1, 0, 'no', 'mistral']"
48,"['d3_26_grammar', 542, 0, 0, 'no', 'openai']"
49,"['d3_26_grammar', 542, 0, 0, 'no', 'meta']"
50,"['d3_26_grammar', 542, 0, 0, 'no', 'mistral']"
51,"['d3_26_grammar', 454, 0, 0, 'no', 'mistral']"
52,"['d3_26_grammar', 454, 0, 0, 'no', 'meta']"
53,"['d3_26_grammar', 454, 0, 0, 'no', 'openai']"
54,"['d3_26_grammar', 183, 1, 1, 'yes', 'mistral']"
55,"['d3_26_grammar', 183, 1, 1, 'yes', 'meta']"
56,"['d3_26_grammar', 183, 1, 1, 'yes', 'openai']"
57,"['d3_26_grammar', 491, 0, 0, 'no', 'meta']"
58,"['d3_26_grammar', 491, 0, 0, 'no', 'openai']"
59,"['d3_26_grammar', 491, 0, 0, 'no', 'mistral']"
60,"['d3_26_grammar', 675, 0, 0, 'no', 'openai']"
61,"['d3_26_grammar', 675, 0, 0, 'no', 'meta']"
62,"['d3_26_grammar', 675, 0, 0, 'no', 'mistral']"
63,"['d3_26_grammar', 5, 1, 1, 'yes', 'mistral']"
64,"['d3_26_grammar', 5, 1, 1, 'yes', 'meta']"
65,"['d3_26_grammar', 5, 1, 1, 'yes', 'openai']"
66,"['d3_26_grammar', 672, 0, 0, 'no', 'mistral']"
67,"['d3_26_grammar', 672, 0, 0, 'no', 'meta']"
68,"['d3_26_grammar', 672, 0, 0, 'no', 'openai']"
69,"['d3_26_grammar', 582, 0, 1, 'yes', 'openai']"
70,"['d3_26_grammar', 582, 0, 0, 'no', 'meta']"
71,"['d3_26_grammar', 582, 0, 0, 'no', 'mistral']"
72,"['d3_26_grammar', 283, 0, 0, 'no', 'meta']"
73,"['d3_26_grammar', 283, 0, 1, 'yes', 'openai']"
74,"['d3_26_grammar', 283, 0, 1, 'yes', 'mistral']"
75,"['d3_26_grammar', 129, 1, 1, 'yes', 'openai']"
76,"['d3_26_grammar', 129, 1, 1, 'yes', 'mistral']"
77,"['d3_26_grammar', 129, 1, 1, 'yes', 'meta']"
78,"['d3_26_grammar', 798, 0, 1, 'yes', 'meta']"
79,"['d3_26_grammar', 798, 0, 0, 'no', 'openai']"
80,"['d3_26_grammar', 798, 0, 0, 'no', 'mistral']"
81,"['d3_26_grammar', 280, 0, 1, 'yes', 'openai']"
82,"['d3_26_grammar', 280, 0, 0, 'no', 'meta']"
83,"['d3_26_grammar', 280, 0, 0, 'no', 'mistral']"
84,"['d3_26_grammar', 77, 1, 1, 'yes', 'openai']"
85,"['d3_26_grammar', 77, 1, 1, 'yes', 'meta']"
86,"['d3_26_grammar', 77, 1, 0, 'no', 'mistral']"
87,"['d3_26_grammar', 80, 1, 1, 'yes', 'openai']"
88,"['d3_26_grammar', 80, 1, 1, 'yes', 'meta']"
89,"['d3_26_grammar', 80, 1, 0, 'no', 'mistral']"
90,"['d3_26_grammar', 706, 0, 1, 'yes', 'openai']"
91,"['d3_26_grammar', 706, 0, 0, 'no', 'mistral']"
92,"['d3_26_grammar', 706, 0, 0, 'no', 'meta']"
93,"['d3_26_grammar', 503, 0, 0, 'no', 'meta']"
94,"['d3_26_grammar', 503, 0, 0, 'no', 'openai']"
95,"['d3_26_grammar', 503, 0, 0, 'no', 'mistral']"
96,"['d3_26_grammar', 673, 0, 0, 'no', 'mistral']"
97,"['d3_26_grammar', 673, 0, 0, 'no', 'meta']"
98,"['d3_26_grammar', 673, 0, 0, 'no', 'openai']"
99,"['d3_26_grammar', 608, 0, 0, 'no', 'openai']"
100,"['d3_26_grammar', 608, 0, 0, 'no', 'meta']"
101,"['d3_26_grammar', 608, 0, 0, 'no', 'mistral']"
102,"['d3_26_grammar', 447, 0, 1, 'yes', 'openai']"
103,"['d3_26_grammar', 447, 0, 1, 'yes', 'meta']"
104,"['d3_26_grammar', 447, 0, 1, 'yes', 'mistral']"
105,"['d3_26_grammar', 811, 0, 0, 'no', 'mistral']"
106,"['d3_26_grammar', 811, 0, 0, 'no', 'meta']"
107,"['d3_26_grammar', 811, 0, 0, 'no', 'openai']"
108,"['d3_26_grammar', 315, 0, 1, 'yes', 'mistral']"
109,"['d3_26_grammar', 315, 0, 1, 'yes', 'meta']"
110,"['d3_26_grammar', 315, 0, 1, 'yes', 'openai']"
111,"['d3_26_grammar', 460, 0, 0, 'no', 'openai']"
112,"['d3_26_grammar', 460, 0, 0, 'no', 'meta']"
113,"['d3_26_grammar', 460, 0, 0, 'no', 'mistral']"
114,"['d3_26_grammar', 691, 0, 0, 'no', 'openai']"
115,"['d3_26_grammar', 691, 0, 0, 'no', 'meta']"
116,"['d3_26_grammar', 691, 0, 0, 'no', 'mistral']"
117,"['d3_26_grammar', 515, 0, 1, 'yes', 'openai']"
118,"['d3_26_grammar', 515, 0, 0, 'no', 'mistral']"
119,"['d3_26_grammar', 515, 0, 0, 'no', 'meta']"
120,"['d3_26_grammar', 718, 0, 0, 'no', 'mistral']"
121,"['d3_26_grammar', 718, 0, 0, 'no', 'meta']"
122,"['d3_26_grammar', 718, 0, 1, 'yes', 'openai']"
123,"['d3_26_grammar', 481, 0, 0, 'no', 'openai']"
124,"['d3_26_grammar', 481, 0, 0, 'no', 'mistral']"
125,"['d3_26_grammar', 481, 0, 0, 'no', 'meta']"
126,"['d3_26_grammar', 587, 0, 1, 'yes', 'openai']"
127,"['d3_26_grammar', 587, 0, 0, 'no', 'meta']"
128,"['d3_26_grammar', 587, 0, 0, 'no', 'mistral']"
129,"['d3_26_grammar', 38, 1, 1, 'yes', 'meta']"
130,"['d3_26_grammar', 38, 1, 1, 'yes', 'openai']"
131,"['d3_26_grammar', 38, 1, 1, 'yes', 'mistral']"
132,"['d3_26_grammar', 190, 1, 1, 'yes', 'openai']"
133,"['d3_26_grammar', 190, 1, 1, 'yes', 'mistral']"
134,"['d3_26_grammar', 190, 1, 1, 'yes', 'meta']"
135,"['d3_26_grammar', 241, 1, 1, 'yes', 'meta']"
136,"['d3_26_grammar', 241, 1, 1, 'yes', 'openai']"
137,"['d3_26_grammar', 241, 1, 1, 'yes', 'mistral']"
138,"['d3_26_grammar', 66, 1, 1, 'yes', 'openai']"
139,"['d3_26_grammar', 66, 1, 1, 'yes', 'meta']"
140,"['d3_26_grammar', 66, 1, 1, 'yes', 'mistral']"
141,"['d3_26_grammar', 194, 1, 1, 'yes', 'meta']"
142,"['d3_26_grammar', 194, 1, 1, 'yes', 'openai']"
143,"['d3_26_grammar', 194, 1, 1, 'yes', 'mistral']"
144,"['d3_26_grammar', 84, 1, 1, 'yes', 'openai']"
145,"['d3_26_grammar', 84, 1, 0, 'no', 'meta']"
146,"['d3_26_grammar', 84, 1, 1, 'yes', 'mistral']"
147,"['d3_26_grammar', 231, 1, 1, 'yes', 'openai']"
148,"['d3_26_grammar', 231, 1, 1, 'yes', 'meta']"
149,"['d3_26_grammar', 231, 1, 1, 'yes', 'mistral']"
150,"['d3_26_grammar', 530, 0, 0, 'no', 'openai']"
151,"['d3_26_grammar', 530, 0, 0, 'no', 'meta']"
152,"['d3_26_grammar', 530, 0, 0, 'no', 'mistral']"
153,"['d3_26_grammar', 304, 0, 0, 'no', 'mistral']"
154,"['d3_26_grammar', 304, 0, 0, 'no', 'meta']"
155,"['d3_26_grammar', 304, 0, 1, 'yes', 'openai']"
156,"['d3_26_grammar', 308, 0, 0, 'no', 'mistral']"
157,"['d3_26_grammar', 308, 0, 0, 'no', 'meta']"
