,0
0,task
1,idx
2,true_label
3,pred_label
4,answer
5,model
6,"['d3_40_abbrevation', 1175, 0, 0, 'no', 'mistral']"
7,"['d3_40_abbrevation', 1175, 0, 1, 'yes', 'meta']"
8,"['d3_40_abbrevation', 1175, 0, 0, 'no', 'openai']"
9,"['d3_40_abbrevation', 45, 1, 1, 'yes', 'openai']"
10,"['d3_40_abbrevation', 45, 1, 1, 'yes', 'meta']"
11,"['d3_40_abbrevation', 45, 1, 1, 'yes', 'mistral']"
12,"['d3_40_abbrevation', 505, 0, 0, 'no', 'openai']"
13,"['d3_40_abbrevation', 505, 0, 0, 'no', 'meta']"
14,"['d3_40_abbrevation', 505, 0, 0, 'no', 'mistral']"
15,"['d3_40_abbrevation', 410, 0, 0, 'no', 'openai']"
16,"['d3_40_abbrevation', 410, 0, 0, 'no', 'meta']"
17,"['d3_40_abbrevation', 410, 0, 0, 'no', 'mistral']"
18,"['d3_40_abbrevation', 1354, 0, 0, 'no', 'mistral']"
19,"['d3_40_abbrevation', 1354, 0, 0, 'no', 'meta']"
20,"['d3_40_abbrevation', 1354, 0, 0, 'no', 'openai']"
21,"['d3_40_abbrevation', 1244, 0, 0, 'no', 'openai']"
22,"['d3_40_abbrevation', 1244, 0, 0, 'no', 'mistral']"
23,"['d3_40_abbrevation', 1244, 0, 0, 'no', 'meta']"
24,"['d3_40_abbrevation', 1640, 0, 1, 'yes', 'openai']"
25,"['d3_40_abbrevation', 1640, 0, 0, 'no', 'mistral']"
26,"['d3_40_abbrevation', 1640, 0, 0, 'no', 'meta']"
27,"['d3_40_abbrevation', 159, 0, 0, 'no', 'mistral']"
28,"['d3_40_abbrevation', 159, 0, 0, 'no', 'meta']"
29,"['d3_40_abbrevation', 159, 0, 0, 'no', 'openai']"
30,"['d3_40_abbrevation', 775, 0, 0, 'no', 'mistral']"
31,"['d3_40_abbrevation', 775, 0, 1, 'yes', 'meta']"
32,"['d3_40_abbrevation', 775, 0, 0, 'no', 'openai']"
33,"['d3_40_abbrevation', 54, 1, 0, 'no', 'openai']"
34,"['d3_40_abbrevation', 54, 1, 1, 'yes', 'meta']"
35,"['d3_40_abbrevation', 54, 1, 1, 'yes', 'mistral']"
36,"['d3_40_abbrevation', 402, 0, 0, 'no', 'mistral']"
37,"['d3_40_abbrevation', 402, 0, 0, 'no', 'meta']"
38,"['d3_40_abbrevation', 402, 0, 0, 'no', 'openai']"
39,"['d3_40_abbrevation', 929, 0, 0, 'no', 'openai']"
40,"['d3_40_abbrevation', 929, 0, 0, 'no', 'meta']"
41,"['d3_40_abbrevation', 929, 0, 0, 'no', 'mistral']"
42,"['d3_40_abbrevation', 48, 1, 1, 'yes', 'openai']"
43,"['d3_40_abbrevation', 48, 1, 1, 'yes', 'mistral']"
44,"['d3_40_abbrevation', 48, 1, 1, 'yes', 'meta']"
45,"['d3_40_abbrevation', 365, 0, 0, 'no', 'mistral']"
46,"['d3_40_abbrevation', 365, 0, 0, 'no', 'meta']"
47,"['d3_40_abbrevation', 365, 0, 0, 'no', 'openai']"
48,"['d3_40_abbrevation', 1195, 0, 0, 'no', 'mistral']"
49,"['d3_40_abbrevation', 1195, 0, 0, 'no', 'meta']"
50,"['d3_40_abbrevation', 1195, 0, 1, 'yes', 'openai']"
51,"['d3_40_abbrevation', 1002, 0, 0, 'no', 'mistral']"
52,"['d3_40_abbrevation', 1002, 0, 0, 'no', 'meta']"
53,"['d3_40_abbrevation', 1002, 0, 0, 'no', 'openai']"
54,"['d3_40_abbrevation', 405, 0, 0, 'no', 'openai']"
55,"['d3_40_abbrevation', 405, 0, 0, 'no', 'meta']"
56,"['d3_40_abbrevation', 405, 0, 0, 'no', 'mistral']"
57,"['d3_40_abbrevation', 1083, 0, 0, 'no', 'openai']"
58,"['d3_40_abbrevation', 1083, 0, 1, 'yes', 'meta']"
59,"['d3_40_abbrevation', 1083, 0, 0, 'no', 'mistral']"
60,"['d3_40_abbrevation', 1488, 0, 0, 'no', 'mistral']"
61,"['d3_40_abbrevation', 1488, 0, 0, 'no', 'meta']"
62,"['d3_40_abbrevation', 1488, 0, 0, 'no', 'openai']"
63,"['d3_40_abbrevation', 11, 1, 1, 'yes', 'mistral']"
64,"['d3_40_abbrevation', 11, 1, 1, 'yes', 'meta']"
65,"['d3_40_abbrevation', 11, 1, 1, 'yes', 'openai']"
66,"['d3_40_abbrevation', 1481, 0, 0, 'no', 'mistral']"
67,"['d3_40_abbrevation', 1481, 0, 1, 'yes', 'meta']"
68,"['d3_40_abbrevation', 1481, 0, 0, 'no', 'openai']"
69,"['d3_40_abbrevation', 1283, 0, 0, 'no', 'openai']"
70,"['d3_40_abbrevation', 1283, 0, 0, 'no', 'meta']"
71,"['d3_40_abbrevation', 1283, 0, 0, 'no', 'mistral']"
72,"['d3_40_abbrevation', 625, 0, 0, 'no', 'mistral']"
73,"['d3_40_abbrevation', 625, 0, 1, 'yes', 'meta']"
74,"['d3_40_abbrevation', 625, 0, 0, 'no', 'openai']"
75,"['d3_40_abbrevation', 285, 0, 0, 'no', 'mistral']"
76,"['d3_40_abbrevation', 285, 0, 1, 'yes', 'meta']"
77,"['d3_40_abbrevation', 285, 0, 0, 'no', 'openai']"
78,"['d3_40_abbrevation', 1760, 0, 0, 'no', 'openai']"
79,"['d3_40_abbrevation', 1760, 0, 1, 'yes', 'meta']"
80,"['d3_40_abbrevation', 1760, 0, 0, 'no', 'mistral']"
81,"['d3_40_abbrevation', 618, 0, 0, 'no', 'mistral']"
82,"['d3_40_abbrevation', 618, 0, 0, 'no', 'meta']"
83,"['d3_40_abbrevation', 618, 0, 0, 'no', 'openai']"
84,"['d3_40_abbrevation', 170, 0, 0, 'no', 'meta']"
85,"['d3_40_abbrevation', 170, 0, 1, 'yes', 'openai']"
86,"['d3_40_abbrevation', 170, 0, 0, 'no', 'mistral']"
87,"['d3_40_abbrevation', 177, 0, 0, 'no', 'openai']"
88,"['d3_40_abbrevation', 177, 0, 0, 'no', 'meta']"
89,"['d3_40_abbrevation', 177, 0, 0, 'no', 'mistral']"
90,"['d3_40_abbrevation', 1558, 0, 0, 'no', 'mistral']"
91,"['d3_40_abbrevation', 1558, 0, 0, 'no', 'meta']"
92,"['d3_40_abbrevation', 1558, 0, 0, 'no', 'openai']"
93,"['d3_40_abbrevation', 1110, 0, 1, 'yes', 'openai']"
94,"['d3_40_abbrevation', 1110, 0, 1, 'yes', 'meta']"
95,"['d3_40_abbrevation', 1110, 0, 1, 'yes', 'mistral']"
96,"['d3_40_abbrevation', 1484, 0, 0, 'no', 'mistral']"
97,"['d3_40_abbrevation', 1484, 0, 0, 'no', 'meta']"
98,"['d3_40_abbrevation', 1484, 0, 0, 'no', 'openai']"
99,"['d3_40_abbrevation', 1341, 0, 0, 'no', 'meta']"
100,"['d3_40_abbrevation', 1341, 0, 0, 'no', 'openai']"
101,"['d3_40_abbrevation', 1341, 0, 0, 'no', 'mistral']"
102,"['d3_40_abbrevation', 986, 0, 0, 'no', 'openai']"
103,"['d3_40_abbrevation', 986, 0, 0, 'no', 'meta']"
104,"['d3_40_abbrevation', 986, 0, 0, 'no', 'mistral']"
105,"['d3_40_abbrevation', 1789, 0, 0, 'no', 'openai']"
106,"['d3_40_abbrevation', 1789, 0, 1, 'yes', 'meta']"
107,"['d3_40_abbrevation', 1789, 0, 0, 'no', 'mistral']"
108,"['d3_40_abbrevation', 696, 0, 0, 'no', 'openai']"
109,"['d3_40_abbrevation', 696, 0, 1, 'yes', 'meta']"
110,"['d3_40_abbrevation', 696, 0, 0, 'no', 'mistral']"
111,"['d3_40_abbrevation', 1015, 0, 0, 'no', 'openai']"
112,"['d3_40_abbrevation', 1015, 0, 0, 'no', 'mistral']"
113,"['d3_40_abbrevation', 1015, 0, 0, 'no', 'meta']"
114,"['d3_40_abbrevation', 1525, 0, 0, 'no', 'openai']"
115,"['d3_40_abbrevation', 1525, 0, 1, 'yes', 'meta']"
116,"['d3_40_abbrevation', 1525, 0, 0, 'no', 'mistral']"
117,"['d3_40_abbrevation', 1137, 0, 0, 'no', 'openai']"
118,"['d3_40_abbrevation', 1137, 0, 0, 'no', 'meta']"
119,"['d3_40_abbrevation', 1137, 0, 0, 'no', 'mistral']"
120,"['d3_40_abbrevation', 1584, 0, 0, 'no', 'openai']"
121,"['d3_40_abbrevation', 1584, 0, 0, 'no', 'mistral']"
122,"['d3_40_abbrevation', 1584, 0, 0, 'no', 'meta']"
123,"['d3_40_abbrevation', 1061, 0, 0, 'no', 'meta']"
124,"['d3_40_abbrevation', 1061, 0, 0, 'no', 'openai']"
125,"['d3_40_abbrevation', 1061, 0, 0, 'no', 'mistral']"
126,"['d3_40_abbrevation', 1295, 0, 0, 'no', 'openai']"
127,"['d3_40_abbrevation', 1295, 0, 0, 'no', 'meta']"
128,"['d3_40_abbrevation', 1295, 0, 0, 'no', 'mistral']"
129,"['d3_40_abbrevation', 84, 0, 0, 'no', 'mistral']"
130,"['d3_40_abbrevation', 84, 0, 0, 'no', 'meta']"
131,"['d3_40_abbrevation', 84, 0, 0, 'no', 'openai']"
132,"['d3_40_abbrevation', 419, 0, 0, 'no', 'mistral']"
133,"['d3_40_abbrevation', 419, 0, 0, 'no', 'meta']"
134,"['d3_40_abbrevation', 419, 0, 0, 'no', 'openai']"
135,"['d3_40_abbrevation', 532, 0, 0, 'no', 'mistral']"
136,"['d3_40_abbrevation', 532, 0, 0, 'no', 'meta']"
137,"['d3_40_abbrevation', 532, 0, 0, 'no', 'openai']"
138,"['d3_40_abbrevation', 146, 0, 0, 'no', 'openai']"
139,"['d3_40_abbrevation', 146, 0, 0, 'no', 'meta']"
140,"['d3_40_abbrevation', 146, 0, 0, 'no', 'mistral']"
141,"['d3_40_abbrevation', 428, 0, 0, 'no', 'meta']"
142,"['d3_40_abbrevation', 428, 0, 0, 'no', 'openai']"
143,"['d3_40_abbrevation', 428, 0, 0, 'no', 'mistral']"
144,"['d3_40_abbrevation', 185, 0, 0, 'no', 'mistral']"
145,"['d3_40_abbrevation', 185, 0, 0, 'no', 'meta']"
146,"['d3_40_abbrevation', 185, 0, 0, 'no', 'openai']"
147,"['d3_40_abbrevation', 511, 0, 0, 'no', 'mistral']"
148,"['d3_40_abbrevation', 511, 0, 0, 'no', 'meta']"
