,0
0,task
1,idx
2,true_label
3,pred_label
4,answer
5,model
6,"['d3_42_environment', 79, 0, 0, 'no', 'openai']"
7,"['d3_42_environment', 79, 0, 0, 'no', 'mistral']"
8,"['d3_42_environment', 79, 0, 0, 'no', 'meta']"
9,"['d3_42_environment', 79, 0, 0, 'no', 'gpt4']"
10,"['d3_42_environment', 3, 1, 0, 'no', 'mistral']"
11,"['d3_42_environment', 3, 1, 1, 'yes', 'meta']"
12,"['d3_42_environment', 3, 1, 1, 'yes', 'openai']"
13,"['d3_42_environment', 3, 1, 1, 'yes', 'gpt4']"
14,"['d3_42_environment', 34, 0, 0, 'no', 'mistral']"
15,"['d3_42_environment', 34, 0, 0, 'no', 'meta']"
16,"['d3_42_environment', 34, 0, 0, 'no', 'openai']"
17,"['d3_42_environment', 34, 0, 0, 'no', 'gpt4']"
18,"['d3_42_environment', 27, 0, 0, 'no', 'meta']"
19,"['d3_42_environment', 27, 0, 0, 'no', 'openai']"
20,"['d3_42_environment', 27, 0, 0, 'no', 'mistral']"
21,"['d3_42_environment', 27, 0, 0, 'no', 'gpt4']"
22,"['d3_42_environment', 91, 0, 0, 'no', 'openai']"
23,"['d3_42_environment', 91, 0, 0, 'no', 'meta']"
24,"['d3_42_environment', 91, 0, 0, 'no', 'mistral']"
25,"['d3_42_environment', 91, 0, 0, 'no', 'gpt4']"
26,"['d3_42_environment', 83, 0, 0, 'no', 'openai']"
27,"['d3_42_environment', 83, 0, 0, 'no', 'mistral']"
28,"['d3_42_environment', 83, 0, 0, 'no', 'meta']"
29,"['d3_42_environment', 83, 0, 0, 'no', 'gpt4']"
30,"['d3_42_environment', 110, 0, 0, 'no', 'openai']"
31,"['d3_42_environment', 110, 0, 0, 'no', 'meta']"
32,"['d3_42_environment', 110, 0, 0, 'no', 'mistral']"
33,"['d3_42_environment', 110, 0, 0, 'no', 'gpt4']"
34,"['d3_42_environment', 10, 0, 0, 'no', 'mistral']"
35,"['d3_42_environment', 10, 0, 0, 'no', 'meta']"
36,"['d3_42_environment', 10, 0, 0, 'no', 'openai']"
37,"['d3_42_environment', 10, 0, 0, 'no', 'gpt4']"
38,"['d3_42_environment', 52, 0, 1, 'yes', 'openai']"
39,"['d3_42_environment', 52, 0, 1, 'yes', 'meta']"
40,"['d3_42_environment', 52, 0, 0, 'no', 'mistral']"
41,"['d3_42_environment', 52, 0, 0, 'no', 'gpt4']"
42,"['d3_42_environment', 3, 1, 0, 'no', 'mistral']"
43,"['d3_42_environment', 3, 1, 1, 'yes', 'meta']"
44,"['d3_42_environment', 3, 1, 1, 'yes', 'openai']"
45,"['d3_42_environment', 3, 1, 1, 'yes', 'gpt4']"
46,"['d3_42_environment', 27, 0, 0, 'no', 'meta']"
47,"['d3_42_environment', 27, 0, 0, 'no', 'openai']"
48,"['d3_42_environment', 27, 0, 0, 'no', 'mistral']"
49,"['d3_42_environment', 27, 0, 0, 'no', 'gpt4']"
50,"['d3_42_environment', 62, 0, 0, 'no', 'meta']"
51,"['d3_42_environment', 62, 0, 1, 'yes', 'openai']"
52,"['d3_42_environment', 62, 0, 0, 'no', 'mistral']"
53,"['d3_42_environment', 62, 0, 0, 'no', 'gpt4']"
54,"['d3_42_environment', 3, 1, 0, 'no', 'mistral']"
55,"['d3_42_environment', 3, 1, 1, 'yes', 'meta']"
56,"['d3_42_environment', 3, 1, 1, 'yes', 'openai']"
57,"['d3_42_environment', 3, 1, 1, 'yes', 'gpt4']"
58,"['d3_42_environment', 24, 0, 1, 'yes', 'openai']"
59,"['d3_42_environment', 24, 0, 0, 'no', 'mistral']"
60,"['d3_42_environment', 24, 0, 1, 'yes', 'meta']"
61,"['d3_42_environment', 24, 0, 0, 'no', 'gpt4']"
62,"['d3_42_environment', 80, 0, 0, 'no', 'openai']"
63,"['d3_42_environment', 80, 0, 0, 'no', 'meta']"
64,"['d3_42_environment', 80, 0, 0, 'no', 'mistral']"
65,"['d3_42_environment', 80, 0, 0, 'no', 'gpt4']"
66,"['d3_42_environment', 67, 0, 0, 'no', 'openai']"
67,"['d3_42_environment', 67, 0, 0, 'no', 'mistral']"
68,"['d3_42_environment', 67, 0, 0, 'no', 'meta']"
69,"['d3_42_environment', 67, 0, 0, 'no', 'gpt4']"
70,"['d3_42_environment', 27, 0, 0, 'no', 'openai']"
71,"['d3_42_environment', 27, 0, 0, 'no', 'meta']"
72,"['d3_42_environment', 27, 0, 0, 'no', 'mistral']"
73,"['d3_42_environment', 27, 0, 0, 'no', 'gpt4']"
74,"['d3_42_environment', 73, 0, 0, 'no', 'mistral']"
75,"['d3_42_environment', 73, 0, 0, 'no', 'meta']"
76,"['d3_42_environment', 73, 0, 0, 'no', 'openai']"
77,"['d3_42_environment', 73, 0, 0, 'no', 'gpt4']"
78,"['d3_42_environment', 100, 0, 0, 'no', 'mistral']"
79,"['d3_42_environment', 100, 0, 0, 'no', 'meta']"
80,"['d3_42_environment', 100, 0, 0, 'no', 'openai']"
81,"['d3_42_environment', 100, 0, 0, 'no', 'gpt4']"
82,"['d3_42_environment', 0, 1, 0, 'no', 'mistral']"
83,"['d3_42_environment', 0, 1, 1, 'yes', 'meta']"
84,"['d3_42_environment', 0, 1, 1, 'yes', 'openai']"
85,"['d3_42_environment', 0, 1, 1, 'yes', 'gpt4']"
