,0
0,task
1,idx
2,true_label
3,pred_label
4,answer
5,model
6,"['d3_4_atheism', 109, 0, 0, 'no', 'openai']"
7,"['d3_4_atheism', 109, 0, 0, 'no', 'meta']"
8,"['d3_4_atheism', 109, 0, 0, 'no', 'mistral']"
9,"['d3_4_atheism', 109, 0, 0, 'no', 'gpt4']"
10,"['d3_4_atheism', 4, 1, 1, 'yes', 'mistral']"
11,"['d3_4_atheism', 4, 1, 1, 'yes', 'meta']"
12,"['d3_4_atheism', 4, 1, 1, 'yes', 'openai']"
13,"['d3_4_atheism', 4, 1, 1, 'yes', 'gpt4']"
14,"['d3_4_atheism', 47, 0, 0, 'no', 'openai']"
15,"['d3_4_atheism', 47, 0, 0, 'no', 'meta']"
16,"['d3_4_atheism', 47, 0, 0, 'no', 'mistral']"
17,"['d3_4_atheism', 47, 0, 0, 'no', 'gpt4']"
18,"['d3_4_atheism', 38, 0, 0, 'no', 'mistral']"
19,"['d3_4_atheism', 38, 0, 0, 'no', 'meta']"
20,"['d3_4_atheism', 38, 0, 0, 'no', 'openai']"
21,"['d3_4_atheism', 38, 0, 0, 'no', 'gpt4']"
22,"['d3_4_atheism', 126, 0, 0, 'no', 'mistral']"
23,"['d3_4_atheism', 126, 0, 0, 'no', 'meta']"
24,"['d3_4_atheism', 126, 0, 0, 'no', 'openai']"
25,"['d3_4_atheism', 126, 0, 0, 'no', 'gpt4']"
26,"['d3_4_atheism', 116, 0, 1, 'yes', 'openai']"
27,"['d3_4_atheism', 116, 0, 1, 'yes', 'mistral']"
28,"['d3_4_atheism', 116, 0, 1, 'yes', 'meta']"
29,"['d3_4_atheism', 116, 0, 1, 'yes', 'gpt4']"
30,"['d3_4_atheism', 153, 0, 0, 'no', 'openai']"
31,"['d3_4_atheism', 153, 0, 0, 'no', 'meta']"
32,"['d3_4_atheism', 153, 0, 0, 'no', 'mistral']"
33,"['d3_4_atheism', 153, 0, 0, 'no', 'gpt4']"
34,"['d3_4_atheism', 14, 1, 1, 'yes', 'openai']"
35,"['d3_4_atheism', 14, 1, 0, 'no', 'mistral']"
36,"['d3_4_atheism', 14, 1, 1, 'yes', 'meta']"
37,"['d3_4_atheism', 14, 1, 1, 'yes', 'gpt4']"
38,"['d3_4_atheism', 72, 0, 0, 'this', 'mistral']"
39,"['d3_4_atheism', 72, 0, 0, 'no', 'meta']"
40,"['d3_4_atheism', 72, 0, 0, 'no', 'openai']"
41,"['d3_4_atheism', 72, 0, 0, 'no', 'gpt4']"
42,"['d3_4_atheism', 5, 1, 1, 'yes', 'mistral']"
43,"['d3_4_atheism', 5, 1, 1, 'yes', 'meta']"
44,"['d3_4_atheism', 5, 1, 1, 'yes', 'openai']"
45,"['d3_4_atheism', 5, 1, 1, 'yes', 'gpt4']"
46,"['d3_4_atheism', 37, 0, 0, 'no', 'mistral']"
47,"['d3_4_atheism', 37, 0, 0, 'no', 'meta']"
48,"['d3_4_atheism', 37, 0, 0, 'no', 'openai']"
49,"['d3_4_atheism', 37, 0, 0, 'no', 'gpt4']"
50,"['d3_4_atheism', 86, 0, 0, 'no', 'mistral']"
51,"['d3_4_atheism', 86, 0, 0, 'no', 'meta']"
52,"['d3_4_atheism', 86, 0, 0, 'no', 'openai']"
53,"['d3_4_atheism', 86, 0, 0, 'no', 'gpt4']"
54,"['d3_4_atheism', 4, 1, 1, 'yes', 'openai']"
55,"['d3_4_atheism', 4, 1, 1, 'yes', 'mistral']"
56,"['d3_4_atheism', 4, 1, 1, 'yes', 'meta']"
57,"['d3_4_atheism', 4, 1, 1, 'yes', 'gpt4']"
58,"['d3_4_atheism', 34, 0, 0, 'no', 'meta']"
59,"['d3_4_atheism', 34, 0, 0, 'no', 'openai']"
60,"['d3_4_atheism', 34, 0, 0, 'no', 'mistral']"
61,"['d3_4_atheism', 34, 0, 0, 'no', 'gpt4']"
62,"['d3_4_atheism', 111, 0, 0, 'no', 'meta']"
63,"['d3_4_atheism', 111, 0, 0, 'no', 'openai']"
64,"['d3_4_atheism', 111, 0, 0, 'no', 'mistral']"
65,"['d3_4_atheism', 111, 0, 0, 'no', 'gpt4']"
66,"['d3_4_atheism', 93, 0, 0, 'no', 'openai']"
67,"['d3_4_atheism', 93, 0, 0, 'no', 'mistral']"
68,"['d3_4_atheism', 93, 0, 0, 'no', 'meta']"
69,"['d3_4_atheism', 93, 0, 0, 'no', 'gpt4']"
70,"['d3_4_atheism', 37, 0, 0, 'no', 'mistral']"
71,"['d3_4_atheism', 37, 0, 0, 'no', 'meta']"
72,"['d3_4_atheism', 37, 0, 0, 'no', 'openai']"
73,"['d3_4_atheism', 37, 0, 0, 'no', 'gpt4']"
74,"['d3_4_atheism', 101, 0, 0, 'no', 'mistral']"
75,"['d3_4_atheism', 101, 0, 0, 'no', 'meta']"
76,"['d3_4_atheism', 101, 0, 0, 'no', 'openai']"
77,"['d3_4_atheism', 101, 0, 0, 'no', 'gpt4']"
78,"['d3_4_atheism', 139, 0, 0, 'no', 'openai']"
79,"['d3_4_atheism', 139, 0, 0, 'no', 'meta']"
80,"['d3_4_atheism', 139, 0, 0, 'no', 'mistral']"
81,"['d3_4_atheism', 139, 0, 0, 'no', 'gpt4']"
82,"['d3_4_atheism', 1, 1, 0, 'no', 'mistral']"
83,"['d3_4_atheism', 1, 1, 1, 'yes', 'meta']"
84,"['d3_4_atheism', 1, 1, 0, 'no', 'openai']"
85,"['d3_4_atheism', 1, 1, 1, 'yes', 'gpt4']"
