,0
0,task
1,idx
2,true_label
3,pred_label
4,answer
5,model
6,"['d3_31_sports', 3628, 0, 0, 'no', 'mistral']"
7,"['d3_31_sports', 3628, 0, 0, 'no', 'meta']"
8,"['d3_31_sports', 3628, 0, 0, 'no', 'openai']"
9,"['d3_31_sports', 141, 1, 0, 'no', 'meta']"
10,"['d3_31_sports', 141, 1, 1, 'yes', 'openai']"
11,"['d3_31_sports', 141, 1, 1, 'yes', 'mistral']"
12,"['d3_31_sports', 1560, 0, 0, 'no', 'openai']"
13,"['d3_31_sports', 1560, 0, 0, 'no', 'meta']"
14,"['d3_31_sports', 1560, 0, 0, 'no', 'mistral']"
15,"['d3_31_sports', 1266, 1, 1, 'yes', 'mistral']"
16,"['d3_31_sports', 1266, 1, 1, 'yes', 'meta']"
17,"['d3_31_sports', 1266, 1, 1, 'yes', 'openai']"
18,"['d3_31_sports', 4178, 0, 0, 'no', 'mistral']"
19,"['d3_31_sports', 4178, 0, 0, 'no', 'meta']"
20,"['d3_31_sports', 4178, 0, 0, 'no', 'openai']"
21,"['d3_31_sports', 3839, 0, 0, 'no', 'openai']"
22,"['d3_31_sports', 3839, 0, 0, 'no', 'meta']"
23,"['d3_31_sports', 3839, 0, 0, 'no', 'mistral']"
24,"['d3_31_sports', 5062, 0, 0, 'no', 'openai']"
25,"['d3_31_sports', 5062, 0, 0, 'no', 'meta']"
26,"['d3_31_sports', 5062, 0, 0, 'no', 'mistral']"
27,"['d3_31_sports', 493, 1, 0, 'no', 'openai']"
28,"['d3_31_sports', 493, 1, 0, 'no', 'mistral']"
29,"['d3_31_sports', 493, 1, 0, 'no', 'meta']"
30,"['d3_31_sports', 2393, 0, 0, 'no', 'openai']"
31,"['d3_31_sports', 2393, 0, 0, 'no', 'meta']"
32,"['d3_31_sports', 2393, 0, 0, 'no', 'mistral']"
33,"['d3_31_sports', 169, 1, 1, 'yes', 'openai']"
34,"['d3_31_sports', 169, 1, 1, 'yes', 'meta']"
35,"['d3_31_sports', 169, 1, 1, 'yes', 'mistral']"
36,"['d3_31_sports', 1240, 1, 1, 'yes', 'mistral']"
37,"['d3_31_sports', 1240, 1, 1, 'yes', 'meta']"
38,"['d3_31_sports', 1240, 1, 1, 'yes', 'openai']"
39,"['d3_31_sports', 2867, 0, 0, 'no', 'openai']"
40,"['d3_31_sports', 2867, 0, 0, 'no', 'meta']"
41,"['d3_31_sports', 2867, 0, 0, 'no', 'mistral']"
42,"['d3_31_sports', 150, 1, 0, 'no', 'meta']"
43,"['d3_31_sports', 150, 1, 0, 'no', 'openai']"
44,"['d3_31_sports', 150, 1, 0, 'no', 'mistral']"
45,"['d3_31_sports', 1128, 1, 1, 'yes', 'mistral']"
46,"['d3_31_sports', 1128, 1, 1, 'yes', 'meta']"
47,"['d3_31_sports', 1128, 1, 1, 'yes', 'openai']"
48,"['d3_31_sports', 3687, 0, 0, 'no', 'openai']"
49,"['d3_31_sports', 3687, 0, 0, 'no', 'meta']"
50,"['d3_31_sports', 3687, 0, 0, 'no', 'mistral']"
51,"['d3_31_sports', 3091, 0, 0, 'no', 'meta']"
52,"['d3_31_sports', 3091, 0, 0, 'no', 'openai']"
53,"['d3_31_sports', 3091, 0, 0, 'no', 'mistral']"
54,"['d3_31_sports', 1250, 1, 1, 'yes', 'openai']"
55,"['d3_31_sports', 1250, 1, 1, 'yes', 'meta']"
56,"['d3_31_sports', 1250, 1, 1, 'yes', 'mistral']"
57,"['d3_31_sports', 3343, 0, 0, 'no', 'openai']"
58,"['d3_31_sports', 3343, 0, 0, 'no', 'meta']"
59,"['d3_31_sports', 3343, 0, 0, 'no', 'mistral']"
60,"['d3_31_sports', 4592, 0, 0, 'no', 'mistral']"
61,"['d3_31_sports', 4592, 0, 0, 'no', 'meta']"
62,"['d3_31_sports', 4592, 0, 0, 'no', 'openai']"
63,"['d3_31_sports', 36, 1, 1, 'yes', 'openai']"
64,"['d3_31_sports', 36, 1, 1, 'yes', 'mistral']"
65,"['d3_31_sports', 36, 1, 1, 'yes', 'meta']"
66,"['d3_31_sports', 4572, 0, 0, 'no', 'meta']"
67,"['d3_31_sports', 4572, 0, 0, 'no', 'openai']"
68,"['d3_31_sports', 4572, 0, 0, 'no', 'mistral']"
69,"['d3_31_sports', 3961, 0, 0, 'no', 'meta']"
70,"['d3_31_sports', 3961, 0, 0, 'no', 'openai']"
71,"['d3_31_sports', 3961, 0, 0, 'no', 'mistral']"
72,"['d3_31_sports', 1930, 0, 0, 'no', 'openai']"
73,"['d3_31_sports', 1930, 0, 0, 'no', 'meta']"
74,"['d3_31_sports', 1930, 0, 0, 'no', 'mistral']"
75,"['d3_31_sports', 882, 1, 1, 'yes', 'openai']"
76,"['d3_31_sports', 882, 1, 1, 'yes', 'meta']"
77,"['d3_31_sports', 882, 1, 1, 'yes', 'mistral']"
78,"['d3_31_sports', 5431, 0, 0, 'no', 'openai']"
79,"['d3_31_sports', 5431, 0, 0, 'no', 'meta']"
80,"['d3_31_sports', 5431, 0, 0, 'no', 'mistral']"
81,"['d3_31_sports', 1909, 0, 0, 'no', 'mistral']"
82,"['d3_31_sports', 1909, 0, 0, 'no', 'meta']"
83,"['d3_31_sports', 1909, 0, 0, 'no', 'openai']"
84,"['d3_31_sports', 526, 1, 1, 'yes', 'openai']"
85,"['d3_31_sports', 526, 1, 1, 'yes', 'mistral']"
86,"['d3_31_sports', 526, 1, 1, 'yes', 'meta']"
87,"['d3_31_sports', 548, 1, 1, 'yes', 'openai']"
88,"['d3_31_sports', 548, 1, 1, 'yes', 'mistral']"
89,"['d3_31_sports', 548, 1, 1, 'yes', 'meta']"
90,"['d3_31_sports', 4808, 0, 0, 'no', 'meta']"
91,"['d3_31_sports', 4808, 0, 0, 'no', 'openai']"
92,"['d3_31_sports', 4808, 0, 0, 'no', 'mistral']"
93,"['d3_31_sports', 3425, 0, 0, 'no', 'mistral']"
94,"['d3_31_sports', 3425, 0, 0, 'no', 'meta']"
95,"['d3_31_sports', 3425, 0, 0, 'no', 'openai']"
96,"['d3_31_sports', 4579, 0, 0, 'no', 'meta']"
97,"['d3_31_sports', 4579, 0, 0, 'no', 'openai']"
98,"['d3_31_sports', 4579, 0, 0, 'no', 'mistral']"
99,"['d3_31_sports', 4140, 0, 0, 'no', 'mistral']"
100,"['d3_31_sports', 4140, 0, 0, 'no', 'meta']"
101,"['d3_31_sports', 4140, 0, 0, 'no', 'openai']"
102,"['d3_31_sports', 3042, 0, 0, 'no', 'mistral']"
103,"['d3_31_sports', 3042, 0, 0, 'no', 'meta']"
104,"['d3_31_sports', 3042, 0, 0, 'no', 'openai']"
105,"['d3_31_sports', 5521, 0, 0, 'no', 'openai']"
106,"['d3_31_sports', 5521, 0, 0, 'no', 'meta']"
107,"['d3_31_sports', 5521, 0, 0, 'no', 'mistral']"
108,"['d3_31_sports', 2147, 0, 0, 'no', 'mistral']"
109,"['d3_31_sports', 2147, 0, 0, 'no', 'meta']"
110,"['d3_31_sports', 2147, 0, 0, 'no', 'openai']"
111,"['d3_31_sports', 3132, 0, 0, 'no', 'openai']"
112,"['d3_31_sports', 3132, 0, 0, 'no', 'mistral']"
113,"['d3_31_sports', 3132, 0, 0, 'no', 'meta']"
114,"['d3_31_sports', 4706, 0, 0, 'no', 'mistral']"
115,"['d3_31_sports', 4706, 0, 0, 'no', 'meta']"
116,"['d3_31_sports', 4706, 0, 0, 'no', 'openai']"
117,"['d3_31_sports', 3509, 0, 0, 'no', 'mistral']"
118,"['d3_31_sports', 3509, 0, 0, 'no', 'meta']"
119,"['d3_31_sports', 3509, 0, 0, 'no', 'openai']"
120,"['d3_31_sports', 4889, 0, 0, 'no', 'openai']"
121,"['d3_31_sports', 4889, 0, 0, 'no', 'mistral']"
122,"['d3_31_sports', 4889, 0, 0, 'no', 'meta']"
123,"['d3_31_sports', 3275, 0, 0, 'no', 'openai']"
124,"['d3_31_sports', 3275, 0, 0, 'no', 'mistral']"
125,"['d3_31_sports', 3275, 0, 0, 'no', 'meta']"
126,"['d3_31_sports', 3997, 0, 0, 'no', 'openai']"
127,"['d3_31_sports', 3997, 0, 0, 'no', 'meta']"
128,"['d3_31_sports', 3997, 0, 0, 'no', 'mistral']"
129,"['d3_31_sports', 260, 1, 0, 'no', 'mistral']"
130,"['d3_31_sports', 260, 1, 0, 'no', 'meta']"
131,"['d3_31_sports', 260, 1, 0, 'no', 'openai']"
132,"['d3_31_sports', 1293, 1, 1, 'yes', 'openai']"
133,"['d3_31_sports', 1293, 1, 1, 'yes', 'meta']"
134,"['d3_31_sports', 1293, 1, 1, 'yes', 'mistral']"
135,"['d3_31_sports', 1641, 0, 0, 'no', 'mistral']"
136,"['d3_31_sports', 1641, 0, 0, 'no', 'meta']"
137,"['d3_31_sports', 1641, 0, 0, 'no', 'openai']"
138,"['d3_31_sports', 452, 1, 1, 'yes', 'mistral']"
139,"['d3_31_sports', 452, 1, 1, 'yes', 'meta']"
140,"['d3_31_sports', 452, 1, 1, 'yes', 'openai']"
141,"['d3_31_sports', 1320, 1, 1, 'yes', 'openai']"
142,"['d3_31_sports', 1320, 1, 1, 'yes', 'meta']"
143,"['d3_31_sports', 1320, 1, 1, 'yes', 'mistral']"
144,"['d3_31_sports', 573, 1, 0, 'no', 'openai']"
145,"['d3_31_sports', 573, 1, 0, 'no', 'meta']"
146,"['d3_31_sports', 573, 1, 0, 'no', 'mistral']"
147,"['d3_31_sports', 1577, 0, 0, 'no', 'mistral']"
148,"['d3_31_sports', 1577, 0, 0, 'no', 'meta']"
149,"['d3_31_sports', 1577, 0, 0, 'no', 'openai']"
150,"['d3_31_sports', 3606, 0, 0, 'no', 'meta']"
151,"['d3_31_sports', 3606, 0, 0, 'no', 'openai']"
152,"['d3_31_sports', 3606, 0, 0, 'no', 'mistral']"
153,"['d3_31_sports', 2070, 0, 0, 'no', 'openai']"
154,"['d3_31_sports', 2070, 0, 0, 'no', 'meta']"
155,"['d3_31_sports', 2070, 0, 0, 'no', 'mistral']"
156,"['d3_31_sports', 2100, 0, 0, 'no', 'mistral']"
157,"['d3_31_sports', 2100, 0, 0, 'no', 'meta']"
158,"['d3_31_sports', 2100, 0, 0, 'no', 'openai']"
159,"['d3_31_sports', 1188, 1, 1, 'yes', 'openai']"
