,0
0,task
1,idx
2,true_label
3,pred_label
4,answer
5,model
6,"['d3_14_search', 1680, 0, 1, 'yes', 'mistral']"
7,"['d3_14_search', 1680, 0, 1, 'yes', 'meta']"
8,"['d3_14_search', 1680, 0, 0, 'no', 'openai']"
9,"['d3_14_search', 1680, 0, 1, 'yes', 'gpt4']"
10,"['d3_14_search', 65, 1, 1, 'yes', 'meta']"
11,"['d3_14_search', 65, 1, 1, 'yes', 'openai']"
12,"['d3_14_search', 65, 1, 1, 'yes', 'mistral']"
13,"['d3_14_search', 65, 1, 1, 'yes', 'gpt4']"
14,"['d3_14_search', 722, 0, 0, 'no', 'mistral']"
15,"['d3_14_search', 722, 0, 1, 'yes', 'meta']"
16,"['d3_14_search', 722, 0, 0, 'no', 'openai']"
17,"['d3_14_search', 722, 0, 0, 'no', 'gpt4']"
18,"['d3_14_search', 586, 0, 0, 'no', 'openai']"
19,"['d3_14_search', 586, 0, 0, 'no', 'meta']"
20,"['d3_14_search', 586, 0, 1, 'yes', 'mistral']"
21,"['d3_14_search', 586, 0, 1, 'yes', 'gpt4']"
22,"['d3_14_search', 1935, 0, 0, 'no', 'mistral']"
23,"['d3_14_search', 1935, 0, 0, 'no', 'meta']"
24,"['d3_14_search', 1935, 0, 0, 'no', 'openai']"
25,"['d3_14_search', 1935, 0, 0, 'no', 'gpt4']"
26,"['d3_14_search', 1778, 0, 0, 'no', 'openai']"
27,"['d3_14_search', 1778, 0, 0, 'no', 'meta']"
28,"['d3_14_search', 1778, 0, 1, 'yes', 'mistral']"
29,"['d3_14_search', 1778, 0, 0, 'no', 'gpt4']"
30,"['d3_14_search', 2344, 0, 1, 'yes', 'openai']"
31,"['d3_14_search', 2344, 0, 1, 'yes', 'meta']"
32,"['d3_14_search', 2344, 0, 1, 'yes', 'mistral']"
33,"['d3_14_search', 2344, 0, 1, 'yes', 'gpt4']"
34,"['d3_14_search', 228, 0, 1, 'yes', 'openai']"
35,"['d3_14_search', 228, 0, 1, 'yes', 'mistral']"
36,"['d3_14_search', 228, 0, 1, 'yes', 'meta']"
37,"['d3_14_search', 228, 0, 1, 'yes', 'gpt4']"
38,"['d3_14_search', 1108, 0, 1, 'yes', 'mistral']"
39,"['d3_14_search', 1108, 0, 1, 'yes', 'meta']"
40,"['d3_14_search', 1108, 0, 1, 'yes', 'openai']"
41,"['d3_14_search', 1108, 0, 1, 'yes', 'gpt4']"
42,"['d3_14_search', 78, 1, 0, 'no', 'openai']"
43,"['d3_14_search', 78, 1, 0, 'no', 'mistral']"
44,"['d3_14_search', 78, 1, 0, 'no', 'meta']"
45,"['d3_14_search', 78, 1, 0, 'no', 'gpt4']"
46,"['d3_14_search', 574, 0, 0, 'no', 'openai']"
47,"['d3_14_search', 574, 0, 0, 'no', 'meta']"
48,"['d3_14_search', 574, 0, 0, 'no', 'mistral']"
49,"['d3_14_search', 574, 0, 0, 'no', 'gpt4']"
50,"['d3_14_search', 1328, 0, 0, 'no', 'openai']"
51,"['d3_14_search', 1328, 0, 0, 'no', 'meta']"
52,"['d3_14_search', 1328, 0, 0, 'no', 'mistral']"
53,"['d3_14_search', 1328, 0, 0, 'no', 'gpt4']"
54,"['d3_14_search', 69, 1, 1, 'yes', 'openai']"
55,"['d3_14_search', 69, 1, 1, 'yes', 'meta']"
56,"['d3_14_search', 69, 1, 1, 'yes', 'mistral']"
57,"['d3_14_search', 69, 1, 1, 'yes', 'gpt4']"
58,"['d3_14_search', 522, 0, 0, 'no', 'openai']"
59,"['d3_14_search', 522, 0, 0, 'no', 'meta']"
60,"['d3_14_search', 522, 0, 0, 'no', 'mistral']"
61,"['d3_14_search', 522, 0, 1, 'yes', 'gpt4']"
62,"['d3_14_search', 1707, 0, 1, 'yes', 'mistral']"
63,"['d3_14_search', 1707, 0, 1, 'yes', 'meta']"
64,"['d3_14_search', 1707, 0, 1, 'yes', 'openai']"
65,"['d3_14_search', 1707, 0, 1, 'yes', 'gpt4']"
66,"['d3_14_search', 1432, 0, 1, 'yes', 'openai']"
67,"['d3_14_search', 1432, 0, 1, 'yes', 'meta']"
68,"['d3_14_search', 1432, 0, 1, 'yes', 'mistral']"
69,"['d3_14_search', 1432, 0, 1, 'yes', 'gpt4']"
70,"['d3_14_search', 579, 0, 0, 'no', 'openai']"
71,"['d3_14_search', 579, 0, 1, 'yes', 'meta']"
72,"['d3_14_search', 579, 0, 1, 'yes', 'mistral']"
73,"['d3_14_search', 579, 0, 1, 'yes', 'gpt4']"
74,"['d3_14_search', 1548, 0, 0, 'no', 'openai']"
75,"['d3_14_search', 1548, 0, 1, 'yes', 'meta']"
76,"['d3_14_search', 1548, 0, 1, 'yes', 'mistral']"
77,"['d3_14_search', 1548, 0, 1, 'yes', 'gpt4']"
78,"['d3_14_search', 2127, 0, 0, 'no', 'openai']"
79,"['d3_14_search', 2127, 0, 0, 'no', 'mistral']"
80,"['d3_14_search', 2127, 0, 0, 'no', 'meta']"
81,"['d3_14_search', 2127, 0, 0, 'no', 'gpt4']"
82,"['d3_14_search', 17, 1, 1, 'yes', 'openai']"
83,"['d3_14_search', 17, 1, 1, 'yes', 'mistral']"
84,"['d3_14_search', 17, 1, 1, 'yes', 'meta']"
85,"['d3_14_search', 17, 1, 1, 'yes', 'gpt4']"
