,0
0,task
1,idx
2,true_label
3,pred_label
4,answer
5,model
6,"['d3_40_abbrevation', 1175, 0, 0, 'no', 'mistral']"
7,"['d3_40_abbrevation', 1175, 0, 0, 'no', 'meta']"
8,"['d3_40_abbrevation', 1175, 0, 0, 'no', 'openai']"
9,"['d3_40_abbrevation', 1175, 0, 0, 'no', 'gpt4']"
10,"['d3_40_abbrevation', 45, 1, 1, 'yes', 'mistral']"
11,"['d3_40_abbrevation', 45, 1, 1, 'yes', 'meta']"
12,"['d3_40_abbrevation', 45, 1, 1, 'yes', 'openai']"
13,"['d3_40_abbrevation', 45, 1, 1, 'yes', 'gpt4']"
14,"['d3_40_abbrevation', 505, 0, 0, 'no', 'meta']"
15,"['d3_40_abbrevation', 505, 0, 0, 'no', 'openai']"
16,"['d3_40_abbrevation', 505, 0, 0, 'no', 'mistral']"
17,"['d3_40_abbrevation', 505, 0, 0, 'no', 'gpt4']"
18,"['d3_40_abbrevation', 410, 0, 0, 'no', 'mistral']"
19,"['d3_40_abbrevation', 410, 0, 0, 'no', 'meta']"
20,"['d3_40_abbrevation', 410, 0, 0, 'no', 'openai']"
21,"['d3_40_abbrevation', 410, 0, 0, 'no', 'gpt4']"
22,"['d3_40_abbrevation', 1354, 0, 0, 'no', 'meta']"
23,"['d3_40_abbrevation', 1354, 0, 1, 'yes', 'openai']"
24,"['d3_40_abbrevation', 1354, 0, 0, 'no', 'mistral']"
25,"['d3_40_abbrevation', 1354, 0, 0, 'no', 'gpt4']"
26,"['d3_40_abbrevation', 1244, 0, 0, 'no', 'openai']"
27,"['d3_40_abbrevation', 1244, 0, 0, 'no', 'meta']"
28,"['d3_40_abbrevation', 1244, 0, 0, 'no', 'mistral']"
29,"['d3_40_abbrevation', 1244, 0, 0, 'no', 'gpt4']"
30,"['d3_40_abbrevation', 1640, 0, 0, 'no', 'mistral']"
31,"['d3_40_abbrevation', 1640, 0, 0, 'no', 'meta']"
32,"['d3_40_abbrevation', 1640, 0, 0, 'no', 'openai']"
33,"['d3_40_abbrevation', 1640, 0, 0, 'no', 'gpt4']"
34,"['d3_40_abbrevation', 159, 0, 0, 'no', 'mistral']"
35,"['d3_40_abbrevation', 159, 0, 0, 'no', 'meta']"
36,"['d3_40_abbrevation', 159, 0, 0, 'no', 'openai']"
37,"['d3_40_abbrevation', 159, 0, 0, 'no', 'gpt4']"
38,"['d3_40_abbrevation', 775, 0, 0, 'no', 'meta']"
39,"['d3_40_abbrevation', 775, 0, 0, 'no', 'openai']"
40,"['d3_40_abbrevation', 775, 0, 0, 'no', 'mistral']"
41,"['d3_40_abbrevation', 775, 0, 0, 'no', 'gpt4']"
42,"['d3_40_abbrevation', 54, 1, 1, 'yes', 'meta']"
43,"['d3_40_abbrevation', 54, 1, 1, 'yes', 'openai']"
44,"['d3_40_abbrevation', 54, 1, 1, 'yes', 'mistral']"
45,"['d3_40_abbrevation', 54, 1, 1, 'yes', 'gpt4']"
46,"['d3_40_abbrevation', 402, 0, 0, 'no', 'openai']"
47,"['d3_40_abbrevation', 402, 0, 0, 'no', 'meta']"
48,"['d3_40_abbrevation', 402, 0, 0, 'no', 'mistral']"
49,"['d3_40_abbrevation', 402, 0, 0, 'no', 'gpt4']"
50,"['d3_40_abbrevation', 929, 0, 0, 'no', 'openai']"
51,"['d3_40_abbrevation', 929, 0, 0, 'no', 'meta']"
52,"['d3_40_abbrevation', 929, 0, 0, 'no', 'mistral']"
53,"['d3_40_abbrevation', 929, 0, 0, 'no', 'gpt4']"
54,"['d3_40_abbrevation', 48, 1, 1, 'yes', 'openai']"
55,"['d3_40_abbrevation', 48, 1, 1, 'yes', 'mistral']"
56,"['d3_40_abbrevation', 48, 1, 1, 'yes', 'meta']"
57,"['d3_40_abbrevation', 48, 1, 1, 'yes', 'gpt4']"
58,"['d3_40_abbrevation', 365, 0, 0, 'no', 'mistral']"
59,"['d3_40_abbrevation', 365, 0, 0, 'no', 'meta']"
60,"['d3_40_abbrevation', 365, 0, 0, 'no', 'openai']"
61,"['d3_40_abbrevation', 365, 0, 0, 'no', 'gpt4']"
62,"['d3_40_abbrevation', 1195, 0, 0, 'no', 'meta']"
63,"['d3_40_abbrevation', 1195, 0, 0, 'no', 'openai']"
64,"['d3_40_abbrevation', 1195, 0, 0, 'no', 'mistral']"
65,"['d3_40_abbrevation', 1195, 0, 0, 'no', 'gpt4']"
66,"['d3_40_abbrevation', 1002, 0, 0, 'no', 'meta']"
67,"['d3_40_abbrevation', 1002, 0, 0, 'no', 'openai']"
68,"['d3_40_abbrevation', 1002, 0, 0, 'no', 'mistral']"
69,"['d3_40_abbrevation', 1002, 0, 0, 'no', 'gpt4']"
70,"['d3_40_abbrevation', 405, 0, 0, 'no', 'openai']"
71,"['d3_40_abbrevation', 405, 0, 0, 'no', 'meta']"
72,"['d3_40_abbrevation', 405, 0, 0, 'no', 'mistral']"
73,"['d3_40_abbrevation', 405, 0, 0, 'no', 'gpt4']"
74,"['d3_40_abbrevation', 1083, 0, 0, 'no', 'mistral']"
75,"['d3_40_abbrevation', 1083, 0, 0, 'no', 'meta']"
76,"['d3_40_abbrevation', 1083, 0, 0, 'no', 'openai']"
77,"['d3_40_abbrevation', 1083, 0, 0, 'no', 'gpt4']"
78,"['d3_40_abbrevation', 1488, 0, 0, 'no', 'openai']"
79,"['d3_40_abbrevation', 1488, 0, 0, 'no', 'meta']"
80,"['d3_40_abbrevation', 1488, 0, 0, 'no', 'mistral']"
81,"['d3_40_abbrevation', 1488, 0, 0, 'no', 'gpt4']"
82,"['d3_40_abbrevation', 11, 1, 1, 'yes', 'mistral']"
83,"['d3_40_abbrevation', 11, 1, 1, 'yes', 'meta']"
84,"['d3_40_abbrevation', 11, 1, 1, 'yes', 'openai']"
85,"['d3_40_abbrevation', 11, 1, 1, 'yes', 'gpt4']"
