,0
0,task
1,idx
2,true_label
3,pred_label
4,answer
5,model
6,"['d3_2_subjective', 484, 0, 1, 'yes', 'openai']"
7,"['d3_2_subjective', 484, 0, 1, 'yes', 'meta']"
8,"['d3_2_subjective', 484, 0, 0, 'no', 'mistral']"
9,"['d3_2_subjective', 484, 0, 0, 'no', 'gpt4']"
10,"['d3_2_subjective', 18, 1, 1, 'yes', 'openai']"
11,"['d3_2_subjective', 18, 1, 1, 'yes', 'meta']"
12,"['d3_2_subjective', 18, 1, 1, 'yes', 'mistral']"
13,"['d3_2_subjective', 18, 1, 1, 'yes', 'gpt4']"
14,"['d3_2_subjective', 208, 1, 1, 'yes', 'mistral']"
15,"['d3_2_subjective', 208, 1, 1, 'yes', 'meta']"
16,"['d3_2_subjective', 208, 1, 1, 'yes', 'openai']"
17,"['d3_2_subjective', 208, 1, 1, 'yes', 'gpt4']"
18,"['d3_2_subjective', 168, 1, 1, 'yes', 'openai']"
19,"['d3_2_subjective', 168, 1, 1, 'yes', 'meta']"
20,"['d3_2_subjective', 168, 1, 1, 'yes', 'mistral']"
21,"['d3_2_subjective', 168, 1, 1, 'yes', 'gpt4']"
22,"['d3_2_subjective', 557, 0, 1, 'yes', 'openai']"
23,"['d3_2_subjective', 557, 0, 1, 'yes', 'mistral']"
24,"['d3_2_subjective', 557, 0, 1, 'yes', 'meta']"
25,"['d3_2_subjective', 557, 0, 0, 'no', 'gpt4']"
26,"['d3_2_subjective', 512, 0, 0, 'no', 'mistral']"
27,"['d3_2_subjective', 512, 0, 0, 'no', 'meta']"
28,"['d3_2_subjective', 512, 0, 0, 'no', 'openai']"
29,"['d3_2_subjective', 512, 0, 0, 'no', 'gpt4']"
30,"['d3_2_subjective', 675, 0, 0, 'no', 'meta']"
31,"['d3_2_subjective', 675, 0, 0, 'no', 'openai']"
32,"['d3_2_subjective', 675, 0, 0, 'no', 'mistral']"
33,"['d3_2_subjective', 675, 0, 0, 'no', 'gpt4']"
34,"['d3_2_subjective', 65, 1, 1, 'yes', 'openai']"
35,"['d3_2_subjective', 65, 1, 1, 'yes', 'mistral']"
36,"['d3_2_subjective', 65, 1, 1, 'yes', 'meta']"
37,"['d3_2_subjective', 65, 1, 1, 'yes', 'gpt4']"
38,"['d3_2_subjective', 319, 1, 1, 'yes', 'meta']"
39,"['d3_2_subjective', 319, 1, 1, 'yes', 'openai']"
40,"['d3_2_subjective', 319, 1, 1, 'yes', 'mistral']"
41,"['d3_2_subjective', 319, 1, 1, 'yes', 'gpt4']"
42,"['d3_2_subjective', 22, 1, 1, 'yes', 'mistral']"
43,"['d3_2_subjective', 22, 1, 1, 'yes', 'meta']"
44,"['d3_2_subjective', 22, 1, 1, 'yes', 'openai']"
45,"['d3_2_subjective', 22, 1, 1, 'yes', 'gpt4']"
46,"['d3_2_subjective', 165, 1, 1, 'yes', 'openai']"
47,"['d3_2_subjective', 165, 1, 1, 'yes', 'mistral']"
48,"['d3_2_subjective', 165, 1, 1, 'yes', 'meta']"
49,"['d3_2_subjective', 165, 1, 1, 'yes', 'gpt4']"
50,"['d3_2_subjective', 382, 0, 0, 'no', 'mistral']"
51,"['d3_2_subjective', 382, 0, 0, 'no', 'meta']"
52,"['d3_2_subjective', 382, 0, 0, 'no', 'openai']"
53,"['d3_2_subjective', 382, 0, 0, 'no', 'gpt4']"
54,"['d3_2_subjective', 20, 1, 1, 'yes', 'meta']"
55,"['d3_2_subjective', 20, 1, 1, 'yes', 'openai']"
56,"['d3_2_subjective', 20, 1, 1, 'yes', 'mistral']"
57,"['d3_2_subjective', 20, 1, 1, 'yes', 'gpt4']"
58,"['d3_2_subjective', 150, 1, 1, 'yes', 'openai']"
59,"['d3_2_subjective', 150, 1, 1, 'yes', 'meta']"
60,"['d3_2_subjective', 150, 1, 1, 'yes', 'mistral']"
61,"['d3_2_subjective', 150, 1, 1, 'yes', 'gpt4']"
62,"['d3_2_subjective', 491, 0, 0, 'no', 'meta']"
63,"['d3_2_subjective', 491, 0, 0, 'no', 'openai']"
64,"['d3_2_subjective', 491, 0, 0, 'no', 'mistral']"
65,"['d3_2_subjective', 491, 0, 0, 'no', 'gpt4']"
66,"['d3_2_subjective', 412, 0, 0, 'no', 'openai']"
67,"['d3_2_subjective', 412, 0, 0, 'no', 'mistral']"
68,"['d3_2_subjective', 412, 0, 0, 'no', 'meta']"
69,"['d3_2_subjective', 412, 0, 0, 'no', 'gpt4']"
70,"['d3_2_subjective', 166, 1, 1, 'yes', 'openai']"
71,"['d3_2_subjective', 166, 1, 1, 'yes', 'meta']"
72,"['d3_2_subjective', 166, 1, 1, 'yes', 'mistral']"
73,"['d3_2_subjective', 166, 1, 1, 'yes', 'gpt4']"
74,"['d3_2_subjective', 446, 0, 1, 'yes', 'openai']"
75,"['d3_2_subjective', 446, 0, 0, 'no', 'mistral']"
76,"['d3_2_subjective', 446, 0, 0, 'no', 'meta']"
77,"['d3_2_subjective', 446, 0, 0, 'no', 'gpt4']"
78,"['d3_2_subjective', 612, 0, 0, 'no', 'meta']"
79,"['d3_2_subjective', 612, 0, 1, 'yes', 'openai']"
80,"['d3_2_subjective', 612, 0, 0, 'no', 'mistral']"
81,"['d3_2_subjective', 612, 0, 0, 'no', 'gpt4']"
82,"['d3_2_subjective', 4, 1, 1, 'yes', 'meta']"
83,"['d3_2_subjective', 4, 1, 0, 'no', 'openai']"
84,"['d3_2_subjective', 4, 1, 1, 'yes', 'mistral']"
85,"['d3_2_subjective', 4, 1, 1, 'yes', 'gpt4']"
