,0
0,task
1,idx
2,true_label
3,pred_label
4,answer
5,model
6,"['d3_5_evacuate', 1707, 0, 1, 'yes', 'meta']"
7,"['d3_5_evacuate', 1707, 0, 0, 'no', 'openai']"
8,"['d3_5_evacuate', 1707, 0, 1, 'yes', 'mistral']"
9,"['d3_5_evacuate', 66, 1, 1, 'yes', 'openai']"
10,"['d3_5_evacuate', 66, 1, 1, 'yes', 'meta']"
11,"['d3_5_evacuate', 66, 1, 1, 'yes', 'mistral']"
12,"['d3_5_evacuate', 734, 0, 0, 'no', 'mistral']"
13,"['d3_5_evacuate', 734, 0, 0, 'no', 'meta']"
14,"['d3_5_evacuate', 734, 0, 0, 'no', 'openai']"
15,"['d3_5_evacuate', 595, 0, 0, 'no', 'mistral']"
16,"['d3_5_evacuate', 595, 0, 0, 'no', 'meta']"
17,"['d3_5_evacuate', 595, 0, 0, 'no', 'openai']"
18,"['d3_5_evacuate', 1966, 0, 0, 'no', 'openai']"
19,"['d3_5_evacuate', 1966, 0, 0, 'no', 'meta']"
20,"['d3_5_evacuate', 1966, 0, 0, 'no', 'mistral']"
21,"['d3_5_evacuate', 1806, 0, 0, 'no', 'meta']"
22,"['d3_5_evacuate', 1806, 0, 0, 'no', 'openai']"
23,"['d3_5_evacuate', 1806, 0, 1, 'yes', 'mistral']"
24,"['d3_5_evacuate', 2382, 0, 0, 'no', 'openai']"
25,"['d3_5_evacuate', 2382, 0, 1, 'yes', 'mistral']"
26,"['d3_5_evacuate', 2382, 0, 0, 'no', 'meta']"
27,"['d3_5_evacuate', 232, 0, 1, 'yes', 'meta']"
28,"['d3_5_evacuate', 232, 0, 1, 'yes', 'openai']"
29,"['d3_5_evacuate', 232, 0, 1, 'yes', 'mistral']"
30,"['d3_5_evacuate', 1126, 0, 0, 'no', 'openai']"
31,"['d3_5_evacuate', 1126, 0, 0, 'no', 'mistral']"
32,"['d3_5_evacuate', 1126, 0, 0, 'no', 'meta']"
33,"['d3_5_evacuate', 79, 1, 1, 'yes', 'openai']"
34,"['d3_5_evacuate', 79, 1, 1, 'yes', 'meta']"
35,"['d3_5_evacuate', 79, 1, 1, 'yes', 'mistral']"
36,"['d3_5_evacuate', 583, 0, 0, 'no', 'mistral']"
37,"['d3_5_evacuate', 583, 0, 0, 'no', 'meta']"
38,"['d3_5_evacuate', 583, 0, 0, 'no', 'openai']"
39,"['d3_5_evacuate', 1349, 0, 1, 'yes', 'openai']"
40,"['d3_5_evacuate', 1349, 0, 1, 'yes', 'meta']"
41,"['d3_5_evacuate', 1349, 0, 1, 'yes', 'mistral']"
42,"['d3_5_evacuate', 70, 1, 0, 'no', 'openai']"
43,"['d3_5_evacuate', 70, 1, 0, 'no', 'mistral']"
44,"['d3_5_evacuate', 70, 1, 0, 'no', 'meta']"
45,"['d3_5_evacuate', 530, 0, 0, 'no', 'openai']"
46,"['d3_5_evacuate', 530, 0, 0, 'no', 'meta']"
47,"['d3_5_evacuate', 530, 0, 0, 'no', 'mistral']"
48,"['d3_5_evacuate', 1735, 0, 0, 'no', 'openai']"
49,"['d3_5_evacuate', 1735, 0, 0, 'no', 'mistral']"
50,"['d3_5_evacuate', 1735, 0, 0, 'no', 'meta']"
51,"['d3_5_evacuate', 1454, 0, 0, 'no', 'openai']"
52,"['d3_5_evacuate', 1454, 0, 0, 'no', 'meta']"
53,"['d3_5_evacuate', 1454, 0, 0, 'no', 'mistral']"
54,"['d3_5_evacuate', 588, 0, 1, 'yes', 'mistral']"
55,"['d3_5_evacuate', 588, 0, 0, 'no', 'meta']"
56,"['d3_5_evacuate', 588, 0, 1, 'yes', 'openai']"
57,"['d3_5_evacuate', 1573, 0, 1, 'yes', 'mistral']"
58,"['d3_5_evacuate', 1573, 0, 0, 'no', 'meta']"
59,"['d3_5_evacuate', 1573, 0, 0, 'no', 'openai']"
60,"['d3_5_evacuate', 2161, 0, 0, 'no', 'openai']"
61,"['d3_5_evacuate', 2161, 0, 0, 'no', 'mistral']"
62,"['d3_5_evacuate', 2161, 0, 0, 'no', 'meta']"
63,"['d3_5_evacuate', 17, 1, 0, 'no', 'openai']"
64,"['d3_5_evacuate', 17, 1, 1, 'yes', 'meta']"
65,"['d3_5_evacuate', 17, 1, 1, 'yes', 'mistral']"
66,"['d3_5_evacuate', 2151, 0, 0, 'no', 'openai']"
67,"['d3_5_evacuate', 2151, 0, 0, 'no', 'mistral']"
68,"['d3_5_evacuate', 2151, 0, 0, 'no', 'meta']"
69,"['d3_5_evacuate', 1864, 0, 0, 'no', 'openai']"
70,"['d3_5_evacuate', 1864, 0, 0, 'no', 'meta']"
71,"['d3_5_evacuate', 1864, 0, 0, 'no', 'mistral']"
72,"['d3_5_evacuate', 908, 0, 0, 'no', 'meta']"
73,"['d3_5_evacuate', 908, 0, 0, 'no', 'openai']"
74,"['d3_5_evacuate', 908, 0, 1, 'yes', 'mistral']"
75,"['d3_5_evacuate', 415, 0, 0, 'no', 'openai']"
76,"['d3_5_evacuate', 415, 0, 1, 'yes', 'meta']"
77,"['d3_5_evacuate', 415, 0, 1, 'yes', 'mistral']"
78,"['d3_5_evacuate', 2555, 0, 0, 'no', 'openai']"
79,"['d3_5_evacuate', 2555, 0, 0, 'no', 'meta']"
80,"['d3_5_evacuate', 2555, 0, 0, 'no', 'mistral']"
81,"['d3_5_evacuate', 898, 0, 0, 'no', 'meta']"
82,"['d3_5_evacuate', 898, 0, 0, 'no', 'openai']"
83,"['d3_5_evacuate', 898, 0, 0, 'no', 'mistral']"
84,"['d3_5_evacuate', 247, 0, 1, 'yes', 'mistral']"
85,"['d3_5_evacuate', 247, 0, 1, 'yes', 'meta']"
86,"['d3_5_evacuate', 247, 0, 1, 'yes', 'openai']"
87,"['d3_5_evacuate', 258, 0, 0, 'no', 'mistral']"
88,"['d3_5_evacuate', 258, 0, 1, 'yes', 'meta']"
89,"['d3_5_evacuate', 258, 0, 1, 'yes', 'openai']"
90,"['d3_5_evacuate', 2262, 0, 0, 'no', 'mistral']"
91,"['d3_5_evacuate', 2262, 0, 0, 'no', 'meta']"
92,"['d3_5_evacuate', 2262, 0, 0, 'no', 'openai']"
93,"['d3_5_evacuate', 1611, 0, 0, 'no', 'mistral']"
94,"['d3_5_evacuate', 1611, 0, 0, 'no', 'meta']"
95,"['d3_5_evacuate', 1611, 0, 0, 'no', 'openai']"
96,"['d3_5_evacuate', 2155, 0, 0, 'no', 'mistral']"
97,"['d3_5_evacuate', 2155, 0, 0, 'no', 'meta']"
98,"['d3_5_evacuate', 2155, 0, 0, 'no', 'openai']"
99,"['d3_5_evacuate', 1948, 0, 0, 'no', 'meta']"
100,"['d3_5_evacuate', 1948, 0, 0, 'no', 'openai']"
101,"['d3_5_evacuate', 1948, 0, 0, 'no', 'mistral']"
102,"['d3_5_evacuate', 1431, 0, 0, 'no', 'openai']"
103,"['d3_5_evacuate', 1431, 0, 0, 'no', 'meta']"
104,"['d3_5_evacuate', 1431, 0, 0, 'no', 'mistral']"
105,"['d3_5_evacuate', 2598, 0, 0, 'no', 'openai']"
106,"['d3_5_evacuate', 2598, 0, 0, 'no', 'mistral']"
107,"['d3_5_evacuate', 2598, 0, 0, 'no', 'meta']"
108,"['d3_5_evacuate', 1010, 0, 0, 'no', 'mistral']"
109,"['d3_5_evacuate', 1010, 0, 0, 'no', 'meta']"
110,"['d3_5_evacuate', 1010, 0, 0, 'no', 'openai']"
111,"['d3_5_evacuate', 1473, 0, 0, 'no', 'meta']"
112,"['d3_5_evacuate', 1473, 0, 0, 'no', 'openai']"
113,"['d3_5_evacuate', 1473, 0, 0, 'no', 'mistral']"
114,"['d3_5_evacuate', 2214, 0, 0, 'no', 'openai']"
115,"['d3_5_evacuate', 2214, 0, 0, 'no', 'mistral']"
116,"['d3_5_evacuate', 2214, 0, 0, 'no', 'meta']"
117,"['d3_5_evacuate', 1651, 0, 0, 'no', 'meta']"
118,"['d3_5_evacuate', 1651, 0, 1, 'yes', 'openai']"
119,"['d3_5_evacuate', 1651, 0, 1, 'yes', 'mistral']"
120,"['d3_5_evacuate', 2300, 0, 1, 'yes', 'openai']"
121,"['d3_5_evacuate', 2300, 0, 1, 'yes', 'mistral']"
122,"['d3_5_evacuate', 2300, 0, 0, 'no', 'meta']"
123,"['d3_5_evacuate', 1541, 0, 0, 'no', 'mistral']"
124,"['d3_5_evacuate', 1541, 0, 0, 'no', 'meta']"
125,"['d3_5_evacuate', 1541, 0, 0, 'no', 'openai']"
126,"['d3_5_evacuate', 1881, 0, 0, 'no', 'openai']"
127,"['d3_5_evacuate', 1881, 0, 0, 'no', 'mistral']"
128,"['d3_5_evacuate', 1881, 0, 0, 'no', 'meta']"
129,"['d3_5_evacuate', 122, 0, 0, 'no', 'mistral']"
130,"['d3_5_evacuate', 122, 0, 0, 'no', 'meta']"
131,"['d3_5_evacuate', 122, 0, 0, 'no', 'openai']"
132,"['d3_5_evacuate', 608, 0, 0, 'no', 'openai']"
133,"['d3_5_evacuate', 608, 0, 0, 'no', 'meta']"
134,"['d3_5_evacuate', 608, 0, 0, 'no', 'mistral']"
135,"['d3_5_evacuate', 772, 0, 0, 'no', 'meta']"
136,"['d3_5_evacuate', 772, 0, 0, 'no', 'openai']"
137,"['d3_5_evacuate', 772, 0, 0, 'no', 'mistral']"
138,"['d3_5_evacuate', 213, 0, 0, 'no', 'mistral']"
139,"['d3_5_evacuate', 213, 0, 0, 'no', 'meta']"
140,"['d3_5_evacuate', 213, 0, 0, 'no', 'openai']"
141,"['d3_5_evacuate', 621, 0, 1, 'yes', 'openai']"
142,"['d3_5_evacuate', 621, 0, 0, 'no', 'meta']"
143,"['d3_5_evacuate', 621, 0, 1, 'yes', 'mistral']"
144,"['d3_5_evacuate', 269, 0, 0, 'no', 'openai']"
145,"['d3_5_evacuate', 269, 0, 0, 'no', 'mistral']"
146,"['d3_5_evacuate', 269, 0, 0, 'no', 'meta']"
147,"['d3_5_evacuate', 742, 0, 1, 'yes', 'openai']"
148,"['d3_5_evacuate', 742, 0, 0, 'no', 'meta']"
149,"['d3_5_evacuate', 742, 0, 1, 'yes', 'mistral']"
150,"['d3_5_evacuate', 1697, 0, 0, 'no', 'meta']"
151,"['d3_5_evacuate', 1697, 0, 0, 'no', 'openai']"
