,0
0,task
1,idx
2,true_label
3,pred_label
4,answer
5,model
6,"['d3_22_physics', 6624, 0, 0, 'no', 'mistral']"
7,"['d3_22_physics', 6624, 0, 0, 'no', 'meta']"
8,"['d3_22_physics', 6624, 0, 0, 'no', 'openai']"
9,"['d3_22_physics', 259, 1, 1, 'yes', 'mistral']"
10,"['d3_22_physics', 259, 1, 1, 'yes', 'meta']"
11,"['d3_22_physics', 259, 1, 1, 'yes', 'openai']"
12,"['d3_22_physics', 2849, 1, 1, 'yes', 'meta']"
13,"['d3_22_physics', 2849, 1, 1, 'yes', 'openai']"
14,"['d3_22_physics', 2849, 1, 1, 'yes', 'mistral']"
15,"['d3_22_physics', 2312, 1, 1, 'yes', 'mistral']"
16,"['d3_22_physics', 2312, 1, 1, 'yes', 'meta']"
17,"['d3_22_physics', 2312, 1, 1, 'yes', 'openai']"
18,"['d3_22_physics', 7629, 0, 0, 'no', 'meta']"
19,"['d3_22_physics', 7629, 0, 0, 'no', 'openai']"
20,"['d3_22_physics', 7629, 0, 0, 'no', 'mistral']"
21,"['d3_22_physics', 7010, 0, 0, 'no', 'openai']"
22,"['d3_22_physics', 7010, 0, 0, 'no', 'meta']"
23,"['d3_22_physics', 7010, 0, 0, 'no', 'mistral']"
24,"['d3_22_physics', 9242, 0, 0, 'no', 'openai']"
25,"['d3_22_physics', 9242, 0, 0, 'no', 'meta']"
26,"['d3_22_physics', 9242, 0, 0, 'no', 'mistral']"
27,"['d3_22_physics', 900, 1, 1, 'yes', 'mistral']"
28,"['d3_22_physics', 900, 1, 1, 'yes', 'meta']"
29,"['d3_22_physics', 900, 1, 1, 'yes', 'openai']"
30,"['d3_22_physics', 4371, 0, 0, 'no', 'meta']"
31,"['d3_22_physics', 4371, 0, 0, 'no', 'openai']"
32,"['d3_22_physics', 4371, 0, 0, 'no', 'mistral']"
33,"['d3_22_physics', 308, 1, 1, 'yes', 'mistral']"
34,"['d3_22_physics', 308, 1, 1, 'yes', 'meta']"
35,"['d3_22_physics', 308, 1, 1, 'yes', 'openai']"
36,"['d3_22_physics', 2265, 1, 1, 'yes', 'openai']"
37,"['d3_22_physics', 2265, 1, 1, 'yes', 'meta']"
38,"['d3_22_physics', 2265, 1, 1, 'yes', 'mistral']"
39,"['d3_22_physics', 5235, 0, 0, 'no', 'openai']"
40,"['d3_22_physics', 5235, 0, 0, 'no', 'meta']"
41,"['d3_22_physics', 5235, 0, 0, 'no', 'mistral']"
42,"['d3_22_physics', 274, 1, 1, 'yes', 'openai']"
43,"['d3_22_physics', 274, 1, 1, 'yes', 'mistral']"
44,"['d3_22_physics', 274, 1, 1, 'yes', 'meta']"
45,"['d3_22_physics', 2059, 1, 1, 'yes', 'openai']"
46,"['d3_22_physics', 2059, 1, 1, 'yes', 'mistral']"
47,"['d3_22_physics', 2059, 1, 1, 'yes', 'meta']"
48,"['d3_22_physics', 6732, 0, 0, 'no', 'meta']"
49,"['d3_22_physics', 6732, 0, 0, 'no', 'openai']"
50,"['d3_22_physics', 6732, 0, 0, 'no', 'mistral']"
51,"['d3_22_physics', 5645, 0, 0, 'no', 'meta']"
52,"['d3_22_physics', 5645, 0, 0, 'no', 'openai']"
53,"['d3_22_physics', 5645, 0, 0, 'no', 'mistral']"
54,"['d3_22_physics', 2283, 1, 1, 'yes', 'openai']"
55,"['d3_22_physics', 2283, 1, 1, 'yes', 'meta']"
56,"['d3_22_physics', 2283, 1, 1, 'yes', 'mistral']"
57,"['d3_22_physics', 6104, 0, 0, 'no', 'openai']"
58,"['d3_22_physics', 6104, 0, 0, 'no', 'meta']"
59,"['d3_22_physics', 6104, 0, 0, 'no', 'mistral']"
60,"['d3_22_physics', 8385, 0, 0, 'no', 'mistral']"
61,"['d3_22_physics', 8385, 0, 0, 'no', 'meta']"
62,"['d3_22_physics', 8385, 0, 0, 'no', 'openai']"
63,"['d3_22_physics', 67, 1, 1, 'yes', 'openai']"
64,"['d3_22_physics', 67, 1, 1, 'yes', 'meta']"
65,"['d3_22_physics', 67, 1, 1, 'yes', 'mistral']"
66,"['d3_22_physics', 8348, 0, 0, 'no', 'openai']"
67,"['d3_22_physics', 8348, 0, 0, 'no', 'mistral']"
68,"['d3_22_physics', 8348, 0, 0, 'no', 'meta']"
69,"['d3_22_physics', 7232, 0, 0, 'no', 'mistral']"
70,"['d3_22_physics', 7232, 0, 0, 'no', 'meta']"
71,"['d3_22_physics', 7232, 0, 0, 'no', 'openai']"
72,"['d3_22_physics', 3524, 0, 0, 'no', 'meta']"
73,"['d3_22_physics', 3524, 0, 0, 'no', 'openai']"
74,"['d3_22_physics', 3524, 0, 0, 'no', 'mistral']"
75,"['d3_22_physics', 1610, 1, 1, 'yes', 'openai']"
76,"['d3_22_physics', 1610, 1, 1, 'yes', 'meta']"
77,"['d3_22_physics', 1610, 1, 1, 'yes', 'mistral']"
78,"['d3_22_physics', 9916, 0, 0, 'no', 'mistral']"
79,"['d3_22_physics', 9916, 0, 0, 'no', 'meta']"
80,"['d3_22_physics', 9916, 0, 0, 'no', 'openai']"
81,"['d3_22_physics', 3487, 0, 0, 'no', 'openai']"
82,"['d3_22_physics', 3487, 0, 0, 'no', 'mistral']"
83,"['d3_22_physics', 3487, 0, 0, 'no', 'meta']"
84,"['d3_22_physics', 960, 1, 1, 'yes', 'openai']"
85,"['d3_22_physics', 960, 1, 1, 'yes', 'meta']"
86,"['d3_22_physics', 960, 1, 1, 'yes', 'mistral']"
87,"['d3_22_physics', 1001, 1, 1, 'yes', 'meta']"
88,"['d3_22_physics', 1001, 1, 1, 'yes', 'openai']"
89,"['d3_22_physics', 1001, 1, 1, 'yes', 'mistral']"
90,"['d3_22_physics', 8780, 0, 0, 'no', 'openai']"
91,"['d3_22_physics', 8780, 0, 0, 'no', 'meta']"
92,"['d3_22_physics', 8780, 0, 0, 'no', 'mistral']"
93,"['d3_22_physics', 6254, 0, 0, 'no', 'openai']"
94,"['d3_22_physics', 6254, 0, 0, 'no', 'meta']"
95,"['d3_22_physics', 6254, 0, 0, 'no', 'mistral']"
96,"['d3_22_physics', 8361, 0, 1, 'yes', 'mistral']"
97,"['d3_22_physics', 8361, 0, 0, 'no', 'meta']"
98,"['d3_22_physics', 8361, 0, 1, 'yes', 'openai']"
99,"['d3_22_physics', 7560, 0, 0, 'no', 'openai']"
100,"['d3_22_physics', 7560, 0, 0, 'no', 'meta']"
101,"['d3_22_physics', 7560, 0, 0, 'no', 'mistral']"
102,"['d3_22_physics', 5555, 0, 1, 'yes', 'mistral']"
103,"['d3_22_physics', 5555, 0, 1, 'yes', 'meta']"
104,"['d3_22_physics', 5555, 0, 1, 'yes', 'openai']"
105,"['d3_22_physics', 10081, 0, 0, 'no', 'mistral']"
106,"['d3_22_physics', 10081, 0, 0, 'no', 'meta']"
107,"['d3_22_physics', 10081, 0, 1, 'yes', 'openai']"
108,"['d3_22_physics', 3921, 0, 0, 'no', 'openai']"
109,"['d3_22_physics', 3921, 0, 0, 'no', 'meta']"
110,"['d3_22_physics', 3921, 0, 0, 'no', 'mistral']"
111,"['d3_22_physics', 5719, 0, 0, 'no', 'openai']"
112,"['d3_22_physics', 5719, 0, 0, 'no', 'meta']"
113,"['d3_22_physics', 5719, 0, 0, 'no', 'mistral']"
114,"['d3_22_physics', 8592, 0, 0, 'no', 'openai']"
115,"['d3_22_physics', 8592, 0, 0, 'no', 'meta']"
116,"['d3_22_physics', 8592, 0, 0, 'no', 'mistral']"
117,"['d3_22_physics', 6407, 0, 0, 'no', 'mistral']"
118,"['d3_22_physics', 6407, 0, 0, 'no', 'meta']"
119,"['d3_22_physics', 6407, 0, 0, 'no', 'openai']"
120,"['d3_22_physics', 8927, 0, 0, 'no', 'openai']"
121,"['d3_22_physics', 8927, 0, 0, 'no', 'meta']"
122,"['d3_22_physics', 8927, 0, 0, 'no', 'mistral']"
123,"['d3_22_physics', 5981, 0, 1, 'yes', 'mistral']"
124,"['d3_22_physics', 5981, 0, 0, 'no', 'meta']"
125,"['d3_22_physics', 5981, 0, 1, 'yes', 'openai']"
126,"['d3_22_physics', 7299, 0, 0, 'no', 'openai']"
127,"['d3_22_physics', 7299, 0, 0, 'no', 'meta']"
128,"['d3_22_physics', 7299, 0, 0, 'no', 'mistral']"
129,"['d3_22_physics', 474, 1, 1, 'yes', 'mistral']"
130,"['d3_22_physics', 474, 1, 1, 'yes', 'meta']"
131,"['d3_22_physics', 474, 1, 1, 'yes', 'openai']"
132,"['d3_22_physics', 2361, 1, 1, 'yes', 'meta']"
133,"['d3_22_physics', 2361, 1, 1, 'yes', 'openai']"
134,"['d3_22_physics', 2361, 1, 1, 'yes', 'mistral']"
135,"['d3_22_physics', 2998, 0, 0, 'no', 'openai']"
136,"['d3_22_physics', 2998, 0, 0, 'no', 'meta']"
137,"['d3_22_physics', 2998, 0, 0, 'no', 'mistral']"
138,"['d3_22_physics', 826, 1, 1, 'yes', 'meta']"
139,"['d3_22_physics', 826, 1, 1, 'yes', 'openai']"
140,"['d3_22_physics', 826, 1, 1, 'yes', 'mistral']"
141,"['d3_22_physics', 2411, 1, 1, 'yes', 'openai']"
142,"['d3_22_physics', 2411, 1, 1, 'yes', 'meta']"
143,"['d3_22_physics', 2411, 1, 1, 'yes', 'mistral']"
144,"['d3_22_physics', 1046, 1, 1, 'yes', 'mistral']"
145,"['d3_22_physics', 1046, 1, 1, 'yes', 'meta']"
146,"['d3_22_physics', 1046, 1, 1, 'yes', 'openai']"
147,"['d3_22_physics', 2879, 1, 1, 'yes', 'openai']"
148,"['d3_22_physics', 2879, 1, 1, 'yes', 'meta']"
149,"['d3_22_physics', 2879, 1, 1, 'yes', 'mistral']"
150,"['d3_22_physics', 6585, 0, 0, 'no', 'openai']"
151,"['d3_22_physics', 6585, 0, 0, 'no', 'mistral']"
152,"['d3_22_physics', 6585, 0, 0, 'no', 'meta']"
153,"['d3_22_physics', 3779, 0, 0, 'no', 'mistral']"
154,"['d3_22_physics', 3779, 0, 0, 'no', 'meta']"
155,"['d3_22_physics', 3779, 0, 0, 'no', 'openai']"
156,"['d3_22_physics', 3835, 0, 0, 'no', 'openai']"
157,"['d3_22_physics', 3835, 0, 0, 'no', 'mistral']"
158,"['d3_22_physics', 3835, 0, 0, 'no', 'meta']"
