,0
0,task
1,idx
2,true_label
3,pred_label
4,answer
5,model
6,"['d3_1_objective', 472, 0, 1, 'yes', 'openai']"
7,"['d3_1_objective', 472, 0, 0, 'no', 'meta']"
8,"['d3_1_objective', 472, 0, 0, 'no', 'mistral']"
9,"['d3_1_objective', 18, 1, 0, 'no', 'openai']"
10,"['d3_1_objective', 18, 1, 0, 'no', 'mistral']"
11,"['d3_1_objective', 18, 1, 0, 'no', 'meta']"
12,"['d3_1_objective', 203, 1, 0, 'no', 'mistral']"
13,"['d3_1_objective', 203, 1, 0, 'no', 'meta']"
14,"['d3_1_objective', 203, 1, 0, 'no', 'openai']"
15,"['d3_1_objective', 164, 1, 0, 'no', 'mistral']"
16,"['d3_1_objective', 164, 1, 0, 'no', 'meta']"
17,"['d3_1_objective', 164, 1, 0, 'no', 'openai']"
18,"['d3_1_objective', 544, 0, 0, 'no', 'mistral']"
19,"['d3_1_objective', 544, 0, 0, 'no', 'meta']"
20,"['d3_1_objective', 544, 0, 1, 'yes', 'openai']"
21,"['d3_1_objective', 500, 0, 1, 'yes', 'openai']"
22,"['d3_1_objective', 500, 0, 0, 'no', 'meta']"
23,"['d3_1_objective', 500, 0, 0, 'no', 'mistral']"
24,"['d3_1_objective', 659, 0, 0, 'no', 'mistral']"
25,"['d3_1_objective', 659, 0, 0, 'no', 'meta']"
26,"['d3_1_objective', 659, 0, 1, 'yes', 'openai']"
27,"['d3_1_objective', 64, 1, 1, 'yes', 'mistral']"
28,"['d3_1_objective', 64, 1, 0, 'no', 'meta']"
29,"['d3_1_objective', 64, 1, 1, 'yes', 'openai']"
30,"['d3_1_objective', 311, 1, 1, 'yes', 'mistral']"
31,"['d3_1_objective', 311, 1, 0, 'no', 'meta']"
32,"['d3_1_objective', 311, 1, 1, 'yes', 'openai']"
33,"['d3_1_objective', 22, 1, 0, 'no', 'meta']"
34,"['d3_1_objective', 22, 1, 1, 'yes', 'openai']"
35,"['d3_1_objective', 22, 1, 0, 'no', 'mistral']"
36,"['d3_1_objective', 161, 1, 0, 'no', 'mistral']"
37,"['d3_1_objective', 161, 1, 0, 'no', 'meta']"
38,"['d3_1_objective', 161, 1, 1, 'yes', 'openai']"
39,"['d3_1_objective', 373, 0, 0, 'no', 'meta']"
40,"['d3_1_objective', 373, 0, 0, 'no', 'openai']"
41,"['d3_1_objective', 373, 0, 0, 'no', 'mistral']"
42,"['d3_1_objective', 19, 1, 0, 'no', 'openai']"
43,"['d3_1_objective', 19, 1, 0, 'no', 'meta']"
44,"['d3_1_objective', 19, 1, 0, 'no', 'mistral']"
45,"['d3_1_objective', 146, 1, 1, 'yes', 'openai']"
46,"['d3_1_objective', 146, 1, 0, 'no', 'mistral']"
47,"['d3_1_objective', 146, 1, 0, 'no', 'meta']"
48,"['d3_1_objective', 480, 0, 1, 'yes', 'openai']"
49,"['d3_1_objective', 480, 0, 0, 'no', 'meta']"
50,"['d3_1_objective', 480, 0, 0, 'no', 'mistral']"
51,"['d3_1_objective', 402, 0, 1, 'yes', 'openai']"
52,"['d3_1_objective', 402, 0, 0, 'no', 'meta']"
53,"['d3_1_objective', 402, 0, 0, 'no', 'mistral']"
54,"['d3_1_objective', 162, 1, 1, 'yes', 'openai']"
55,"['d3_1_objective', 162, 1, 0, 'no', 'mistral']"
56,"['d3_1_objective', 162, 1, 0, 'no', 'meta']"
57,"['d3_1_objective', 435, 0, 0, 'no', 'mistral']"
58,"['d3_1_objective', 435, 0, 0, 'no', 'meta']"
59,"['d3_1_objective', 435, 0, 0, 'no', 'openai']"
60,"['d3_1_objective', 598, 0, 0, 'no', 'meta']"
61,"['d3_1_objective', 598, 0, 1, 'yes', 'openai']"
62,"['d3_1_objective', 598, 0, 0, 'no', 'mistral']"
63,"['d3_1_objective', 4, 1, 0, 'no', 'mistral']"
64,"['d3_1_objective', 4, 1, 0, 'no', 'meta']"
65,"['d3_1_objective', 4, 1, 0, 'no', 'openai']"
66,"['d3_1_objective', 595, 0, 1, 'yes', 'mistral']"
67,"['d3_1_objective', 595, 0, 0, 'no', 'meta']"
68,"['d3_1_objective', 595, 0, 1, 'yes', 'openai']"
69,"['d3_1_objective', 515, 0, 1, 'yes', 'openai']"
70,"['d3_1_objective', 515, 0, 0, 'no', 'meta']"
71,"['d3_1_objective', 515, 0, 1, 'yes', 'mistral']"
72,"['d3_1_objective', 251, 1, 1, 'yes', 'openai']"
73,"['d3_1_objective', 251, 1, 0, 'no', 'meta']"
74,"['d3_1_objective', 251, 1, 0, 'no', 'mistral']"
75,"['d3_1_objective', 114, 1, 0, 'no', 'meta']"
76,"['d3_1_objective', 114, 1, 1, 'yes', 'openai']"
77,"['d3_1_objective', 114, 1, 0, 'no', 'mistral']"
78,"['d3_1_objective', 707, 0, 1, 'yes', 'openai']"
79,"['d3_1_objective', 707, 0, 0, 'no', 'meta']"
80,"['d3_1_objective', 707, 0, 1, 'yes', 'mistral']"
81,"['d3_1_objective', 248, 1, 0, 'no', 'mistral']"
82,"['d3_1_objective', 248, 1, 0, 'no', 'meta']"
83,"['d3_1_objective', 248, 1, 1, 'yes', 'openai']"
84,"['d3_1_objective', 68, 1, 0, 'no', 'openai']"
85,"['d3_1_objective', 68, 1, 0, 'no', 'mistral']"
86,"['d3_1_objective', 68, 1, 0, 'no', 'meta']"
87,"['d3_1_objective', 71, 1, 0, 'no', 'meta']"
88,"['d3_1_objective', 71, 1, 1, 'yes', 'openai']"
89,"['d3_1_objective', 71, 1, 0, 'no', 'mistral']"
90,"['d3_1_objective', 626, 0, 0, 'no', 'mistral']"
91,"['d3_1_objective', 626, 0, 0, 'no', 'meta']"
92,"['d3_1_objective', 626, 0, 1, 'yes', 'openai']"
93,"['d3_1_objective', 446, 0, 1, 'yes', 'openai']"
94,"['d3_1_objective', 446, 0, 0, 'no', 'meta']"
95,"['d3_1_objective', 446, 0, 0, 'no', 'mistral']"
96,"['d3_1_objective', 596, 0, 0, 'no', 'mistral']"
97,"['d3_1_objective', 596, 0, 0, 'no', 'meta']"
98,"['d3_1_objective', 596, 0, 1, 'yes', 'openai']"
99,"['d3_1_objective', 539, 0, 1, 'yes', 'openai']"
100,"['d3_1_objective', 539, 0, 0, 'no', 'mistral']"
101,"['d3_1_objective', 539, 0, 0, 'no', 'meta']"
102,"['d3_1_objective', 396, 0, 1, 'yes', 'openai']"
103,"['d3_1_objective', 396, 0, 0, 'no', 'meta']"
104,"['d3_1_objective', 396, 0, 1, 'yes', 'mistral']"
105,"['d3_1_objective', 719, 0, 1, 'yes', 'openai']"
106,"['d3_1_objective', 719, 0, 1, 'yes', 'mistral']"
107,"['d3_1_objective', 719, 0, 0, 'no', 'meta']"
108,"['d3_1_objective', 279, 1, 1, 'yes', 'openai']"
109,"['d3_1_objective', 279, 1, 0, 'no', 'meta']"
110,"['d3_1_objective', 279, 1, 0, 'the', 'mistral']"
111,"['d3_1_objective', 407, 0, 1, 'yes', 'openai']"
112,"['d3_1_objective', 407, 0, 0, 'no', 'mistral']"
113,"['d3_1_objective', 407, 0, 0, 'no', 'meta']"
114,"['d3_1_objective', 612, 0, 0, 'no', 'mistral']"
115,"['d3_1_objective', 612, 0, 0, 'no', 'meta']"
116,"['d3_1_objective', 612, 0, 1, 'yes', 'openai']"
117,"['d3_1_objective', 457, 0, 0, 'no', 'openai']"
118,"['d3_1_objective', 457, 0, 0, 'no', 'mistral']"
119,"['d3_1_objective', 457, 0, 0, 'no', 'meta']"
120,"['d3_1_objective', 636, 0, 0, 'no', 'mistral']"
121,"['d3_1_objective', 636, 0, 0, 'no', 'meta']"
122,"['d3_1_objective', 636, 0, 0, 'no', 'openai']"
123,"['d3_1_objective', 426, 0, 0, 'no', 'openai']"
124,"['d3_1_objective', 426, 0, 0, 'no', 'meta']"
125,"['d3_1_objective', 426, 0, 0, 'no', 'mistral']"
126,"['d3_1_objective', 520, 0, 1, 'yes', 'openai']"
127,"['d3_1_objective', 520, 0, 0, 'no', 'meta']"
128,"['d3_1_objective', 520, 0, 0, 'no', 'mistral']"
129,"['d3_1_objective', 33, 1, 0, 'no', 'mistral']"
130,"['d3_1_objective', 33, 1, 0, 'no', 'meta']"
131,"['d3_1_objective', 33, 1, 1, 'yes', 'openai']"
132,"['d3_1_objective', 168, 1, 1, 'yes', 'openai']"
133,"['d3_1_objective', 168, 1, 0, 'no', 'meta']"
134,"['d3_1_objective', 168, 1, 0, 'no', 'mistral']"
135,"['d3_1_objective', 213, 1, 1, 'yes', 'openai']"
136,"['d3_1_objective', 213, 1, 0, 'no', 'meta']"
137,"['d3_1_objective', 213, 1, 0, 'no', 'mistral']"
138,"['d3_1_objective', 58, 1, 1, 'yes', 'openai']"
139,"['d3_1_objective', 58, 1, 0, 'no', 'meta']"
140,"['d3_1_objective', 58, 1, 0, 'no', 'mistral']"
141,"['d3_1_objective', 172, 1, 0, 'no', 'openai']"
142,"['d3_1_objective', 172, 1, 0, 'no', 'meta']"
143,"['d3_1_objective', 172, 1, 1, 'yes', 'mistral']"
144,"['d3_1_objective', 74, 1, 0, 'no', 'meta']"
145,"['d3_1_objective', 74, 1, 1, 'yes', 'openai']"
146,"['d3_1_objective', 74, 1, 1, 'yes', 'mistral']"
147,"['d3_1_objective', 205, 1, 0, 'no', 'mistral']"
148,"['d3_1_objective', 205, 1, 0, 'no', 'meta']"
149,"['d3_1_objective', 205, 1, 0, 'no', 'openai']"
150,"['d3_1_objective', 469, 0, 0, 'no', 'openai']"
151,"['d3_1_objective', 469, 0, 0, 'no', 'mistral']"
152,"['d3_1_objective', 469, 0, 0, 'no', 'meta']"
153,"['d3_1_objective', 269, 1, 1, 'yes', 'openai']"
154,"['d3_1_objective', 269, 1, 0, 'no', 'meta']"
155,"['d3_1_objective', 269, 1, 0, 'no', 'mistral']"
156,"['d3_1_objective', 273, 1, 1, 'yes', 'openai']"
157,"['d3_1_objective', 273, 1, 0, 'no', 'meta']"
158,"['d3_1_objective', 273, 1, 0, 'no', 'mistral']"
159,"['d3_1_objective', 154, 1, 0, 'no', 'openai']"
160,"['d3_1_objective', 154, 1, 0, 'no', 'mistral']"
161,"['d3_1_objective', 154, 1, 0, 'no', 'meta']"
162,"['d3_1_objective', 197, 1, 0, 'no', 'mistral']"
163,"['d3_1_objective', 197, 1, 0, 'no', 'meta']"
