,0
0,task
1,idx
2,true_label
3,pred_label
4,answer
5,model
6,"['d3_10_infrastructure', 1703, 0, 0, 'no', 'openai']"
7,"['d3_10_infrastructure', 1703, 0, 0, 'no', 'mistral']"
8,"['d3_10_infrastructure', 1703, 0, 0, 'no', 'meta']"
9,"['d3_10_infrastructure', 66, 1, 1, 'yes', 'openai']"
10,"['d3_10_infrastructure', 66, 1, 1, 'yes', 'meta']"
11,"['d3_10_infrastructure', 66, 1, 1, 'yes', 'mistral']"
12,"['d3_10_infrastructure', 732, 0, 0, 'no', 'meta']"
13,"['d3_10_infrastructure', 732, 0, 0, 'no', 'openai']"
14,"['d3_10_infrastructure', 732, 0, 0, 'no', 'mistral']"
15,"['d3_10_infrastructure', 594, 0, 0, 'no', 'mistral']"
16,"['d3_10_infrastructure', 594, 0, 0, 'no', 'meta']"
17,"['d3_10_infrastructure', 594, 0, 0, 'no', 'openai']"
18,"['d3_10_infrastructure', 1961, 0, 1, 'yes', 'openai']"
19,"['d3_10_infrastructure', 1961, 0, 1, 'yes', 'mistral']"
20,"['d3_10_infrastructure', 1961, 0, 1, 'yes', 'meta']"
21,"['d3_10_infrastructure', 1802, 0, 1, 'yes', 'openai']"
22,"['d3_10_infrastructure', 1802, 0, 0, 'no', 'meta']"
23,"['d3_10_infrastructure', 1802, 0, 0, 'no', 'mistral']"
24,"['d3_10_infrastructure', 2376, 0, 1, 'yes', 'openai']"
25,"['d3_10_infrastructure', 2376, 0, 0, 'no', 'meta']"
26,"['d3_10_infrastructure', 2376, 0, 1, 'yes', 'mistral']"
27,"['d3_10_infrastructure', 231, 0, 1, 'yes', 'openai']"
28,"['d3_10_infrastructure', 231, 0, 1, 'yes', 'mistral']"
29,"['d3_10_infrastructure', 231, 0, 0, 'no', 'meta']"
30,"['d3_10_infrastructure', 1123, 0, 0, 'no', 'openai']"
31,"['d3_10_infrastructure', 1123, 0, 0, 'no', 'meta']"
32,"['d3_10_infrastructure', 1123, 0, 0, 'no', 'mistral']"
33,"['d3_10_infrastructure', 79, 1, 0, 'no', 'openai']"
34,"['d3_10_infrastructure', 79, 1, 0, 'no', 'meta']"
35,"['d3_10_infrastructure', 79, 1, 0, 'no', 'mistral']"
36,"['d3_10_infrastructure', 582, 0, 1, 'yes', 'openai']"
37,"['d3_10_infrastructure', 582, 0, 1, 'yes', 'mistral']"
38,"['d3_10_infrastructure', 582, 0, 0, 'no', 'meta']"
39,"['d3_10_infrastructure', 1346, 0, 0, 'no', 'meta']"
40,"['d3_10_infrastructure', 1346, 0, 1, 'yes', 'openai']"
41,"['d3_10_infrastructure', 1346, 0, 1, 'yes', 'mistral']"
42,"['d3_10_infrastructure', 70, 1, 1, 'yes', 'openai']"
43,"['d3_10_infrastructure', 70, 1, 1, 'yes', 'mistral']"
44,"['d3_10_infrastructure', 70, 1, 1, 'yes', 'meta']"
45,"['d3_10_infrastructure', 529, 0, 0, 'no', 'mistral']"
46,"['d3_10_infrastructure', 529, 0, 0, 'no', 'meta']"
47,"['d3_10_infrastructure', 529, 0, 0, 'no', 'openai']"
48,"['d3_10_infrastructure', 1731, 0, 0, 'no', 'meta']"
49,"['d3_10_infrastructure', 1731, 0, 0, 'no', 'openai']"
50,"['d3_10_infrastructure', 1731, 0, 0, 'no', 'mistral']"
51,"['d3_10_infrastructure', 1451, 0, 0, 'no', 'openai']"
52,"['d3_10_infrastructure', 1451, 0, 0, 'no', 'meta']"
53,"['d3_10_infrastructure', 1451, 0, 0, 'no', 'mistral']"
54,"['d3_10_infrastructure', 587, 0, 0, 'no', 'mistral']"
55,"['d3_10_infrastructure', 587, 0, 0, 'no', 'meta']"
56,"['d3_10_infrastructure', 587, 0, 0, 'no', 'openai']"
57,"['d3_10_infrastructure', 1569, 0, 0, 'no', 'openai']"
58,"['d3_10_infrastructure', 1569, 0, 0, 'no', 'meta']"
59,"['d3_10_infrastructure', 1569, 0, 1, 'yes', 'mistral']"
60,"['d3_10_infrastructure', 2156, 0, 0, 'no', 'meta']"
61,"['d3_10_infrastructure', 2156, 0, 0, 'no', 'openai']"
62,"['d3_10_infrastructure', 2156, 0, 0, 'no', 'mistral']"
63,"['d3_10_infrastructure', 17, 1, 0, 'no', 'openai']"
64,"['d3_10_infrastructure', 17, 1, 1, 'yes', 'mistral']"
65,"['d3_10_infrastructure', 17, 1, 0, 'no', 'meta']"
66,"['d3_10_infrastructure', 2146, 0, 1, 'yes', 'openai']"
67,"['d3_10_infrastructure', 2146, 0, 0, 'no', 'meta']"
68,"['d3_10_infrastructure', 2146, 0, 0, 'no', 'mistral']"
69,"['d3_10_infrastructure', 1859, 0, 1, 'yes', 'openai']"
70,"['d3_10_infrastructure', 1859, 0, 1, 'yes', 'meta']"
71,"['d3_10_infrastructure', 1859, 0, 1, 'yes', 'mistral']"
72,"['d3_10_infrastructure', 906, 0, 0, 'no', 'openai']"
73,"['d3_10_infrastructure', 906, 0, 0, 'no', 'meta']"
74,"['d3_10_infrastructure', 906, 0, 0, 'no', 'mistral']"
75,"['d3_10_infrastructure', 414, 0, 0, 'no', 'openai']"
76,"['d3_10_infrastructure', 414, 0, 0, 'no', 'meta']"
77,"['d3_10_infrastructure', 414, 0, 0, 'no', 'mistral']"
78,"['d3_10_infrastructure', 2550, 0, 0, 'no', 'mistral']"
79,"['d3_10_infrastructure', 2550, 0, 0, 'no', 'meta']"
80,"['d3_10_infrastructure', 2550, 0, 0, 'no', 'openai']"
81,"['d3_10_infrastructure', 896, 0, 0, 'no', 'meta']"
82,"['d3_10_infrastructure', 896, 0, 1, 'yes', 'openai']"
83,"['d3_10_infrastructure', 896, 0, 1, 'yes', 'mistral']"
84,"['d3_10_infrastructure', 247, 0, 0, 'no', 'openai']"
85,"['d3_10_infrastructure', 247, 0, 0, 'no', 'meta']"
86,"['d3_10_infrastructure', 247, 0, 0, 'no', 'mistral']"
87,"['d3_10_infrastructure', 257, 0, 1, 'yes', 'openai']"
88,"['d3_10_infrastructure', 257, 0, 0, 'no', 'meta']"
89,"['d3_10_infrastructure', 257, 0, 1, 'yes', 'mistral']"
90,"['d3_10_infrastructure', 2257, 0, 0, 'no', 'openai']"
91,"['d3_10_infrastructure', 2257, 0, 0, 'no', 'meta']"
92,"['d3_10_infrastructure', 2257, 0, 0, 'no', 'mistral']"
93,"['d3_10_infrastructure', 1608, 0, 0, 'no', 'mistral']"
94,"['d3_10_infrastructure', 1608, 0, 0, 'no', 'meta']"
95,"['d3_10_infrastructure', 1608, 0, 0, 'no', 'openai']"
96,"['d3_10_infrastructure', 2150, 0, 1, 'yes', 'mistral']"
97,"['d3_10_infrastructure', 2150, 0, 1, 'yes', 'meta']"
98,"['d3_10_infrastructure', 2150, 0, 1, 'yes', 'openai']"
99,"['d3_10_infrastructure', 1944, 0, 1, 'yes', 'openai']"
100,"['d3_10_infrastructure', 1944, 0, 1, 'yes', 'meta']"
101,"['d3_10_infrastructure', 1944, 0, 1, 'yes', 'mistral']"
102,"['d3_10_infrastructure', 1428, 0, 0, 'no', 'openai']"
103,"['d3_10_infrastructure', 1428, 0, 0, 'no', 'meta']"
104,"['d3_10_infrastructure', 1428, 0, 0, 'no', 'mistral']"
105,"['d3_10_infrastructure', 2592, 0, 0, 'no', 'openai']"
106,"['d3_10_infrastructure', 2592, 0, 0, 'no', 'mistral']"
107,"['d3_10_infrastructure', 2592, 0, 0, 'no', 'meta']"
108,"['d3_10_infrastructure', 1008, 0, 1, 'yes', 'openai']"
109,"['d3_10_infrastructure', 1008, 0, 0, 'no', 'meta']"
110,"['d3_10_infrastructure', 1008, 0, 1, 'yes', 'mistral']"
111,"['d3_10_infrastructure', 1470, 0, 0, 'no', 'openai']"
112,"['d3_10_infrastructure', 1470, 0, 0, 'no', 'mistral']"
113,"['d3_10_infrastructure', 1470, 0, 0, 'no', 'meta']"
114,"['d3_10_infrastructure', 2209, 0, 0, 'no', 'mistral']"
115,"['d3_10_infrastructure', 2209, 0, 0, 'no', 'meta']"
116,"['d3_10_infrastructure', 2209, 0, 0, 'no', 'openai']"
117,"['d3_10_infrastructure', 1647, 0, 1, 'yes', 'meta']"
118,"['d3_10_infrastructure', 1647, 0, 1, 'yes', 'openai']"
119,"['d3_10_infrastructure', 1647, 0, 1, 'yes', 'mistral']"
120,"['d3_10_infrastructure', 2295, 0, 0, 'no', 'openai']"
121,"['d3_10_infrastructure', 2295, 0, 0, 'no', 'meta']"
122,"['d3_10_infrastructure', 2295, 0, 0, 'no', 'mistral']"
123,"['d3_10_infrastructure', 1538, 0, 0, 'no', 'mistral']"
124,"['d3_10_infrastructure', 1538, 0, 0, 'no', 'meta']"
125,"['d3_10_infrastructure', 1538, 0, 0, 'no', 'openai']"
126,"['d3_10_infrastructure', 1876, 0, 0, 'no', 'openai']"
127,"['d3_10_infrastructure', 1876, 0, 0, 'no', 'meta']"
128,"['d3_10_infrastructure', 1876, 0, 0, 'no', 'mistral']"
129,"['d3_10_infrastructure', 122, 1, 1, 'yes', 'openai']"
130,"['d3_10_infrastructure', 122, 1, 1, 'yes', 'mistral']"
131,"['d3_10_infrastructure', 122, 1, 1, 'yes', 'meta']"
132,"['d3_10_infrastructure', 607, 0, 0, 'no', 'openai']"
133,"['d3_10_infrastructure', 607, 0, 0, 'no', 'meta']"
134,"['d3_10_infrastructure', 607, 0, 0, 'no', 'mistral']"
135,"['d3_10_infrastructure', 770, 0, 0, 'no', 'mistral']"
136,"['d3_10_infrastructure', 770, 0, 0, 'no', 'meta']"
137,"['d3_10_infrastructure', 770, 0, 0, 'no', 'openai']"
138,"['d3_10_infrastructure', 212, 0, 0, 'no', 'openai']"
139,"['d3_10_infrastructure', 212, 0, 0, 'no', 'mistral']"
140,"['d3_10_infrastructure', 212, 0, 0, 'no', 'meta']"
141,"['d3_10_infrastructure', 620, 0, 0, 'no', 'openai']"
142,"['d3_10_infrastructure', 620, 0, 0, 'no', 'meta']"
143,"['d3_10_infrastructure', 620, 0, 0, 'no', 'mistral']"
144,"['d3_10_infrastructure', 269, 0, 0, 'no', 'mistral']"
145,"['d3_10_infrastructure', 269, 0, 0, 'no', 'meta']"
146,"['d3_10_infrastructure', 269, 0, 0, 'no', 'openai']"
147,"['d3_10_infrastructure', 740, 0, 1, 'yes', 'openai']"
