,0
0,task
1,idx
2,true_label
3,pred_label
4,answer
5,model
6,"['d3_30_news', 3694, 0, 0, 'no', 'openai']"
7,"['d3_30_news', 3694, 0, 0, 'no', 'meta']"
8,"['d3_30_news', 3694, 0, 0, 'no', 'mistral']"
9,"['d3_30_news', 3694, 0, 0, 'no', 'gpt4']"
10,"['d3_30_news', 144, 1, 1, 'yes', 'openai']"
11,"['d3_30_news', 144, 1, 1, 'yes', 'mistral']"
12,"['d3_30_news', 144, 1, 1, 'yes', 'meta']"
13,"['d3_30_news', 144, 1, 1, 'yes', 'gpt4']"
14,"['d3_30_news', 1589, 0, 0, 'no', 'mistral']"
15,"['d3_30_news', 1589, 0, 0, 'no', 'meta']"
16,"['d3_30_news', 1589, 0, 0, 'no', 'openai']"
17,"['d3_30_news', 1589, 0, 0, 'no', 'gpt4']"
18,"['d3_30_news', 1289, 1, 1, 'yes', 'mistral']"
19,"['d3_30_news', 1289, 1, 0, 'no', 'meta']"
20,"['d3_30_news', 1289, 1, 0, 'no', 'openai']"
21,"['d3_30_news', 1289, 1, 1, 'yes', 'gpt4']"
22,"['d3_30_news', 4255, 0, 0, 'no', 'openai']"
23,"['d3_30_news', 4255, 0, 0, 'no', 'meta']"
24,"['d3_30_news', 4255, 0, 0, 'no', 'mistral']"
25,"['d3_30_news', 4255, 0, 0, 'no', 'gpt4']"
26,"['d3_30_news', 3909, 0, 0, 'no', 'mistral']"
27,"['d3_30_news', 3909, 0, 0, 'no', 'meta']"
28,"['d3_30_news', 3909, 0, 0, 'no', 'openai']"
29,"['d3_30_news', 3909, 0, 0, 'no', 'gpt4']"
30,"['d3_30_news', 5155, 0, 1, 'yes', 'meta']"
31,"['d3_30_news', 5155, 0, 0, 'no', 'openai']"
32,"['d3_30_news', 5155, 0, 1, 'yes', 'mistral']"
33,"['d3_30_news', 5155, 0, 1, 'yes', 'gpt4']"
34,"['d3_30_news', 502, 1, 1, 'yes', 'openai']"
35,"['d3_30_news', 502, 1, 1, 'yes', 'meta']"
36,"['d3_30_news', 502, 1, 1, 'yes', 'mistral']"
37,"['d3_30_news', 502, 1, 1, 'yes', 'gpt4']"
38,"['d3_30_news', 2437, 0, 0, 'no', 'openai']"
39,"['d3_30_news', 2437, 0, 0, 'no', 'meta']"
40,"['d3_30_news', 2437, 0, 0, 'no', 'mistral']"
41,"['d3_30_news', 2437, 0, 0, 'no', 'gpt4']"
42,"['d3_30_news', 172, 1, 1, 'yes', 'openai']"
43,"['d3_30_news', 172, 1, 1, 'yes', 'meta']"
44,"['d3_30_news', 172, 1, 1, 'yes', 'mistral']"
45,"['d3_30_news', 172, 1, 1, 'yes', 'gpt4']"
46,"['d3_30_news', 1263, 1, 1, 'yes', 'openai']"
47,"['d3_30_news', 1263, 1, 1, 'yes', 'mistral']"
48,"['d3_30_news', 1263, 1, 1, 'yes', 'meta']"
49,"['d3_30_news', 1263, 1, 1, 'yes', 'gpt4']"
50,"['d3_30_news', 2919, 0, 0, 'no', 'openai']"
51,"['d3_30_news', 2919, 0, 0, 'no', 'mistral']"
52,"['d3_30_news', 2919, 0, 0, 'no', 'meta']"
53,"['d3_30_news', 2919, 0, 0, 'no', 'gpt4']"
54,"['d3_30_news', 153, 1, 1, 'yes', 'openai']"
55,"['d3_30_news', 153, 1, 1, 'yes', 'meta']"
56,"['d3_30_news', 153, 1, 1, 'yes', 'mistral']"
57,"['d3_30_news', 153, 1, 1, 'yes', 'gpt4']"
58,"['d3_30_news', 1148, 1, 1, 'yes', 'openai']"
59,"['d3_30_news', 1148, 1, 1, 'yes', 'meta']"
60,"['d3_30_news', 1148, 1, 1, 'yes', 'mistral']"
61,"['d3_30_news', 1148, 1, 1, 'yes', 'gpt4']"
62,"['d3_30_news', 3755, 0, 0, 'no', 'mistral']"
63,"['d3_30_news', 3755, 0, 0, 'no', 'meta']"
64,"['d3_30_news', 3755, 0, 0, 'no', 'openai']"
65,"['d3_30_news', 3755, 0, 0, 'no', 'gpt4']"
66,"['d3_30_news', 3148, 0, 1, 'yes', 'mistral']"
67,"['d3_30_news', 3148, 0, 1, 'yes', 'meta']"
68,"['d3_30_news', 3148, 0, 0, 'no', 'openai']"
69,"['d3_30_news', 3148, 0, 0, 'no', 'gpt4']"
70,"['d3_30_news', 1273, 1, 1, 'yes', 'openai']"
71,"['d3_30_news', 1273, 1, 1, 'yes', 'meta']"
72,"['d3_30_news', 1273, 1, 1, 'yes', 'mistral']"
73,"['d3_30_news', 1273, 1, 1, 'yes', 'gpt4']"
74,"['d3_30_news', 3404, 0, 0, 'no', 'mistral']"
75,"['d3_30_news', 3404, 0, 0, 'no', 'meta']"
76,"['d3_30_news', 3404, 0, 0, 'no', 'openai']"
77,"['d3_30_news', 3404, 0, 0, 'no', 'gpt4']"
78,"['d3_30_news', 4676, 0, 0, 'no', 'openai']"
79,"['d3_30_news', 4676, 0, 0, 'no', 'mistral']"
80,"['d3_30_news', 4676, 0, 0, 'no', 'meta']"
81,"['d3_30_news', 4676, 0, 1, 'yes', 'gpt4']"
82,"['d3_30_news', 37, 1, 1, 'yes', 'meta']"
83,"['d3_30_news', 37, 1, 1, 'yes', 'openai']"
84,"['d3_30_news', 37, 1, 1, 'yes', 'mistral']"
85,"['d3_30_news', 37, 1, 1, 'yes', 'gpt4']"
