,0
0,task
1,idx
2,true_label
3,pred_label
4,answer
5,model
6,"['d3_48_health', 4786, 0, 0, 'no', 'openai']"
7,"['d3_48_health', 4786, 0, 0, 'no', 'mistral']"
8,"['d3_48_health', 4786, 0, 0, 'no', 'meta']"
9,"['d3_48_health', 187, 1, 1, 'yes', 'openai']"
10,"['d3_48_health', 187, 1, 1, 'yes', 'meta']"
11,"['d3_48_health', 187, 1, 1, 'yes', 'mistral']"
12,"['d3_48_health', 2058, 0, 1, 'yes', 'openai']"
13,"['d3_48_health', 2058, 0, 1, 'yes', 'meta']"
14,"['d3_48_health', 2058, 0, 1, 'yes', 'mistral']"
15,"['d3_48_health', 1670, 0, 0, 'no', 'openai']"
16,"['d3_48_health', 1670, 0, 0, 'no', 'meta']"
17,"['d3_48_health', 1670, 0, 0, 'no', 'mistral']"
18,"['d3_48_health', 5512, 0, 0, 'no', 'meta']"
19,"['d3_48_health', 5512, 0, 1, 'yes', 'openai']"
20,"['d3_48_health', 5512, 0, 0, 'no', 'mistral']"
21,"['d3_48_health', 5065, 0, 1, 'yes', 'openai']"
22,"['d3_48_health', 5065, 0, 1, 'yes', 'meta']"
23,"['d3_48_health', 5065, 0, 1, 'yes', 'mistral']"
24,"['d3_48_health', 6677, 0, 0, 'no', 'mistral']"
25,"['d3_48_health', 6677, 0, 0, 'no', 'meta']"
26,"['d3_48_health', 6677, 0, 0, 'no', 'openai']"
27,"['d3_48_health', 650, 1, 1, 'yes', 'openai']"
28,"['d3_48_health', 650, 1, 1, 'yes', 'meta']"
29,"['d3_48_health', 650, 1, 1, 'yes', 'mistral']"
30,"['d3_48_health', 3158, 0, 0, 'no', 'openai']"
31,"['d3_48_health', 3158, 0, 0, 'no', 'mistral']"
32,"['d3_48_health', 3158, 0, 0, 'no', 'meta']"
33,"['d3_48_health', 223, 1, 1, 'yes', 'meta']"
34,"['d3_48_health', 223, 1, 1, 'yes', 'openai']"
35,"['d3_48_health', 223, 1, 1, 'yes', 'mistral']"
36,"['d3_48_health', 1636, 0, 0, 'no', 'meta']"
37,"['d3_48_health', 1636, 0, 0, 'no', 'openai']"
38,"['d3_48_health', 1636, 0, 0, 'no', 'mistral']"
39,"['d3_48_health', 3782, 0, 0, 'no', 'openai']"
40,"['d3_48_health', 3782, 0, 0, 'no', 'meta']"
41,"['d3_48_health', 3782, 0, 0, 'no', 'mistral']"
42,"['d3_48_health', 198, 1, 1, 'yes', 'mistral']"
43,"['d3_48_health', 198, 1, 1, 'yes', 'meta']"
44,"['d3_48_health', 198, 1, 1, 'yes', 'openai']"
45,"['d3_48_health', 1488, 0, 0, 'the', 'mistral']"
46,"['d3_48_health', 1488, 0, 0, 'no', 'meta']"
47,"['d3_48_health', 1488, 0, 0, 'no', 'openai']"
48,"['d3_48_health', 4864, 0, 0, 'no', 'mistral']"
49,"['d3_48_health', 4864, 0, 0, 'no', 'meta']"
50,"['d3_48_health', 4864, 0, 0, 'no', 'openai']"
51,"['d3_48_health', 4078, 0, 0, 'no', 'meta']"
52,"['d3_48_health', 4078, 0, 0, 'no', 'openai']"
53,"['d3_48_health', 4078, 0, 0, 'no', 'mistral']"
54,"['d3_48_health', 1649, 0, 0, 'no', 'openai']"
55,"['d3_48_health', 1649, 0, 0, 'no', 'mistral']"
56,"['d3_48_health', 1649, 0, 0, 'no', 'meta']"
57,"['d3_48_health', 4410, 0, 0, 'no', 'openai']"
58,"['d3_48_health', 4410, 0, 0, 'no', 'meta']"
59,"['d3_48_health', 4410, 0, 0, 'no', 'mistral']"
60,"['d3_48_health', 6058, 0, 0, 'no', 'mistral']"
61,"['d3_48_health', 6058, 0, 0, 'no', 'meta']"
62,"['d3_48_health', 6058, 0, 0, 'no', 'openai']"
63,"['d3_48_health', 48, 1, 1, 'yes', 'mistral']"
64,"['d3_48_health', 48, 1, 1, 'yes', 'meta']"
65,"['d3_48_health', 48, 1, 1, 'yes', 'openai']"
66,"['d3_48_health', 6031, 0, 1, 'yes', 'mistral']"
67,"['d3_48_health', 6031, 0, 0, 'no', 'meta']"
68,"['d3_48_health', 6031, 0, 1, 'yes', 'openai']"
69,"['d3_48_health', 5225, 0, 0, 'no', 'openai']"
70,"['d3_48_health', 5225, 0, 0, 'no', 'meta']"
71,"['d3_48_health', 5225, 0, 0, 'no', 'mistral']"
72,"['d3_48_health', 2546, 0, 0, 'no', 'openai']"
73,"['d3_48_health', 2546, 0, 0, 'no', 'mistral']"
74,"['d3_48_health', 2546, 0, 0, 'no', 'meta']"
75,"['d3_48_health', 1163, 0, 0, 'no', 'openai']"
76,"['d3_48_health', 1163, 0, 0, 'no', 'meta']"
77,"['d3_48_health', 1163, 0, 0, 'no', 'mistral']"
78,"['d3_48_health', 7164, 0, 0, 'no', 'openai']"
79,"['d3_48_health', 7164, 0, 0, 'no', 'mistral']"
80,"['d3_48_health', 7164, 0, 0, 'no', 'meta']"
81,"['d3_48_health', 2519, 0, 0, 'no', 'mistral']"
82,"['d3_48_health', 2519, 0, 0, 'no', 'meta']"
83,"['d3_48_health', 2519, 0, 0, 'no', 'openai']"
84,"['d3_48_health', 694, 1, 1, 'yes', 'mistral']"
85,"['d3_48_health', 694, 1, 1, 'yes', 'meta']"
86,"['d3_48_health', 694, 1, 1, 'yes', 'openai']"
87,"['d3_48_health', 723, 0, 0, 'no', 'mistral']"
88,"['d3_48_health', 723, 0, 0, 'no', 'meta']"
89,"['d3_48_health', 723, 0, 0, 'no', 'openai']"
90,"['d3_48_health', 6343, 0, 0, 'no', 'mistral']"
91,"['d3_48_health', 6343, 0, 0, 'no', 'meta']"
92,"['d3_48_health', 6343, 0, 0, 'no', 'openai']"
93,"['d3_48_health', 4518, 0, 0, 'no', 'openai']"
94,"['d3_48_health', 4518, 0, 0, 'no', 'meta']"
95,"['d3_48_health', 4518, 0, 0, 'no', 'mistral']"
96,"['d3_48_health', 6041, 0, 0, 'no', 'openai']"
97,"['d3_48_health', 6041, 0, 0, 'no', 'meta']"
98,"['d3_48_health', 6041, 0, 0, 'no', 'mistral']"
99,"['d3_48_health', 5462, 0, 0, 'no', 'openai']"
100,"['d3_48_health', 5462, 0, 0, 'no', 'mistral']"
101,"['d3_48_health', 5462, 0, 0, 'no', 'meta']"
102,"['d3_48_health', 4013, 0, 0, 'no', 'openai']"
103,"['d3_48_health', 4013, 0, 0, 'no', 'meta']"
104,"['d3_48_health', 4013, 0, 0, 'no', 'mistral']"
105,"['d3_48_health', 7283, 0, 0, 'no', 'openai']"
106,"['d3_48_health', 7283, 0, 0, 'no', 'meta']"
107,"['d3_48_health', 7283, 0, 0, 'no', 'mistral']"
108,"['d3_48_health', 2833, 0, 0, 'no', 'openai']"
109,"['d3_48_health', 2833, 0, 0, 'no', 'meta']"
110,"['d3_48_health', 2833, 0, 0, 'no', 'mistral']"
111,"['d3_48_health', 4132, 0, 0, 'no', 'openai']"
112,"['d3_48_health', 4132, 0, 0, 'no', 'meta']"
113,"['d3_48_health', 4132, 0, 0, 'no', 'mistral']"
114,"['d3_48_health', 6208, 0, 0, 'no', 'openai']"
115,"['d3_48_health', 6208, 0, 0, 'no', 'mistral']"
116,"['d3_48_health', 6208, 0, 0, 'no', 'meta']"
117,"['d3_48_health', 4629, 0, 0, 'no', 'meta']"
118,"['d3_48_health', 4629, 0, 0, 'no', 'openai']"
119,"['d3_48_health', 4629, 0, 0, 'no', 'mistral']"
120,"['d3_48_health', 6449, 0, 0, 'no', 'openai']"
121,"['d3_48_health', 6449, 0, 0, 'no', 'mistral']"
122,"['d3_48_health', 6449, 0, 0, 'no', 'meta']"
123,"['d3_48_health', 4321, 0, 0, 'no', 'mistral']"
124,"['d3_48_health', 4321, 0, 0, 'no', 'meta']"
125,"['d3_48_health', 4321, 0, 0, 'no', 'openai']"
126,"['d3_48_health', 5273, 0, 0, 'no', 'openai']"
127,"['d3_48_health', 5273, 0, 0, 'no', 'meta']"
128,"['d3_48_health', 5273, 0, 0, 'no', 'mistral']"
129,"['d3_48_health', 342, 1, 1, 'yes', 'meta']"
130,"['d3_48_health', 342, 1, 1, 'yes', 'openai']"
131,"['d3_48_health', 342, 1, 1, 'yes', 'mistral']"
132,"['d3_48_health', 1705, 0, 0, 'no', 'openai']"
133,"['d3_48_health', 1705, 0, 0, 'no', 'meta']"
134,"['d3_48_health', 1705, 0, 0, 'no', 'mistral']"
135,"['d3_48_health', 2166, 0, 0, 'no', 'mistral']"
136,"['d3_48_health', 2166, 0, 1, 'yes', 'meta']"
137,"['d3_48_health', 2166, 0, 0, 'no', 'openai']"
138,"['d3_48_health', 597, 1, 1, 'yes', 'openai']"
139,"['d3_48_health', 597, 1, 1, 'yes', 'mistral']"
140,"['d3_48_health', 597, 1, 1, 'yes', 'meta']"
141,"['d3_48_health', 1742, 0, 0, 'no', 'meta']"
142,"['d3_48_health', 1742, 0, 0, 'no', 'openai']"
143,"['d3_48_health', 1742, 0, 0, 'no', 'mistral']"
144,"['d3_48_health', 755, 0, 1, 'yes', 'openai']"
145,"['d3_48_health', 755, 0, 0, 'no', 'meta']"
146,"['d3_48_health', 755, 0, 1, 'yes', 'mistral']"
147,"['d3_48_health', 2080, 0, 0, 'no', 'mistral']"
148,"['d3_48_health', 2080, 0, 0, 'no', 'meta']"
149,"['d3_48_health', 2080, 0, 0, 'no', 'openai']"
150,"['d3_48_health', 4758, 0, 0, 'no', 'openai']"
151,"['d3_48_health', 4758, 0, 0, 'no', 'meta']"
152,"['d3_48_health', 4758, 0, 0, 'no', 'mistral']"
153,"['d3_48_health', 2730, 0, 0, 'no', 'openai']"
154,"['d3_48_health', 2730, 0, 0, 'no', 'meta']"
155,"['d3_48_health', 2730, 0, 0, 'no', 'mistral']"
156,"['d3_48_health', 2770, 0, 0, 'no', 'mistral']"
157,"['d3_48_health', 2770, 0, 0, 'no', 'meta']"
158,"['d3_48_health', 2770, 0, 0, 'no', 'openai']"
159,"['d3_48_health', 1568, 0, 0, 'no', 'mistral']"
160,"['d3_48_health', 1568, 0, 0, 'no', 'meta']"
161,"['d3_48_health', 1568, 0, 0, 'no', 'openai']"
162,"['d3_48_health', 1998, 0, 0, 'no', 'openai']"
163,"['d3_48_health', 1998, 0, 0, 'no', 'meta']"
164,"['d3_48_health', 1998, 0, 0, 'no', 'mistral']"
