,0
0,task
1,idx
2,true_label
3,pred_label
4,answer
5,model
6,"['d3_12_medical', 1710, 0, 0, 'no', 'openai']"
7,"['d3_12_medical', 1710, 0, 0, 'no', 'meta']"
8,"['d3_12_medical', 1710, 0, 0, 'no', 'mistral']"
9,"['d3_12_medical', 66, 1, 1, 'yes', 'openai']"
10,"['d3_12_medical', 66, 1, 1, 'yes', 'mistral']"
11,"['d3_12_medical', 66, 1, 1, 'yes', 'meta']"
12,"['d3_12_medical', 735, 0, 0, 'no', 'meta']"
13,"['d3_12_medical', 735, 0, 1, 'yes', 'openai']"
14,"['d3_12_medical', 735, 0, 1, 'yes', 'mistral']"
15,"['d3_12_medical', 597, 0, 0, 'no', 'mistral']"
16,"['d3_12_medical', 597, 0, 0, 'no', 'meta']"
17,"['d3_12_medical', 597, 0, 0, 'no', 'openai']"
18,"['d3_12_medical', 1970, 0, 0, 'no', 'openai']"
19,"['d3_12_medical', 1970, 0, 0, 'no', 'meta']"
20,"['d3_12_medical', 1970, 0, 1, 'yes', 'mistral']"
21,"['d3_12_medical', 1810, 0, 1, 'yes', 'openai']"
22,"['d3_12_medical', 1810, 0, 0, 'no', 'meta']"
23,"['d3_12_medical', 1810, 0, 1, 'yes', 'mistral']"
24,"['d3_12_medical', 2386, 0, 1, 'yes', 'openai']"
25,"['d3_12_medical', 2386, 0, 0, 'no', 'meta']"
26,"['d3_12_medical', 2386, 0, 1, 'yes', 'mistral']"
27,"['d3_12_medical', 232, 1, 1, 'yes', 'meta']"
28,"['d3_12_medical', 232, 1, 1, 'yes', 'openai']"
29,"['d3_12_medical', 232, 1, 1, 'yes', 'mistral']"
30,"['d3_12_medical', 1128, 0, 0, 'no', 'meta']"
31,"['d3_12_medical', 1128, 0, 0, 'no', 'openai']"
32,"['d3_12_medical', 1128, 0, 0, 'no', 'mistral']"
33,"['d3_12_medical', 79, 1, 1, 'yes', 'openai']"
34,"['d3_12_medical', 79, 1, 1, 'yes', 'meta']"
35,"['d3_12_medical', 79, 1, 1, 'yes', 'mistral']"
36,"['d3_12_medical', 584, 0, 0, 'no', 'meta']"
37,"['d3_12_medical', 584, 0, 0, 'no', 'openai']"
38,"['d3_12_medical', 584, 0, 0, 'no', 'mistral']"
39,"['d3_12_medical', 1351, 0, 0, 'no', 'openai']"
40,"['d3_12_medical', 1351, 0, 0, 'no', 'meta']"
41,"['d3_12_medical', 1351, 0, 0, 'no', 'mistral']"
42,"['d3_12_medical', 70, 1, 0, 'no', 'mistral']"
43,"['d3_12_medical', 70, 1, 0, 'no', 'meta']"
44,"['d3_12_medical', 70, 1, 0, 'no', 'openai']"
45,"['d3_12_medical', 531, 0, 1, 'yes', 'openai']"
46,"['d3_12_medical', 531, 0, 0, 'no', 'meta']"
47,"['d3_12_medical', 531, 0, 1, 'yes', 'mistral']"
48,"['d3_12_medical', 1738, 0, 0, 'no', 'mistral']"
49,"['d3_12_medical', 1738, 0, 0, 'no', 'meta']"
50,"['d3_12_medical', 1738, 0, 0, 'no', 'openai']"
51,"['d3_12_medical', 1457, 0, 1, 'yes', 'mistral']"
52,"['d3_12_medical', 1457, 0, 0, 'no', 'meta']"
53,"['d3_12_medical', 1457, 0, 0, 'no', 'openai']"
54,"['d3_12_medical', 589, 0, 0, 'no', 'openai']"
55,"['d3_12_medical', 589, 0, 0, 'no', 'meta']"
56,"['d3_12_medical', 589, 0, 0, 'no', 'mistral']"
57,"['d3_12_medical', 1576, 0, 0, 'no', 'openai']"
58,"['d3_12_medical', 1576, 0, 0, 'no', 'meta']"
59,"['d3_12_medical', 1576, 0, 0, 'no', 'mistral']"
60,"['d3_12_medical', 2165, 0, 0, 'no', 'mistral']"
61,"['d3_12_medical', 2165, 0, 0, 'no', 'meta']"
62,"['d3_12_medical', 2165, 0, 0, 'no', 'openai']"
63,"['d3_12_medical', 17, 1, 1, 'yes', 'openai']"
64,"['d3_12_medical', 17, 1, 0, 'no', 'meta']"
65,"['d3_12_medical', 17, 1, 1, 'yes', 'mistral']"
66,"['d3_12_medical', 2155, 0, 0, 'no', 'meta']"
67,"['d3_12_medical', 2155, 0, 0, 'no', 'openai']"
68,"['d3_12_medical', 2155, 0, 0, 'no', 'mistral']"
69,"['d3_12_medical', 1867, 0, 0, 'no', 'openai']"
70,"['d3_12_medical', 1867, 0, 0, 'no', 'meta']"
71,"['d3_12_medical', 1867, 0, 0, 'no', 'mistral']"
72,"['d3_12_medical', 910, 0, 0, 'no', 'meta']"
73,"['d3_12_medical', 910, 0, 0, 'no', 'openai']"
74,"['d3_12_medical', 910, 0, 0, 'the', 'mistral']"
75,"['d3_12_medical', 415, 1, 1, 'yes', 'meta']"
76,"['d3_12_medical', 415, 1, 1, 'yes', 'openai']"
77,"['d3_12_medical', 415, 1, 1, 'yes', 'mistral']"
78,"['d3_12_medical', 2560, 0, 0, 'no', 'openai']"
79,"['d3_12_medical', 2560, 0, 0, 'no', 'meta']"
80,"['d3_12_medical', 2560, 0, 1, 'yes', 'mistral']"
81,"['d3_12_medical', 900, 0, 0, 'no', 'meta']"
82,"['d3_12_medical', 900, 0, 0, 'no', 'openai']"
83,"['d3_12_medical', 900, 0, 0, 'no', 'mistral']"
84,"['d3_12_medical', 248, 1, 0, 'no', 'meta']"
85,"['d3_12_medical', 248, 1, 0, 'no', 'openai']"
86,"['d3_12_medical', 248, 1, 0, 'no', 'mistral']"
87,"['d3_12_medical', 258, 1, 1, 'yes', 'openai']"
88,"['d3_12_medical', 258, 1, 1, 'yes', 'mistral']"
89,"['d3_12_medical', 258, 1, 1, 'yes', 'meta']"
90,"['d3_12_medical', 2267, 0, 0, 'no', 'mistral']"
91,"['d3_12_medical', 2267, 0, 0, 'no', 'meta']"
92,"['d3_12_medical', 2267, 0, 1, 'yes', 'openai']"
93,"['d3_12_medical', 1614, 0, 0, 'no', 'openai']"
94,"['d3_12_medical', 1614, 0, 1, 'yes', 'mistral']"
95,"['d3_12_medical', 1614, 0, 0, 'no', 'meta']"
96,"['d3_12_medical', 2159, 0, 0, 'no', 'openai']"
97,"['d3_12_medical', 2159, 0, 0, 'no', 'meta']"
98,"['d3_12_medical', 2159, 0, 0, 'no', 'mistral']"
99,"['d3_12_medical', 1952, 0, 0, 'no', 'meta']"
100,"['d3_12_medical', 1952, 0, 0, 'no', 'openai']"
101,"['d3_12_medical', 1952, 0, 0, 'no', 'mistral']"
102,"['d3_12_medical', 1434, 0, 0, 'no', 'openai']"
103,"['d3_12_medical', 1434, 0, 1, 'yes', 'meta']"
104,"['d3_12_medical', 1434, 0, 1, 'yes', 'mistral']"
105,"['d3_12_medical', 2603, 0, 1, 'yes', 'mistral']"
106,"['d3_12_medical', 2603, 0, 1, 'yes', 'meta']"
107,"['d3_12_medical', 2603, 0, 1, 'yes', 'openai']"
108,"['d3_12_medical', 1012, 0, 0, 'no', 'openai']"
109,"['d3_12_medical', 1012, 0, 0, 'no', 'meta']"
110,"['d3_12_medical', 1012, 0, 0, 'no', 'mistral']"
111,"['d3_12_medical', 1476, 0, 1, 'yes', 'openai']"
112,"['d3_12_medical', 1476, 0, 1, 'yes', 'mistral']"
113,"['d3_12_medical', 1476, 0, 0, 'no', 'meta']"
114,"['d3_12_medical', 2218, 0, 0, 'no', 'meta']"
115,"['d3_12_medical', 2218, 0, 0, 'no', 'openai']"
116,"['d3_12_medical', 2218, 0, 1, 'yes', 'mistral']"
117,"['d3_12_medical', 1654, 0, 0, 'no', 'meta']"
118,"['d3_12_medical', 1654, 0, 0, 'no', 'openai']"
119,"['d3_12_medical', 1654, 0, 1, 'yes', 'mistral']"
120,"['d3_12_medical', 2305, 0, 0, 'no', 'openai']"
121,"['d3_12_medical', 2305, 0, 0, 'no', 'meta']"
122,"['d3_12_medical', 2305, 0, 0, 'no', 'mistral']"
123,"['d3_12_medical', 1544, 0, 0, 'no', 'mistral']"
124,"['d3_12_medical', 1544, 0, 0, 'no', 'meta']"
125,"['d3_12_medical', 1544, 0, 0, 'no', 'openai']"
126,"['d3_12_medical', 1884, 0, 0, 'no', 'mistral']"
127,"['d3_12_medical', 1884, 0, 0, 'no', 'meta']"
128,"['d3_12_medical', 1884, 0, 0, 'no', 'openai']"
129,"['d3_12_medical', 122, 1, 0, 'no', 'meta']"
130,"['d3_12_medical', 122, 1, 0, 'no', 'openai']"
131,"['d3_12_medical', 122, 1, 0, 'no', 'mistral']"
132,"['d3_12_medical', 609, 0, 1, 'yes', 'openai']"
133,"['d3_12_medical', 609, 0, 0, 'no', 'meta']"
134,"['d3_12_medical', 609, 0, 1, 'yes', 'mistral']"
135,"['d3_12_medical', 774, 0, 0, 'no', 'meta']"
136,"['d3_12_medical', 774, 0, 0, 'no', 'openai']"
137,"['d3_12_medical', 774, 0, 0, 'no', 'mistral']"
138,"['d3_12_medical', 213, 1, 1, 'yes', 'mistral']"
139,"['d3_12_medical', 213, 1, 1, 'yes', 'meta']"
140,"['d3_12_medical', 213, 1, 1, 'yes', 'openai']"
141,"['d3_12_medical', 622, 0, 0, 'no', 'meta']"
142,"['d3_12_medical', 622, 0, 0, 'no', 'openai']"
143,"['d3_12_medical', 622, 0, 1, 'yes', 'mistral']"
144,"['d3_12_medical', 270, 1, 1, 'yes', 'openai']"
145,"['d3_12_medical', 270, 1, 1, 'yes', 'meta']"
146,"['d3_12_medical', 270, 1, 1, 'yes', 'mistral']"
147,"['d3_12_medical', 743, 0, 1, 'yes', 'openai']"
148,"['d3_12_medical', 743, 0, 1, 'yes', 'meta']"
149,"['d3_12_medical', 743, 0, 1, 'yes', 'mistral']"
150,"['d3_12_medical', 1700, 0, 1, 'yes', 'mistral']"
151,"['d3_12_medical', 1700, 0, 0, 'no', 'meta']"
152,"['d3_12_medical', 1700, 0, 0, 'no', 'openai']"
153,"['d3_12_medical', 975, 0, 0, 'no', 'openai']"
154,"['d3_12_medical', 975, 0, 0, 'no', 'meta']"
155,"['d3_12_medical', 975, 0, 0, 'no', 'mistral']"
156,"['d3_12_medical', 990, 0, 0, 'no', 'openai']"
157,"['d3_12_medical', 990, 0, 1, 'yes', 'mistral']"
158,"['d3_12_medical', 990, 0, 0, 'no', 'meta']"
159,"['d3_12_medical', 560, 0, 1, 'yes', 'mistral']"
160,"['d3_12_medical', 560, 0, 0, 'no', 'meta']"
