,0
0,task
1,idx
2,true_label
3,pred_label
4,answer
5,model
6,"['d3_39_entity', 1212, 0, 0, 'no', 'openai']"
7,"['d3_39_entity', 1212, 0, 1, 'yes', 'mistral']"
8,"['d3_39_entity', 1212, 0, 0, 'no', 'meta']"
9,"['d3_39_entity', 1212, 0, 0, 'no', 'gpt4']"
10,"['d3_39_entity', 47, 1, 1, 'yes', 'mistral']"
11,"['d3_39_entity', 47, 1, 0, 'no', 'meta']"
12,"['d3_39_entity', 47, 1, 1, 'yes', 'openai']"
13,"['d3_39_entity', 47, 1, 0, 'no', 'gpt4']"
14,"['d3_39_entity', 521, 0, 1, 'yes', 'openai']"
15,"['d3_39_entity', 521, 0, 0, 'no', 'mistral']"
16,"['d3_39_entity', 521, 0, 0, 'no', 'meta']"
17,"['d3_39_entity', 521, 0, 0, 'no', 'gpt4']"
18,"['d3_39_entity', 423, 0, 1, 'yes', 'mistral']"
19,"['d3_39_entity', 423, 0, 1, 'yes', 'meta']"
20,"['d3_39_entity', 423, 0, 1, 'yes', 'openai']"
21,"['d3_39_entity', 423, 0, 1, 'yes', 'gpt4']"
22,"['d3_39_entity', 1396, 0, 1, 'yes', 'openai']"
23,"['d3_39_entity', 1396, 0, 1, 'yes', 'mistral']"
24,"['d3_39_entity', 1396, 0, 1, 'yes', 'meta']"
25,"['d3_39_entity', 1396, 0, 1, 'yes', 'gpt4']"
26,"['d3_39_entity', 1283, 0, 1, 'yes', 'mistral']"
27,"['d3_39_entity', 1283, 0, 1, 'yes', 'meta']"
28,"['d3_39_entity', 1283, 0, 1, 'yes', 'openai']"
29,"['d3_39_entity', 1283, 0, 0, 'no', 'gpt4']"
30,"['d3_39_entity', 1691, 0, 1, 'yes', 'openai']"
31,"['d3_39_entity', 1691, 0, 1, 'yes', 'meta']"
32,"['d3_39_entity', 1691, 0, 1, 'yes', 'mistral']"
33,"['d3_39_entity', 1691, 0, 1, 'yes', 'gpt4']"
34,"['d3_39_entity', 164, 1, 0, 'no', 'meta']"
35,"['d3_39_entity', 164, 1, 0, 'no', 'openai']"
36,"['d3_39_entity', 164, 1, 1, 'yes', 'mistral']"
37,"['d3_39_entity', 164, 1, 1, 'yes', 'gpt4']"
38,"['d3_39_entity', 799, 0, 1, 'yes', 'openai']"
39,"['d3_39_entity', 799, 0, 1, 'yes', 'mistral']"
40,"['d3_39_entity', 799, 0, 1, 'yes', 'meta']"
41,"['d3_39_entity', 799, 0, 1, 'yes', 'gpt4']"
42,"['d3_39_entity', 56, 1, 1, 'yes', 'mistral']"
43,"['d3_39_entity', 56, 1, 1, 'yes', 'meta']"
44,"['d3_39_entity', 56, 1, 1, 'yes', 'openai']"
45,"['d3_39_entity', 56, 1, 1, 'yes', 'gpt4']"
46,"['d3_39_entity', 414, 0, 1, 'yes', 'mistral']"
47,"['d3_39_entity', 414, 0, 0, 'no', 'meta']"
48,"['d3_39_entity', 414, 0, 1, 'yes', 'openai']"
49,"['d3_39_entity', 414, 0, 1, 'yes', 'gpt4']"
50,"['d3_39_entity', 958, 0, 1, 'yes', 'meta']"
51,"['d3_39_entity', 958, 0, 1, 'yes', 'openai']"
52,"['d3_39_entity', 958, 0, 1, 'yes', 'mistral']"
53,"['d3_39_entity', 958, 0, 1, 'yes', 'gpt4']"
54,"['d3_39_entity', 50, 1, 1, 'yes', 'openai']"
55,"['d3_39_entity', 50, 1, 0, 'no', 'meta']"
56,"['d3_39_entity', 50, 1, 1, 'yes', 'mistral']"
57,"['d3_39_entity', 50, 1, 1, 'yes', 'gpt4']"
58,"['d3_39_entity', 376, 0, 1, 'yes', 'openai']"
59,"['d3_39_entity', 376, 0, 1, 'yes', 'mistral']"
60,"['d3_39_entity', 376, 0, 1, 'yes', 'meta']"
61,"['d3_39_entity', 376, 0, 1, 'yes', 'gpt4']"
62,"['d3_39_entity', 1232, 0, 1, 'yes', 'openai']"
63,"['d3_39_entity', 1232, 0, 1, 'yes', 'meta']"
64,"['d3_39_entity', 1232, 0, 1, 'yes', 'mistral']"
65,"['d3_39_entity', 1232, 0, 1, 'yes', 'gpt4']"
66,"['d3_39_entity', 1033, 0, 1, 'yes', 'openai']"
67,"['d3_39_entity', 1033, 0, 1, 'yes', 'mistral']"
68,"['d3_39_entity', 1033, 0, 0, 'no', 'meta']"
69,"['d3_39_entity', 1033, 0, 1, 'yes', 'gpt4']"
70,"['d3_39_entity', 417, 0, 0, 'no', 'mistral']"
71,"['d3_39_entity', 417, 0, 0, 'no', 'meta']"
72,"['d3_39_entity', 417, 0, 1, 'yes', 'openai']"
73,"['d3_39_entity', 417, 0, 0, 'no', 'gpt4']"
74,"['d3_39_entity', 1117, 0, 0, 'no', 'meta']"
75,"['d3_39_entity', 1117, 0, 0, 'no', 'openai']"
76,"['d3_39_entity', 1117, 0, 1, 'yes', 'mistral']"
77,"['d3_39_entity', 1117, 0, 0, 'no', 'gpt4']"
78,"['d3_39_entity', 1534, 0, 0, 'no', 'openai']"
79,"['d3_39_entity', 1534, 0, 1, 'yes', 'mistral']"
80,"['d3_39_entity', 1534, 0, 1, 'yes', 'meta']"
81,"['d3_39_entity', 1534, 0, 0, 'no', 'gpt4']"
82,"['d3_39_entity', 12, 1, 0, 'no', 'mistral']"
83,"['d3_39_entity', 12, 1, 0, 'no', 'meta']"
84,"['d3_39_entity', 12, 1, 1, 'yes', 'openai']"
85,"['d3_39_entity', 12, 1, 0, 'no', 'gpt4']"
