question,avg_abs_coef_normalized
Does the sentence involve mathematical reasoning?,1.0
Does the sentence include a number or statistic?,0.897
Does the sentence reference a specific time or date?,0.879
Does the text mention a celebrity or public figure?,0.87
Does the sentence contain a proper noun?,0.86
Does the sentence include a recounting of an impactful or emotional dialogue?,0.84
"Does the sentence convey the narrator's relationship with time, such as impatience or nostalgia?",0.832
Does the sentence include a specific sound or auditory description?,0.818
Does the sentence describe a visual experience or scene?,0.806
Does the sentence include an oxymoron?,0.803
Does the sentence involve the mention of a specific object or item?,0.8
Is the sentence in the passive voice?,0.797
Does the sentence include a foreign word or phrase?,0.797
Is the sentence structured as a list?,0.796
Does the input describe a specific texture or sensation?,0.795
Does the sentence include numerical information?,0.795
Does the story describe a shopping experience?,0.79
Does the input express feelings of jealousy or envy?,0.79
Does the sentence use a unique or unusual word?,0.782
Does the sentence include dialogue?,0.781
Does the input mention a construction or building?,0.779
Is a form of non-verbal communication depicted?,0.775
Does the sentence include a direct speech quotation?,0.773
Does the sentence reference a famous person or event?,0.773
Does the input mention laughter?,0.766
Is the sentence part of a mystery or puzzle?,0.756
"Is there a mention of a book, movie, or song?",0.755
Does the sentence describe a moment of relief or resolution of tension?,0.754
Is the sentence autobiographical?,0.754
Is the sentence conveying a sense of awe or wonder experienced by the narrator?,0.754
Does the sentence reference historical events?,0.753
Is someone running in the input text?,0.753
Does the sentence include technical or specialized terminology?,0.752
Is the sentence a question?,0.752
Does the sentence include a rhetorical question?,0.747
"Is a specific school, university, or educational institution mentioned?",0.744
Is the input related to a specific industry or profession?,0.741
Is the sentence emotionally neutral?,0.738
Does the sentence use irony or sarcasm?,0.732
Does the sentence mention a holiday or celebration?,0.732
Is the sentence conveying a sense of loneliness or isolation?,0.731
Does the sentence involve spatial reasoning?,0.73
Does the sentence mention a family member?,0.73
Does the sentence reveal a secret or confidential information?,0.729
Does the sentence describe an experience of learning or gaining new knowledge?,0.728
Does the sentence include a threat or warning?,0.728
Is the sentence providing an explanation or rationale?,0.725
Is an educational lesson or class described?,0.723
Is time mentioned in the input?,0.723
Does the story involve a form of meditation or mindfulness?,0.721
Does the input describe a form of local or community service?,0.721
Is a personal preference or taste described?,0.72
Does the text involve a financial transaction?,0.72
Does the input mention a piece of furniture or home decor?,0.718
Is the sentence conveying the narrator's physical movement or action in detail?,0.717
Does the sentence contain a cultural reference?,0.717
Is the sentence part of a scientific explanation?,0.715
Is the sentence related to education or learning?,0.715
Does the sentence describe a hypothetical scenario?,0.713
Does the sentence use alliteration or rhyme?,0.712
Is the sentence expressing the narrator's aspirations for societal change or impact?,0.711
Does the text mention a form of manual labor or craft?,0.711
Does the sentence describe an economic concept or issue?,0.709
Does the text describe a form of therapy or healing?,0.704
Is there a mention of a fictional character or story?,0.704
Does the sentence involve a negotiation or compromise?,0.703
Is the sentence part of a poem or song?,0.7
"Does the sentence describe a physical sensation (e.g., touch, taste)?",0.698
Does the sentence describe an indoor setting?,0.698
Does the text mention a personal limit or boundary?,0.697
"Is a significant life event, like a wedding or graduation, mentioned?",0.697
Does the sentence involve a logical paradox?,0.696
Does the input discuss a natural disaster or emergency situation?,0.695
Does the input describe a specific emotion in detail?,0.694
Does the sentence mention an event or activity involving family or friends?,0.689
Does the input contain a measurement?,0.689
Is the sentence a command?,0.689
Does the input include a mention of a personal idol or hero?,0.687
Does the text involve a journey by foot?,0.685
Does the text include a reference to a famous painting or sculpture?,0.684
Does the sentence discuss an interaction with an authority figure or professional?,0.682
Does the sentence involve a discussion or description of a mental health issue?,0.679
Is a specific tool or equipment mentioned?,0.679
Does the sentence describe a fictional scenario?,0.678
Is the sentence in the active voice?,0.677
Does the input involve a cultural festival or event?,0.677
Is the sentence conveying a strategic or tactical thought by the narrator?,0.676
Does the sentence require inferential reasoning to understand?,0.676
Does the text include a reference to a past era or time period?,0.674
Does the sentence include a conditional clause?,0.673
Does the input discuss a fashion trend or style advice?,0.673
Is the sentence related to food or eating?,0.672
Is an unexpected discovery or surprise mentioned?,0.671
Is there an expression of loyalty or commitment?,0.671
Does the story talk about a friendship or relationship ending?,0.669
Is the sentence describing a moment of peace or contentment?,0.669
Is there a mention of a gift or present?,0.669
Is a specific scientific field or discipline mentioned?,0.669
Does the sentence include a reference to a cultural or societal norm?,0.668
Does the sentence contain a contradiction?,0.667
Is the sentence intended to evoke nostalgia?,0.667
Does the sentence involve a personal anecdote about family or friends?,0.666
Does the sentence describe a moment of personal or social conflict resolution?,0.666
Does the sentence involve a safety or security concern?,0.666
Is the sentence about a current event or recent news?,0.664
Does the input involve a comparison of before and after?,0.663
Is a famous quote or saying referenced?,0.662
Does the input mention a change in a relationship?,0.662
Does the story include an act of bravery or courage?,0.662
Does the input involve planning or organizing?,0.661
Does the sentence describe an act of personal care or maintenance?,0.661
Does the sentence include dialogue or thoughts directed towards another character?,0.66
Does the input include a description of clothing?,0.659
Is a specific color or pattern described?,0.659
Does the input describe a sensory experience?,0.659
Does the text describe a mode of communication?,0.659
Does the sentence involve time travel or hypothetical future scenarios?,0.658
Does the sentence involve a discussion of a familial relationship?,0.656
Does the text describe a journey?,0.656
Does the input involve a philosophical question or theory?,0.656
Does the sentence reference a specific time of day?,0.655
"Is there a mention of a geographical feature, like a mountain or river?",0.654
Does the sentence involve a cultural or traditional practice?,0.654
Is the sentence related to politics or government?,0.654
Is the input about a discovery or realization?,0.653
Does the sentence describe a physical action?,0.653
Does the input describe a body of water?,0.651
Does the sentence contain a pun?,0.651
Does the sentence contain a question?,0.65
Does the input contain an expression of anger?,0.65
Does the input mention a specific event or festival?,0.648
Does the sentence involve the use of technology or digital communication?,0.648
Is the sentence humorous?,0.648
Does the input discuss a philosophical or existential question?,0.647
Does the sentence include a comparison or simile?,0.647
Is there a reference to a specific individual or public figure?,0.647
Does the text involve a financial challenge or setback?,0.646
Does the input involve an outdoor activity or adventure?,0.646
Does the sentence describe an art or craft technique?,0.645
Does the sentence describe an unexpected encounter or meeting?,0.644
Does the input mention a friendship?,0.643
Does the story talk about an act of defiance or rebellion?,0.643
Is a specific season described?,0.643
Does the input discuss a medical treatment or procedure?,0.642
Is the sentence referencing legal matters or rights?,0.641
Is the sentence related to environmental issues?,0.641
Is there a mention of a competition or contest?,0.64
Does the sentence describe a physical sensation?,0.64
Does the input include dialogue between characters?,0.638
Does the input involve a debate or controversial topic?,0.638
Does the input include a comparison or metaphor?,0.638
Does the sentence describe a sensory experience?,0.638
Does the sentence reference a religious or spiritual concept?,0.638
Does the sentence describe a common superstition or myth?,0.638
Does the sentence involve a decision-making process?,0.638
Does the input describe a moment of cultural shock or adaptation?,0.637
Is there a depiction of an urban or rural difference?,0.636
Does the sentence involve a description of physical environment or setting?,0.636
Is the sentence abstract rather than concrete?,0.636
Is a language or linguistic detail mentioned?,0.636
Is a superstition or myth discussed?,0.635
Is a social gathering or event described?,0.635
Is a specific form of literature or writing style mentioned?,0.634
Does the sentence involve a mention of an unusual or rare event?,0.634
Does the sentence describe an act of creativity or imagination?,0.634
Does the text mention a fitness or sports achievement?,0.633
Does the input discuss educational content or learning?,0.633
Does the input contain a number?,0.633
