,0
0,task
1,idx
2,true_label
3,pred_label
4,answer
5,model
6,"['d3_42_environment', 79, 0, 0, 'no', 'mistral']"
7,"['d3_42_environment', 79, 0, 0, 'no', 'meta']"
8,"['d3_42_environment', 79, 0, 0, 'no', 'openai']"
9,"['d3_42_environment', 3, 1, 1, 'yes', 'openai']"
10,"['d3_42_environment', 3, 1, 1, 'yes', 'meta']"
11,"['d3_42_environment', 3, 1, 0, 'no', 'mistral']"
12,"['d3_42_environment', 34, 0, 0, 'no', 'mistral']"
13,"['d3_42_environment', 34, 0, 0, 'no', 'meta']"
14,"['d3_42_environment', 34, 0, 0, 'no', 'openai']"
15,"['d3_42_environment', 27, 0, 1, 'yes', 'mistral']"
16,"['d3_42_environment', 27, 0, 0, 'no', 'meta']"
17,"['d3_42_environment', 27, 0, 1, 'yes', 'openai']"
18,"['d3_42_environment', 91, 0, 0, 'no', 'mistral']"
19,"['d3_42_environment', 91, 0, 0, 'no', 'meta']"
20,"['d3_42_environment', 91, 0, 0, 'no', 'openai']"
21,"['d3_42_environment', 83, 0, 0, 'no', 'openai']"
22,"['d3_42_environment', 83, 0, 0, 'no', 'mistral']"
23,"['d3_42_environment', 83, 0, 0, 'no', 'meta']"
24,"['d3_42_environment', 110, 0, 0, 'no', 'meta']"
25,"['d3_42_environment', 110, 0, 0, 'no', 'openai']"
26,"['d3_42_environment', 110, 0, 0, 'no', 'mistral']"
27,"['d3_42_environment', 10, 0, 1, 'yes', 'mistral']"
28,"['d3_42_environment', 10, 0, 0, 'no', 'meta']"
29,"['d3_42_environment', 10, 0, 1, 'yes', 'openai']"
30,"['d3_42_environment', 52, 0, 1, 'yes', 'openai']"
31,"['d3_42_environment', 52, 0, 1, 'yes', 'meta']"
32,"['d3_42_environment', 52, 0, 1, 'yes', 'mistral']"
33,"['d3_42_environment', 3, 1, 1, 'yes', 'meta']"
34,"['d3_42_environment', 3, 1, 1, 'yes', 'openai']"
35,"['d3_42_environment', 3, 1, 0, 'no', 'mistral']"
36,"['d3_42_environment', 27, 0, 1, 'yes', 'openai']"
37,"['d3_42_environment', 27, 0, 0, 'no', 'meta']"
38,"['d3_42_environment', 27, 0, 0, 'the', 'mistral']"
39,"['d3_42_environment', 62, 0, 1, 'yes', 'openai']"
40,"['d3_42_environment', 62, 0, 1, 'yes', 'meta']"
41,"['d3_42_environment', 62, 0, 1, 'yes', 'mistral']"
42,"['d3_42_environment', 3, 1, 0, 'no', 'mistral']"
43,"['d3_42_environment', 3, 1, 1, 'yes', 'meta']"
44,"['d3_42_environment', 3, 1, 1, 'yes', 'openai']"
45,"['d3_42_environment', 24, 0, 1, 'yes', 'mistral']"
46,"['d3_42_environment', 24, 0, 0, 'no', 'meta']"
47,"['d3_42_environment', 24, 0, 1, 'yes', 'openai']"
48,"['d3_42_environment', 80, 0, 0, 'no', 'openai']"
49,"['d3_42_environment', 80, 0, 0, 'no', 'meta']"
50,"['d3_42_environment', 80, 0, 0, 'no', 'mistral']"
51,"['d3_42_environment', 67, 0, 0, 'no', 'openai']"
52,"['d3_42_environment', 67, 0, 0, 'no', 'mistral']"
53,"['d3_42_environment', 67, 0, 0, 'no', 'meta']"
54,"['d3_42_environment', 27, 0, 1, 'yes', 'openai']"
55,"['d3_42_environment', 27, 0, 1, 'yes', 'mistral']"
56,"['d3_42_environment', 27, 0, 0, 'no', 'meta']"
57,"['d3_42_environment', 73, 0, 0, 'no', 'mistral']"
58,"['d3_42_environment', 73, 0, 0, 'no', 'meta']"
59,"['d3_42_environment', 73, 0, 0, 'no', 'openai']"
60,"['d3_42_environment', 100, 0, 0, 'no', 'openai']"
61,"['d3_42_environment', 100, 0, 0, 'no', 'meta']"
62,"['d3_42_environment', 100, 0, 0, 'no', 'mistral']"
63,"['d3_42_environment', 0, 1, 1, 'yes', 'openai']"
64,"['d3_42_environment', 0, 1, 1, 'yes', 'meta']"
65,"['d3_42_environment', 0, 1, 1, 'yes', 'mistral']"
66,"['d3_42_environment', 99, 0, 0, 'no', 'mistral']"
67,"['d3_42_environment', 99, 0, 0, 'no', 'meta']"
68,"['d3_42_environment', 99, 0, 0, 'no', 'openai']"
69,"['d3_42_environment', 86, 0, 1, 'yes', 'openai']"
70,"['d3_42_environment', 86, 0, 1, 'yes', 'mistral']"
71,"['d3_42_environment', 86, 0, 0, 'no', 'meta']"
72,"['d3_42_environment', 42, 0, 0, 'no', 'mistral']"
73,"['d3_42_environment', 42, 0, 0, 'no', 'meta']"
74,"['d3_42_environment', 42, 0, 0, 'no', 'openai']"
75,"['d3_42_environment', 19, 0, 0, 'no', 'mistral']"
76,"['d3_42_environment', 19, 0, 0, 'no', 'meta']"
77,"['d3_42_environment', 19, 0, 0, 'no', 'openai']"
78,"['d3_42_environment', 118, 0, 0, 'no', 'openai']"
79,"['d3_42_environment', 118, 0, 0, 'no', 'mistral']"
80,"['d3_42_environment', 118, 0, 0, 'no', 'meta']"
81,"['d3_42_environment', 41, 0, 0, 'no', 'mistral']"
82,"['d3_42_environment', 41, 0, 0, 'no', 'meta']"
83,"['d3_42_environment', 41, 0, 0, 'no', 'openai']"
84,"['d3_42_environment', 11, 0, 1, 'yes', 'openai']"
85,"['d3_42_environment', 11, 0, 1, 'yes', 'meta']"
86,"['d3_42_environment', 11, 0, 1, 'yes', 'mistral']"
87,"['d3_42_environment', 11, 0, 1, 'yes', 'openai']"
88,"['d3_42_environment', 11, 0, 1, 'yes', 'meta']"
89,"['d3_42_environment', 11, 0, 1, 'yes', 'mistral']"
90,"['d3_42_environment', 105, 0, 0, 'no', 'openai']"
91,"['d3_42_environment', 105, 0, 0, 'no', 'mistral']"
92,"['d3_42_environment', 105, 0, 0, 'no', 'meta']"
93,"['d3_42_environment', 74, 0, 0, 'no', 'openai']"
94,"['d3_42_environment', 74, 0, 0, 'no', 'mistral']"
95,"['d3_42_environment', 74, 0, 0, 'no', 'meta']"
96,"['d3_42_environment', 100, 0, 0, 'no', 'openai']"
97,"['d3_42_environment', 100, 0, 0, 'no', 'meta']"
98,"['d3_42_environment', 100, 0, 0, 'no', 'mistral']"
99,"['d3_42_environment', 90, 0, 0, 'no', 'openai']"
100,"['d3_42_environment', 90, 0, 0, 'no', 'meta']"
101,"['d3_42_environment', 90, 0, 0, 'no', 'mistral']"
102,"['d3_42_environment', 66, 0, 1, 'yes', 'mistral']"
103,"['d3_42_environment', 66, 0, 0, 'no', 'meta']"
104,"['d3_42_environment', 66, 0, 0, 'no', 'openai']"
105,"['d3_42_environment', 120, 0, 0, 'no', 'mistral']"
106,"['d3_42_environment', 120, 0, 0, 'no', 'meta']"
107,"['d3_42_environment', 120, 0, 0, 'no', 'openai']"
108,"['d3_42_environment', 46, 0, 0, 'no', 'mistral']"
109,"['d3_42_environment', 46, 0, 0, 'no', 'meta']"
110,"['d3_42_environment', 46, 0, 0, 'no', 'openai']"
111,"['d3_42_environment', 68, 0, 1, 'yes', 'openai']"
112,"['d3_42_environment', 68, 0, 0, 'no', 'meta']"
113,"['d3_42_environment', 68, 0, 0, 'no', 'mistral']"
114,"['d3_42_environment', 102, 0, 0, 'no', 'openai']"
115,"['d3_42_environment', 102, 0, 0, 'no', 'mistral']"
116,"['d3_42_environment', 102, 0, 0, 'no', 'meta']"
117,"['d3_42_environment', 76, 0, 0, 'no', 'openai']"
118,"['d3_42_environment', 76, 0, 0, 'no', 'mistral']"
119,"['d3_42_environment', 76, 0, 0, 'no', 'meta']"
120,"['d3_42_environment', 106, 0, 1, 'yes', 'openai']"
121,"['d3_42_environment', 106, 0, 0, 'no', 'mistral']"
122,"['d3_42_environment', 106, 0, 0, 'no', 'meta']"
123,"['d3_42_environment', 71, 0, 0, 'no', 'meta']"
124,"['d3_42_environment', 71, 0, 0, 'no', 'openai']"
125,"['d3_42_environment', 71, 0, 0, 'no', 'mistral']"
126,"['d3_42_environment', 87, 0, 0, 'no', 'openai']"
127,"['d3_42_environment', 87, 0, 0, 'no', 'meta']"
128,"['d3_42_environment', 87, 0, 0, 'no', 'mistral']"
129,"['d3_42_environment', 5, 0, 0, 'no', 'mistral']"
130,"['d3_42_environment', 5, 0, 0, 'no', 'meta']"
131,"['d3_42_environment', 5, 0, 0, 'no', 'openai']"
132,"['d3_42_environment', 28, 0, 0, 'no', 'meta']"
133,"['d3_42_environment', 28, 0, 0, 'no', 'openai']"
134,"['d3_42_environment', 28, 0, 0, 'no', 'mistral']"
135,"['d3_42_environment', 35, 0, 0, 'no', 'mistral']"
136,"['d3_42_environment', 35, 0, 0, 'no', 'meta']"
137,"['d3_42_environment', 35, 0, 0, 'no', 'openai']"
138,"['d3_42_environment', 9, 0, 0, 'no', 'mistral']"
139,"['d3_42_environment', 9, 0, 0, 'no', 'meta']"
140,"['d3_42_environment', 9, 0, 0, 'no', 'openai']"
141,"['d3_42_environment', 28, 0, 0, 'no', 'openai']"
142,"['d3_42_environment', 28, 0, 0, 'no', 'meta']"
143,"['d3_42_environment', 28, 0, 0, 'no', 'mistral']"
144,"['d3_42_environment', 12, 0, 0, 'no', 'openai']"
145,"['d3_42_environment', 12, 0, 0, 'no', 'mistral']"
146,"['d3_42_environment', 12, 0, 0, 'no', 'meta']"
147,"['d3_42_environment', 34, 0, 0, 'no', 'openai']"
148,"['d3_42_environment', 34, 0, 0, 'no', 'meta']"
149,"['d3_42_environment', 34, 0, 0, 'no', 'mistral']"
150,"['d3_42_environment', 78, 0, 0, 'no', 'openai']"
151,"['d3_42_environment', 78, 0, 0, 'no', 'meta']"
152,"['d3_42_environment', 78, 0, 0, 'no', 'mistral']"
153,"['d3_42_environment', 45, 0, 0, 'no', 'mistral']"
154,"['d3_42_environment', 45, 0, 0, 'no', 'meta']"
155,"['d3_42_environment', 45, 0, 0, 'no', 'openai']"
156,"['d3_42_environment', 45, 0, 0, 'no', 'openai']"
157,"['d3_42_environment', 45, 0, 0, 'no', 'meta']"
158,"['d3_42_environment', 45, 0, 0, 'no', 'mistral']"
159,"['d3_42_environment', 25, 0, 0, 'no', 'openai']"
160,"['d3_42_environment', 25, 0, 0, 'no', 'meta']"
161,"['d3_42_environment', 25, 0, 0, 'no', 'mistral']"
162,"['d3_42_environment', 33, 0, 0, 'no', 'mistral']"
163,"['d3_42_environment', 33, 0, 0, 'no', 'meta']"
