,0
0,task
1,idx
2,true_label
3,pred_label
4,answer
5,model
6,"['d3_1_objective', 472, 0, 1, 'yes', 'openai']"
7,"['d3_1_objective', 472, 0, 1, 'yes', 'meta']"
8,"['d3_1_objective', 472, 0, 0, 'no', 'mistral']"
9,"['d3_1_objective', 472, 0, 0, 'no', 'gpt4']"
10,"['d3_1_objective', 18, 1, 1, 'yes', 'meta']"
11,"['d3_1_objective', 18, 1, 1, 'yes', 'openai']"
12,"['d3_1_objective', 18, 1, 1, 'yes', 'mistral']"
13,"['d3_1_objective', 18, 1, 1, 'yes', 'gpt4']"
14,"['d3_1_objective', 203, 1, 1, 'yes', 'openai']"
15,"['d3_1_objective', 203, 1, 0, 'no', 'mistral']"
16,"['d3_1_objective', 203, 1, 0, 'no', 'meta']"
17,"['d3_1_objective', 203, 1, 1, 'yes', 'gpt4']"
18,"['d3_1_objective', 164, 1, 1, 'yes', 'meta']"
19,"['d3_1_objective', 164, 1, 1, 'yes', 'openai']"
20,"['d3_1_objective', 164, 1, 1, 'yes', 'mistral']"
21,"['d3_1_objective', 164, 1, 1, 'yes', 'gpt4']"
22,"['d3_1_objective', 544, 0, 1, 'yes', 'mistral']"
23,"['d3_1_objective', 544, 0, 1, 'yes', 'meta']"
24,"['d3_1_objective', 544, 0, 1, 'yes', 'openai']"
25,"['d3_1_objective', 544, 0, 0, 'no', 'gpt4']"
26,"['d3_1_objective', 500, 0, 0, 'no', 'openai']"
27,"['d3_1_objective', 500, 0, 0, 'no', 'meta']"
28,"['d3_1_objective', 500, 0, 0, 'no', 'mistral']"
29,"['d3_1_objective', 500, 0, 0, 'no', 'gpt4']"
30,"['d3_1_objective', 659, 0, 1, 'yes', 'openai']"
31,"['d3_1_objective', 659, 0, 0, 'no', 'mistral']"
32,"['d3_1_objective', 659, 0, 0, 'no', 'meta']"
33,"['d3_1_objective', 659, 0, 0, 'no', 'gpt4']"
34,"['d3_1_objective', 64, 1, 1, 'yes', 'openai']"
35,"['d3_1_objective', 64, 1, 1, 'yes', 'mistral']"
36,"['d3_1_objective', 64, 1, 1, 'yes', 'meta']"
37,"['d3_1_objective', 64, 1, 1, 'yes', 'gpt4']"
38,"['d3_1_objective', 311, 1, 1, 'yes', 'mistral']"
39,"['d3_1_objective', 311, 1, 1, 'yes', 'meta']"
40,"['d3_1_objective', 311, 1, 1, 'yes', 'openai']"
41,"['d3_1_objective', 311, 1, 1, 'yes', 'gpt4']"
42,"['d3_1_objective', 22, 1, 1, 'yes', 'openai']"
43,"['d3_1_objective', 22, 1, 1, 'yes', 'mistral']"
44,"['d3_1_objective', 22, 1, 1, 'yes', 'meta']"
45,"['d3_1_objective', 22, 1, 1, 'yes', 'gpt4']"
46,"['d3_1_objective', 161, 1, 0, 'no', 'openai']"
47,"['d3_1_objective', 161, 1, 1, 'yes', 'meta']"
48,"['d3_1_objective', 161, 1, 1, 'yes', 'mistral']"
49,"['d3_1_objective', 161, 1, 1, 'yes', 'gpt4']"
50,"['d3_1_objective', 373, 0, 0, 'no', 'mistral']"
51,"['d3_1_objective', 373, 0, 0, 'no', 'meta']"
52,"['d3_1_objective', 373, 0, 0, 'no', 'openai']"
53,"['d3_1_objective', 373, 0, 0, 'no', 'gpt4']"
54,"['d3_1_objective', 19, 1, 1, 'yes', 'mistral']"
55,"['d3_1_objective', 19, 1, 1, 'yes', 'meta']"
56,"['d3_1_objective', 19, 1, 1, 'yes', 'openai']"
57,"['d3_1_objective', 19, 1, 1, 'yes', 'gpt4']"
58,"['d3_1_objective', 146, 1, 1, 'yes', 'openai']"
59,"['d3_1_objective', 146, 1, 1, 'yes', 'meta']"
60,"['d3_1_objective', 146, 1, 1, 'yes', 'mistral']"
61,"['d3_1_objective', 146, 1, 1, 'yes', 'gpt4']"
62,"['d3_1_objective', 480, 0, 0, 'no', 'mistral']"
63,"['d3_1_objective', 480, 0, 0, 'no', 'meta']"
64,"['d3_1_objective', 480, 0, 1, 'yes', 'openai']"
65,"['d3_1_objective', 480, 0, 0, 'no', 'gpt4']"
66,"['d3_1_objective', 402, 0, 0, 'no', 'meta']"
67,"['d3_1_objective', 402, 0, 1, 'yes', 'openai']"
68,"['d3_1_objective', 402, 0, 0, 'no', 'mistral']"
69,"['d3_1_objective', 402, 0, 0, 'no', 'gpt4']"
70,"['d3_1_objective', 162, 1, 0, 'no', 'meta']"
71,"['d3_1_objective', 162, 1, 1, 'yes', 'openai']"
72,"['d3_1_objective', 162, 1, 0, 'no', 'mistral']"
73,"['d3_1_objective', 162, 1, 1, 'yes', 'gpt4']"
74,"['d3_1_objective', 435, 0, 0, 'no', 'mistral']"
75,"['d3_1_objective', 435, 0, 0, 'no', 'meta']"
76,"['d3_1_objective', 435, 0, 0, 'no', 'openai']"
77,"['d3_1_objective', 435, 0, 0, 'no', 'gpt4']"
78,"['d3_1_objective', 598, 0, 0, 'no', 'mistral']"
79,"['d3_1_objective', 598, 0, 0, 'no', 'meta']"
80,"['d3_1_objective', 598, 0, 1, 'yes', 'openai']"
81,"['d3_1_objective', 598, 0, 0, 'no', 'gpt4']"
82,"['d3_1_objective', 4, 1, 1, 'yes', 'openai']"
83,"['d3_1_objective', 4, 1, 0, 'no', 'meta']"
84,"['d3_1_objective', 4, 1, 1, 'yes', 'mistral']"
85,"['d3_1_objective', 4, 1, 0, 'no', 'gpt4']"
