question,avg_abs_coef_normalized
Does the sentence contain a question?,1.0
Does the sentence include dialogue?,0.977
Does the input include a philosophical or reflective thought?,0.944
Does the sentence describe a physical sensation?,0.939
Does the input describe a sensory experience?,0.916
Does the input describe a specific emotion in detail?,0.907
Does the input mention a specific animal species?,0.895
Does the input discuss educational content or learning?,0.891
Does the sentence describe weather conditions?,0.89
Is a specific location referred to in the input?,0.89
Does the story describe a shopping experience?,0.87
Is time mentioned in the input?,0.87
Does the input include dialogue between characters?,0.861
Is the sentence giving advice or a suggestion?,0.838
Is a specific chemical or substance mentioned?,0.838
Does the sentence mention a mode of transportation?,0.837
Does the text mention a personal limit or boundary?,0.836
Does the sentence describe a physical action?,0.823
Is there a reference to physical health or fitness?,0.823
Is there an expression of regret or apology?,0.821
Does the input include a mention of a personal idol or hero?,0.815
Does the sentence include technical or specialized terminology?,0.812
Is the sentence mentioning a pet or domestic animal?,0.805
Is there any mention of a dream or aspiration?,0.803
Does the sentence involve a negotiation or compromise?,0.802
Does the input discuss environmental concerns or issues?,0.797
Is there mention of a unique or unusual hobby?,0.794
Does the sentence mention a specific location?,0.79
Does the input involve gardening or plant care?,0.784
Does the text mention a celebrity or public figure?,0.777
Is the input about a social or community event?,0.776
Does the input describe an old habit or something the narrator wishes to change?,0.773
Does the input express empathy or compassion?,0.773
Is there any mention of a family member?,0.771
Does the input mention any form of art or artistic activity?,0.768
Is a specific color or pattern described?,0.766
Does the text describe a personal achievement?,0.766
Is there a reference to a personal idol or role model?,0.765
Does the input mention a construction or building?,0.752
Is the sentence describing a craft or DIY project?,0.752
Is a specific piece of technology or gadget mentioned?,0.751
Does the input describe a body of water?,0.751
Is there mention of a public service or community project?,0.75
Is an educational lesson or class described?,0.747
Is there a discussion about politics or government?,0.745
Is hair or clothing mentioned in the input?,0.74
Is there a mention of a gift or present?,0.736
Does the input express gratitude?,0.733
Is a personal preference or taste described?,0.732
Is the input related to physical injury or trauma?,0.729
Does the input reference an event or phenomenon in nature?,0.729
Is the sentence describing a routine or habit?,0.729
Is there a reference to a specific individual or public figure?,0.728
Is there mention of a traditional or cultural dish?,0.727
Is there stuttering or uncertainty in the input?,0.725
Does the text describe a hobby in detail?,0.725
Is there a mention of a competition or contest?,0.724
Is there a mention of an environmental or ecological practice?,0.723
Is there a reference to health and safety precautions?,0.722
Is a language or linguistic detail mentioned?,0.722
"Is there mention of a city, country, or geographic feature?",0.718
Does the text mention a form of alternative transportation?,0.717
Does the input discuss a breakthrough in medical research?,0.716
Does the text involve a financial transaction?,0.716
Does the input involve a financial planning or investment strategy?,0.711
Does the text mention a fitness or sports achievement?,0.71
"Is there mention of a concert, play, or live performance?",0.707
Is a holiday or celebration referenced in the input?,0.705
Does the sentence include a number or statistic?,0.703
Is there an expression of love or affection?,0.702
Is there a mention of reading or writing?,0.702
Does the input contain advice or recommendations?,0.702
Does the input contain a number?,0.701
Is cooking or a recipe discussed in the input?,0.697
Is an apology or expression of regret included?,0.696
Is a personal or family recipe mentioned?,0.696
Is there a mention of a significant weather event?,0.694
Is the sentence expressing admiration or praise?,0.692
Is a health or fitness routine described?,0.692
Does the input contain negativity?,0.689
Does the input discuss a medical treatment or procedure?,0.688
Does the input involve a philosophical question or theory?,0.686
Is there a discussion about ethical consumption or sustainability?,0.685
Does the input mention a form of artistic expression?,0.685
Does the input contain emotional words?,0.684
Does the input describe a scientific experiment or discovery?,0.683
Does the input describe a scenic view or panorama?,0.68
Is the input about a scientific discovery or concept?,0.68
Is a scientific concept or theory mentioned?,0.678
"Is there mention of a war, battle, or military event?",0.677
Is a sport or physical activity mentioned in the input?,0.673
Is a specific language or linguistic feature mentioned?,0.673
Is a mathematical concept or number mentioned?,0.672
Is there mention of a personal hobby or interest?,0.672
Does the input express feelings of sadness?,0.672
Does the text describe a form of transportation?,0.671
Is the input mentioning an animal?,0.67
Is a specific tool or equipment mentioned?,0.667
Is there a mention of a future plan or intention?,0.667
Is the input about a personal achievement or milestone?,0.666
Does the text involve a journey by foot?,0.665
Does the input discuss a craft or DIY project?,0.662
Is someone running in the input text?,0.661
Does the input discuss a fashion trend or style advice?,0.66
Is a specific location described?,0.657
Does the text mention a form of digital communication?,0.657
Is there a mention of a place of worship or religious practice?,0.657
Does the input mention a piece of furniture or home decor?,0.649
Does the sentence mention a holiday or celebration?,0.648
"Is a specific school, university, or educational institution mentioned?",0.648
Does the text involve a financial goal or saving?,0.646
Is there a first-person pronoun in the input?,0.645
Does the sentence involve a safety or security concern?,0.645
Is the input expressing a wish or desire?,0.645
Is a specific form of literature or writing style mentioned?,0.644
Does the input discuss a technology trend or future prediction?,0.644
Does the text mention a plant or gardening?,0.643
Does the input involve animals or wildlife?,0.642
Does the input involve the creation or invention of something?,0.639
Does the input involve a vehicle or mode of transportation?,0.639
Does the input discuss a collaboration or team effort?,0.638
Is a holiday or celebration mentioned?,0.637
Does the story mention a health issue or injury?,0.635
Is the sentence describing a work or school-related task?,0.633
Does the sentence involve a personal preference or taste?,0.632
Does the story mention a craft or DIY project?,0.631
Does the input involve a legal matter or law enforcement?,0.63
Does the story describe a work or school setting?,0.628
Does the text describe an adventure or risky activity?,0.628
Does the input mention laughter?,0.627
Does the input involve a historical event?,0.625
Does the input include a description of clothing?,0.625
Is a supernatural or paranormal event discussed?,0.624
Is there a mention of a physical object or item?,0.623
Is there a mention of a natural disaster?,0.623
Does the sentence reference a specific time of day?,0.621
Does the text involve a financial challenge or setback?,0.62
Does the input mention a friendship?,0.619
Does the input include a reference to a book or movie?,0.618
Does the input involve a coding or programming concept?,0.618
Does the input involve a financial transaction or discussion?,0.616
Is there mention of a family or personal relationship?,0.616
Does the story involve a game or sport?,0.615
Does the sentence involve making a choice or decision?,0.614
Is a cultural event or festival mentioned?,0.614
"Is a significant life event, like a wedding or graduation, mentioned?",0.613
Is a meal being prepared or cooked?,0.612
Is a specific historical figure or leader mentioned?,0.61
Does the text mention a piece of advice?,0.609
Does the input describe a specific texture or sensation?,0.609
Does the story talk about a vacation or travel experience?,0.607
Does the story talk about a friendship or relationship ending?,0.606
Does the input discuss a business or entrepreneurial venture?,0.606
Does the input discuss an act of kindness or charity?,0.603
Does the input involve a financial topic or economic concept?,0.603
Is there a mention of a scientific fact or concept?,0.601
Does the sentence describe a landscape or natural feature?,0.6
Is there a mention of music or dancing?,0.6
Does the text describe a journey?,0.599
Does the input involve a game or recreational activity?,0.598
