question,avg_abs_coef_normalized
Does the sentence involve mathematical reasoning?,1.0
Does the sentence contain a proper noun?,0.944
Does the text mention a celebrity or public figure?,0.885
"Does the sentence convey the narrator's relationship with time, such as impatience or nostalgia?",0.878
Does the sentence include a specific sound or auditory description?,0.86
Does the sentence describe a visual experience or scene?,0.86
Does the sentence involve the mention of a specific object or item?,0.853
Is a form of non-verbal communication depicted?,0.842
Does the sentence include a rhetorical question?,0.839
Does the sentence reference a specific time or date?,0.835
Is the sentence a question?,0.833
Is the sentence part of a mystery or puzzle?,0.831
Does the sentence include a number or statistic?,0.826
Does the sentence include a recounting of an impactful or emotional dialogue?,0.822
Does the input describe a specific texture or sensation?,0.821
Does the sentence include an oxymoron?,0.811
Does the sentence describe a moment of relief or resolution of tension?,0.81
Is the sentence autobiographical?,0.81
Does the sentence describe an economic concept or issue?,0.808
Does the sentence contain a cultural reference?,0.804
Does the sentence include a direct speech quotation?,0.804
Is the sentence emotionally neutral?,0.802
Is the sentence in the passive voice?,0.801
Is the sentence structured as a list?,0.797
Does the sentence describe an indoor setting?,0.794
"Is there a mention of a book, movie, or song?",0.793
Does the sentence contain a pun?,0.792
Does the sentence include a foreign word or phrase?,0.786
Does the sentence use a unique or unusual word?,0.781
Does the sentence describe an experience of learning or gaining new knowledge?,0.78
Does the text involve a financial transaction?,0.778
Is the sentence conveying the narrator's physical movement or action in detail?,0.777
Is the sentence conveying a sense of loneliness or isolation?,0.775
Is the sentence related to education or learning?,0.773
Does the sentence require inferential reasoning to understand?,0.77
Does the sentence use alliteration or rhyme?,0.77
Does the input mention a construction or building?,0.768
Is there a mention of a fictional character or story?,0.766
Does the input describe a form of local or community service?,0.765
Does the input express feelings of jealousy or envy?,0.761
Does the sentence involve a cultural or traditional practice?,0.76
Does the sentence reference a specific time of day?,0.76
Is the input related to a specific industry or profession?,0.756
Does the sentence reference a famous person or event?,0.755
Is the sentence part of a scientific explanation?,0.755
Is a specific scientific field or discipline mentioned?,0.753
Is the sentence part of a poem or song?,0.752
Is a language or linguistic detail mentioned?,0.751
Does the sentence include technical or specialized terminology?,0.75
Does the sentence describe a hypothetical scenario?,0.745
Does the story describe a shopping experience?,0.744
