,0
0,task
1,idx
2,true_label
3,pred_label
4,answer
5,model
6,"['d3_53_politic', 4738, 0, 0, 'no', 'mistral']"
7,"['d3_53_politic', 4738, 0, 0, 'no', 'meta']"
8,"['d3_53_politic', 4738, 0, 0, 'no', 'openai']"
9,"['d3_53_politic', 185, 1, 0, 'no', 'mistral']"
10,"['d3_53_politic', 185, 1, 0, 'no', 'meta']"
11,"['d3_53_politic', 185, 1, 0, 'no', 'openai']"
12,"['d3_53_politic', 2037, 0, 0, 'no', 'openai']"
13,"['d3_53_politic', 2037, 0, 0, 'no', 'mistral']"
14,"['d3_53_politic', 2037, 0, 0, 'no', 'meta']"
15,"['d3_53_politic', 1653, 0, 0, 'no', 'openai']"
16,"['d3_53_politic', 1653, 0, 0, 'no', 'mistral']"
17,"['d3_53_politic', 1653, 0, 0, 'no', 'meta']"
18,"['d3_53_politic', 5457, 0, 0, 'no', 'meta']"
19,"['d3_53_politic', 5457, 0, 0, 'no', 'openai']"
20,"['d3_53_politic', 5457, 0, 0, 'no', 'mistral']"
21,"['d3_53_politic', 5014, 0, 0, 'no', 'openai']"
22,"['d3_53_politic', 5014, 0, 0, 'no', 'meta']"
23,"['d3_53_politic', 5014, 0, 0, 'no', 'mistral']"
24,"['d3_53_politic', 6611, 0, 0, 'no', 'openai']"
25,"['d3_53_politic', 6611, 0, 0, 'no', 'meta']"
26,"['d3_53_politic', 6611, 0, 0, 'no', 'mistral']"
27,"['d3_53_politic', 644, 1, 1, 'yes', 'openai']"
28,"['d3_53_politic', 644, 1, 1, 'yes', 'meta']"
29,"['d3_53_politic', 644, 1, 1, 'yes', 'mistral']"
30,"['d3_53_politic', 3126, 0, 0, 'no', 'mistral']"
31,"['d3_53_politic', 3126, 0, 0, 'no', 'meta']"
32,"['d3_53_politic', 3126, 0, 0, 'no', 'openai']"
33,"['d3_53_politic', 220, 1, 1, 'yes', 'openai']"
34,"['d3_53_politic', 220, 1, 0, 'no', 'mistral']"
35,"['d3_53_politic', 220, 1, 0, 'no', 'meta']"
36,"['d3_53_politic', 1620, 0, 0, 'no', 'openai']"
37,"['d3_53_politic', 1620, 0, 0, 'no', 'meta']"
38,"['d3_53_politic', 1620, 0, 0, 'no', 'mistral']"
39,"['d3_53_politic', 3744, 0, 0, 'no', 'openai']"
40,"['d3_53_politic', 3744, 0, 0, 'no', 'meta']"
41,"['d3_53_politic', 3744, 0, 0, 'no', 'mistral']"
42,"['d3_53_politic', 196, 1, 1, 'yes', 'meta']"
43,"['d3_53_politic', 196, 1, 1, 'yes', 'openai']"
44,"['d3_53_politic', 196, 1, 1, 'yes', 'mistral']"
45,"['d3_53_politic', 1473, 0, 0, 'no', 'openai']"
46,"['d3_53_politic', 1473, 0, 0, 'no', 'meta']"
47,"['d3_53_politic', 1473, 0, 0, 'no', 'mistral']"
48,"['d3_53_politic', 4815, 0, 0, 'no', 'openai']"
49,"['d3_53_politic', 4815, 0, 0, 'no', 'meta']"
50,"['d3_53_politic', 4815, 0, 0, 'no', 'mistral']"
51,"['d3_53_politic', 4038, 0, 1, 'yes', 'openai']"
52,"['d3_53_politic', 4038, 0, 0, 'no', 'meta']"
53,"['d3_53_politic', 4038, 0, 0, 'no', 'mistral']"
54,"['d3_53_politic', 1633, 0, 0, 'no', 'meta']"
55,"['d3_53_politic', 1633, 0, 0, 'no', 'openai']"
56,"['d3_53_politic', 1633, 0, 0, 'no', 'mistral']"
57,"['d3_53_politic', 4366, 0, 0, 'no', 'mistral']"
58,"['d3_53_politic', 4366, 0, 0, 'no', 'meta']"
59,"['d3_53_politic', 4366, 0, 0, 'no', 'openai']"
60,"['d3_53_politic', 5997, 0, 0, 'no', 'openai']"
61,"['d3_53_politic', 5997, 0, 0, 'no', 'meta']"
62,"['d3_53_politic', 5997, 0, 0, 'no', 'mistral']"
63,"['d3_53_politic', 48, 1, 1, 'yes', 'mistral']"
64,"['d3_53_politic', 48, 1, 1, 'yes', 'meta']"
65,"['d3_53_politic', 48, 1, 1, 'yes', 'openai']"
66,"['d3_53_politic', 5971, 0, 0, 'no', 'meta']"
67,"['d3_53_politic', 5971, 0, 0, 'no', 'openai']"
68,"['d3_53_politic', 5971, 0, 0, 'no', 'mistral']"
69,"['d3_53_politic', 5173, 0, 0, 'no', 'openai']"
70,"['d3_53_politic', 5173, 0, 0, 'no', 'meta']"
71,"['d3_53_politic', 5173, 0, 0, 'no', 'mistral']"
72,"['d3_53_politic', 2521, 0, 0, 'no', 'openai']"
73,"['d3_53_politic', 2521, 0, 0, 'no', 'meta']"
74,"['d3_53_politic', 2521, 0, 0, 'no', 'mistral']"
75,"['d3_53_politic', 1152, 0, 0, 'no', 'openai']"
76,"['d3_53_politic', 1152, 0, 0, 'no', 'meta']"
77,"['d3_53_politic', 1152, 0, 0, 'no', 'mistral']"
78,"['d3_53_politic', 7092, 0, 0, 'no', 'openai']"
79,"['d3_53_politic', 7092, 0, 0, 'no', 'mistral']"
80,"['d3_53_politic', 7092, 0, 0, 'no', 'meta']"
81,"['d3_53_politic', 2494, 0, 0, 'no', 'mistral']"
82,"['d3_53_politic', 2494, 0, 0, 'no', 'meta']"
83,"['d3_53_politic', 2494, 0, 0, 'no', 'openai']"
84,"['d3_53_politic', 687, 1, 1, 'yes', 'mistral']"
85,"['d3_53_politic', 687, 1, 1, 'yes', 'meta']"
86,"['d3_53_politic', 687, 1, 1, 'yes', 'openai']"
87,"['d3_53_politic', 716, 1, 1, 'yes', 'openai']"
88,"['d3_53_politic', 716, 1, 1, 'yes', 'meta']"
89,"['d3_53_politic', 716, 1, 1, 'yes', 'mistral']"
90,"['d3_53_politic', 6279, 0, 0, 'no', 'mistral']"
91,"['d3_53_politic', 6279, 0, 0, 'no', 'meta']"
92,"['d3_53_politic', 6279, 0, 0, 'no', 'openai']"
93,"['d3_53_politic', 4473, 0, 0, 'no', 'mistral']"
94,"['d3_53_politic', 4473, 0, 0, 'no', 'meta']"
95,"['d3_53_politic', 4473, 0, 0, 'no', 'openai']"
96,"['d3_53_politic', 5980, 0, 0, 'no', 'openai']"
97,"['d3_53_politic', 5980, 0, 0, 'no', 'mistral']"
98,"['d3_53_politic', 5980, 0, 0, 'no', 'meta']"
99,"['d3_53_politic', 5407, 0, 0, 'no', 'openai']"
100,"['d3_53_politic', 5407, 0, 0, 'no', 'meta']"
101,"['d3_53_politic', 5407, 0, 0, 'no', 'mistral']"
102,"['d3_53_politic', 3973, 0, 0, 'no', 'mistral']"
103,"['d3_53_politic', 3973, 0, 0, 'no', 'meta']"
104,"['d3_53_politic', 3973, 0, 0, 'no', 'openai']"
105,"['d3_53_politic', 7210, 0, 0, 'no', 'openai']"
106,"['d3_53_politic', 7210, 0, 0, 'no', 'meta']"
107,"['d3_53_politic', 7210, 0, 0, 'no', 'mistral']"
108,"['d3_53_politic', 2804, 0, 0, 'no', 'openai']"
109,"['d3_53_politic', 2804, 0, 0, 'no', 'meta']"
110,"['d3_53_politic', 2804, 0, 0, 'no', 'mistral']"
111,"['d3_53_politic', 4090, 0, 0, 'no', 'mistral']"
112,"['d3_53_politic', 4090, 0, 0, 'no', 'meta']"
113,"['d3_53_politic', 4090, 0, 0, 'no', 'openai']"
114,"['d3_53_politic', 6145, 0, 0, 'no', 'mistral']"
115,"['d3_53_politic', 6145, 0, 0, 'no', 'meta']"
116,"['d3_53_politic', 6145, 0, 0, 'no', 'openai']"
117,"['d3_53_politic', 4583, 0, 0, 'no', 'openai']"
118,"['d3_53_politic', 4583, 0, 0, 'no', 'meta']"
119,"['d3_53_politic', 4583, 0, 0, 'no', 'mistral']"
120,"['d3_53_politic', 6385, 0, 0, 'no', 'meta']"
121,"['d3_53_politic', 6385, 0, 0, 'no', 'openai']"
122,"['d3_53_politic', 6385, 0, 0, 'no', 'mistral']"
123,"['d3_53_politic', 4278, 0, 0, 'no', 'openai']"
124,"['d3_53_politic', 4278, 0, 0, 'no', 'mistral']"
125,"['d3_53_politic', 4278, 0, 0, 'no', 'meta']"
126,"['d3_53_politic', 5220, 0, 0, 'no', 'mistral']"
127,"['d3_53_politic', 5220, 0, 0, 'no', 'meta']"
128,"['d3_53_politic', 5220, 0, 0, 'no', 'openai']"
129,"['d3_53_politic', 339, 1, 1, 'yes', 'meta']"
130,"['d3_53_politic', 339, 1, 1, 'yes', 'openai']"
131,"['d3_53_politic', 339, 1, 1, 'yes', 'mistral']"
132,"['d3_53_politic', 1688, 0, 0, 'no', 'mistral']"
133,"['d3_53_politic', 1688, 0, 0, 'no', 'meta']"
134,"['d3_53_politic', 1688, 0, 0, 'no', 'openai']"
135,"['d3_53_politic', 2144, 0, 0, 'no', 'mistral']"
136,"['d3_53_politic', 2144, 0, 0, 'no', 'meta']"
137,"['d3_53_politic', 2144, 0, 0, 'no', 'openai']"
138,"['d3_53_politic', 591, 1, 1, 'yes', 'meta']"
139,"['d3_53_politic', 591, 1, 1, 'yes', 'openai']"
140,"['d3_53_politic', 591, 1, 1, 'yes', 'mistral']"
141,"['d3_53_politic', 1724, 0, 0, 'no', 'mistral']"
142,"['d3_53_politic', 1724, 0, 0, 'no', 'meta']"
143,"['d3_53_politic', 1724, 0, 0, 'no', 'openai']"
144,"['d3_53_politic', 748, 1, 0, 'no', 'mistral']"
145,"['d3_53_politic', 748, 1, 0, 'no', 'meta']"
146,"['d3_53_politic', 748, 1, 0, 'no', 'openai']"
147,"['d3_53_politic', 2059, 0, 0, 'no', 'mistral']"
148,"['d3_53_politic', 2059, 0, 0, 'no', 'meta']"
149,"['d3_53_politic', 2059, 0, 0, 'no', 'openai']"
150,"['d3_53_politic', 4710, 0, 0, 'no', 'meta']"
151,"['d3_53_politic', 4710, 0, 0, 'no', 'openai']"
152,"['d3_53_politic', 4710, 0, 0, 'no', 'mistral']"
153,"['d3_53_politic', 2703, 0, 0, 'no', 'mistral']"
154,"['d3_53_politic', 2703, 0, 0, 'no', 'meta']"
155,"['d3_53_politic', 2703, 0, 0, 'no', 'openai']"
156,"['d3_53_politic', 2743, 0, 0, 'no', 'openai']"
157,"['d3_53_politic', 2743, 0, 0, 'no', 'mistral']"
158,"['d3_53_politic', 2743, 0, 0, 'no', 'meta']"
159,"['d3_53_politic', 1552, 0, 1, 'yes', 'openai']"
160,"['d3_53_politic', 1552, 0, 0, 'no', 'meta']"
