,0
0,task
1,idx
2,true_label
3,pred_label
4,answer
5,model
6,"['d3_36_quantity', 1215, 0, 0, 'no', 'meta']"
7,"['d3_36_quantity', 1215, 0, 0, 'no', 'openai']"
8,"['d3_36_quantity', 1215, 0, 0, 'no', 'mistral']"
9,"['d3_36_quantity', 47, 1, 1, 'yes', 'openai']"
10,"['d3_36_quantity', 47, 1, 1, 'yes', 'meta']"
11,"['d3_36_quantity', 47, 1, 1, 'yes', 'mistral']"
12,"['d3_36_quantity', 522, 0, 0, 'no', 'mistral']"
13,"['d3_36_quantity', 522, 0, 0, 'no', 'meta']"
14,"['d3_36_quantity', 522, 0, 0, 'no', 'openai']"
15,"['d3_36_quantity', 424, 0, 0, 'no', 'openai']"
16,"['d3_36_quantity', 424, 0, 0, 'no', 'mistral']"
17,"['d3_36_quantity', 424, 0, 0, 'no', 'meta']"
18,"['d3_36_quantity', 1400, 0, 0, 'no', 'openai']"
19,"['d3_36_quantity', 1400, 0, 0, 'no', 'mistral']"
20,"['d3_36_quantity', 1400, 0, 0, 'no', 'meta']"
21,"['d3_36_quantity', 1286, 0, 0, 'no', 'meta']"
22,"['d3_36_quantity', 1286, 0, 0, 'no', 'openai']"
23,"['d3_36_quantity', 1286, 0, 0, 'no', 'mistral']"
24,"['d3_36_quantity', 1696, 0, 0, 'no', 'mistral']"
25,"['d3_36_quantity', 1696, 0, 0, 'no', 'meta']"
26,"['d3_36_quantity', 1696, 0, 1, 'yes', 'openai']"
27,"['d3_36_quantity', 165, 1, 1, 'yes', 'mistral']"
28,"['d3_36_quantity', 165, 1, 0, 'no', 'meta']"
29,"['d3_36_quantity', 165, 1, 1, 'yes', 'openai']"
30,"['d3_36_quantity', 802, 0, 0, 'no', 'openai']"
31,"['d3_36_quantity', 802, 0, 0, 'no', 'meta']"
32,"['d3_36_quantity', 802, 0, 0, 'no', 'mistral']"
33,"['d3_36_quantity', 56, 1, 1, 'yes', 'openai']"
34,"['d3_36_quantity', 56, 1, 0, 'no', 'meta']"
35,"['d3_36_quantity', 56, 1, 1, 'yes', 'mistral']"
36,"['d3_36_quantity', 415, 0, 1, 'yes', 'openai']"
37,"['d3_36_quantity', 415, 0, 1, 'yes', 'mistral']"
38,"['d3_36_quantity', 415, 0, 0, 'no', 'meta']"
39,"['d3_36_quantity', 960, 0, 0, 'no', 'meta']"
40,"['d3_36_quantity', 960, 0, 0, 'no', 'openai']"
41,"['d3_36_quantity', 960, 0, 0, 'no', 'mistral']"
42,"['d3_36_quantity', 50, 1, 1, 'yes', 'openai']"
43,"['d3_36_quantity', 50, 1, 0, 'no', 'meta']"
44,"['d3_36_quantity', 50, 1, 1, 'yes', 'mistral']"
45,"['d3_36_quantity', 377, 0, 1, 'yes', 'openai']"
46,"['d3_36_quantity', 377, 0, 0, 'no', 'mistral']"
47,"['d3_36_quantity', 377, 0, 0, 'no', 'meta']"
48,"['d3_36_quantity', 1235, 0, 0, 'no', 'mistral']"
49,"['d3_36_quantity', 1235, 0, 0, 'no', 'meta']"
50,"['d3_36_quantity', 1235, 0, 0, 'no', 'openai']"
51,"['d3_36_quantity', 1035, 0, 0, 'no', 'openai']"
52,"['d3_36_quantity', 1035, 0, 0, 'no', 'meta']"
53,"['d3_36_quantity', 1035, 0, 0, 'no', 'mistral']"
54,"['d3_36_quantity', 419, 0, 0, 'no', 'mistral']"
55,"['d3_36_quantity', 419, 0, 0, 'no', 'meta']"
56,"['d3_36_quantity', 419, 0, 1, 'yes', 'openai']"
57,"['d3_36_quantity', 1120, 0, 0, 'no', 'openai']"
58,"['d3_36_quantity', 1120, 0, 0, 'no', 'meta']"
59,"['d3_36_quantity', 1120, 0, 0, 'no', 'mistral']"
60,"['d3_36_quantity', 1538, 0, 0, 'no', 'meta']"
61,"['d3_36_quantity', 1538, 0, 0, 'no', 'openai']"
62,"['d3_36_quantity', 1538, 0, 0, 'no', 'mistral']"
63,"['d3_36_quantity', 12, 1, 1, 'yes', 'mistral']"
64,"['d3_36_quantity', 12, 1, 1, 'yes', 'meta']"
65,"['d3_36_quantity', 12, 1, 1, 'yes', 'openai']"
66,"['d3_36_quantity', 1531, 0, 0, 'no', 'mistral']"
67,"['d3_36_quantity', 1531, 0, 0, 'no', 'meta']"
68,"['d3_36_quantity', 1531, 0, 0, 'no', 'openai']"
69,"['d3_36_quantity', 1327, 0, 0, 'no', 'meta']"
70,"['d3_36_quantity', 1327, 0, 1, 'yes', 'openai']"
71,"['d3_36_quantity', 1327, 0, 0, 'no', 'mistral']"
72,"['d3_36_quantity', 646, 0, 0, 'no', 'openai']"
73,"['d3_36_quantity', 646, 0, 0, 'no', 'meta']"
74,"['d3_36_quantity', 646, 0, 0, 'no', 'mistral']"
75,"['d3_36_quantity', 295, 1, 1, 'yes', 'openai']"
76,"['d3_36_quantity', 295, 1, 1, 'yes', 'meta']"
77,"['d3_36_quantity', 295, 1, 1, 'yes', 'mistral']"
78,"['d3_36_quantity', 1819, 0, 0, 'no', 'mistral']"
79,"['d3_36_quantity', 1819, 0, 0, 'no', 'meta']"
80,"['d3_36_quantity', 1819, 0, 0, 'no', 'openai']"
81,"['d3_36_quantity', 639, 0, 1, 'yes', 'openai']"
82,"['d3_36_quantity', 639, 0, 0, 'no', 'meta']"
83,"['d3_36_quantity', 639, 0, 0, 'no', 'mistral']"
84,"['d3_36_quantity', 176, 1, 1, 'yes', 'openai']"
85,"['d3_36_quantity', 176, 1, 0, 'no', 'mistral']"
86,"['d3_36_quantity', 176, 1, 0, 'no', 'meta']"
87,"['d3_36_quantity', 183, 1, 1, 'yes', 'openai']"
88,"['d3_36_quantity', 183, 1, 1, 'yes', 'mistral']"
89,"['d3_36_quantity', 183, 1, 0, 'no', 'meta']"
90,"['d3_36_quantity', 1611, 0, 0, 'no', 'mistral']"
91,"['d3_36_quantity', 1611, 0, 0, 'no', 'meta']"
92,"['d3_36_quantity', 1611, 0, 0, 'no', 'openai']"
93,"['d3_36_quantity', 1147, 0, 1, 'yes', 'openai']"
94,"['d3_36_quantity', 1147, 0, 0, 'no', 'mistral']"
95,"['d3_36_quantity', 1147, 0, 0, 'no', 'meta']"
96,"['d3_36_quantity', 1534, 0, 1, 'yes', 'openai']"
97,"['d3_36_quantity', 1534, 0, 0, 'no', 'meta']"
98,"['d3_36_quantity', 1534, 0, 0, 'no', 'mistral']"
99,"['d3_36_quantity', 1387, 0, 0, 'no', 'openai']"
100,"['d3_36_quantity', 1387, 0, 0, 'no', 'meta']"
101,"['d3_36_quantity', 1387, 0, 0, 'no', 'mistral']"
102,"['d3_36_quantity', 1019, 0, 0, 'no', 'openai']"
103,"['d3_36_quantity', 1019, 0, 0, 'no', 'meta']"
104,"['d3_36_quantity', 1019, 0, 0, 'no', 'mistral']"
105,"['d3_36_quantity', 1849, 0, 0, 'no', 'openai']"
106,"['d3_36_quantity', 1849, 0, 0, 'no', 'meta']"
107,"['d3_36_quantity', 1849, 0, 0, 'no', 'mistral']"
108,"['d3_36_quantity', 719, 0, 0, 'no', 'openai']"
109,"['d3_36_quantity', 719, 0, 0, 'no', 'meta']"
110,"['d3_36_quantity', 719, 0, 0, 'no', 'mistral']"
111,"['d3_36_quantity', 1049, 0, 0, 'no', 'mistral']"
112,"['d3_36_quantity', 1049, 0, 0, 'no', 'meta']"
113,"['d3_36_quantity', 1049, 0, 0, 'no', 'openai']"
114,"['d3_36_quantity', 1576, 0, 0, 'no', 'openai']"
115,"['d3_36_quantity', 1576, 0, 0, 'no', 'mistral']"
116,"['d3_36_quantity', 1576, 0, 0, 'no', 'meta']"
117,"['d3_36_quantity', 1175, 0, 0, 'no', 'mistral']"
118,"['d3_36_quantity', 1175, 0, 0, 'no', 'meta']"
119,"['d3_36_quantity', 1175, 0, 0, 'no', 'openai']"
120,"['d3_36_quantity', 1638, 0, 0, 'no', 'mistral']"
121,"['d3_36_quantity', 1638, 0, 0, 'no', 'meta']"
122,"['d3_36_quantity', 1638, 0, 1, 'yes', 'openai']"
123,"['d3_36_quantity', 1097, 0, 0, 'no', 'mistral']"
124,"['d3_36_quantity', 1097, 0, 0, 'no', 'meta']"
125,"['d3_36_quantity', 1097, 0, 0, 'no', 'openai']"
126,"['d3_36_quantity', 1339, 0, 0, 'no', 'openai']"
127,"['d3_36_quantity', 1339, 0, 0, 'no', 'mistral']"
128,"['d3_36_quantity', 1339, 0, 0, 'no', 'meta']"
129,"['d3_36_quantity', 87, 1, 1, 'yes', 'openai']"
130,"['d3_36_quantity', 87, 1, 1, 'yes', 'mistral']"
131,"['d3_36_quantity', 87, 1, 1, 'yes', 'meta']"
132,"['d3_36_quantity', 433, 0, 0, 'no', 'meta']"
133,"['d3_36_quantity', 433, 0, 0, 'no', 'openai']"
134,"['d3_36_quantity', 433, 0, 0, 'no', 'mistral']"
135,"['d3_36_quantity', 550, 0, 0, 'no', 'openai']"
136,"['d3_36_quantity', 550, 0, 0, 'no', 'meta']"
137,"['d3_36_quantity', 550, 0, 0, 'no', 'mistral']"
138,"['d3_36_quantity', 151, 1, 1, 'yes', 'openai']"
139,"['d3_36_quantity', 151, 1, 1, 'yes', 'meta']"
140,"['d3_36_quantity', 151, 1, 1, 'yes', 'mistral']"
141,"['d3_36_quantity', 442, 0, 0, 'no', 'openai']"
142,"['d3_36_quantity', 442, 0, 1, 'yes', 'meta']"
143,"['d3_36_quantity', 442, 0, 0, 'no', 'mistral']"
144,"['d3_36_quantity', 192, 1, 1, 'yes', 'meta']"
145,"['d3_36_quantity', 192, 1, 1, 'yes', 'openai']"
146,"['d3_36_quantity', 192, 1, 1, 'yes', 'mistral']"
147,"['d3_36_quantity', 528, 0, 0, 'no', 'openai']"
148,"['d3_36_quantity', 528, 0, 0, 'no', 'meta']"
149,"['d3_36_quantity', 528, 0, 0, 'no', 'mistral']"
150,"['d3_36_quantity', 1208, 0, 0, 'no', 'meta']"
151,"['d3_36_quantity', 1208, 0, 0, 'no', 'openai']"
152,"['d3_36_quantity', 1208, 0, 0, 'no', 'mistral']"
153,"['d3_36_quantity', 693, 0, 0, 'no', 'openai']"
154,"['d3_36_quantity', 693, 0, 0, 'no', 'meta']"
155,"['d3_36_quantity', 693, 0, 0, 'no', 'mistral']"
156,"['d3_36_quantity', 703, 0, 0, 'no', 'mistral']"
