,0
0,task
1,idx
2,true_label
3,pred_label
4,answer
5,model
6,"['d3_20_pro-life', 136, 1, 1, 'yes', 'meta']"
7,"['d3_20_pro-life', 136, 1, 1, 'yes', 'openai']"
8,"['d3_20_pro-life', 136, 1, 1, 'yes', 'mistral']"
9,"['d3_20_pro-life', 136, 1, 1, 'yes', 'gpt4']"
10,"['d3_20_pro-life', 5, 1, 1, 'yes', 'meta']"
11,"['d3_20_pro-life', 5, 1, 1, 'yes', 'openai']"
12,"['d3_20_pro-life', 5, 1, 1, 'yes', 'mistral']"
13,"['d3_20_pro-life', 5, 1, 1, 'yes', 'gpt4']"
14,"['d3_20_pro-life', 58, 1, 0, 'no', 'mistral']"
15,"['d3_20_pro-life', 58, 1, 0, 'no', 'meta']"
16,"['d3_20_pro-life', 58, 1, 0, 'no', 'openai']"
17,"['d3_20_pro-life', 58, 1, 0, 'no', 'gpt4']"
18,"['d3_20_pro-life', 47, 1, 0, 'no', 'openai']"
19,"['d3_20_pro-life', 47, 1, 1, 'yes', 'meta']"
20,"['d3_20_pro-life', 47, 1, 0, 'no', 'mistral']"
21,"['d3_20_pro-life', 47, 1, 0, 'no', 'gpt4']"
22,"['d3_20_pro-life', 156, 0, 0, 'no', 'openai']"
23,"['d3_20_pro-life', 156, 0, 0, 'no', 'mistral']"
24,"['d3_20_pro-life', 156, 0, 0, 'no', 'meta']"
25,"['d3_20_pro-life', 156, 0, 0, 'no', 'gpt4']"
26,"['d3_20_pro-life', 144, 1, 1, 'yes', 'openai']"
27,"['d3_20_pro-life', 144, 1, 1, 'yes', 'mistral']"
28,"['d3_20_pro-life', 144, 1, 1, 'yes', 'meta']"
29,"['d3_20_pro-life', 144, 1, 1, 'yes', 'gpt4']"
30,"['d3_20_pro-life', 190, 0, 0, 'no', 'openai']"
31,"['d3_20_pro-life', 190, 0, 0, 'no', 'mistral']"
32,"['d3_20_pro-life', 190, 0, 0, 'no', 'meta']"
33,"['d3_20_pro-life', 190, 0, 0, 'no', 'gpt4']"
34,"['d3_20_pro-life', 18, 1, 0, 'no', 'openai']"
35,"['d3_20_pro-life', 18, 1, 1, 'yes', 'meta']"
36,"['d3_20_pro-life', 18, 1, 0, 'no', 'mistral']"
37,"['d3_20_pro-life', 18, 1, 0, 'no', 'gpt4']"
38,"['d3_20_pro-life', 89, 1, 1, 'yes', 'meta']"
39,"['d3_20_pro-life', 89, 1, 1, 'yes', 'openai']"
40,"['d3_20_pro-life', 89, 1, 1, 'yes', 'mistral']"
41,"['d3_20_pro-life', 89, 1, 1, 'yes', 'gpt4']"
42,"['d3_20_pro-life', 6, 1, 1, 'yes', 'openai']"
43,"['d3_20_pro-life', 6, 1, 1, 'yes', 'meta']"
44,"['d3_20_pro-life', 6, 1, 1, 'yes', 'mistral']"
45,"['d3_20_pro-life', 6, 1, 1, 'yes', 'gpt4']"
46,"['d3_20_pro-life', 46, 1, 1, 'yes', 'meta']"
47,"['d3_20_pro-life', 46, 1, 1, 'yes', 'openai']"
48,"['d3_20_pro-life', 46, 1, 1, 'yes', 'mistral']"
49,"['d3_20_pro-life', 46, 1, 1, 'yes', 'gpt4']"
50,"['d3_20_pro-life', 107, 1, 0, 'no', 'openai']"
51,"['d3_20_pro-life', 107, 1, 1, 'yes', 'meta']"
52,"['d3_20_pro-life', 107, 1, 1, 'yes', 'mistral']"
53,"['d3_20_pro-life', 107, 1, 1, 'yes', 'gpt4']"
54,"['d3_20_pro-life', 5, 1, 1, 'yes', 'mistral']"
55,"['d3_20_pro-life', 5, 1, 1, 'yes', 'meta']"
56,"['d3_20_pro-life', 5, 1, 1, 'yes', 'openai']"
57,"['d3_20_pro-life', 5, 1, 1, 'yes', 'gpt4']"
58,"['d3_20_pro-life', 42, 1, 1, 'yes', 'openai']"
59,"['d3_20_pro-life', 42, 1, 0, 'no', 'mistral']"
60,"['d3_20_pro-life', 42, 1, 1, 'yes', 'meta']"
61,"['d3_20_pro-life', 42, 1, 0, 'no', 'gpt4']"
62,"['d3_20_pro-life', 138, 1, 0, 'no', 'openai']"
63,"['d3_20_pro-life', 138, 1, 0, 'no', 'mistral']"
64,"['d3_20_pro-life', 138, 1, 1, 'yes', 'meta']"
65,"['d3_20_pro-life', 138, 1, 0, 'no', 'gpt4']"
66,"['d3_20_pro-life', 116, 1, 1, 'yes', 'openai']"
67,"['d3_20_pro-life', 116, 1, 1, 'yes', 'meta']"
68,"['d3_20_pro-life', 116, 1, 1, 'yes', 'mistral']"
69,"['d3_20_pro-life', 116, 1, 1, 'yes', 'gpt4']"
70,"['d3_20_pro-life', 46, 1, 1, 'yes', 'openai']"
71,"['d3_20_pro-life', 46, 1, 1, 'yes', 'meta']"
72,"['d3_20_pro-life', 46, 1, 1, 'yes', 'mistral']"
73,"['d3_20_pro-life', 46, 1, 1, 'yes', 'gpt4']"
74,"['d3_20_pro-life', 125, 1, 1, 'yes', 'meta']"
75,"['d3_20_pro-life', 125, 1, 0, 'no', 'openai']"
76,"['d3_20_pro-life', 125, 1, 1, 'yes', 'mistral']"
77,"['d3_20_pro-life', 125, 1, 0, 'no', 'gpt4']"
78,"['d3_20_pro-life', 172, 0, 0, 'no', 'mistral']"
79,"['d3_20_pro-life', 172, 0, 1, 'yes', 'meta']"
80,"['d3_20_pro-life', 172, 0, 0, 'no', 'openai']"
81,"['d3_20_pro-life', 172, 0, 0, 'no', 'gpt4']"
82,"['d3_20_pro-life', 1, 1, 1, 'yes', 'openai']"
83,"['d3_20_pro-life', 1, 1, 1, 'yes', 'mistral']"
84,"['d3_20_pro-life', 1, 1, 1, 'yes', 'meta']"
85,"['d3_20_pro-life', 1, 1, 1, 'yes', 'gpt4']"
