,0
0,task
1,idx
2,true_label
3,pred_label
4,answer
5,model
6,"['d3_17_hillary', 139, 0, 0, 'no', 'mistral']"
7,"['d3_17_hillary', 139, 0, 0, 'no', 'meta']"
8,"['d3_17_hillary', 139, 0, 0, 'no', 'openai']"
9,"['d3_17_hillary', 139, 0, 0, 'no', 'gpt4']"
10,"['d3_17_hillary', 5, 1, 1, 'yes', 'mistral']"
11,"['d3_17_hillary', 5, 1, 1, 'yes', 'meta']"
12,"['d3_17_hillary', 5, 1, 1, 'yes', 'openai']"
13,"['d3_17_hillary', 5, 1, 1, 'yes', 'gpt4']"
14,"['d3_17_hillary', 59, 0, 0, 'no', 'meta']"
15,"['d3_17_hillary', 59, 0, 0, 'no', 'openai']"
16,"['d3_17_hillary', 59, 0, 0, 'no', 'mistral']"
17,"['d3_17_hillary', 59, 0, 0, 'no', 'gpt4']"
18,"['d3_17_hillary', 48, 0, 0, 'no', 'meta']"
19,"['d3_17_hillary', 48, 0, 0, 'no', 'openai']"
20,"['d3_17_hillary', 48, 0, 0, 'no', 'mistral']"
21,"['d3_17_hillary', 48, 0, 0, 'no', 'gpt4']"
22,"['d3_17_hillary', 160, 0, 0, 'no', 'mistral']"
23,"['d3_17_hillary', 160, 0, 0, 'no', 'meta']"
24,"['d3_17_hillary', 160, 0, 0, 'no', 'openai']"
25,"['d3_17_hillary', 160, 0, 0, 'no', 'gpt4']"
26,"['d3_17_hillary', 147, 0, 0, 'no', 'openai']"
27,"['d3_17_hillary', 147, 0, 0, 'no', 'mistral']"
28,"['d3_17_hillary', 147, 0, 0, 'no', 'meta']"
29,"['d3_17_hillary', 147, 0, 0, 'no', 'gpt4']"
30,"['d3_17_hillary', 194, 0, 0, 'no', 'openai']"
31,"['d3_17_hillary', 194, 0, 0, 'no', 'meta']"
32,"['d3_17_hillary', 194, 0, 0, 'no', 'mistral']"
33,"['d3_17_hillary', 194, 0, 0, 'no', 'gpt4']"
34,"['d3_17_hillary', 18, 1, 1, 'yes', 'openai']"
35,"['d3_17_hillary', 18, 1, 1, 'yes', 'meta']"
36,"['d3_17_hillary', 18, 1, 1, 'yes', 'mistral']"
37,"['d3_17_hillary', 18, 1, 1, 'yes', 'gpt4']"
38,"['d3_17_hillary', 91, 0, 0, 'no', 'openai']"
39,"['d3_17_hillary', 91, 0, 0, 'no', 'meta']"
40,"['d3_17_hillary', 91, 0, 0, 'no', 'mistral']"
41,"['d3_17_hillary', 91, 0, 0, 'no', 'gpt4']"
42,"['d3_17_hillary', 6, 1, 1, 'yes', 'openai']"
43,"['d3_17_hillary', 6, 1, 1, 'yes', 'meta']"
44,"['d3_17_hillary', 6, 1, 1, 'yes', 'mistral']"
45,"['d3_17_hillary', 6, 1, 0, 'unc', 'gpt4']"
46,"['d3_17_hillary', 47, 0, 0, 'no', 'openai']"
47,"['d3_17_hillary', 47, 0, 0, 'no', 'mistral']"
48,"['d3_17_hillary', 47, 0, 1, 'yes', 'meta']"
49,"['d3_17_hillary', 47, 0, 0, 'no', 'gpt4']"
50,"['d3_17_hillary', 110, 0, 0, 'no', 'mistral']"
51,"['d3_17_hillary', 110, 0, 0, 'no', 'meta']"
52,"['d3_17_hillary', 110, 0, 0, 'no', 'openai']"
53,"['d3_17_hillary', 110, 0, 0, 'no', 'gpt4']"
54,"['d3_17_hillary', 5, 1, 1, 'yes', 'openai']"
55,"['d3_17_hillary', 5, 1, 1, 'yes', 'meta']"
56,"['d3_17_hillary', 5, 1, 1, 'yes', 'mistral']"
57,"['d3_17_hillary', 5, 1, 1, 'yes', 'gpt4']"
58,"['d3_17_hillary', 43, 0, 0, 'no', 'mistral']"
59,"['d3_17_hillary', 43, 0, 0, 'no', 'meta']"
60,"['d3_17_hillary', 43, 0, 0, 'no', 'openai']"
61,"['d3_17_hillary', 43, 0, 0, 'no', 'gpt4']"
62,"['d3_17_hillary', 141, 0, 0, 'no', 'mistral']"
63,"['d3_17_hillary', 141, 0, 0, 'no', 'meta']"
64,"['d3_17_hillary', 141, 0, 0, 'no', 'openai']"
65,"['d3_17_hillary', 141, 0, 0, 'no', 'gpt4']"
66,"['d3_17_hillary', 118, 0, 0, 'no', 'mistral']"
67,"['d3_17_hillary', 118, 0, 0, 'no', 'meta']"
68,"['d3_17_hillary', 118, 0, 0, 'no', 'openai']"
69,"['d3_17_hillary', 118, 0, 0, 'no', 'gpt4']"
70,"['d3_17_hillary', 48, 0, 0, 'no', 'openai']"
71,"['d3_17_hillary', 48, 0, 0, 'no', 'mistral']"
72,"['d3_17_hillary', 48, 0, 0, 'no', 'meta']"
73,"['d3_17_hillary', 48, 0, 0, 'no', 'gpt4']"
74,"['d3_17_hillary', 128, 0, 0, 'no', 'mistral']"
75,"['d3_17_hillary', 128, 0, 0, 'no', 'meta']"
76,"['d3_17_hillary', 128, 0, 0, 'no', 'openai']"
77,"['d3_17_hillary', 128, 0, 0, 'no', 'gpt4']"
78,"['d3_17_hillary', 176, 0, 0, 'no', 'openai']"
79,"['d3_17_hillary', 176, 0, 0, 'no', 'meta']"
80,"['d3_17_hillary', 176, 0, 0, 'no', 'mistral']"
81,"['d3_17_hillary', 176, 0, 0, 'no', 'gpt4']"
82,"['d3_17_hillary', 1, 1, 1, 'yes', 'meta']"
83,"['d3_17_hillary', 1, 1, 1, 'yes', 'openai']"
84,"['d3_17_hillary', 1, 1, 1, 'yes', 'mistral']"
85,"['d3_17_hillary', 1, 1, 1, 'yes', 'gpt4']"
