question,avg_abs_coef_normalized
Does the sentence involve mathematical reasoning?,1.0
Does the sentence include technical or specialized terminology?,0.887
Is personal or private life details being shared?,0.876
Does the sentence include an oxymoron?,0.876
Does the sentence contain a pun?,0.871
Is the sentence humorous because of a play on words?,0.859
Does the input describe a specific texture or sensation?,0.84
Does the sentence describe a fictional scenario?,0.83
Is the sentence autobiographical?,0.815
Does the sentence include a foreign word or phrase?,0.812
Is the sentence expressing the narrator's aspirations for societal change or impact?,0.762
Is the sentence conveying a sense of awe or wonder experienced by the narrator?,0.758
Does the sentence include a direct speech quotation?,0.75
Does the sentence reveal a secret or confidential information?,0.739
Does the sentence involve an introduction or explaining one's identity to someone?,0.736
Does the input discuss a philosophical or existential question?,0.732
Does the sentence describe a physical appearance or feature?,0.727
Is the sentence structured as a list?,0.717
Is the sentence conveying a strategic or tactical thought by the narrator?,0.708
Does the sentence describe a specific method or technique?,0.703
Does the sentence include a number or statistic?,0.703
Is the sentence conveying a sense of loneliness or isolation?,0.695
Does the sentence express the narrator's opinion or judgment about an event or character?,0.693
Does the sentence include a rhetorical question?,0.691
Does the sentence describe a hypothetical scenario?,0.69
Does the sentence involve a conflict or disagreement?,0.69
Is there a mention of using technology or the internet?,0.688
"Does the sentence convey the narrator's relationship with time, such as impatience or nostalgia?",0.686
Does the sentence describe an experience of surprise or shock?,0.684
Is the sentence a question?,0.684
Is a specific age mentioned?,0.684
"Is there a mention of a social or community event (e.g., camp)?",0.679
"Does the sentence involve a specific form of transportation (e.g., airplane)?",0.678
Is the sentence conveying the narrator's physical movement or action in detail?,0.677
Does the sentence contain a proper noun?,0.673
Is the sentence describing an immediate reaction to an event or action?,0.663
Does the sentence include numerical information?,0.662
Does the input express feelings of jealousy or envy?,0.661
"Is a specific object of value or importance mentioned (e.g., prized possession)?",0.658
"Does the sentence describe a physical sensation (e.g., touch, taste)?",0.653
Is the sentence providing an explanation or rationale?,0.652
Does the sentence convey the narrator's sense of humor or wit?,0.652
Is time mentioned in the input?,0.649
Is the input about overcoming a fear or challenge?,0.647
Is the sentence related to politics or government?,0.647
Is the sentence describing a moment of peace or contentment?,0.645
Does the sentence use irony or sarcasm?,0.645
Does the text include a reference to a past era or time period?,0.645
Does the sentence involve a comparison or analogy?,0.641
Is the sentence emotionally neutral?,0.641
Is decluttering or disposing of items described?,0.64
Is there a reference to a specific social or cultural identity?,0.639
Is a legal or ethical dilemma discussed?,0.637
Does the sentence include a conditional clause?,0.636
Does the sentence include dialogue or thoughts directed towards another character?,0.636
Is a specific profession or job role mentioned?,0.634
Does the input contain a number?,0.634
Does the sentence contain dialogue or reported speech?,0.633
Is the input related to a specific industry or profession?,0.631
Is the sentence part of a mystery or puzzle?,0.629
Does the sentence describe a character's physical appearance or attire?,0.627
Does the sentence involve a mention of a specific type of professional or expert?,0.624
Is the sentence part of a poem or song?,0.623
"Is a specific school, university, or educational institution mentioned?",0.619
Does the sentence use non-standard or slang language?,0.618
Does the input contain a measurement?,0.618
Does the sentence mention a holiday or celebration?,0.616
Is a personal preference or taste described?,0.613
