,0
0,task
1,idx
2,true_label
3,pred_label
4,answer
5,model
6,"['d3_5_evacuate', 1707, 0, 0, 'no', 'openai']"
7,"['d3_5_evacuate', 1707, 0, 0, 'no', 'mistral']"
8,"['d3_5_evacuate', 1707, 0, 1, 'yes', 'meta']"
9,"['d3_5_evacuate', 1707, 0, 1, 'yes', 'gpt4']"
10,"['d3_5_evacuate', 66, 1, 1, 'yes', 'openai']"
11,"['d3_5_evacuate', 66, 1, 1, 'yes', 'meta']"
12,"['d3_5_evacuate', 66, 1, 0, 'no', 'mistral']"
13,"['d3_5_evacuate', 66, 1, 1, 'yes', 'gpt4']"
14,"['d3_5_evacuate', 734, 0, 0, 'no', 'mistral']"
15,"['d3_5_evacuate', 734, 0, 0, 'no', 'meta']"
16,"['d3_5_evacuate', 734, 0, 0, 'no', 'openai']"
17,"['d3_5_evacuate', 734, 0, 0, 'no', 'gpt4']"
18,"['d3_5_evacuate', 595, 0, 0, 'no', 'openai']"
19,"['d3_5_evacuate', 595, 0, 0, 'no', 'mistral']"
20,"['d3_5_evacuate', 595, 0, 1, 'yes', 'meta']"
21,"['d3_5_evacuate', 595, 0, 0, 'no', 'gpt4']"
22,"['d3_5_evacuate', 1966, 0, 0, 'no', 'openai']"
23,"['d3_5_evacuate', 1966, 0, 0, 'no', 'meta']"
24,"['d3_5_evacuate', 1966, 0, 0, 'no', 'mistral']"
25,"['d3_5_evacuate', 1966, 0, 0, 'no', 'gpt4']"
26,"['d3_5_evacuate', 1806, 0, 0, 'no', 'openai']"
27,"['d3_5_evacuate', 1806, 0, 1, 'yes', 'meta']"
28,"['d3_5_evacuate', 1806, 0, 0, 'no', 'mistral']"
29,"['d3_5_evacuate', 1806, 0, 1, 'yes', 'gpt4']"
30,"['d3_5_evacuate', 2382, 0, 1, 'yes', 'openai']"
31,"['d3_5_evacuate', 2382, 0, 1, 'yes', 'meta']"
32,"['d3_5_evacuate', 2382, 0, 0, 'no', 'mistral']"
33,"['d3_5_evacuate', 2382, 0, 1, 'yes', 'gpt4']"
34,"['d3_5_evacuate', 232, 0, 1, 'yes', 'openai']"
35,"['d3_5_evacuate', 232, 0, 1, 'yes', 'mistral']"
36,"['d3_5_evacuate', 232, 0, 1, 'yes', 'meta']"
37,"['d3_5_evacuate', 232, 0, 1, 'yes', 'gpt4']"
38,"['d3_5_evacuate', 1126, 0, 0, 'no', 'mistral']"
39,"['d3_5_evacuate', 1126, 0, 0, 'no', 'meta']"
40,"['d3_5_evacuate', 1126, 0, 0, 'no', 'openai']"
41,"['d3_5_evacuate', 1126, 0, 0, 'no', 'gpt4']"
42,"['d3_5_evacuate', 79, 1, 1, 'yes', 'mistral']"
43,"['d3_5_evacuate', 79, 1, 1, 'yes', 'meta']"
44,"['d3_5_evacuate', 79, 1, 1, 'yes', 'openai']"
45,"['d3_5_evacuate', 79, 1, 1, 'yes', 'gpt4']"
46,"['d3_5_evacuate', 583, 0, 0, 'no', 'openai']"
47,"['d3_5_evacuate', 583, 0, 0, 'no', 'meta']"
48,"['d3_5_evacuate', 583, 0, 0, 'no', 'mistral']"
49,"['d3_5_evacuate', 583, 0, 0, 'no', 'gpt4']"
50,"['d3_5_evacuate', 1349, 0, 1, 'yes', 'openai']"
51,"['d3_5_evacuate', 1349, 0, 1, 'yes', 'mistral']"
52,"['d3_5_evacuate', 1349, 0, 1, 'yes', 'meta']"
53,"['d3_5_evacuate', 1349, 0, 1, 'yes', 'gpt4']"
54,"['d3_5_evacuate', 70, 1, 1, 'yes', 'openai']"
55,"['d3_5_evacuate', 70, 1, 1, 'yes', 'meta']"
56,"['d3_5_evacuate', 70, 1, 0, 'no', 'mistral']"
57,"['d3_5_evacuate', 70, 1, 1, 'yes', 'gpt4']"
58,"['d3_5_evacuate', 530, 0, 0, 'no', 'openai']"
59,"['d3_5_evacuate', 530, 0, 0, 'no', 'mistral']"
60,"['d3_5_evacuate', 530, 0, 0, 'no', 'meta']"
61,"['d3_5_evacuate', 530, 0, 0, 'no', 'gpt4']"
62,"['d3_5_evacuate', 1735, 0, 0, 'no', 'meta']"
63,"['d3_5_evacuate', 1735, 0, 0, 'no', 'openai']"
64,"['d3_5_evacuate', 1735, 0, 0, 'no', 'mistral']"
65,"['d3_5_evacuate', 1735, 0, 0, 'no', 'gpt4']"
66,"['d3_5_evacuate', 1454, 0, 0, 'no', 'openai']"
67,"['d3_5_evacuate', 1454, 0, 0, 'no', 'mistral']"
68,"['d3_5_evacuate', 1454, 0, 0, 'no', 'meta']"
69,"['d3_5_evacuate', 1454, 0, 0, 'no', 'gpt4']"
70,"['d3_5_evacuate', 588, 0, 0, 'no', 'openai']"
71,"['d3_5_evacuate', 588, 0, 0, 'no', 'meta']"
72,"['d3_5_evacuate', 588, 0, 0, 'no', 'mistral']"
73,"['d3_5_evacuate', 588, 0, 0, 'no', 'gpt4']"
74,"['d3_5_evacuate', 1573, 0, 0, 'no', 'mistral']"
75,"['d3_5_evacuate', 1573, 0, 1, 'yes', 'meta']"
76,"['d3_5_evacuate', 1573, 0, 1, 'yes', 'openai']"
77,"['d3_5_evacuate', 1573, 0, 1, 'yes', 'gpt4']"
78,"['d3_5_evacuate', 2161, 0, 0, 'no', 'openai']"
79,"['d3_5_evacuate', 2161, 0, 0, 'no', 'meta']"
80,"['d3_5_evacuate', 2161, 0, 0, 'no', 'mistral']"
81,"['d3_5_evacuate', 2161, 0, 0, 'no', 'gpt4']"
82,"['d3_5_evacuate', 17, 1, 1, 'yes', 'meta']"
83,"['d3_5_evacuate', 17, 1, 1, 'yes', 'openai']"
84,"['d3_5_evacuate', 17, 1, 1, 'yes', 'mistral']"
85,"['d3_5_evacuate', 17, 1, 1, 'yes', 'gpt4']"
