,0
0,task
1,idx
2,true_label
3,pred_label
4,answer
5,model
6,"['d3_47_math', 4804, 0, 0, 'no', 'mistral']"
7,"['d3_47_math', 4804, 0, 0, 'no', 'meta']"
8,"['d3_47_math', 4804, 0, 0, 'no', 'openai']"
9,"['d3_47_math', 187, 1, 1, 'yes', 'openai']"
10,"['d3_47_math', 187, 1, 1, 'yes', 'mistral']"
11,"['d3_47_math', 187, 1, 1, 'yes', 'meta']"
12,"['d3_47_math', 2066, 0, 0, 'no', 'meta']"
13,"['d3_47_math', 2066, 0, 0, 'no', 'openai']"
14,"['d3_47_math', 2066, 0, 0, 'no', 'mistral']"
15,"['d3_47_math', 1677, 0, 1, 'yes', 'mistral']"
16,"['d3_47_math', 1677, 0, 1, 'yes', 'meta']"
17,"['d3_47_math', 1677, 0, 1, 'yes', 'openai']"
18,"['d3_47_math', 5533, 0, 1, 'yes', 'openai']"
19,"['d3_47_math', 5533, 0, 1, 'yes', 'meta']"
20,"['d3_47_math', 5533, 0, 1, 'yes', 'mistral']"
21,"['d3_47_math', 5084, 0, 1, 'yes', 'openai']"
22,"['d3_47_math', 5084, 0, 0, 'no', 'meta']"
23,"['d3_47_math', 5084, 0, 0, 'no', 'mistral']"
24,"['d3_47_math', 6703, 0, 0, 'no', 'mistral']"
25,"['d3_47_math', 6703, 0, 0, 'no', 'meta']"
26,"['d3_47_math', 6703, 0, 0, 'no', 'openai']"
27,"['d3_47_math', 653, 1, 1, 'yes', 'mistral']"
28,"['d3_47_math', 653, 1, 1, 'yes', 'meta']"
29,"['d3_47_math', 653, 1, 1, 'yes', 'openai']"
30,"['d3_47_math', 3170, 0, 0, 'no', 'openai']"
31,"['d3_47_math', 3170, 0, 0, 'no', 'mistral']"
32,"['d3_47_math', 3170, 0, 0, 'no', 'meta']"
33,"['d3_47_math', 223, 1, 1, 'yes', 'meta']"
34,"['d3_47_math', 223, 1, 1, 'yes', 'openai']"
35,"['d3_47_math', 223, 1, 1, 'yes', 'mistral']"
36,"['d3_47_math', 1642, 0, 0, 'no', 'mistral']"
37,"['d3_47_math', 1642, 0, 0, 'no', 'meta']"
38,"['d3_47_math', 1642, 0, 1, 'yes', 'openai']"
39,"['d3_47_math', 3797, 0, 0, 'no', 'openai']"
40,"['d3_47_math', 3797, 0, 0, 'no', 'mistral']"
41,"['d3_47_math', 3797, 0, 0, 'no', 'meta']"
42,"['d3_47_math', 199, 1, 1, 'yes', 'meta']"
43,"['d3_47_math', 199, 1, 1, 'yes', 'openai']"
44,"['d3_47_math', 199, 1, 1, 'yes', 'mistral']"
45,"['d3_47_math', 1494, 0, 1, 'yes', 'meta']"
46,"['d3_47_math', 1494, 0, 1, 'yes', 'openai']"
47,"['d3_47_math', 1494, 0, 1, 'yes', 'mistral']"
48,"['d3_47_math', 4883, 0, 0, 'no', 'openai']"
49,"['d3_47_math', 4883, 0, 0, 'no', 'mistral']"
50,"['d3_47_math', 4883, 0, 0, 'no', 'meta']"
51,"['d3_47_math', 4094, 0, 0, 'no', 'openai']"
52,"['d3_47_math', 4094, 0, 0, 'no', 'meta']"
53,"['d3_47_math', 4094, 0, 0, 'no', 'mistral']"
54,"['d3_47_math', 1656, 0, 0, 'no', 'mistral']"
55,"['d3_47_math', 1656, 0, 0, 'no', 'meta']"
56,"['d3_47_math', 1656, 0, 0, 'no', 'openai']"
57,"['d3_47_math', 4427, 0, 0, 'no', 'mistral']"
58,"['d3_47_math', 4427, 0, 0, 'no', 'meta']"
59,"['d3_47_math', 4427, 0, 0, 'no', 'openai']"
60,"['d3_47_math', 6082, 0, 0, 'no', 'mistral']"
61,"['d3_47_math', 6082, 0, 0, 'no', 'meta']"
62,"['d3_47_math', 6082, 0, 0, 'no', 'openai']"
63,"['d3_47_math', 48, 1, 1, 'yes', 'mistral']"
64,"['d3_47_math', 48, 1, 1, 'yes', 'meta']"
65,"['d3_47_math', 48, 1, 1, 'yes', 'openai']"
66,"['d3_47_math', 6054, 0, 1, 'yes', 'mistral']"
67,"['d3_47_math', 6054, 0, 0, 'no', 'meta']"
68,"['d3_47_math', 6054, 0, 1, 'yes', 'openai']"
69,"['d3_47_math', 5245, 0, 0, 'no', 'openai']"
70,"['d3_47_math', 5245, 0, 0, 'no', 'meta']"
71,"['d3_47_math', 5245, 0, 0, 'no', 'mistral']"
72,"['d3_47_math', 2556, 0, 0, 'no', 'meta']"
73,"['d3_47_math', 2556, 0, 0, 'no', 'openai']"
74,"['d3_47_math', 2556, 0, 0, 'no', 'mistral']"
75,"['d3_47_math', 1168, 0, 0, 'no', 'openai']"
76,"['d3_47_math', 1168, 0, 0, 'no', 'meta']"
77,"['d3_47_math', 1168, 0, 1, 'yes', 'mistral']"
78,"['d3_47_math', 7192, 0, 0, 'no', 'openai']"
79,"['d3_47_math', 7192, 0, 0, 'no', 'mistral']"
80,"['d3_47_math', 7192, 0, 0, 'no', 'meta']"
81,"['d3_47_math', 2529, 0, 1, 'yes', 'openai']"
82,"['d3_47_math', 2529, 0, 0, 'no', 'meta']"
83,"['d3_47_math', 2529, 0, 1, 'yes', 'mistral']"
84,"['d3_47_math', 696, 1, 0, 'no', 'mistral']"
85,"['d3_47_math', 696, 1, 1, 'yes', 'meta']"
86,"['d3_47_math', 696, 1, 1, 'yes', 'openai']"
87,"['d3_47_math', 726, 1, 1, 'yes', 'openai']"
88,"['d3_47_math', 726, 1, 1, 'yes', 'meta']"
89,"['d3_47_math', 726, 1, 1, 'yes', 'mistral']"
90,"['d3_47_math', 6368, 0, 0, 'no', 'mistral']"
91,"['d3_47_math', 6368, 0, 0, 'no', 'meta']"
92,"['d3_47_math', 6368, 0, 0, 'no', 'openai']"
93,"['d3_47_math', 4536, 0, 0, 'no', 'openai']"
94,"['d3_47_math', 4536, 0, 0, 'no', 'mistral']"
95,"['d3_47_math', 4536, 0, 0, 'no', 'meta']"
96,"['d3_47_math', 6064, 0, 0, 'no', 'openai']"
97,"['d3_47_math', 6064, 0, 0, 'no', 'mistral']"
98,"['d3_47_math', 6064, 0, 0, 'no', 'meta']"
99,"['d3_47_math', 5483, 0, 0, 'no', 'openai']"
100,"['d3_47_math', 5483, 0, 0, 'no', 'meta']"
101,"['d3_47_math', 5483, 0, 0, 'no', 'mistral']"
102,"['d3_47_math', 4029, 0, 0, 'no', 'openai']"
103,"['d3_47_math', 4029, 0, 0, 'no', 'mistral']"
104,"['d3_47_math', 4029, 0, 0, 'no', 'meta']"
105,"['d3_47_math', 7311, 0, 0, 'no', 'meta']"
106,"['d3_47_math', 7311, 0, 0, 'no', 'openai']"
107,"['d3_47_math', 7311, 0, 1, 'yes', 'mistral']"
108,"['d3_47_math', 2844, 0, 0, 'no', 'mistral']"
109,"['d3_47_math', 2844, 0, 0, 'no', 'meta']"
110,"['d3_47_math', 2844, 0, 0, 'no', 'openai']"
111,"['d3_47_math', 4148, 0, 1, 'yes', 'mistral']"
112,"['d3_47_math', 4148, 0, 0, 'no', 'meta']"
113,"['d3_47_math', 4148, 0, 1, 'yes', 'openai']"
114,"['d3_47_math', 6232, 0, 0, 'no', 'openai']"
115,"['d3_47_math', 6232, 0, 0, 'no', 'meta']"
116,"['d3_47_math', 6232, 0, 0, 'no', 'mistral']"
117,"['d3_47_math', 4647, 0, 0, 'no', 'openai']"
118,"['d3_47_math', 4647, 0, 0, 'no', 'mistral']"
119,"['d3_47_math', 4647, 0, 0, 'no', 'meta']"
120,"['d3_47_math', 6474, 0, 1, 'yes', 'openai']"
121,"['d3_47_math', 6474, 0, 1, 'yes', 'mistral']"
122,"['d3_47_math', 6474, 0, 1, 'yes', 'meta']"
123,"['d3_47_math', 4338, 0, 0, 'no', 'openai']"
124,"['d3_47_math', 4338, 0, 0, 'no', 'meta']"
125,"['d3_47_math', 4338, 0, 0, 'no', 'mistral']"
126,"['d3_47_math', 5294, 0, 0, 'no', 'openai']"
127,"['d3_47_math', 5294, 0, 1, 'yes', 'mistral']"
128,"['d3_47_math', 5294, 0, 0, 'no', 'meta']"
129,"['d3_47_math', 344, 1, 1, 'yes', 'openai']"
130,"['d3_47_math', 344, 1, 1, 'yes', 'mistral']"
131,"['d3_47_math', 344, 1, 1, 'yes', 'meta']"
132,"['d3_47_math', 1712, 0, 0, 'no', 'mistral']"
133,"['d3_47_math', 1712, 0, 0, 'no', 'meta']"
134,"['d3_47_math', 1712, 0, 0, 'no', 'openai']"
135,"['d3_47_math', 2174, 0, 1, 'yes', 'openai']"
136,"['d3_47_math', 2174, 0, 0, 'no', 'meta']"
137,"['d3_47_math', 2174, 0, 0, 'no', 'mistral']"
138,"['d3_47_math', 599, 1, 0, 'no', 'mistral']"
139,"['d3_47_math', 599, 1, 0, 'no', 'meta']"
140,"['d3_47_math', 599, 1, 0, 'no', 'openai']"
141,"['d3_47_math', 1749, 0, 0, 'no', 'mistral']"
142,"['d3_47_math', 1749, 0, 0, 'no', 'meta']"
143,"['d3_47_math', 1749, 0, 0, 'no', 'openai']"
144,"['d3_47_math', 758, 0, 1, 'yes', 'openai']"
145,"['d3_47_math', 758, 0, 0, 'no', 'meta']"
146,"['d3_47_math', 758, 0, 1, 'yes', 'mistral']"
147,"['d3_47_math', 2088, 0, 0, 'no', 'mistral']"
148,"['d3_47_math', 2088, 0, 0, 'no', 'meta']"
149,"['d3_47_math', 2088, 0, 0, 'no', 'openai']"
150,"['d3_47_math', 4776, 0, 1, 'yes', 'openai']"
151,"['d3_47_math', 4776, 0, 0, 'no', 'meta']"
152,"['d3_47_math', 4776, 0, 1, 'yes', 'mistral']"
153,"['d3_47_math', 2741, 0, 0, 'no', 'openai']"
154,"['d3_47_math', 2741, 0, 0, 'no', 'mistral']"
155,"['d3_47_math', 2741, 0, 0, 'no', 'meta']"
156,"['d3_47_math', 2781, 0, 1, 'yes', 'openai']"
157,"['d3_47_math', 2781, 0, 0, 'no', 'meta']"
158,"['d3_47_math', 2781, 0, 0, 'no', 'mistral']"
159,"['d3_47_math', 1574, 0, 0, 'no', 'mistral']"
160,"['d3_47_math', 1574, 0, 0, 'no', 'meta']"
161,"['d3_47_math', 1574, 0, 0, 'no', 'openai']"
162,"['d3_47_math', 2006, 0, 1, 'yes', 'openai']"
163,"['d3_47_math', 2006, 0, 1, 'yes', 'mistral']"
