question,avg_abs_coef_normalized
Does the sentence include an oxymoron?,1.0
Does the sentence express the narrator's opinion or judgment about an event or character?,0.968
Is the sentence humorous because of a play on words?,0.924
Does the input discuss a philosophical or existential question?,0.914
Is the input related to a specific industry or profession?,0.893
Does the sentence use non-standard or slang language?,0.887
Does the input describe a specific texture or sensation?,0.875
Is the sentence conveying a sense of awe or wonder experienced by the narrator?,0.857
Does the sentence describe a fictional scenario?,0.832
Does the sentence contain a proper noun?,0.798
Is the sentence describing a moment of peace or contentment?,0.796
Does the sentence include technical or specialized terminology?,0.791
Does the sentence include a direct speech quotation?,0.782
Does the sentence contain a pun?,0.777
Does the text include a reference to a past era or time period?,0.776
Does the sentence include dialogue or thoughts directed towards another character?,0.772
Does the story mention an invention or discovery?,0.77
Does the sentence involve mathematical reasoning?,0.767
Is the sentence conveying a sense of loneliness or isolation?,0.753
Does the sentence reveal a secret or confidential information?,0.742
Is the input about overcoming a fear or challenge?,0.742
Is the sentence describing an immediate reaction to an event or action?,0.735
Does the input mention a personal insecurity or doubt?,0.734
Is there an expression of regret or apology?,0.729
Is the sentence a question?,0.722
Does the sentence describe a physical action?,0.708
Is an apology or expression of regret included?,0.702
Is a legal or ethical dilemma discussed?,0.7
Is there a discussion about ethical consumption or sustainability?,0.69
Is a health or wellness practice described?,0.69
Is a historical event referenced?,0.684
Is a form of non-verbal communication depicted?,0.677
"Is there a reference to a famous painting, sculpture, or artist?",0.675
Is the sentence part of a dialogue?,0.674
Does the input discuss a medical treatment or procedure?,0.67
Is the sentence intended to evoke nostalgia?,0.669
Is the sentence conveying the narrator's physical movement or action in detail?,0.669
Is the sentence expressing skepticism or disbelief towards something or someone?,0.668
Is the sentence conveying a strategic or tactical thought by the narrator?,0.668
Does the input contain an expression of anger?,0.667
Does the sentence include a foreign word or phrase?,0.662
Does the text describe a journey?,0.661
Is there a discussion of a new skill or hobby being learned?,0.66
Is the sentence autobiographical?,0.659
Is the sentence a well-known quote or saying?,0.657
Does the sentence contain a cultural reference?,0.655
Does the sentence use irony or sarcasm?,0.654
Is a social gathering or event described?,0.652
Does the sentence describe a hypothetical scenario?,0.652
Does the text describe a personal space or room?,0.647
Does the sentence describe a moment of companionship or solitude?,0.645
Does the sentence include numerical information?,0.641
Does the input describe a sensory experience?,0.639
"Is there a discussion about sleep, dreams, or rest?",0.639
Is the sentence part of a mystery or puzzle?,0.639
Does the input express feelings of jealousy or envy?,0.635
Does the sentence reference a religious or spiritual concept?,0.632
Does the input contain a number?,0.626
Does the sentence include a rhetorical question?,0.624
Is a health condition or disease mentioned?,0.623
Is the sentence part of a poem or song?,0.621
Is the sentence conveying a change in the narrator's emotional state?,0.62
Does the sentence use metaphor to describe emotions?,0.616
Does the input include a philosophical or reflective thought?,0.615
Does the story involve a pet or domestic animal?,0.614
