,0
0,task
1,idx
2,true_label
3,pred_label
4,answer
5,model
6,"['d3_33_tech', 3661, 0, 0, 'no', 'openai']"
7,"['d3_33_tech', 3661, 0, 0, 'no', 'meta']"
8,"['d3_33_tech', 3661, 0, 0, 'no', 'mistral']"
9,"['d3_33_tech', 3661, 0, 0, 'no', 'gpt4']"
10,"['d3_33_tech', 143, 1, 1, 'yes', 'mistral']"
11,"['d3_33_tech', 143, 1, 1, 'yes', 'meta']"
12,"['d3_33_tech', 143, 1, 1, 'yes', 'openai']"
13,"['d3_33_tech', 143, 1, 1, 'yes', 'gpt4']"
14,"['d3_33_tech', 1575, 0, 0, 'no', 'openai']"
15,"['d3_33_tech', 1575, 0, 0, 'no', 'mistral']"
16,"['d3_33_tech', 1575, 0, 0, 'no', 'meta']"
17,"['d3_33_tech', 1575, 0, 0, 'no', 'gpt4']"
18,"['d3_33_tech', 1278, 1, 0, 'no', 'mistral']"
19,"['d3_33_tech', 1278, 1, 0, 'no', 'meta']"
20,"['d3_33_tech', 1278, 1, 0, 'no', 'openai']"
21,"['d3_33_tech', 1278, 1, 0, 'no', 'gpt4']"
22,"['d3_33_tech', 4217, 0, 1, 'yes', 'mistral']"
23,"['d3_33_tech', 4217, 0, 1, 'yes', 'meta']"
24,"['d3_33_tech', 4217, 0, 1, 'yes', 'openai']"
25,"['d3_33_tech', 4217, 0, 1, 'yes', 'gpt4']"
26,"['d3_33_tech', 3875, 0, 0, 'no', 'openai']"
27,"['d3_33_tech', 3875, 0, 0, 'no', 'meta']"
28,"['d3_33_tech', 3875, 0, 0, 'no', 'mistral']"
29,"['d3_33_tech', 3875, 0, 0, 'no', 'gpt4']"
30,"['d3_33_tech', 5109, 0, 0, 'no', 'openai']"
31,"['d3_33_tech', 5109, 0, 0, 'no', 'meta']"
32,"['d3_33_tech', 5109, 0, 0, 'no', 'mistral']"
33,"['d3_33_tech', 5109, 0, 0, 'no', 'gpt4']"
34,"['d3_33_tech', 497, 1, 1, 'yes', 'openai']"
35,"['d3_33_tech', 497, 1, 1, 'yes', 'mistral']"
36,"['d3_33_tech', 497, 1, 1, 'yes', 'meta']"
37,"['d3_33_tech', 497, 1, 1, 'yes', 'gpt4']"
38,"['d3_33_tech', 2416, 0, 0, 'no', 'openai']"
39,"['d3_33_tech', 2416, 0, 0, 'no', 'meta']"
40,"['d3_33_tech', 2416, 0, 0, 'no', 'mistral']"
41,"['d3_33_tech', 2416, 0, 0, 'no', 'gpt4']"
42,"['d3_33_tech', 170, 1, 1, 'yes', 'meta']"
43,"['d3_33_tech', 170, 1, 1, 'yes', 'openai']"
44,"['d3_33_tech', 170, 1, 1, 'yes', 'mistral']"
45,"['d3_33_tech', 170, 1, 1, 'yes', 'gpt4']"
46,"['d3_33_tech', 1252, 1, 1, 'yes', 'mistral']"
47,"['d3_33_tech', 1252, 1, 1, 'yes', 'meta']"
48,"['d3_33_tech', 1252, 1, 1, 'yes', 'openai']"
49,"['d3_33_tech', 1252, 1, 1, 'yes', 'gpt4']"
50,"['d3_33_tech', 2894, 0, 0, 'no', 'meta']"
51,"['d3_33_tech', 2894, 0, 1, 'yes', 'openai']"
52,"['d3_33_tech', 2894, 0, 1, 'yes', 'mistral']"
53,"['d3_33_tech', 2894, 0, 1, 'yes', 'gpt4']"
54,"['d3_33_tech', 151, 1, 1, 'yes', 'meta']"
55,"['d3_33_tech', 151, 1, 1, 'yes', 'openai']"
56,"['d3_33_tech', 151, 1, 1, 'yes', 'mistral']"
57,"['d3_33_tech', 151, 1, 1, 'yes', 'gpt4']"
58,"['d3_33_tech', 1138, 1, 1, 'yes', 'openai']"
59,"['d3_33_tech', 1138, 1, 1, 'yes', 'meta']"
60,"['d3_33_tech', 1138, 1, 1, 'yes', 'mistral']"
61,"['d3_33_tech', 1138, 1, 1, 'yes', 'gpt4']"
62,"['d3_33_tech', 3721, 0, 0, 'no', 'openai']"
63,"['d3_33_tech', 3721, 0, 0, 'no', 'meta']"
64,"['d3_33_tech', 3721, 0, 0, 'no', 'mistral']"
65,"['d3_33_tech', 3721, 0, 0, 'no', 'gpt4']"
66,"['d3_33_tech', 3120, 0, 0, 'no', 'meta']"
67,"['d3_33_tech', 3120, 0, 0, 'no', 'openai']"
68,"['d3_33_tech', 3120, 0, 0, 'no', 'mistral']"
69,"['d3_33_tech', 3120, 0, 0, 'no', 'gpt4']"
70,"['d3_33_tech', 1262, 1, 1, 'yes', 'openai']"
71,"['d3_33_tech', 1262, 1, 1, 'yes', 'mistral']"
72,"['d3_33_tech', 1262, 1, 1, 'yes', 'meta']"
73,"['d3_33_tech', 1262, 1, 1, 'yes', 'gpt4']"
74,"['d3_33_tech', 3374, 0, 0, 'no', 'openai']"
75,"['d3_33_tech', 3374, 0, 0, 'no', 'meta']"
76,"['d3_33_tech', 3374, 0, 0, 'no', 'mistral']"
77,"['d3_33_tech', 3374, 0, 0, 'no', 'gpt4']"
78,"['d3_33_tech', 4635, 0, 0, 'no', 'meta']"
79,"['d3_33_tech', 4635, 0, 0, 'no', 'openai']"
80,"['d3_33_tech', 4635, 0, 0, 'no', 'mistral']"
81,"['d3_33_tech', 4635, 0, 0, 'no', 'gpt4']"
82,"['d3_33_tech', 37, 1, 0, 'no', 'openai']"
83,"['d3_33_tech', 37, 1, 0, 'no', 'meta']"
84,"['d3_33_tech', 37, 1, 0, 'no', 'mistral']"
85,"['d3_33_tech', 37, 1, 0, 'no', 'gpt4']"
